Serial number,time,size,direction
1,1540196729.4338052,88,1
2,1540196729.4513767,104,-1
3,1540196729.454029,74,1
4,1540196729.4701767,66,-1
5,1540196729.471501,54,1
6,1540196729.4729269,571,1
7,1540196729.4875553,60,-1
8,1540196729.4895892,60,-1
9,1540196729.49093,1514,-1
10,1540196729.4910312,1514,-1
11,1540196729.491152,1230,-1
12,1540196729.4911544,429,-1
13,1540196729.5050194,54,1
14,1540196729.5051517,54,1
15,1540196729.5059557,54,1
16,1540196729.506241,54,1
17,1540196729.5205612,429,-1
18,1540196729.522115,66,1
19,1540196729.6416051,204,1
20,1540196729.6578913,129,-1
21,1540196729.6695387,54,1
22,1540196729.6750126,1514,1
23,1540196729.6753461,695,1
24,1540196729.676622,1514,1
25,1540196729.676654,1514,1
26,1540196729.6766772,1514,1
27,1540196729.6782672,1514,1
28,1540196729.6782982,1514,1
29,1540196729.6783202,1514,1
30,1540196729.6914258,60,-1
31,1540196729.6928594,556,1
32,1540196729.693428,60,-1
33,1540196729.6945472,60,-1
34,1540196729.7199087,251,-1
35,1540196729.7199106,123,-1
36,1540196729.7221496,54,1
37,1540196733.789094,77,1
38,1540196733.806309,77,-1
39,1540196733.8274047,66,1
40,1540196735.7362337,107,-1
41,1540196735.7868233,54,1
42,1540196736.3596041,95,1
43,1540196736.3765867,95,-1
44,1540196736.4213464,54,1
45,1540196737.7520866,60,-1
46,1540196737.8567743,54,1
47,1540196740.307169,285,1
48,1540196740.3174584,1514,1
49,1540196740.317749,388,1
50,1540196740.334513,60,-1
51,1540196740.3487298,1291,1
52,1540196740.3492315,491,1
53,1540196740.3507457,491,1
54,1540196740.3507743,491,1
55,1540196740.3585296,491,1
56,1540196740.3594,491,1
57,1540196740.3656933,60,-1
58,1540196740.3656955,99,-1
59,1540196740.3676183,60,-1
60,1540196740.376226,60,-1
61,1540196740.3824713,928,1
62,1540196740.3826377,54,1
63,1540196740.3883686,491,1
64,1540196740.3883977,491,1
65,1540196740.388464,491,1
66,1540196740.3921032,1514,1
67,1540196740.3928905,1031,1
68,1540196740.3929198,491,1
69,1540196740.4051993,60,-1
70,1540196740.4052022,60,-1
71,1540196740.408959,1514,1
72,1540196740.409803,60,-1
73,1540196740.409913,1514,1
74,1540196740.4099433,1514,1
75,1540196740.4099658,1514,1
76,1540196740.4115596,510,1
77,1540196740.4196937,491,1
78,1540196740.4259543,60,-1
79,1540196740.4270058,60,-1
80,1540196740.428447,60,-1
81,1540196740.448777,215,-1
82,1540196740.4684172,491,1
83,1540196740.5311258,60,-1
84,1540196740.5476213,491,1
85,1540196740.564428,60,-1
86,1540196740.5657797,491,1
87,1540196740.5827286,60,-1
88,1540196740.6303425,491,1
89,1540196740.6472874,60,-1
90,1540196740.6620631,491,1
91,1540196740.6790402,60,-1
92,1540196740.7300353,491,1
