Serial number,time,size,direction
1,1540273313.8799603,77,1
2,1540273313.9304621,66,-1
3,1540273316.9538133,98,-1
4,1540273316.9543784,98,-1
5,1540273316.956102,98,-1
6,1540273316.9565363,98,-1
7,1540273316.9581702,98,-1
8,1540273316.958661,98,-1
9,1540273316.9602365,98,-1
10,1540273316.9607923,98,-1
11,1540273316.9648106,98,-1
12,1540273316.9652927,98,-1
13,1540273316.967641,98,-1
14,1540273316.9680362,98,-1
15,1540273316.9696174,98,-1
16,1540273316.970037,98,-1
17,1540273316.9714048,98,-1
18,1540273316.9718149,98,-1
19,1540273316.9732053,98,-1
20,1540273316.9736586,98,-1
21,1540273316.9751413,98,-1
22,1540273316.9758556,98,-1
23,1540273316.9775784,98,-1
24,1540273316.9780152,98,-1
25,1540273316.9797456,98,-1
26,1540273316.980308,98,-1
27,1540273316.981593,98,-1
28,1540273316.9820445,98,-1
29,1540273316.9835165,98,-1
30,1540273316.9839258,98,-1
31,1540273316.9851964,98,-1
32,1540273316.9858453,98,-1
33,1540273316.9885426,89,-1
34,1540273316.9981046,153,-1
35,1540273317.0181122,74,-1
36,1540273317.0280654,74,-1
37,1540273317.0303268,66,-1
38,1540273317.0304601,150,-1
39,1540273317.0408885,66,-1
40,1540273317.0422435,540,-1
41,1540273317.0439706,66,-1
42,1540273317.045751,66,-1
43,1540273317.0512168,54,-1
44,1540273317.0519245,85,-1
45,1540273317.0527914,153,-1
46,1540273317.0557394,66,-1
47,1540273317.0574982,66,-1
48,1540273317.091327,74,-1
49,1540273317.1071606,66,-1
50,1540273317.1084383,54,-1
51,1540273317.110057,200,-1
52,1540273317.1280012,60,-1
53,1540273317.1318293,410,-1
54,1540273317.1318312,473,-1
55,1540273317.1387434,54,-1
56,1540273317.1388752,54,-1
57,1540273317.1450896,78,-1
58,1540273317.1459372,110,-1
59,1540273317.1512935,90,-1
60,1540273317.1718216,90,-1
61,1540273317.206641,90,-1
62,1540273317.2248652,90,-1
63,1540273317.2702906,54,-1
64,1540273317.4950097,54,-1
65,1540273317.9305587,54,-1
66,1540273318.825471,54,-1
67,1540273318.8841906,77,-1
68,1540273318.9016109,77,1
69,1540273318.9057314,66,-1
70,1540273319.0948696,284,-1
71,1540273319.112379,60,-1
72,1540273319.1189134,1514,-1
73,1540273319.120205,344,-1
74,1540273319.1314108,1291,-1
75,1540273319.1320815,891,-1
76,1540273319.1364942,60,-1
77,1540273319.137608,60,-1
78,1540273319.1447306,891,-1
79,1540273319.1472418,491,-1
80,1540273319.148219,491,-1
81,1540273319.1489658,60,-1
82,1540273319.1495585,60,-1
83,1540273319.1529145,491,-1
84,1540273319.1549015,491,-1
85,1540273319.1622615,60,-1
86,1540273319.16485,60,-1
87,1540273319.1659079,60,-1
88,1540273319.1704338,60,-1
89,1540273319.1724393,60,-1
90,1540273319.1756089,1328,-1
91,1540273319.1767216,1291,-1
92,1540273319.1798005,491,-1
93,1540273319.1813104,491,-1
94,1540273319.189081,1291,-1
95,1540273319.193284,60,-1
96,1540273319.19431,60,-1
97,1540273319.1947827,1365,-1
98,1540273319.196447,491,-1
99,1540273319.1972864,60,-1
100,1540273319.198755,60,-1
101,1540273319.2026293,491,-1
102,1540273319.2061586,928,-1
103,1540273319.2071733,60,-1
104,1540273319.2097535,1514,-1
105,1540273319.2124481,60,-1
106,1540273319.2139196,60,-1
107,1540273319.2143216,1514,-1
108,1540273319.2177436,445,-1
109,1540273319.2201345,60,-1
110,1540273319.2201385,99,-1
111,1540273319.2224052,54,-1
112,1540273319.22752,60,-1
113,1540273319.2353423,60,-1
114,1540273319.244578,214,-1
115,1540273319.2529607,54,-1
116,1540273319.262821,491,-1
117,1540273319.2849083,491,-1
118,1540273319.3023999,60,-1
119,1540273319.3328974,491,-1
120,1540273319.3838868,491,-1
121,1540273319.395976,60,-1
122,1540273319.401375,60,-1
123,1540273319.4528575,491,-1
124,1540273319.4703293,60,-1
125,1540273319.49035,491,-1
126,1540273319.5079658,60,-1
127,1540273319.5550554,491,-1
128,1540273319.5724795,60,-1
129,1540273319.5754013,491,-1
130,1540273319.5935323,60,-1
131,1540273319.6412942,491,-1
132,1540273319.6589136,60,-1
133,1540273319.686797,491,-1
134,1540273319.7045772,60,-1
135,1540273319.7359703,491,-1
136,1540273319.7535818,60,-1
137,1540273319.7960424,491,-1
138,1540273319.813667,60,-1
139,1540273319.8483362,491,-1
140,1540273319.8658853,60,-1
141,1540273319.8917124,491,-1
142,1540273319.9092257,60,-1
143,1540273319.949427,491,-1
144,1540273319.9669552,60,-1
145,1540273319.9786105,491,-1
146,1540273319.9960926,60,-1
147,1540273320.0431938,491,-1
148,1540273320.0609283,60,-1
149,1540273320.0965161,491,-1
150,1540273320.1140492,60,-1
151,1540273320.1353738,491,-1
152,1540273320.152877,60,-1
153,1540273320.1838968,491,-1
154,1540273320.2014542,60,-1
155,1540273320.2503738,491,-1
156,1540273320.2679124,60,-1
157,1540273320.3550775,491,-1
158,1540273320.3553567,491,-1
159,1540273320.3553753,491,-1
160,1540273320.3726737,60,-1
161,1540273320.3727982,66,-1
162,1540273320.3727992,60,-1
163,1540273320.3734763,491,-1
164,1540273320.3910463,60,-1
165,1540273320.491176,491,-1
166,1540273320.4915488,491,-1
167,1540273320.5090446,60,-1
168,1540273320.5095196,60,-1
169,1540273320.5435739,491,-1
170,1540273320.561131,60,-1
171,1540273320.6126134,54,-1
172,1540273320.630167,491,-1
173,1540273320.6463845,491,-1
174,1540273320.6476192,60,-1
175,1540273320.6639109,60,-1
176,1540273320.6961775,491,-1
177,1540273320.7139187,60,-1
178,1540273320.757389,491,-1
179,1540273320.7750206,60,-1
180,1540273320.778234,491,-1
181,1540273320.795973,60,-1
182,1540273320.8591945,491,-1
183,1540273320.8768508,60,-1
184,1540273320.9430296,491,-1
185,1540273320.9431164,491,-1
186,1540273320.9608347,60,-1
187,1540273320.9608405,60,-1
188,1540273320.9837413,491,-1
189,1540273320.9978209,151,-1
190,1540273321.001232,60,-1
191,1540273321.05279,491,-1
192,1540273321.0705385,60,-1
193,1540273321.0910504,491,-1
