Serial number,time,size,direction
1,1540183216.856651,54,1
2,1540183220.9243426,95,1
3,1540183220.9408126,60,-1
4,1540183220.9408147,95,-1
5,1540183220.9865367,54,1
6,1540183223.9391212,286,1
7,1540183223.983244,961,1
8,1540183223.9977105,60,-1
9,1540183224.000222,60,-1
10,1540183224.0471573,1291,1
11,1540183224.0528846,1514,1
12,1540183224.0532937,1514,1
13,1540183224.0543432,1514,1
14,1540183224.0543745,1514,1
15,1540183224.0543988,1514,1
16,1540183224.0544355,1514,1
17,1540183224.0557373,1514,1
18,1540183224.063799,60,-1
19,1540183224.0695186,60,-1
20,1540183224.070004,60,-1
21,1540183224.0703585,1514,1
22,1540183224.0710588,60,-1
23,1540183224.0710607,60,-1
24,1540183224.0712593,60,-1
25,1540183224.0712893,485,1
26,1540183224.0713966,60,-1
27,1540183224.0724814,60,-1
28,1540183224.0754805,491,1
29,1540183224.0871575,60,-1
30,1540183224.0878046,60,-1
31,1540183224.0878067,99,-1
32,1540183224.089418,54,1
33,1540183224.1013896,491,1
34,1540183224.1179602,60,-1
35,1540183224.1206412,228,-1
36,1540183224.153488,54,1
37,1540183224.1640995,491,1
38,1540183224.2267997,491,1
39,1540183224.2384822,60,-1
40,1540183224.2433624,60,-1
41,1540183224.2590916,491,1
42,1540183224.2759688,60,-1
43,1540183224.3154304,491,1
44,1540183224.3320105,60,-1
45,1540183224.3813229,491,1
46,1540183224.3980484,60,-1
47,1540183224.4095547,491,1
48,1540183224.4260643,60,-1
49,1540183224.475872,491,1
50,1540183224.4832184,151,-1
51,1540183224.485293,54,1
52,1540183224.4924886,60,-1
53,1540183224.5013864,491,1
54,1540183224.5181472,60,-1
55,1540183224.5788724,491,1
56,1540183224.595515,60,-1
57,1540183224.617936,491,1
58,1540183224.6348538,60,-1
59,1540183224.6596937,491,1
60,1540183224.6766033,60,-1
61,1540183224.70873,491,1
62,1540183224.7253618,60,-1
63,1540183224.7804258,491,1
64,1540183224.7975302,60,-1
65,1540183224.8138182,491,1
66,1540183224.8306754,60,-1
67,1540183224.8823335,491,1
68,1540183224.8989568,60,-1
69,1540183224.946331,491,1
70,1540183224.9629068,60,-1
71,1540183224.987505,491,1
