Serial number,time,size,direction
1,1540288381.5309732,95,1
2,1540288381.5482748,95,-1
3,1540288381.549495,54,1
4,1540288390.6651688,958,1
5,1540288390.668251,1291,1
6,1540288390.684922,60,-1
7,1540288390.6917124,267,1
8,1540288390.714058,491,1
9,1540288390.7145362,491,1
10,1540288390.7153158,491,1
11,1540288390.7158754,491,1
12,1540288390.7183938,491,1
13,1540288390.7305996,60,-1
14,1540288390.7309175,491,1
15,1540288390.7318432,60,-1
16,1540288390.7323835,491,1
17,1540288390.73494,60,-1
18,1540288390.7437215,491,1
19,1540288390.7477112,491,1
20,1540288390.748887,491,1
21,1540288390.7489686,60,-1
22,1540288390.7619305,491,1
23,1540288390.764258,60,-1
24,1540288390.7668521,491,1
25,1540288390.773168,491,1
26,1540288390.7762935,491,1
27,1540288390.7784877,60,-1
28,1540288390.789769,60,-1
29,1540288390.7946727,491,1
30,1540288390.7951703,491,1
31,1540288390.7952,1514,1
32,1540288390.795238,1514,1
33,1540288390.795941,445,1
34,1540288390.7991178,891,1
35,1540288390.8112154,60,-1
36,1540288390.8119164,60,-1
37,1540288390.8124652,60,-1
38,1540288390.8164105,1514,1
39,1540288390.8168232,1514,1
40,1540288390.8182375,1171,1
41,1540288390.8330595,60,-1
42,1540288390.8348503,60,-1
43,1540288390.8380153,491,1
44,1540288390.8573635,218,-1
45,1540288390.869311,54,1
46,1540288390.883964,491,1
47,1540288390.9494252,60,-1
48,1540288390.9521291,491,1
49,1540288390.9686863,60,-1
50,1540288390.988016,491,1
51,1540288391.0045645,60,-1
52,1540288391.0580146,491,1
53,1540288391.0747476,60,-1
54,1540288391.0751395,491,1
55,1540288391.0918207,60,-1
56,1540288391.1415765,491,1
57,1540288391.158206,60,-1
58,1540288391.1934116,491,1
59,1540288391.2100291,60,-1
60,1540288391.2356825,491,1
61,1540288391.252323,60,-1
62,1540288391.2854936,491,1
63,1540288391.302199,60,-1
64,1540288391.360763,491,1
65,1540288391.3773236,60,-1
66,1540288391.3831275,491,1
67,1540288391.3996344,60,-1
68,1540288391.4488354,491,1
69,1540288391.4654036,60,-1
70,1540288391.4736986,491,1
71,1540288391.490217,60,-1
72,1540288391.5471087,491,1
73,1540288391.5637314,60,-1
74,1540288391.5891504,491,1
75,1540288391.6057725,60,-1
76,1540288391.6350486,491,1
77,1540288391.6516056,60,-1
78,1540288391.6834216,491,1
79,1540288391.6999378,60,-1
80,1540288391.752963,491,1
81,1540288391.7694783,60,-1
82,1540288391.7806246,491,1
83,1540288391.797154,60,-1
84,1540288391.8467915,491,1
85,1540288391.8634684,60,-1
86,1540288391.881995,491,1
87,1540288391.898574,60,-1
88,1540288391.9444816,491,1
89,1540288391.9610794,60,-1
90,1540288392.019688,491,1
91,1540288392.0362315,60,-1
92,1540288392.0393326,491,1
93,1540288392.0559497,60,-1
94,1540288392.0881765,491,1
95,1540288392.1048646,60,-1
96,1540288392.1540148,491,1
97,1540288392.1707034,60,-1
98,1540288392.17877,491,1
99,1540288392.1954024,60,-1
