Serial number,time,size,direction
1,1540195766.9423153,95,1
2,1540195766.959073,60,-1
3,1540195766.959075,95,-1
4,1540195767.0179198,54,1
5,1540195768.483629,60,-1
6,1540195768.5292501,54,1
7,1540195769.781321,77,1
8,1540195769.7983663,77,-1
9,1540195769.800177,66,1
10,1540195774.920792,54,1
11,1540195777.673503,285,1
12,1540195777.7250016,1514,1
13,1540195777.7251668,415,1
14,1540195777.733368,1514,1
15,1540195777.7336397,60,-1
16,1540195777.7367663,231,1
17,1540195777.7371073,891,1
18,1540195777.741986,60,-1
19,1540195777.7419882,60,-1
20,1540195777.7503493,60,-1
21,1540195777.7535484,60,-1
22,1540195777.7539847,60,-1
23,1540195777.7988288,491,1
24,1540195777.799637,1514,1
25,1540195777.7996688,1514,1
26,1540195777.7996933,1514,1
27,1540195777.7997315,1514,1
28,1540195777.7997541,1514,1
29,1540195777.7997777,1514,1
30,1540195777.8156822,60,-1
31,1540195777.8165915,60,-1
32,1540195777.8167698,60,-1
33,1540195777.8167725,60,-1
34,1540195777.8169715,60,-1
35,1540195777.8169734,99,-1
36,1540195777.8172646,60,-1
37,1540195777.8247006,1514,1
38,1540195777.8249242,1514,1
39,1540195777.8268657,1514,1
40,1540195777.8268979,1514,1
41,1540195777.82692,749,1
42,1540195777.8419337,60,-1
43,1540195777.8439684,60,-1
44,1540195777.871826,214,-1
45,1540195777.882641,491,1
46,1540195777.9436235,60,-1
47,1540195777.9636807,491,1
48,1540195777.964183,491,1
49,1540195777.9643347,66,1
50,1540195777.9806216,60,-1
51,1540195777.981055,60,-1
52,1540195777.982411,503,1
53,1540195777.999244,60,-1
54,1540195778.0495229,503,1
55,1540195778.0663898,60,-1
56,1540195778.0736544,99,-1
57,1540195778.0935638,54,1
58,1540195778.0949278,491,1
59,1540195778.1517842,491,1
60,1540195778.1536324,60,-1
61,1540195778.1686735,60,-1
62,1540195778.2117896,491,1
63,1540195778.2286263,60,-1
64,1540195778.2554383,491,1
65,1540195778.2724466,60,-1
66,1540195778.282778,491,1
67,1540195778.2997572,60,-1
68,1540195778.363934,491,1
69,1540195778.3809013,60,-1
70,1540195778.4122484,491,1
71,1540195778.4291508,60,-1
72,1540195778.539485,491,1
73,1540195778.5399535,491,1
74,1540195778.5527675,491,1
75,1540195778.5563962,60,-1
76,1540195778.5567749,60,-1
77,1540195778.5696812,60,-1
78,1540195778.597298,491,1
79,1540195778.6142159,60,-1
80,1540195778.6573324,491,1
81,1540195778.6741576,60,-1
82,1540195778.689998,491,1
83,1540195778.7068064,60,-1
84,1540195778.7607064,491,1
85,1540195778.7775812,60,-1
86,1540195778.793195,491,1
87,1540195778.8101447,60,-1
88,1540195778.8438418,491,1
89,1540195778.8607943,60,-1
90,1540195778.8963685,491,1
91,1540195778.913228,60,-1
92,1540195778.9387088,491,1
93,1540195778.955539,60,-1
94,1540195779.0004654,491,1
95,1540195779.0172818,60,-1
96,1540195779.0559344,491,1
97,1540195779.0728467,60,-1
98,1540195779.0851386,491,1
99,1540195779.1019638,60,-1
100,1540195779.1610644,491,1
101,1540195779.1779277,60,-1
102,1540195779.182565,491,1
103,1540195779.1994035,60,-1
104,1540195779.2451937,491,1
105,1540195779.2621021,60,-1
106,1540195779.2913313,491,1
107,1540195779.3083012,60,-1
108,1540195779.343931,491,1
109,1540195779.360881,60,-1
110,1540195779.3931818,491,1
111,1540195779.4101582,60,-1
112,1540195779.454332,491,1
113,1540195779.471256,60,-1
114,1540195779.4874473,491,1
115,1540195779.504328,60,-1
116,1540195779.5618217,491,1
117,1540195779.5786648,60,-1
118,1540195779.584551,491,1
119,1540195779.6014886,60,-1
120,1540195779.6518168,491,1
121,1540195779.6686702,60,-1
122,1540195779.6966887,491,1
123,1540195779.7135725,60,-1
124,1540195779.7447631,491,1
125,1540195779.7616065,60,-1
126,1540195779.8021445,491,1
127,1540195779.8190045,60,-1
128,1540195779.819006,99,-1
129,1540195779.8562746,491,1
130,1540195779.8865073,491,1
131,1540195779.9033678,60,-1
132,1540195779.9603326,491,1
133,1540195779.9859862,491,1
134,1540195780.0028262,60,-1
135,1540195780.0476573,491,1
136,1540195780.095218,491,1
137,1540195780.1120348,60,-1
138,1540195780.1388028,491,1
139,1540195780.1972158,491,1
140,1540195780.2036507,60,-1
141,1540195780.2140782,60,-1
142,1540195780.2586877,491,1
143,1540195780.275609,60,-1
144,1540195780.287357,491,1
145,1540195780.3079834,60,-1
146,1540195780.3607323,491,1
147,1540195780.3777745,60,-1
148,1540195780.3849323,491,1
149,1540195780.4018834,60,-1
150,1540195780.4485006,491,1
151,1540195780.465421,60,-1
152,1540195780.4928427,491,1
153,1540195780.5097241,60,-1
154,1540195780.5403316,491,1
155,1540195780.5571775,60,-1
156,1540195780.600372,491,1
157,1540195780.6172216,60,-1
158,1540195780.6576428,491,1
159,1540195780.6745038,60,-1
160,1540195780.674505,99,-1
161,1540195780.6887674,491,1
162,1540195780.7610412,491,1
163,1540195780.7636366,60,-1
164,1540195780.7779052,60,-1
165,1540195780.7842853,491,1
166,1540195780.801105,60,-1
167,1540195780.849796,491,1
168,1540195780.866617,60,-1
169,1540195780.8943846,491,1
170,1540195780.9113224,60,-1
171,1540195780.941861,491,1
172,1540195780.975691,60,-1
173,1540195780.997848,491,1
174,1540195781.0146635,60,-1
175,1540195781.05688,491,1
176,1540195781.0738182,60,-1
177,1540195781.0840018,491,1
178,1540195781.1024828,60,-1
179,1540195781.1614718,491,1
180,1540195781.178348,60,-1
181,1540195781.1853652,491,1
182,1540195781.2022064,60,-1
183,1540195781.2191515,152,-1
184,1540195781.257256,54,1
185,1540195781.2601445,491,1
186,1540195781.3205547,491,1
187,1540195781.323656,60,-1
188,1540195781.3374503,60,-1
189,1540195781.3473625,491,1
190,1540195781.364226,60,-1
191,1540195781.397974,491,1
192,1540195781.4150512,60,-1
193,1540195781.4578595,491,1
194,1540195781.4748166,60,-1
195,1540195781.494481,491,1
196,1540195781.5114403,60,-1
197,1540195781.5610344,491,1
198,1540195781.5778458,60,-1
199,1540195781.5816472,173,-1
200,1540195781.5934236,491,1
201,1540195781.5978773,54,1
202,1540195781.6518855,491,1
203,1540195781.663667,60,-1
204,1540195781.668763,60,-1
205,1540195781.6908872,491,1
206,1540195781.7077324,60,-1
207,1540195781.7515748,491,1
208,1540195781.768412,60,-1
209,1540195781.7983754,491,1
210,1540195781.8153098,60,-1
211,1540195781.8634176,491,1
212,1540195781.880254,60,-1
213,1540195781.885405,491,1
