Serial number,time,size,direction
1,1540185565.5603037,54,1
2,1540185570.201234,289,1
3,1540185570.2114675,941,1
4,1540185570.2249382,1514,1
5,1540185570.2262366,231,1
6,1540185570.2284427,60,-1
7,1540185570.2430844,60,-1
8,1540185570.2503395,491,1
9,1540185570.2520382,1514,1
10,1540185570.25207,1431,1
11,1540185570.2592778,491,1
12,1540185570.26124,1514,1
13,1540185570.2689726,60,-1
14,1540185570.27615,60,-1
15,1540185570.3236992,60,-1
16,1540185570.342846,1514,1
17,1540185570.3438733,1514,1
18,1540185570.3439054,1514,1
19,1540185570.3439295,1514,1
20,1540185570.3439531,1514,1
21,1540185570.3439763,938,1
22,1540185570.3493838,213,-1
23,1540185570.3599432,60,-1
24,1540185570.360811,60,-1
25,1540185570.3608131,60,-1
26,1540185570.3610885,60,-1
27,1540185570.3612301,60,-1
28,1540185570.361232,60,-1
29,1540185570.3643653,54,1
30,1540185570.373828,491,1
31,1540185570.3906262,60,-1
32,1540185570.4252818,491,1
33,1540185570.4421747,60,-1
34,1540185570.4642515,491,1
35,1540185570.4811718,60,-1
36,1540185570.528028,491,1
37,1540185570.544957,60,-1
38,1540185570.5593345,491,1
39,1540185570.5762475,60,-1
40,1540185570.5762517,99,-1
41,1540185570.619779,54,1
42,1540185570.6201637,491,1
43,1540185570.6553705,491,1
44,1540185570.6722898,60,-1
45,1540185570.725898,491,1
46,1540185570.7688758,491,1
47,1540185570.7836876,60,-1
48,1540185570.7857766,60,-1
49,1540185570.8150775,491,1
50,1540185570.8321254,60,-1
51,1540185570.8625882,491,1
52,1540185570.8794734,60,-1
53,1540185570.9325867,491,1
54,1540185570.9526973,60,-1
55,1540185570.961943,491,1
56,1540185570.9788327,60,-1
57,1540185571.0275428,491,1
58,1540185571.0443928,60,-1
59,1540185571.0577374,491,1
60,1540185571.0746217,60,-1
61,1540185571.1280103,491,1
62,1540185571.1449063,60,-1
63,1540185571.1663804,491,1
64,1540185571.183262,60,-1
65,1540185571.214634,491,1
66,1540185571.2383852,60,-1
67,1540185571.2627027,491,1
68,1540185571.279608,60,-1
69,1540185571.3287344,491,1
70,1540185571.3462443,60,-1
71,1540185571.3606658,491,1
72,1540185571.377539,60,-1
73,1540185571.432,491,1
74,1540185571.4488852,60,-1
75,1540185571.4552078,491,1
76,1540185571.4720814,60,-1
77,1540185571.5211189,491,1
78,1540185571.5379543,60,-1
79,1540185571.5646386,491,1
80,1540185571.5814743,60,-1
81,1540185571.6132073,491,1
82,1540185571.63012,60,-1
83,1540185571.659566,491,1
84,1540185571.6764886,60,-1
85,1540185571.7305799,491,1
86,1540185571.7475092,60,-1
87,1540185571.7546053,491,1
88,1540185571.771522,60,-1
89,1540185571.828822,491,1
90,1540185571.8457425,60,-1
91,1540185571.8556757,491,1
92,1540185571.8726485,60,-1
93,1540185571.9226356,491,1
94,1540185571.9395392,60,-1
95,1540185571.9635425,491,1
96,1540185571.9804738,60,-1
97,1540185572.1253064,491,1
98,1540185572.1258442,491,1
99,1540185572.1259263,491,1
100,1540185572.142328,60,-1
101,1540185572.142791,60,-1
102,1540185572.1427934,60,-1
103,1540185572.218961,491,1
104,1540185572.2359965,60,-1
105,1540185572.257003,491,1
106,1540185572.258454,491,1
107,1540185572.273942,60,-1
108,1540185572.275381,60,-1
109,1540185572.3245883,491,1
110,1540185572.3414955,60,-1
111,1540185572.3887517,491,1
112,1540185572.4056566,60,-1
113,1540185572.4147696,491,1
114,1540185572.431704,60,-1
115,1540185572.4678998,491,1
116,1540185572.4847848,60,-1
117,1540185572.5411515,491,1
118,1540185572.5580115,60,-1
119,1540185572.5717733,491,1
120,1540185572.5886827,60,-1
121,1540185572.653371,491,1
122,1540185572.6703377,60,-1
123,1540185572.6703403,99,-1
124,1540185572.713256,491,1
125,1540185572.7181604,54,1
126,1540185572.718964,491,1
127,1540185572.7358398,60,-1
128,1540185572.7640805,491,1
129,1540185572.7791364,149,-1
130,1540185572.8168106,54,1
131,1540185572.8195283,491,1
132,1540185572.8236952,60,-1
133,1540185572.8364396,60,-1
134,1540185572.8653219,491,1
135,1540185572.8822043,60,-1
136,1540185572.9305882,491,1
137,1540185572.9474905,60,-1
138,1540185572.959858,491,1
139,1540185572.9767396,60,-1
140,1540185573.0241551,491,1
141,1540185573.041038,60,-1
142,1540185573.058621,173,-1
143,1540185573.0595427,491,1
144,1540185573.0601847,54,1
145,1540185573.1235328,491,1
146,1540185573.1236808,60,-1
147,1540185573.1403997,60,-1
148,1540185573.168569,491,1
149,1540185573.1855574,60,-1
150,1540185573.2295046,491,1
151,1540185573.2463794,60,-1
152,1540185573.2602916,491,1
153,1540185573.2771733,60,-1
154,1540185573.3258896,491,1
155,1540185573.3427851,60,-1
156,1540185573.3756797,491,1
157,1540185573.3883836,206,-1
158,1540185573.3888233,1514,-1
159,1540185573.38891,1514,-1
160,1540185573.3890939,1072,-1
161,1540185573.3969958,60,-1
162,1540185573.4027128,54,1
163,1540185573.4041646,54,1
164,1540185573.4042435,54,1
165,1540185573.4051158,54,1
166,1540185573.4112217,1514,-1
167,1540185573.4113297,1514,-1
168,1540185573.4115176,1267,-1
169,1540185573.411555,212,-1
170,1540185573.4132445,54,1
171,1540185573.4134133,54,1
172,1540185573.413577,54,1
173,1540185573.4143054,54,1
174,1540185573.4445841,1514,-1
175,1540185573.4446893,1514,-1
176,1540185573.4448063,1267,-1
177,1540185573.444953,1514,-1
178,1540185573.4450285,1514,-1
179,1540185573.4450297,328,-1
180,1540185573.4451563,1030,-1
181,1540185573.4452949,1514,-1
182,1540185573.4453986,1514,-1
183,1540185573.4455845,1267,-1
184,1540185573.446169,54,1
185,1540185573.4553292,54,1
186,1540185573.455413,54,1
187,1540185573.4555838,54,1
188,1540185573.45575,54,1
189,1540185573.4559064,54,1
190,1540185573.4559815,54,1
191,1540185573.4560566,54,1
192,1540185573.4561312,54,1
193,1540185573.460166,491,1
194,1540185573.4615316,536,1
195,1540185573.4630885,1514,-1
196,1540185573.4721987,984,-1
197,1540185573.4784138,60,-1
198,1540185573.4942622,54,1
199,1540185573.5248988,491,1
200,1540185573.5733626,491,1
201,1540185573.5824609,91,1
202,1540185573.5828996,91,1
203,1540185573.5836625,60,-1
204,1540185573.5901942,60,-1
205,1540185573.599198,60,-1
206,1540185573.5996597,60,-1
207,1540185573.6676223,303,1
208,1540185573.684505,60,-1
209,1540185574.1007218,161,-1
210,1540185574.1532135,155,-1
211,1540185574.2337444,155,-1
212,1540185574.2872937,66,1
213,1540185577.4806552,177,1
214,1540185577.497461,60,-1
215,1540185581.6349719,77,1
216,1540185581.653742,77,-1
217,1540185581.6550822,66,1
218,1540185585.7051485,60,-1
219,1540185595.0319064,54,1
