Serial number,time,size,direction
1,1540201573.9112144,77,1
2,1540201573.928243,77,-1
3,1540201573.929784,66,1
4,1540201575.066558,287,1
5,1540201575.1148844,1514,1
6,1540201575.1149974,374,1
7,1540201575.1232524,1514,1
8,1540201575.1238537,231,1
9,1540201575.1315134,60,-1
10,1540201575.1318045,60,-1
11,1540201575.1330862,1514,1
12,1540201575.1342754,779,1
13,1540201575.1403177,60,-1
14,1540201575.14061,60,-1
15,1540201575.1452746,491,1
16,1540201575.1499639,60,-1
17,1540201575.1510363,60,-1
18,1540201575.1570938,491,1
19,1540201575.16199,60,-1
20,1540201575.1738417,60,-1
21,1540201575.174984,491,1
22,1540201575.1752007,491,1
23,1540201575.176486,491,1
24,1540201575.1776114,491,1
25,1540201575.1776414,491,1
26,1540201575.19174,60,-1
27,1540201575.1919575,60,-1
28,1540201575.1933396,60,-1
29,1540201575.1935809,1514,1
30,1540201575.194391,60,-1
31,1540201575.194393,60,-1
32,1540201575.2003815,1514,1
33,1540201575.2018268,1067,1
34,1540201575.2045078,491,1
35,1540201575.205371,491,1
36,1540201575.2105703,60,-1
37,1540201575.2145236,1514,1
38,1540201575.2172947,60,-1
39,1540201575.2187035,60,-1
40,1540201575.2189882,1216,1
41,1540201575.2213068,60,-1
42,1540201575.221475,1365,1
43,1540201575.222154,60,-1
44,1540201575.222156,99,-1
45,1540201575.2239792,491,1
46,1540201575.2241092,54,1
47,1540201575.2358873,60,-1
48,1540201575.2364597,215,-1
49,1540201575.2407541,60,-1
50,1540201575.2555604,491,1
51,1540201575.2841833,491,1
52,1540201575.301009,60,-1
53,1540201575.3491807,491,1
54,1540201575.384341,491,1
55,1540201575.4012463,60,-1
56,1540201575.4475229,491,1
57,1540201575.4722142,491,1
58,1540201575.4891827,60,-1
59,1540201575.5382688,491,1
60,1540201575.5859818,491,1
61,1540201575.6015327,60,-1
62,1540201575.6028435,60,-1
63,1540201575.6539726,491,1
64,1540201575.6708663,60,-1
65,1540201575.6824782,491,1
66,1540201575.6993196,60,-1
67,1540201575.7664013,491,1
68,1540201575.7798882,491,1
69,1540201575.7832143,60,-1
70,1540201575.7967458,60,-1
71,1540201575.845963,491,1
72,1540201575.8627696,60,-1
73,1540201575.890214,491,1
74,1540201575.9070354,60,-1
75,1540201575.9398081,491,1
76,1540201575.9566607,60,-1
77,1540201575.990473,491,1
78,1540201576.0073838,60,-1
79,1540201576.0372987,491,1
80,1540201576.0541708,60,-1
81,1540201576.0852728,491,1
82,1540201576.1021144,60,-1
83,1540201576.1497507,491,1
84,1540201576.1666505,60,-1
85,1540201576.1777184,491,1
86,1540201576.1945992,60,-1
87,1540201576.247511,491,1
88,1540201576.2644231,60,-1
89,1540201576.271531,491,1
90,1540201576.2884576,60,-1
91,1540201576.3423867,491,1
92,1540201576.3593473,60,-1
93,1540201576.3858318,491,1
94,1540201576.402764,60,-1
95,1540201576.4336066,491,1
96,1540201576.4504745,60,-1
97,1540201576.480579,491,1
98,1540201576.4975836,60,-1
99,1540201576.5510778,491,1
100,1540201576.5679429,60,-1
101,1540201576.582622,491,1
102,1540201576.599643,60,-1
103,1540201576.6454387,491,1
104,1540201576.6624608,60,-1
105,1540201576.6757739,491,1
106,1540201576.6982055,60,-1
107,1540201576.779265,491,1
108,1540201576.7961094,60,-1
109,1540201576.8247838,491,1
110,1540201576.8416965,60,-1
111,1540201576.8556314,491,1
112,1540201576.8725169,60,-1
113,1540201576.9629052,491,1
114,1540201576.963171,491,1
115,1540201576.9798148,60,-1
116,1540201576.979967,60,-1
117,1540201576.9801612,491,1
118,1540201576.99698,60,-1
119,1540201577.034549,185,-1
120,1540201577.0689986,491,1
121,1540201577.085983,60,-1
122,1540201577.090341,491,1
123,1540201577.1139684,60,-1
124,1540201577.1615174,54,1
125,1540201577.1628802,491,1
126,1540201577.1797285,60,-1
127,1540201577.1973715,491,1
128,1540201577.2144144,60,-1
129,1540201577.2578046,491,1
130,1540201577.2694917,172,-1
131,1540201577.2710593,54,1
132,1540201577.2747345,60,-1
133,1540201577.3010888,491,1
134,1540201577.317903,60,-1
135,1540201577.3424761,203,1
136,1540201577.3593948,60,-1
137,1540201577.4134622,491,1
138,1540201577.4147916,491,1
139,1540201577.4304101,60,-1
140,1540201577.4317284,60,-1
141,1540201577.4422069,491,1
142,1540201577.4591696,60,-1
143,1540201577.4591722,99,-1
144,1540201577.477046,491,1
145,1540201577.5415254,60,-1
146,1540201577.5420425,491,1
147,1540201577.5466318,900,-1
148,1540201577.5468886,1514,-1
149,1540201577.5469766,1514,-1
150,1540201577.5469775,218,-1
151,1540201577.549026,54,1
152,1540201577.5497525,54,1
153,1540201577.5523407,1514,-1
154,1540201577.5524933,1514,-1
155,1540201577.5526128,1267,-1
156,1540201577.5526137,125,-1
157,1540201577.5557516,54,1
158,1540201577.5589292,60,-1
