Serial number,time,size,direction
1,1540288189.732113,77,1
2,1540288189.7506435,77,-1
3,1540288189.752026,66,1
4,1540288194.1687672,60,-1
5,1540288194.278131,290,1
6,1540288194.2795112,1248,1
7,1540288194.2961667,60,-1
8,1540288194.3082588,1514,1
9,1540288194.3098273,1514,1
10,1540288194.3098586,771,1
11,1540288194.32652,60,-1
12,1540288194.3679368,60,-1
13,1540288194.3884287,491,1
14,1540288194.389219,1514,1
15,1540288194.3892515,1514,1
16,1540288194.3892753,1267,1
17,1540288194.3893,1514,1
18,1540288194.3893244,1514,1
19,1540288194.4035919,215,-1
20,1540288194.4049933,60,-1
21,1540288194.4055874,54,1
22,1540288194.4058828,60,-1
23,1540288194.4061117,60,-1
24,1540288194.4061139,60,-1
25,1540288194.4062731,60,-1
26,1540288194.406275,60,-1
27,1540288194.4067218,1514,1
28,1540288194.4076192,1514,1
29,1540288194.4083853,992,1
30,1540288194.419159,491,1
31,1540288194.4233804,60,-1
32,1540288194.4233828,99,-1
33,1540288194.4250042,60,-1
34,1540288194.4665878,54,1
35,1540288194.4683185,491,1
36,1540288194.4780548,60,-1
37,1540288194.4849515,60,-1
38,1540288194.5023353,491,1
39,1540288194.5190482,60,-1
40,1540288194.566348,491,1
41,1540288194.5830314,60,-1
42,1540288194.6139834,491,1
43,1540288194.630607,60,-1
44,1540288194.6586475,491,1
45,1540288194.6752288,60,-1
46,1540288194.7050488,491,1
47,1540288194.7216558,60,-1
48,1540288194.752185,491,1
49,1540288194.7688196,60,-1
50,1540288194.8098514,491,1
51,1540288194.826369,60,-1
52,1540288194.8703377,491,1
53,1540288194.8868582,60,-1
54,1540288194.901555,491,1
55,1540288194.9181352,60,-1
56,1540288194.9673195,491,1
57,1540288194.9840643,60,-1
58,1540288194.992154,491,1
59,1540288195.0087352,60,-1
60,1540288195.065376,491,1
61,1540288195.0819416,60,-1
62,1540288195.1101048,491,1
63,1540288195.1267624,60,-1
64,1540288195.1574466,491,1
65,1540288195.1739933,60,-1
66,1540288195.2071776,491,1
67,1540288195.2237103,60,-1
68,1540288195.2693853,491,1
69,1540288195.2859476,60,-1
70,1540288195.3169348,491,1
71,1540288195.333578,60,-1
72,1540288195.3602455,491,1
73,1540288195.376817,60,-1
74,1540288195.3945825,491,1
75,1540288195.41119,60,-1
76,1540288195.4636583,491,1
77,1540288195.4802237,60,-1
78,1540288195.5103476,491,1
79,1540288195.5270123,60,-1
80,1540288195.5659657,491,1
81,1540288195.5826416,60,-1
82,1540288195.6049728,491,1
83,1540288195.6216087,60,-1
84,1540288195.6680503,491,1
85,1540288195.6846583,60,-1
86,1540288195.699375,491,1
87,1540288195.7160566,60,-1
88,1540288195.7651522,491,1
89,1540288195.7817101,60,-1
90,1540288195.7953155,491,1
91,1540288195.811846,60,-1
92,1540288195.8617055,491,1
93,1540288195.8782358,60,-1
94,1540288195.9071245,491,1
95,1540288195.9236343,60,-1
96,1540288195.9561565,491,1
97,1540288195.972709,60,-1
98,1540288196.0199347,491,1
99,1540288196.036596,60,-1
100,1540288196.0683343,491,1
101,1540288196.0849574,60,-1
102,1540288196.1024075,491,1
103,1540288196.118976,60,-1
104,1540288196.1709394,491,1
105,1540288196.1874754,60,-1
106,1540288196.194123,491,1
107,1540288196.210647,60,-1
108,1540288196.2598493,491,1
109,1540288196.2764933,60,-1
110,1540288196.3048074,491,1
