Serial number,time,size,direction
1,1540487787.6535718,95,1
2,1540487787.6696923,60,-1
3,1540487787.6699395,95,-1
4,1540487787.6714473,54,1
5,1540487791.279873,60,-1
6,1540487791.323153,54,1
7,1540487795.851043,77,1
8,1540487795.8685837,77,-1
9,1540487795.870187,66,1
10,1540487796.1432579,54,1
11,1540487801.2791455,290,1
12,1540487801.2898107,967,1
13,1540487801.3061552,60,-1
14,1540487801.3424895,1514,1
15,1540487801.3439913,631,1
16,1540487801.344009,491,1
17,1540487801.3440225,491,1
18,1540487801.3440378,491,1
19,1540487801.3535416,491,1
20,1540487801.3547573,491,1
21,1540487801.3576145,491,1
22,1540487801.3602402,60,-1
23,1540487801.360242,60,-1
24,1540487801.3709517,60,-1
25,1540487801.3923674,1514,1
26,1540487801.3926892,1514,1
27,1540487801.3937213,1514,1
28,1540487801.3937378,1514,1
29,1540487801.3937502,1514,1
30,1540487801.3937616,1514,1
31,1540487801.3949976,1005,1
32,1540487801.4087853,60,-1
33,1540487801.4100046,60,-1
34,1540487801.4102824,60,-1
35,1540487801.4103,891,1
36,1540487801.4111176,99,-1
37,1540487801.412295,54,1
38,1540487801.4265246,60,-1
39,1540487801.428359,491,1
40,1540487801.4313557,216,-1
41,1540487801.4731388,54,1
42,1540487801.48215,491,1
43,1540487801.4865575,60,-1
44,1540487801.498338,60,-1
45,1540487801.54552,491,1
46,1540487801.5617397,60,-1
47,1540487801.577968,491,1
48,1540487801.5941827,60,-1
49,1540487801.6417134,491,1
50,1540487801.657978,60,-1
51,1540487801.6729994,491,1
52,1540487801.6893308,60,-1
53,1540487801.7439027,491,1
54,1540487801.7602437,60,-1
55,1540487801.7802458,491,1
56,1540487801.7964947,60,-1
57,1540487801.8285806,491,1
58,1540487801.844862,60,-1
59,1540487801.8754842,491,1
60,1540487801.8917384,60,-1
61,1540487801.9449105,491,1
62,1540487801.9610953,60,-1
63,1540487801.9766705,491,1
64,1540487801.9928467,60,-1
65,1540487802.040003,491,1
66,1540487802.0561526,60,-1
67,1540487802.0705662,491,1
68,1540487802.0867398,60,-1
69,1540487802.1343665,491,1
70,1540487802.1505423,60,-1
71,1540487802.185021,491,1
72,1540487802.2012737,60,-1
73,1540487802.2388856,491,1
74,1540487802.255171,60,-1
75,1540487802.2793095,491,1
76,1540487802.2971275,60,-1
77,1540487802.3436446,491,1
78,1540487802.3598728,60,-1
79,1540487802.3739176,491,1
80,1540487802.3901274,60,-1
81,1540487802.4459443,491,1
82,1540487802.4622083,60,-1
83,1540487802.4703097,491,1
84,1540487802.4866722,60,-1
85,1540487802.5395324,491,1
86,1540487802.5557969,60,-1
87,1540487802.5835042,491,1
88,1540487802.5997615,60,-1
89,1540487802.6300533,491,1
90,1540487802.6463616,60,-1
91,1540487802.6771483,491,1
92,1540487802.693459,60,-1
93,1540487802.74987,491,1
94,1540487802.7662086,60,-1
95,1540487802.7734942,491,1
96,1540487802.7898438,60,-1
97,1540487802.8449872,491,1
98,1540487802.8613331,60,-1
99,1540487802.8695323,491,1
100,1540487802.88586,60,-1
101,1540487802.9411886,491,1
102,1540487802.9574168,60,-1
103,1540487802.9858582,491,1
104,1540487803.0020673,60,-1
105,1540487803.033768,491,1
106,1540487803.0499969,60,-1
107,1540487803.0812228,491,1
108,1540487803.0973907,60,-1
109,1540487803.1449494,491,1
110,1540487803.1611426,60,-1
111,1540487803.181858,491,1
112,1540487803.1980264,60,-1
113,1540487803.2394009,491,1
114,1540487803.2557192,60,-1
115,1540487803.2715914,491,1
116,1540487803.287879,60,-1
117,1540487803.340332,491,1
118,1540487803.3566418,60,-1
119,1540487803.3847294,491,1
120,1540487803.4010444,60,-1
121,1540487803.4095058,162,-1
122,1540487803.4369357,54,1
123,1540487803.4383032,491,1
124,1540487803.4850314,491,1
125,1540487803.4966097,60,-1
126,1540487803.5012512,60,-1
127,1540487803.5469928,491,1
128,1540487803.5632386,60,-1
129,1540487803.5787394,491,1
130,1540487803.594978,60,-1
131,1540487803.6418693,491,1
132,1540487803.658194,60,-1
133,1540487803.6581979,99,-1
134,1540487803.6741235,491,1
135,1540487803.7366247,60,-1
136,1540487803.7401185,491,1
137,1540487803.7563596,60,-1
138,1540487803.7961724,173,-1
139,1540487803.8212328,491,1
140,1540487803.8375676,60,-1
141,1540487803.8738952,491,1
142,1540487803.8901968,60,-1
143,1540487803.8906808,491,1
144,1540487803.906922,60,-1
145,1540487803.9662526,491,1
146,1540487803.9893742,60,-1
147,1540487804.0080833,491,1
148,1540487804.0244422,60,-1
149,1540487804.039911,491,1
150,1540487804.0563126,60,-1
151,1540487804.0875168,491,1
152,1540487804.1038563,60,-1
153,1540487804.1520822,491,1
154,1540487804.16842,60,-1
155,1540487804.1813166,491,1
156,1540487804.197576,60,-1
157,1540487804.240729,491,1
158,1540487804.257005,60,-1
159,1540487804.2862818,491,1
160,1540487804.3025784,60,-1
161,1540487804.3494787,491,1
162,1540487804.3658352,60,-1
163,1540487804.397979,491,1
164,1540487804.4143102,60,-1
165,1540487804.4625306,491,1
166,1540487804.4626942,407,-1
167,1540487804.4630845,1514,-1
168,1540487804.4633107,904,-1
169,1540487804.468817,491,1
170,1540487804.469177,1514,-1
171,1540487804.469182,1514,-1
172,1540487804.4691875,1267,-1
173,1540487804.4693668,595,-1
174,1540487804.4741411,54,1
175,1540487804.475237,54,1
176,1540487804.4778903,54,1
177,1540487804.4852345,60,-1
178,1540487804.5108528,54,1
179,1540487804.5347855,1514,-1
180,1540487804.5347886,1514,-1
181,1540487804.5349188,1267,-1
182,1540487804.535066,1514,-1
183,1540487804.5351222,1514,-1
184,1540487804.5352204,328,-1
185,1540487804.5352216,1030,-1
186,1540487804.5353873,1514,-1
187,1540487804.5354555,1514,-1
188,1540487804.5355601,1267,-1
189,1540487804.5356352,1514,-1
190,1540487804.5357656,847,-1
191,1540487804.5358264,1514,-1
192,1540487804.5360048,511,-1
193,1540487804.5372715,54,1
194,1540487804.5374308,54,1
195,1540487804.5375438,54,1
196,1540487804.5384927,54,1
197,1540487804.5386703,54,1
198,1540487804.5390449,54,1
199,1540487804.5399427,54,1
200,1540487804.5401144,54,1
201,1540487804.5401895,54,1
202,1540487804.5411444,54,1
203,1540487804.541344,54,1
204,1540487804.5420523,54,1
205,1540487804.544423,54,1
206,1540487804.5535836,601,-1
207,1540487804.561378,54,1
208,1540487804.5736067,491,1
209,1540487804.5792787,1514,-1
210,1540487804.5792828,1514,-1
211,1540487804.5796118,1267,-1
212,1540487804.5796137,1514,-1
213,1540487804.579615,1514,-1
214,1540487804.579618,334,-1
215,1540487804.579619,514,-1
216,1540487804.5797493,1514,-1
217,1540487804.579914,1514,-1
218,1540487804.5800984,1267,-1
219,1540487804.5801015,1514,-1
220,1540487804.5802946,1363,-1
221,1540487804.5802958,1420,-1
222,1540487804.5805423,126,-1
223,1540487804.5805452,1117,-1
224,1540487804.5828052,54,1
225,1540487804.5834966,491,1
226,1540487804.5846853,54,1
227,1540487804.5963771,54,1
228,1540487804.5965173,54,1
229,1540487804.5966787,54,1
230,1540487804.5967627,54,1
231,1540487804.5997727,60,-1
232,1540487804.6020734,1514,-1
233,1540487804.6021988,1514,-1
234,1540487804.6022565,1267,-1
235,1540487804.6023815,1514,-1
236,1540487804.6024568,1514,-1
237,1540487804.6024876,241,-1
238,1540487804.6024888,176,-1
239,1540487804.602655,1514,-1
240,1540487804.6027699,1514,-1
241,1540487804.602898,1267,-1
242,1540487804.6030288,1514,-1
243,1540487804.6030903,1514,-1
244,1540487804.6033065,334,-1
245,1540487804.6033077,939,-1
246,1540487804.6127295,1514,-1
247,1540487804.612868,1514,-1
248,1540487804.6129415,1514,-1
249,1540487804.6130643,1514,-1
250,1540487804.6130655,350,-1
251,1540487804.6503646,99,1
252,1540487804.6505685,99,1
253,1540487804.6506546,54,1
254,1540487804.6507335,54,1
255,1540487804.6508117,54,1
256,1540487804.650888,54,1
257,1540487804.6509662,54,1
258,1540487804.651115,54,1
259,1540487804.6511927,54,1
260,1540487804.651274,54,1
261,1540487804.651361,54,1
