Serial number,time,size,direction
1,1540486942.1287742,95,1
2,1540486942.1527328,60,-1
3,1540486942.1527352,95,-1
4,1540486942.154378,54,1
5,1540486947.7599945,288,1
6,1540486947.7655203,955,1
7,1540486947.7806613,1514,1
8,1540486947.781932,60,-1
9,1540486947.781961,1031,1
10,1540486947.7836304,491,1
11,1540486947.7857113,491,1
12,1540486947.7882235,491,1
13,1540486947.7926242,491,1
14,1540486947.7982306,60,-1
15,1540486947.7995195,491,1
16,1540486947.8019001,60,-1
17,1540486947.8031378,491,1
18,1540486947.8036544,1365,1
19,1540486947.804461,491,1
20,1540486947.8088882,60,-1
21,1540486947.8104157,1514,1
22,1540486947.8107128,342,1
23,1540486947.8193371,60,-1
24,1540486947.820666,60,-1
25,1540486947.82112,1514,1
26,1540486947.8217232,1514,1
27,1540486947.8223705,1514,1
28,1540486947.8238857,1355,1
29,1540486947.8273346,60,-1
30,1540486947.8291004,1514,1
31,1540486947.8306072,1216,1
32,1540486947.8386824,60,-1
33,1540486947.840446,1514,1
34,1540486947.8404877,60,-1
35,1540486947.840641,342,1
36,1540486947.8471868,60,-1
37,1540486947.8568912,60,-1
38,1540486947.8581862,491,1
39,1540486947.8985467,216,-1
40,1540486947.9058578,54,1
41,1540486947.9071453,491,1
42,1540486947.9661567,491,1
43,1540486947.9801302,60,-1
44,1540486947.9823058,60,-1
45,1540486948.0254114,491,1
46,1540486948.041599,60,-1
47,1540486948.0596812,491,1
48,1540486948.0758402,60,-1
49,1540486948.1245594,491,1
50,1540486948.1408494,60,-1
51,1540486948.144051,491,1
52,1540486948.1604574,60,-1
53,1540486948.2093258,491,1
54,1540486948.2255611,60,-1
55,1540486948.2542756,491,1
56,1540486948.2704763,60,-1
57,1540486948.307649,491,1
58,1540486948.3242612,60,-1
59,1540486948.3496935,491,1
60,1540486948.365877,60,-1
61,1540486948.425335,491,1
62,1540486948.4415886,60,-1
63,1540486948.4514763,491,1
64,1540486948.4679058,60,-1
65,1540486948.512666,491,1
66,1540486948.528946,60,-1
67,1540486948.5417645,491,1
68,1540486948.5580342,60,-1
69,1540486948.6147783,491,1
70,1540486948.631209,60,-1
71,1540486948.6748602,491,1
72,1540486948.6912034,60,-1
73,1540486948.7255487,491,1
74,1540486948.7418795,60,-1
75,1540486948.750037,491,1
76,1540486948.7663307,60,-1
77,1540486948.8219688,491,1
78,1540486948.8381698,60,-1
79,1540486948.8462207,491,1
80,1540486948.8623862,60,-1
81,1540486948.9088387,491,1
82,1540486948.9250467,60,-1
83,1540486948.9421055,491,1
84,1540486948.9583328,60,-1
85,1540486949.01156,491,1
86,1540486949.0278316,60,-1
87,1540486949.0599394,491,1
88,1540486949.0761724,60,-1
89,1540486949.1068716,491,1
90,1540486949.1231399,60,-1
91,1540486949.1542997,491,1
92,1540486949.170565,60,-1
93,1540486949.2178705,491,1
94,1540486949.234121,60,-1
95,1540486949.253038,491,1
96,1540486949.2692196,60,-1
97,1540486949.3854728,491,1
98,1540486949.3857164,491,1
99,1540486949.3936796,491,1
