Serial number,time,size,direction
1,1540293150.0783627,95,1
2,1540293150.0949733,60,-1
3,1540293150.0949755,95,-1
4,1540293150.1429787,54,1
5,1540293152.6632073,289,1
6,1540293152.6881897,1078,1
7,1540293152.6886034,823,1
8,1540293152.704839,60,-1
9,1540293152.7545698,60,-1
10,1540293152.7759295,1078,1
11,1540293152.7775893,1078,1
12,1540293152.7776213,1078,1
13,1540293152.777648,619,1
14,1540293152.7843049,491,1
15,1540293152.785778,491,1
16,1540293152.7865493,491,1
17,1540293152.7890353,491,1
18,1540293152.7906759,491,1
19,1540293152.7925432,60,-1
20,1540293152.7935226,491,1
21,1540293152.794187,60,-1
22,1540293152.7941897,60,-1
23,1540293152.7941914,60,-1
24,1540293152.7957036,491,1
25,1540293152.7991638,491,1
26,1540293152.8005514,491,1
27,1540293152.800807,60,-1
28,1540293152.8018682,491,1
29,1540293152.8022435,60,-1
30,1540293152.8030813,491,1
31,1540293152.803079,60,-1
32,1540293152.8049269,491,1
33,1540293152.8056076,60,-1
34,1540293152.8058708,491,1
35,1540293152.807183,60,-1
36,1540293152.8071847,99,-1
37,1540293152.8073542,491,1
38,1540293152.8090715,491,1
39,1540293152.8093607,54,1
40,1540293152.8123548,60,-1
41,1540293152.8133223,218,-1
42,1540293152.8170354,60,-1
43,1540293152.819599,60,-1
44,1540293152.8223825,60,-1
45,1540293152.8256052,60,-1
46,1540293152.8368542,1078,1
47,1540293152.8382835,1078,1
48,1540293152.838314,1078,1
49,1540293152.8397822,1078,1
50,1540293152.839812,328,1
51,1540293152.8412693,491,1
52,1540293152.842635,491,1
53,1540293152.8458798,491,1
54,1540293152.8473406,491,1
55,1540293152.8473685,491,1
56,1540293152.8548822,60,-1
57,1540293152.8563778,60,-1
58,1540293152.8592048,60,-1
59,1540293152.8597462,1078,1
60,1540293152.8616374,1078,1
61,1540293152.8616693,191,1
62,1540293152.8616922,491,1
63,1540293152.863877,60,-1
64,1540293152.8725653,491,1
65,1540293152.8763804,60,-1
66,1540293152.8782518,60,-1
67,1540293152.8891904,60,-1
68,1540293152.9389381,491,1
