Serial number,time,size,direction
1,1540285723.658104,77,1
2,1540285723.675465,77,-1
3,1540285723.687109,66,1
4,1540285731.9651263,283,1
5,1540285731.980895,1165,1
6,1540285731.9976342,60,-1
7,1540285732.009403,1291,1
8,1540285732.0110188,491,1
9,1540285732.011048,491,1
10,1540285732.0110722,928,1
11,1540285732.0110955,491,1
12,1540285732.027551,60,-1
13,1540285732.0277064,60,-1
14,1540285732.0287132,491,1
15,1540285732.037899,1514,1
16,1540285732.038929,1031,1
17,1540285732.0431023,491,1
18,1540285732.0437467,491,1
19,1540285732.044734,491,1
20,1540285732.0452535,60,-1
21,1540285732.0454197,491,1
22,1540285732.046467,491,1
23,1540285732.0477896,491,1
24,1540285732.0555856,60,-1
25,1540285732.0602684,60,-1
26,1540285732.0620248,60,-1
27,1540285732.0643125,60,-1
28,1540285732.0680726,1291,1
29,1540285732.0927165,491,1
30,1540285732.0931218,491,1
31,1540285732.0931513,491,1
32,1540285732.093176,491,1
33,1540285732.093965,491,1
34,1540285732.0993087,491,1
35,1540285732.10601,1514,1
36,1540285732.1074572,1031,1
37,1540285732.1092196,60,-1
38,1540285732.1109989,60,-1
39,1540285732.1177657,491,1
40,1540285732.122772,60,-1
41,1540285732.1342914,60,-1
42,1540285732.1585326,491,1
43,1540285732.20367,213,-1
44,1540285732.204775,491,1
45,1540285732.2062747,54,1
46,1540285732.2587242,491,1
47,1540285732.2688675,60,-1
48,1540285732.2752907,60,-1
49,1540285732.3045325,491,1
50,1540285732.321061,60,-1
51,1540285732.4212592,491,1
52,1540285732.4214368,491,1
53,1540285732.4378543,60,-1
54,1540285732.4379833,60,-1
55,1540285732.5353215,491,1
56,1540285732.5519478,60,-1
57,1540285732.5641494,491,1
58,1540285732.5654664,491,1
59,1540285732.5830083,60,-1
60,1540285732.6048384,491,1
61,1540285732.6215231,60,-1
62,1540285732.6613617,491,1
63,1540285732.6780374,60,-1
64,1540285732.6961787,491,1
65,1540285732.71282,60,-1
66,1540285732.7611504,491,1
67,1540285732.7777538,60,-1
68,1540285732.8090825,491,1
69,1540285732.8256495,60,-1
70,1540285732.8600864,491,1
71,1540285732.876696,60,-1
72,1540285732.897608,491,1
73,1540285732.91426,60,-1
74,1540285732.981315,491,1
75,1540285732.9980588,60,-1
76,1540285733.0038867,491,1
77,1540285733.0205016,60,-1
78,1540285733.0491717,491,1
79,1540285733.0657299,60,-1
80,1540285733.0981688,491,1
81,1540285733.1147132,60,-1
