Serial number,time,size,direction
1,0.0,287,1
2,0.000461,190,1
3,0.000499,1514,1
4,0.000532,1514,1
5,0.000549,1471,1
6,0.000567,132,1
7,0.000789,180,1
8,0.000806,1514,1
9,0.000844,176,1
10,0.016823,287,1
11,0.022043,79,1
12,0.040001,60,-1
13,0.04192,1514,1
14,0.042267,1514,1
15,0.046158,95,-1
16,0.046625,60,-1
17,0.046628,60,-1
18,0.04663,60,-1
19,0.046631,60,-1
20,0.046632,60,-1
21,0.050052,74,1
22,0.050434,1514,1
23,0.051718,224,1
24,0.056415,60,-1
25,0.080194,1514,1
26,0.081177,1514,1
27,0.081231,1514,1
28,0.081249,1514,1
29,0.08129,172,1
30,0.085486,60,-1
31,0.085488,60,-1
32,0.09118,60,-1
33,0.09193,66,-1
34,0.095428,172,1
35,0.095612,60,-1
36,0.095689,54,1
37,0.096403,312,1
38,0.114406,172,1
39,0.122179,60,-1
40,0.128363,60,-1
41,0.12872,60,-1
42,0.134836,60,-1
43,0.140333,60,-1
44,0.141848,172,1
45,0.142563,60,-1
46,0.142564,191,-1
47,0.143853,54,1
48,0.144298,105,1
49,0.154149,60,-1
50,0.162215,172,1
51,0.171641,146,-1
52,0.171643,92,-1
53,0.17645,54,1
54,0.178395,172,1
55,0.190287,172,1
56,0.20279,60,-1
57,0.224919,172,1
58,0.230349,60,-1
59,0.23635,60,-1
60,0.237615,765,1
61,0.238694,172,1
62,0.254828,172,1
63,0.273385,172,1
64,0.279015,60,-1
65,0.282335,60,-1
66,0.285796,419,-1
67,0.287754,85,1
68,0.28839,54,1
69,0.301531,172,1
70,0.324589,60,-1
71,0.331904,60,-1
72,0.33623,172,1
73,0.336467,172,1
74,0.337157,54,1
75,0.350408,172,1
76,0.375681,60,-1
77,0.38595,172,1
78,0.39015,60,-1
79,0.399707,172,1
80,0.413705,172,1
81,0.428159,172,1
82,0.446506,60,-1
83,0.462721,172,1
84,0.467713,60,-1
85,0.479817,172,1
86,0.50115,172,1
87,0.512039,172,1
88,0.522323,287,1
89,0.522929,190,1
90,0.523873,60,-1
91,0.524153,1514,1
92,0.524902,1514,1
93,0.524968,1174,1
94,0.525225,136,1
95,0.525814,92,1
96,0.539433,172,1
97,0.557076,60,-1
98,0.560831,172,1
99,0.569233,60,-1
100,0.569235,60,-1
101,0.574769,172,1
102,0.588644,172,1
103,0.60705,60,-1
104,0.628302,172,1
105,0.62863,60,-1
106,0.640135,172,1
107,0.658276,172,1
108,0.672027,172,1
109,0.679684,60,-1
110,0.699393,172,1
111,0.713338,60,-1
112,0.720775,172,1
113,0.734955,172,1
114,0.748894,172,1
115,0.762919,60,-1
116,0.783432,172,1
117,0.788689,60,-1
118,0.798373,172,1
119,0.812183,172,1
120,0.832343,172,1
121,0.842058,60,-1
122,0.860802,172,1
123,0.872386,60,-1
124,0.881598,172,1
125,0.890189,146,-1
126,0.890192,92,-1
127,0.895062,54,1
128,0.897031,172,1
129,0.909842,172,1
130,0.921279,60,-1
131,0.943373,172,1
132,0.949664,60,-1
133,0.957505,172,1
134,0.971856,172,1
135,0.991768,172,1
136,0.996865,60,-1
137,1.033914,172,1
138,1.034616,60,-1
139,1.040894,172,1
140,1.054665,172,1
141,1.068596,172,1
142,1.080557,60,-1
143,1.104289,172,1
144,1.10865,60,-1
145,1.118146,172,1
146,1.131837,172,1
147,1.153193,172,1
148,1.157987,60,-1
149,1.180219,172,1
150,1.193312,60,-1
151,1.201399,172,1
152,1.21576,172,1
153,1.229646,172,1
154,1.241345,60,-1
155,1.26574,172,1
156,1.268797,60,-1
157,1.279028,172,1
158,1.29301,172,1
159,1.313622,172,1
160,1.318917,60,-1
161,1.341942,172,1
162,1.353248,60,-1
163,1.355901,172,1
164,1.377018,172,1
165,1.391005,172,1
166,1.395706,60,-1
167,1.426003,172,1
168,1.432207,60,-1
169,1.439559,172,1
170,1.453898,172,1
171,1.467982,172,1
172,1.479542,60,-1
173,1.502864,172,1
174,1.508162,60,-1
175,1.517176,172,1
176,1.538079,172,1
177,1.553867,172,1
178,1.556816,60,-1
179,1.58019,172,1
180,1.594026,60,-1
181,1.600931,172,1
182,1.614944,172,1
183,1.62954,172,1
184,1.653412,60,-1
185,1.663328,172,1
186,1.668819,60,-1
187,1.677674,172,1
188,1.692714,172,1
189,1.717446,60,-1
190,1.736067,172,1
191,1.739624,172,1
192,1.760882,172,1
193,1.774682,172,1
194,1.775717,60,-1
195,1.788722,172,1
196,1.800395,60,-1
197,1.828012,172,1
198,1.828497,60,-1
199,1.840922,172,1
200,1.851906,172,1
201,1.872711,172,1
202,1.880803,60,-1
203,1.901341,172,1
204,1.913106,60,-1
205,1.921677,172,1
206,1.936174,172,1
207,1.949816,172,1
208,1.961282,60,-1
209,1.984829,172,1
210,1.989173,60,-1
211,1.999167,172,1
212,2.015022,172,1
213,2.033638,172,1
214,2.038857,60,-1
215,2.06182,172,1
216,2.073377,60,-1
217,2.07574,172,1
218,2.096528,172,1
219,2.110989,172,1
220,2.115593,60,-1
221,2.144376,172,1
222,2.151303,60,-1
223,2.158429,172,1
224,2.178585,172,1
225,2.19377,172,1
226,2.198132,60,-1
227,2.221087,172,1
228,2.233482,60,-1
229,2.23534,172,1
230,2.256577,172,1
231,2.269675,172,1
232,2.282999,60,-1
233,2.30579,172,1
234,2.309239,60,-1
235,2.318803,172,1
236,2.333015,172,1
237,2.354375,172,1
238,2.362053,60,-1
239,2.381992,172,1
240,2.395194,60,-1
241,2.396174,172,1
242,2.434079,172,1
243,2.434294,172,1
244,2.435765,60,-1
245,2.466606,172,1
246,2.47499,60,-1
247,2.480296,172,1
248,2.493938,172,1
249,2.507949,172,1
250,2.51983,60,-1
251,2.543121,172,1
252,2.547729,60,-1
253,2.557017,172,1
254,2.578899,172,1
255,2.592388,172,1
256,2.596581,60,-1
257,2.619963,172,1
258,2.633787,60,-1
259,2.643094,172,1
260,2.657565,172,1
261,2.670428,172,1
262,2.683084,60,-1
263,2.705595,172,1
264,2.709888,60,-1
265,2.718268,172,1
266,2.731864,172,1
267,2.75264,172,1
268,2.758131,60,-1
269,2.784204,172,1
270,2.792082,60,-1
271,2.804812,172,1
272,2.817708,172,1
273,2.830582,172,1
274,2.845386,60,-1
275,2.865454,172,1
276,2.870008,60,-1
277,2.884015,172,1
278,2.898126,172,1
279,2.914227,172,1
280,2.923467,60,-1
281,2.941927,172,1
282,2.956383,172,1
283,2.960362,60,-1
284,2.976528,172,1
285,2.990593,172,1
286,2.996384,60,-1
287,3.026174,172,1
288,3.035802,60,-1
289,3.039485,172,1
290,3.053534,172,1
291,3.069709,172,1
292,3.081017,60,-1
293,3.102751,172,1
294,3.112356,60,-1
295,3.136281,172,1
296,3.142044,172,1
297,3.145358,96,-1
298,3.152636,172,1
299,3.180478,172,1
300,3.193485,60,-1
301,3.201031,172,1
302,3.214586,172,1
303,3.227396,60,-1
304,3.228754,172,1
305,3.254516,60,-1
306,3.264001,172,1
307,3.277739,172,1
308,3.293587,172,1
309,3.303721,60,-1
310,3.313005,172,1
311,3.337256,60,-1
312,3.340449,172,1
313,3.361618,172,1
314,3.376279,172,1
315,3.384917,60,-1
316,3.38991,172,1
317,3.417526,60,-1
318,3.424273,172,1
319,3.438624,172,1
320,3.452324,172,1
321,3.46703,60,-1
322,3.473018,172,1
323,3.49231,60,-1
324,3.501855,172,1
325,3.522201,172,1
326,3.537626,172,1
327,3.541051,60,-1
328,3.553513,172,1
329,3.577278,60,-1
330,3.585028,172,1
331,3.603503,172,1
332,3.613173,172,1
333,3.624206,60,-1
334,3.633838,172,1
335,3.652976,60,-1
336,3.662738,172,1
337,3.676202,172,1
338,3.696657,172,1
339,3.70221,60,-1
340,3.710447,172,1
341,3.736658,60,-1
342,3.745923,172,1
343,3.759537,172,1
344,3.773478,172,1
345,3.785465,60,-1
346,3.788248,172,1
347,3.812858,60,-1
348,3.83069,172,1
349,3.836701,172,1
350,3.861746,172,1
351,3.870077,60,-1
352,3.872477,172,1
353,3.899412,172,1
354,3.901314,60,-1
355,3.921108,172,1
356,3.934791,172,1
357,3.939225,60,-1
358,3.948769,172,1
359,3.974957,60,-1
360,3.984189,172,1
361,3.997848,172,1
362,4.011551,172,1
363,4.023617,60,-1
364,4.033347,172,1
365,4.051764,60,-1
366,4.060514,172,1
367,4.081489,172,1
368,4.096117,172,1
369,4.100569,60,-1
370,4.110408,172,1
371,4.13554,60,-1
372,4.145911,172,1
373,4.161061,172,1
374,4.17495,172,1
375,4.185158,60,-1
376,4.19233,172,1
377,4.214881,60,-1
378,4.220809,172,1
379,4.241582,172,1
380,4.255642,172,1
381,4.261285,60,-1
382,4.270143,172,1
383,4.295664,60,-1
384,4.304825,172,1
