Serial number,time,size,direction
1,0.0,287,1
2,0.000302,190,1
3,0.006836,1514,1
4,0.007053,1514,1
5,0.007685,1151,1
6,0.00772,79,1
7,0.008288,132,1
8,0.00911,180,1
9,0.010268,1514,1
10,0.010421,168,1
11,0.022707,287,1
12,0.037928,60,-1
13,0.03941,95,-1
14,0.039579,1514,1
15,0.039917,1514,1
16,0.041918,74,1
17,0.042924,60,-1
18,0.044435,1365,1
19,0.049191,60,-1
20,0.049193,60,-1
21,0.049194,60,-1
22,0.049195,60,-1
23,0.053678,60,-1
24,0.060306,60,-1
25,0.078963,60,-1
26,0.084435,60,-1
27,0.084681,66,-1
28,0.086036,54,1
29,0.087519,312,1
30,0.099046,1514,1
31,0.100942,1514,1
32,0.100967,1514,1
33,0.100984,1392,1
34,0.118394,172,1
35,0.124379,60,-1
36,0.129063,60,-1
37,0.129314,191,-1
38,0.137648,60,-1
39,0.144717,60,-1
40,0.144718,60,-1
41,0.147533,172,1
42,0.147704,54,1
43,0.147862,105,1
44,0.154948,146,-1
45,0.155142,92,-1
46,0.15899,54,1
47,0.168116,172,1
48,0.181375,172,1
49,0.185475,60,-1
50,0.195524,172,1
51,0.219599,60,-1
52,0.230527,172,1
53,0.244378,172,1
54,0.248892,60,-1
55,0.250155,765,1
56,0.258248,172,1
57,0.268037,60,-1
58,0.278968,172,1
59,0.288254,60,-1
60,0.295175,419,-1
61,0.295995,60,-1
62,0.306667,172,1
63,0.307704,85,1
64,0.307944,54,1
65,0.327483,172,1
66,0.344655,60,-1
67,0.348952,60,-1
68,0.386585,172,1
69,0.386692,172,1
70,0.387717,54,1
71,0.393407,172,1
72,0.40757,172,1
73,0.411854,60,-1
74,0.419373,172,1
75,0.424123,60,-1
76,0.42467,60,-1
77,0.433976,60,-1
78,0.439402,172,1
79,0.445617,60,-1
80,0.456865,60,-1
81,0.468443,172,1
82,0.476658,60,-1
83,0.488219,172,1
84,0.502302,172,1
85,0.50657,60,-1
86,0.508145,642,1
87,0.508679,190,1
88,0.509785,1514,1
89,0.5101,1514,1
90,0.510331,854,1
91,0.518274,136,1
92,0.518852,92,1
93,0.519483,172,1
94,0.525618,60,-1
95,0.541567,60,-1
96,0.546914,60,-1
97,0.551334,172,1
98,0.553729,60,-1
99,0.557907,60,-1
100,0.558547,60,-1
101,0.568011,172,1
102,0.579625,172,1
103,0.589156,60,-1
104,0.594026,172,1
105,0.605684,60,-1
106,0.625079,60,-1
107,0.628609,172,1
108,0.631469,60,-1
109,0.639476,146,-1
110,0.639478,92,-1
111,0.643389,54,1
112,0.645016,172,1
113,0.663594,172,1
114,0.677571,172,1
115,0.693699,60,-1
116,0.706079,172,1
117,0.715282,60,-1
118,0.726852,172,1
119,0.740642,172,1
120,0.755414,172,1
121,0.764971,60,-1
122,0.789857,172,1
123,0.792819,60,-1
124,0.804089,172,1
125,0.821323,172,1
126,0.839396,172,1
127,0.841913,60,-1
128,0.866422,172,1
129,0.87799,60,-1
130,0.88833,172,1
131,0.901495,172,1
132,0.91654,172,1
133,0.926241,60,-1
134,0.95335,172,1
135,0.954444,60,-1
136,0.966683,172,1
137,0.978867,172,1
138,1.000017,172,1
139,1.004299,60,-1
140,1.027707,172,1
141,1.037663,60,-1
142,1.065228,172,1
143,1.065392,172,1
144,1.077148,172,1
145,1.10406,60,-1
146,1.104782,96,-1
147,1.111446,172,1
148,1.125701,172,1
149,1.139814,172,1
150,1.148833,60,-1
151,1.153582,172,1
152,1.178119,60,-1
153,1.189677,172,1
154,1.202806,172,1
155,1.223454,172,1
156,1.22722,60,-1
157,1.238051,172,1
158,1.260728,60,-1
159,1.272211,172,1
160,1.28636,172,1
161,1.299083,172,1
162,1.309572,60,-1
163,1.319633,172,1
164,1.339038,60,-1
165,1.350604,172,1
166,1.369971,172,1
167,1.382614,172,1
168,1.388827,60,-1
169,1.396583,172,1
170,1.420057,60,-1
171,1.432136,172,1
172,1.445486,172,1
173,1.460285,172,1
174,1.469683,60,-1
175,1.474128,172,1
176,1.497661,60,-1
177,1.509592,172,1
178,1.522557,172,1
179,1.545331,172,1
180,1.547214,60,-1
181,1.558474,172,1
182,1.583388,60,-1
183,1.592444,172,1
184,1.606603,172,1
185,1.620373,172,1
186,1.630561,60,-1
187,1.634127,172,1
188,1.657396,60,-1
189,1.669576,172,1
190,1.683524,172,1
191,1.704416,172,1
192,1.707423,60,-1
193,1.718959,172,1
194,1.742609,60,-1
195,1.753367,172,1
196,1.767982,172,1
197,1.781986,172,1
198,1.791336,60,-1
199,1.795803,172,1
200,1.820565,60,-1
201,1.830374,172,1
202,1.845138,172,1
203,1.859089,172,1
204,1.868205,60,-1
205,1.879446,172,1
206,1.896802,60,-1
207,1.908684,172,1
208,1.928471,172,1
209,1.942451,172,1
