Serial number,time,size,direction
1,0.0,286,1
2,0.000589,190,1
3,0.000629,1514,1
4,0.000678,1514,1
5,0.000717,1514,1
6,0.000759,722,1
7,0.000793,132,1
8,0.000965,180,1
9,0.001297,1514,1
10,0.001344,1514,1
11,0.001375,79,1
12,0.039551,60,-1
13,0.039809,60,-1
14,0.040423,60,-1
15,0.040425,60,-1
16,0.04127,127,-1
17,0.044986,1514,1
18,0.045887,60,-1
19,0.046511,1514,1
20,0.046578,1286,1
21,0.046612,74,1
22,0.046907,60,-1
23,0.046911,60,-1
24,0.046913,60,-1
25,0.046914,60,-1
26,0.06887,1514,1
27,0.069789,1514,1
28,0.06984,1514,1
29,0.069872,1514,1
30,0.069902,92,1
31,0.083938,172,1
32,0.086704,60,-1
33,0.087053,60,-1
34,0.087055,60,-1
35,0.087494,96,-1
36,0.08824,66,-1
37,0.089938,54,1
38,0.091124,312,1
39,0.104735,172,1
40,0.112851,60,-1
41,0.113084,60,-1
42,0.119027,172,1
43,0.129732,60,-1
44,0.130709,60,-1
45,0.130711,191,-1
46,0.132571,54,1
47,0.133459,172,1
48,0.13375,105,1
49,0.139732,60,-1
50,0.15686,146,-1
51,0.156865,92,-1
52,0.160761,54,1
53,0.166972,172,1
54,0.173568,60,-1
55,0.18063,172,1
56,0.194909,172,1
57,0.215625,172,1
58,0.219694,60,-1
59,0.227324,60,-1
60,0.22859,768,1
61,0.243439,172,1
62,0.258607,60,-1
63,0.259108,172,1
64,0.271092,60,-1
65,0.278392,172,1
66,0.279819,417,-1
67,0.281352,85,1
68,0.281439,54,1
69,0.292402,172,1
70,0.294291,60,-1
71,0.32126,60,-1
72,0.322523,54,1
73,0.327122,172,1
74,0.32768,60,-1
75,0.34089,172,1
76,0.35499,172,1
77,0.376179,172,1
78,0.376237,60,-1
79,0.403456,172,1
80,0.416425,60,-1
81,0.417465,172,1
82,0.438601,172,1
83,0.452333,172,1
84,0.456864,60,-1
85,0.490561,60,-1
86,0.492388,172,1
87,0.502888,287,1
88,0.506504,190,1
89,0.508004,1514,1
90,0.508324,1514,1
91,0.508923,1514,1
92,0.508949,425,1
93,0.508963,136,1
94,0.517724,92,1
95,0.51794,172,1
96,0.541682,60,-1
97,0.542904,290,1
98,0.547903,60,-1
99,0.548294,60,-1
100,0.552905,60,-1
101,0.56634,172,1
102,0.578409,172,1
103,0.579041,60,-1
104,0.599375,172,1
105,0.613968,172,1
106,0.614878,60,-1
107,0.639336,146,-1
108,0.639715,92,-1
109,0.641017,172,1
110,0.66234,172,1
111,0.677469,60,-1
112,0.702123,172,1
113,0.70227,172,1
114,0.725381,172,1
115,0.737059,60,-1
116,0.739698,172,1
117,0.753708,172,1
118,0.764619,60,-1
119,0.77457,172,1
120,0.790049,60,-1
121,0.802683,172,1
122,0.823551,172,1
123,0.83741,172,1
124,0.838792,60,-1
125,0.851835,172,1
126,0.873731,60,-1
127,0.886299,172,1
128,0.900512,172,1
129,0.915004,172,1
130,0.92124,60,-1
131,0.934836,172,1
132,0.952738,60,-1
133,0.962585,172,1
134,0.987107,172,1
135,0.997503,172,1
136,0.9987,60,-1
137,1.011507,172,1
138,1.03734,60,-1
139,1.046715,172,1
140,1.060526,172,1
141,1.074569,172,1
142,1.081444,60,-1
143,1.097876,172,1
144,1.110166,60,-1
145,1.123563,172,1
146,1.137831,172,1
147,1.159026,172,1
148,1.169479,60,-1
149,1.172926,172,1
150,1.194904,60,-1
151,1.207623,172,1
152,1.221104,172,1
153,1.237234,172,1
154,1.245547,60,-1
155,1.255356,172,1
156,1.277011,60,-1
157,1.283871,172,1
158,1.297694,172,1
159,1.318314,172,1
160,1.319806,60,-1
161,1.332875,172,1
162,1.361591,60,-1
163,1.367764,172,1
164,1.398625,172,1
165,1.398789,172,1
166,1.402896,60,-1
167,1.415381,172,1
168,1.438009,60,-1
169,1.443427,172,1
170,1.457713,172,1
171,1.47828,172,1
172,1.48152,60,-1
173,1.4924,172,1
174,1.513696,60,-1
175,1.527713,172,1
176,1.541409,172,1
177,1.555399,172,1
178,1.563023,60,-1
179,1.57245,172,1
180,1.594257,60,-1
181,1.604478,172,1
182,1.618349,172,1
183,1.640274,172,1
184,1.640947,60,-1
185,1.653388,172,1
186,1.676609,60,-1
187,1.687769,172,1
188,1.702786,172,1
189,1.716398,172,1
190,1.722863,60,-1
191,1.730526,172,1
192,1.751876,60,-1
193,1.764975,172,1
194,1.778076,172,1
195,1.79826,172,1
196,1.801162,60,-1
197,1.812627,172,1
198,1.833583,60,-1
199,1.847626,172,1
200,1.861416,172,1
201,1.875662,172,1
202,1.882281,60,-1
203,1.889527,172,1
204,1.911292,60,-1
205,1.924606,172,1
206,1.938876,172,1
207,1.959757,172,1
208,1.961202,60,-1
209,1.973768,172,1
210,1.99453,60,-1
211,2.002117,172,1
212,2.023246,172,1
213,2.036985,172,1
214,2.037109,60,-1
215,2.051599,172,1
216,2.072844,60,-1
217,2.102123,172,1
218,2.102321,172,1
219,2.113997,172,1
220,2.131129,60,-1
221,2.134715,172,1
222,2.137502,60,-1
223,2.14922,60,-1
224,2.16282,172,1
225,2.170339,60,-1
226,2.183233,172,1
227,2.196847,172,1
228,2.198327,60,-1
229,2.210831,172,1
230,2.218611,60,-1
231,2.231277,60,-1
232,2.246098,60,-1
233,2.248368,172,1
234,2.259932,172,1
235,2.273699,172,1
236,2.283608,60,-1
237,2.29528,172,1
238,2.295683,60,-1
239,2.310686,60,-1
240,2.32242,172,1
241,2.329697,60,-1
242,2.343441,172,1
243,2.357334,60,-1
244,2.357676,172,1
245,2.371795,172,1
246,2.380691,60,-1
247,2.392794,60,-1
248,2.407604,172,1
249,2.415565,60,-1
250,2.422308,172,1
251,2.422744,434,-1
252,2.43352,136,1
253,2.43782,92,1
254,2.438282,697,-1
255,2.445461,74,1
256,2.460039,60,-1
257,2.475734,60,-1
258,2.482678,54,1
259,2.485525,66,-1
260,2.486737,54,1
261,2.488303,312,1
262,2.530419,60,-1
263,2.53335,191,-1
264,2.533351,60,-1
265,2.535382,54,1
266,2.537596,105,1
267,2.537801,54,1
268,2.623963,60,-1
269,2.628648,808,1
270,2.672708,60,-1
271,2.680322,417,-1
272,2.682602,85,1
273,2.682861,54,1
274,2.706222,460,-1
275,2.707906,54,1
276,2.724051,60,-1
277,2.725941,74,1
278,2.726111,54,1
279,2.728683,60,-1
280,2.761686,66,-1
281,2.762942,54,1
282,2.769731,312,1
283,2.801786,60,-1
284,2.807051,60,-1
285,2.807053,191,-1
286,2.80868,54,1
287,2.809058,105,1
288,2.880781,1514,-1
289,2.881036,1514,-1
290,2.881142,1514,-1
291,2.881267,1514,-1
292,2.881461,1514,-1
293,2.881627,1514,-1
294,2.881731,1514,-1
295,2.881856,1514,-1
296,2.882065,1514,-1
297,2.88228,1514,-1
298,2.885895,54,1
299,2.892821,54,1
300,2.892995,54,1
301,2.893157,54,1
302,2.893315,54,1
303,2.893475,54,1
304,2.893556,54,1
305,2.89373,54,1
306,2.893812,54,1
307,2.893892,54,1
308,2.894853,60,-1
309,2.901719,782,1
310,2.921558,1514,-1
311,2.921868,1514,-1
312,2.923745,54,1
313,2.924036,54,1
314,2.929923,1514,-1
315,2.930097,1514,-1
316,2.930221,1514,-1
317,2.930411,1514,-1
318,2.930536,1514,-1
319,2.930753,1514,-1
320,2.930889,1514,-1
321,2.931075,1514,-1
322,2.931225,1514,-1
323,2.931415,1514,-1
324,2.931548,1514,-1
325,2.931745,1514,-1
326,2.932854,54,1
327,2.933131,54,1
328,2.93326,54,1
329,2.934142,54,1
330,2.934327,1514,-1
331,2.934547,1514,-1
332,2.934898,1514,-1
333,2.93536,54,1
334,2.93621,54,1
335,2.937869,54,1
336,2.939246,54,1
337,2.939498,96,1
338,2.939619,54,1
339,2.940191,60,-1
340,2.94584,417,-1
341,2.954916,74,1
342,2.95509,85,1
343,2.955225,54,1
344,2.959541,1514,-1
345,2.969175,1514,-1
346,2.969346,1514,-1
347,2.969544,1514,-1
348,2.969843,1514,-1
349,2.972803,54,1
350,2.973306,54,1
351,2.973725,1514,-1
352,2.974037,1514,-1
353,2.974277,1514,-1
354,2.974426,1514,-1
355,2.974586,1514,-1
356,2.974761,1514,-1
357,2.974963,1514,-1
358,2.975373,1514,-1
359,2.978798,1514,-1
360,2.978958,1514,-1
361,2.979141,1514,-1
362,2.979266,1514,-1
363,2.979474,1514,-1
364,2.979721,1514,-1
365,2.980142,54,1
366,2.980275,54,1
367,2.980395,54,1
368,2.980515,54,1
369,2.981184,54,1
370,2.981432,54,1
371,2.982557,54,1
372,2.984043,96,1
373,2.99594,60,-1
374,2.996852,66,-1
375,2.997454,54,1
376,2.998084,54,1
377,2.99959,312,1
378,3.017314,1514,-1
379,3.017495,1514,-1
380,3.017728,1514,-1
381,3.017993,1514,-1
382,3.020215,54,1
383,3.020351,54,1
384,3.022277,929,-1
385,3.039272,60,-1
386,3.040203,60,-1
387,3.040514,191,-1
388,3.042379,54,1
389,3.042737,105,1
390,3.054247,286,1
391,3.05582,190,1
392,3.057311,1514,1
393,3.057376,1514,1
394,3.057446,1514,1
395,3.057507,421,1
396,3.057584,136,1
397,3.057833,92,1
398,3.072513,60,-1
399,3.089709,60,-1
400,3.096519,60,-1
401,3.096524,60,-1
402,3.096882,60,-1
403,3.097296,60,-1
404,3.097298,60,-1
405,3.100059,60,-1
406,3.126574,60,-1
407,3.128551,786,1
408,3.170363,60,-1
409,3.171839,287,1
410,3.172145,190,1
411,3.172743,1514,1
412,3.172808,1514,1
413,3.172873,1514,1
414,3.172945,426,1
415,3.17311,136,1
416,3.173245,92,1
417,3.174504,417,-1
418,3.177964,85,1
419,3.178174,54,1
420,3.190572,288,1
421,3.195147,190,1
422,3.196082,146,-1
423,3.196084,92,-1
424,3.201954,54,1
425,3.209049,60,-1
426,3.211835,1514,1
427,3.213332,1514,1
428,3.216885,60,-1
429,3.218707,60,-1
430,3.218955,60,-1
431,3.219146,1514,1
432,3.219457,60,-1
433,3.21946,60,-1
434,3.220106,542,1
435,3.221282,54,1
436,3.234383,60,-1
437,3.234385,60,-1
438,3.258302,60,-1
439,3.259642,60,-1
440,3.260465,96,-1
441,3.267697,475,-1
442,3.272054,54,1
443,3.274129,74,1
444,3.311049,146,-1
445,3.312479,92,-1
446,3.315302,66,-1
447,3.315304,146,-1
448,3.315305,92,-1
449,3.316068,54,1
450,3.317206,54,1
451,3.318348,312,1
452,3.318636,54,1
453,3.332054,146,-1
454,3.332056,92,-1
455,3.333844,54,1
456,3.356845,60,-1
457,3.358592,60,-1
458,3.358593,191,-1
459,3.360239,54,1
460,3.36071,105,1
461,3.450803,60,-1
462,3.455319,798,1
463,3.498099,60,-1
464,3.500848,417,-1
465,3.503229,85,1
466,3.503377,54,1
