Serial number,time,size,direction
1,0.0,288,1
2,0.000205,190,1
3,0.00053,1514,1
4,0.000554,1514,1
5,0.000571,1514,1
6,0.000712,703,1
7,0.000731,132,1
8,0.035091,79,1
9,0.041399,60,-1
10,0.043002,1514,1
11,0.048393,60,-1
12,0.048394,60,-1
13,0.048396,60,-1
14,0.048397,60,-1
15,0.052736,1514,1
16,0.05305,1514,1
17,0.054652,1514,1
18,0.054673,1358,1
19,0.063247,127,-1
20,0.068237,74,1
21,0.085893,60,-1
22,0.095272,60,-1
23,0.102854,60,-1
24,0.102856,60,-1
25,0.103581,96,-1
26,0.1044,66,-1
27,0.10672,54,1
28,0.108426,312,1
29,0.122011,1514,1
30,0.122234,1514,1
31,0.122472,1514,1
32,0.122832,1514,1
33,0.122853,92,1
34,0.148476,60,-1
35,0.150673,60,-1
36,0.15123,191,-1
37,0.152636,54,1
38,0.154629,105,1
39,0.157224,172,1
40,0.16944,60,-1
41,0.169966,60,-1
42,0.170996,172,1
43,0.175475,146,-1
44,0.175476,92,-1
45,0.178998,54,1
46,0.191783,172,1
47,0.207328,172,1
48,0.215865,60,-1
49,0.23454,172,1
50,0.23688,60,-1
51,0.23822,763,1
52,0.250834,60,-1
53,0.254282,172,1
54,0.268534,172,1
55,0.280034,60,-1
56,0.282593,172,1
57,0.284472,417,-1
58,0.286115,85,1
59,0.286331,54,1
60,0.29705,60,-1
61,0.317142,172,1
62,0.322451,60,-1
63,0.325322,60,-1
64,0.326722,54,1
65,0.331198,172,1
66,0.34553,172,1
67,0.366083,172,1
68,0.372296,60,-1
69,0.394504,172,1
70,0.410447,60,-1
71,0.415354,172,1
72,0.429451,172,1
73,0.443367,172,1
74,0.458502,60,-1
75,0.487696,60,-1
76,0.499208,172,1
77,0.499375,172,1
78,0.506675,172,1
79,0.528507,172,1
80,0.540251,287,1
81,0.541037,190,1
82,0.542693,60,-1
83,0.542854,1514,1
84,0.545474,1514,1
85,0.545803,1514,1
86,0.569767,60,-1
87,0.571125,762,1
88,0.586636,60,-1
89,0.590552,172,1
90,0.593191,60,-1
91,0.603307,172,1
92,0.631004,60,-1
93,0.638598,172,1
94,0.652152,172,1
95,0.666244,172,1
