Serial number,time,size,direction
1,0.0,288,1
2,0.00029,190,1
3,0.003456,79,1
4,0.005263,1514,1
5,0.007021,1514,1
6,0.007162,1279,1
7,0.0076,132,1
8,0.008379,180,1
9,0.011009,1514,1
10,0.0285,95,-1
11,0.037912,74,1
12,0.038152,60,-1
13,0.041383,1514,1
14,0.042588,60,-1
15,0.050988,60,-1
16,0.050992,60,-1
17,0.050994,60,-1
18,0.050996,60,-1
19,0.05234,60,-1
20,0.061239,1514,1
21,0.06469,1514,1
22,0.065086,354,1
23,0.077634,66,-1
24,0.08144,60,-1
25,0.100257,60,-1
26,0.106223,60,-1
27,0.172329,146,-1
28,0.172331,92,-1
29,0.17658,1514,1
30,0.180174,1514,1
31,0.180996,1514,1
32,0.181039,1514,1
33,0.181072,54,1
34,0.181365,312,1
35,0.181399,446,1
36,0.181476,172,1
37,0.19781,54,1
38,0.216131,60,-1
39,0.222368,60,-1
40,0.22237,60,-1
41,0.22269,60,-1
42,0.222692,60,-1
43,0.223739,60,-1
44,0.22637,60,-1
45,0.226653,191,-1
46,0.311386,172,1
47,0.311655,172,1
48,0.311831,408,1
49,0.312009,172,1
50,0.312175,54,1
51,0.312327,105,1
52,0.330811,172,1
53,0.344409,172,1
54,0.34894,60,-1
55,0.354024,60,-1
56,0.368814,60,-1
57,0.380006,172,1
58,0.382237,60,-1
59,0.399208,60,-1
60,0.403882,172,1
61,0.417472,60,-1
62,0.437283,290,1
63,0.438286,763,1
64,0.441762,60,-1
65,0.456742,172,1
66,0.467684,172,1
67,0.483234,60,-1
68,0.486597,172,1
69,0.490556,60,-1
70,0.496041,60,-1
71,0.500049,419,-1
72,0.505723,60,-1
73,0.508454,172,1
74,0.508721,286,1
75,0.508741,85,1
76,0.508834,54,1
77,0.514314,190,1
78,0.515288,1514,1
79,0.516226,1514,1
80,0.516435,982,1
81,0.516455,136,1
82,0.524149,60,-1
83,0.545995,60,-1
84,0.551362,60,-1
85,0.555027,60,-1
86,0.558147,60,-1
87,0.558474,60,-1
88,0.620774,682,1
89,0.62094,54,1
90,0.62616,172,1
91,0.640724,172,1
92,0.648007,146,-1
93,0.648009,92,-1
94,0.652079,54,1
95,0.659668,60,-1
96,0.664543,60,-1
97,0.680856,60,-1
98,0.758408,172,1
99,0.758641,172,1
100,0.758884,172,1
101,0.759025,172,1
102,0.759122,172,1
103,0.775766,172,1
104,0.78771,172,1
105,0.796339,60,-1
106,0.800779,60,-1
107,0.801841,172,1
108,0.815132,60,-1
109,0.823548,172,1
110,0.825551,60,-1
111,0.839131,60,-1
112,0.856112,172,1
113,0.860702,60,-1
114,0.86525,172,1
115,0.886821,172,1
116,0.894324,60,-1
117,0.899444,172,1
118,0.90346,60,-1
119,0.92443,60,-1
120,0.936579,172,1
121,0.937462,60,-1
122,0.948173,172,1
123,0.962732,172,1
124,0.974355,60,-1
125,0.976201,172,1
126,0.986521,60,-1
127,1.000495,60,-1
128,1.01639,172,1
129,1.024112,60,-1
130,1.025272,172,1
131,1.039386,172,1
132,1.05438,60,-1
133,1.061476,172,1
134,1.062271,60,-1
135,1.077267,60,-1
136,1.095921,172,1
137,1.099379,60,-1
138,1.110459,172,1
139,1.125024,172,1
140,1.134318,60,-1
141,1.139341,172,1
142,1.14788,60,-1
143,1.162322,60,-1
144,1.176937,60,-1
145,1.182287,172,1
146,1.186295,172,1
147,1.206349,172,1
148,1.22027,60,-1
149,1.220371,172,1
150,1.225556,60,-1
151,1.244629,60,-1
152,1.258022,60,-1
153,1.260993,172,1
154,1.269845,172,1
155,1.283158,172,1
156,1.297947,172,1
157,1.298115,60,-1
158,1.308208,60,-1
159,1.320483,60,-1
160,1.335326,60,-1
161,1.336613,172,1
162,1.346788,172,1
163,1.374398,60,-1
164,1.384028,60,-1
165,1.389551,172,1
166,1.389727,172,1
167,1.41569,172,1
168,1.423487,172,1
169,1.427569,60,-1
170,1.444257,172,1
171,1.45349,60,-1
172,1.4583,172,1
173,1.461088,60,-1
174,1.488993,60,-1
175,1.495779,60,-1
176,1.502795,172,1
177,1.507241,172,1
178,1.521078,172,1
179,1.540844,60,-1
180,1.542804,172,1
181,1.545762,60,-1
182,1.558893,60,-1
183,1.577071,172,1
184,1.579758,60,-1
185,1.584937,172,1
186,1.60574,172,1
187,1.615182,60,-1
188,1.619195,172,1
189,1.62239,60,-1
190,1.643528,60,-1
191,1.656677,60,-1
192,1.66098,172,1
193,1.668323,172,1
194,1.682116,172,1
195,1.696283,172,1
196,1.698164,60,-1
197,1.705508,60,-1
198,1.720101,60,-1
199,1.733259,60,-1
200,1.735648,172,1
201,1.746042,172,1
202,1.762633,172,1
203,1.773412,60,-1
204,1.783905,60,-1
205,1.784461,172,1
206,1.800106,60,-1
207,1.815638,172,1
208,1.822699,60,-1
209,1.829143,172,1
210,1.843755,172,1
211,1.854226,60,-1
212,1.857751,172,1
213,1.866431,60,-1
214,1.881772,60,-1
215,1.895153,60,-1
216,1.901229,172,1
217,1.907894,172,1
218,1.920384,172,1
219,1.939348,60,-1
220,1.941215,172,1
221,1.946146,60,-1
222,1.958395,60,-1
223,1.976178,172,1
224,1.979401,60,-1
225,1.983214,172,1
226,2.00644,172,1
227,2.015543,60,-1
228,2.020973,172,1
229,2.021556,60,-1
230,2.044098,60,-1
231,2.058295,60,-1
232,2.088535,172,1
233,2.088742,172,1
234,2.088856,172,1
235,2.102425,172,1
236,2.135635,172,1
237,2.135815,60,-1
238,2.144717,172,1
239,2.150526,60,-1
240,2.165388,172,1
241,2.172636,60,-1
242,2.179348,172,1
243,2.182443,60,-1
244,2.206285,60,-1
245,2.215645,172,1
246,2.224835,60,-1
247,2.230666,172,1
248,2.244278,172,1
249,2.253792,60,-1
250,2.265633,172,1
251,2.267766,60,-1
252,2.281465,60,-1
253,2.295981,172,1
254,2.304303,172,1
255,2.305449,60,-1
256,2.324794,172,1
257,2.334157,60,-1
258,2.338186,172,1
259,2.341251,60,-1
260,2.362804,60,-1
261,2.376002,60,-1
262,2.382569,172,1
