Serial number,time,size,direction
1,0.0,287,1
2,0.000165,190,1
3,0.000536,1514,1
4,0.000575,1514,1
5,0.000616,1514,1
6,0.000659,837,1
7,0.000684,132,1
8,0.00079,180,1
9,0.005177,79,1
10,0.032513,127,-1
11,0.038671,60,-1
12,0.0388,60,-1
13,0.039609,60,-1
14,0.03961,60,-1
15,0.039801,60,-1
16,0.040828,74,1
17,0.041294,1514,1
18,0.042236,1514,1
19,0.04259,1514,1
20,0.043096,1514,1
21,0.043119,1384,1
22,0.064352,1514,1
23,0.066071,1514,1
24,0.06611,1514,1
25,0.085385,66,-1
26,0.08678,54,1
27,0.091648,60,-1
28,0.092098,60,-1
29,0.096189,312,1
30,0.09653,1514,1
31,0.097859,328,1
32,0.101601,60,-1
33,0.104784,172,1
34,0.106979,60,-1
35,0.125394,172,1
36,0.128618,60,-1
37,0.136059,60,-1
38,0.140322,60,-1
39,0.140631,191,-1
40,0.140632,60,-1
41,0.144119,54,1
42,0.146051,105,1
43,0.147615,60,-1
44,0.153479,172,1
45,0.162009,60,-1
46,0.164793,146,-1
47,0.164795,92,-1
48,0.166439,54,1
49,0.17495,172,1
50,0.187705,172,1
51,0.206657,172,1
52,0.21998,60,-1
53,0.232441,60,-1
54,0.235161,766,1
55,0.238206,172,1
56,0.240997,60,-1
57,0.250294,172,1
58,0.264408,172,1
59,0.278206,60,-1
60,0.285952,172,1
61,0.286103,417,-1
62,0.286724,60,-1
63,0.288305,85,1
64,0.288491,54,1
65,0.313304,172,1
66,0.322658,60,-1
67,0.331681,60,-1
68,0.33395,54,1
69,0.334375,172,1
70,0.349078,172,1
71,0.362635,172,1
72,0.370721,60,-1
73,0.401001,60,-1
74,0.484586,172,1
75,0.484801,172,1
76,0.484895,172,1
77,0.484993,172,1
78,0.485075,172,1
79,0.494735,172,1
80,0.508187,172,1
81,0.512868,287,1
82,0.521515,60,-1
83,0.543635,60,-1
84,0.591718,60,-1
85,0.642187,1514,1
86,0.642527,1514,1
87,0.642555,1514,1
88,0.642738,914,1
89,0.642758,172,1
90,0.642899,408,1
91,0.642916,172,1
92,0.648512,172,1
93,0.679791,60,-1
94,0.680797,60,-1
95,0.681742,96,-1
96,0.731845,60,-1
97,0.74885,644,1
98,0.761299,172,1
99,0.786006,60,-1
100,0.79648,172,1
101,0.796865,60,-1
102,0.809873,172,1
103,0.824099,172,1
104,0.83497,60,-1
105,0.846928,146,-1
106,0.846931,92,-1
107,0.860661,60,-1
108,0.866214,172,1
109,0.888585,172,1
110,0.925769,60,-1
111,0.928084,172,1
112,0.928245,172,1
113,0.928337,172,1
114,0.937313,54,1
115,0.95801,172,1
116,0.965458,60,-1
117,1.050729,60,-1
118,1.062391,172,1
119,1.06288,172,1
120,1.063078,172,1
121,1.063488,172,1
122,1.069834,172,1
123,1.083415,172,1
124,1.100431,60,-1
125,1.118913,172,1
126,1.128313,66,-1
127,1.128316,66,-1
128,1.128317,66,-1
129,1.131018,172,1
130,1.132685,172,1
131,1.154155,66,-1
132,1.170731,60,-1
133,1.17125,290,1
134,1.197001,172,1
135,1.208995,60,-1
136,1.210704,172,1
137,1.231737,172,1
138,1.234236,60,-1
139,1.246251,172,1
140,1.249411,60,-1
141,1.268297,60,-1
142,1.272213,172,1
143,1.284908,60,-1
144,1.293324,172,1
145,1.308166,172,1
146,1.308293,60,-1
147,1.32158,172,1
148,1.337702,60,-1
149,1.347394,60,-1
150,1.356862,172,1
151,1.358131,60,-1
152,1.371948,172,1
153,1.385809,172,1
154,1.392913,60,-1
155,1.405488,172,1
156,1.407168,60,-1
157,1.421739,60,-1
158,1.43399,172,1
159,1.44111,60,-1
