Serial number,time,size,direction
1,0.0,288,1
2,0.00031,190,1
3,0.003273,1514,1
4,0.004911,1514,1
5,0.004981,1514,1
6,0.005406,423,1
7,0.007011,258,1
8,0.007046,1514,1
9,0.007125,184,1
10,0.028355,288,1
11,0.038726,60,-1
12,0.039599,60,-1
13,0.041327,1514,1
14,0.042013,1514,1
15,0.043494,1514,1
16,0.043537,638,1
17,0.046857,60,-1
18,0.047036,60,-1
19,0.047039,60,-1
20,0.047041,60,-1
21,0.047042,60,-1
22,0.052587,79,1
23,0.064029,60,-1
24,0.076921,60,-1
25,0.078868,95,-1
26,0.084025,1514,1
27,0.084923,1514,1
28,0.084988,1514,1
29,0.085049,1514,1
30,0.085082,332,1
31,0.085192,60,-1
32,0.085194,60,-1
33,0.085269,74,1
34,0.103492,172,1
35,0.117208,172,1
36,0.120299,60,-1
37,0.126805,60,-1
38,0.126807,60,-1
39,0.126809,60,-1
40,0.127922,66,-1
41,0.130039,54,1
42,0.138347,280,1
43,0.138757,172,1
44,0.13915,60,-1
45,0.150775,145,-1
46,0.150778,92,-1
47,0.152339,172,1
48,0.153355,54,1
49,0.172487,60,-1
50,0.174779,60,-1
51,0.176118,60,-1
52,0.17762,1514,-1
53,0.177998,1514,-1
54,0.178315,1514,-1
55,0.178511,1023,-1
56,0.181643,54,1
57,0.181892,54,1
58,0.183488,54,1
59,0.184157,54,1
60,0.187582,172,1
61,0.199535,1023,-1
62,0.201756,66,1
63,0.205213,172,1
64,0.216238,172,1
65,0.226716,60,-1
66,0.228283,172,1
67,0.254205,180,1
68,0.255303,60,-1
69,0.266064,172,1
70,0.27837,172,1
71,0.290912,105,-1
72,0.293193,54,1
73,0.299023,172,1
74,0.299667,764,1
75,0.301384,60,-1
76,0.312782,172,1
77,0.335872,60,-1
78,0.347021,419,-1
79,0.347469,172,1
80,0.350288,85,1
81,0.350505,54,1
82,0.361124,172,1
83,0.374745,172,1
84,0.386173,60,-1
85,0.388263,60,-1
86,0.388424,172,1
87,0.390547,54,1
88,0.410191,60,-1
89,0.423474,172,1
90,0.437641,172,1
91,0.458453,172,1
92,0.458791,60,-1
93,0.4724,172,1
94,0.493279,60,-1
95,0.500508,172,1
96,0.507931,288,1
97,0.508483,190,1
98,0.5095,1514,1
99,0.510416,1514,1
100,0.510486,1514,1
101,0.510519,126,1
102,0.510679,136,1
103,0.510816,92,1
104,0.521287,172,1
105,0.535395,172,1
106,0.535801,60,-1
107,0.548811,60,-1
108,0.549109,60,-1
109,0.549113,60,-1
110,0.549129,60,-1
111,0.549984,96,-1
112,0.550514,172,1
113,0.571026,60,-1
114,0.584286,172,1
115,0.598225,172,1
116,0.612504,172,1
117,0.619276,60,-1
118,0.632576,172,1
119,0.64649,145,-1
120,0.646493,92,-1
121,0.667242,60,-1
122,0.679123,172,1
123,0.681211,172,1
124,0.695467,172,1
125,0.709526,172,1
126,0.718577,60,-1
127,0.744283,60,-1
128,0.744734,172,1
129,0.758473,172,1
130,0.772684,172,1
131,0.793235,60,-1
132,0.793647,172,1
133,0.821355,172,1
134,0.831742,60,-1
135,0.842332,172,1
136,0.856993,172,1
137,0.870724,172,1
138,0.877224,60,-1
139,0.906011,172,1
140,0.906809,60,-1
141,0.91942,172,1
142,0.934441,172,1
143,0.954674,172,1
144,0.955366,60,-1
145,0.982491,172,1
146,0.990169,60,-1
147,0.996142,172,1
148,1.017215,172,1
149,1.031206,60,-1
150,1.031582,172,1
151,1.066236,172,1
152,1.066615,60,-1
153,1.080119,172,1
154,1.095864,172,1
155,1.108339,172,1
156,1.114985,60,-1
157,1.143407,172,1
158,1.143603,60,-1
159,1.15727,172,1
160,1.178205,172,1
161,1.192243,60,-1
162,1.19369,172,1
163,1.220508,172,1
164,1.228611,60,-1
165,1.241364,172,1
166,1.255406,172,1
167,1.26953,172,1
168,1.276883,60,-1
169,1.304748,172,1
170,1.304971,60,-1
171,1.318263,172,1
172,1.339788,172,1
173,1.353315,60,-1
174,1.379096,172,1
175,1.382688,172,1
176,1.402838,172,1
177,1.414011,60,-1
178,1.415437,172,1
179,1.429142,172,1
180,1.438165,60,-1
181,1.464375,172,1
182,1.464543,60,-1
183,1.478209,172,1
184,1.49232,172,1
185,1.513337,60,-1
186,1.513717,172,1
187,1.541311,172,1
188,1.548528,60,-1
189,1.563258,172,1
190,1.581254,172,1
191,1.593329,172,1
192,1.59798,60,-1
193,1.625543,172,1
194,1.628328,60,-1
195,1.639121,172,1
196,1.653974,172,1
197,1.674204,172,1
198,1.674334,60,-1
199,1.704911,172,1
200,1.710027,60,-1
201,1.717907,172,1
202,1.7393,172,1
203,1.753045,60,-1
204,1.753403,172,1
205,1.785993,172,1
206,1.788483,60,-1
207,1.800013,172,1
208,1.814462,172,1
209,1.828182,172,1
210,1.834966,60,-1
211,1.863517,172,1
212,1.863663,60,-1
