Serial number,time,size,direction
1,0.0,286,1
2,0.004845,190,1
3,0.007309,1514,1
4,0.007355,1514,1
5,0.007389,1514,1
6,0.007421,1514,1
7,0.007454,280,1
8,0.013071,286,1
9,0.014635,190,1
10,0.015268,1514,1
11,0.015311,79,1
12,0.038191,60,-1
13,0.04027,1514,1
14,0.041924,1514,1
15,0.042701,95,-1
16,0.043065,60,-1
17,0.04538,87,1
18,0.045802,74,1
19,0.048757,60,-1
20,0.048759,60,-1
21,0.049486,60,-1
22,0.049487,60,-1
23,0.053976,60,-1
24,0.053979,60,-1
25,0.054239,60,-1
26,0.075817,1514,1
27,0.077622,1514,1
28,0.077685,1514,1
29,0.077748,1392,1
30,0.081837,60,-1
31,0.08184,60,-1
32,0.0862,66,-1
33,0.086202,60,-1
34,0.089604,172,1
35,0.089767,54,1
36,0.090814,312,1
37,0.114513,60,-1
38,0.11691,172,1
39,0.120937,60,-1
40,0.120939,60,-1
41,0.121765,96,-1
42,0.127473,60,-1
43,0.132154,60,-1
44,0.132393,191,-1
45,0.134019,54,1
46,0.134488,105,1
47,0.137475,172,1
48,0.151678,172,1
49,0.154887,60,-1
50,0.164495,146,-1
51,0.164498,92,-1
52,0.165466,172,1
53,0.166122,54,1
54,0.190385,60,-1
55,0.199839,172,1
56,0.213926,172,1
57,0.220977,60,-1
58,0.222606,765,1
59,0.22808,172,1
60,0.237866,60,-1
61,0.248844,172,1
62,0.260346,60,-1
63,0.265564,60,-1
64,0.26657,419,-1
65,0.268603,85,1
66,0.268754,54,1
67,0.27714,172,1
68,0.297691,172,1
69,0.308603,60,-1
70,0.311293,54,1
71,0.311569,172,1
72,0.317659,60,-1
73,0.324805,172,1
74,0.349028,60,-1
75,0.360014,172,1
76,0.374022,172,1
77,0.387816,172,1
78,0.397639,60,-1
79,0.409155,172,1
80,0.425505,60,-1
81,0.436571,172,1
82,0.457652,172,1
83,0.472111,172,1
84,0.476646,60,-1
85,0.485459,172,1
86,0.513185,60,-1
87,0.513447,285,1
88,0.517222,190,1
89,0.519179,1514,1
90,0.521908,1514,1
91,0.522001,1293,1
92,0.522234,172,1
93,0.534351,172,1
94,0.547549,172,1
95,0.551622,60,-1
96,0.562957,60,-1
97,0.562963,60,-1
98,0.572203,60,-1
99,0.581846,172,1
100,0.596996,172,1
101,0.617934,172,1
102,0.622788,60,-1
103,0.631937,172,1
104,0.646201,172,1
105,0.658672,60,-1
106,0.671875,146,-1
107,0.671878,92,-1
108,0.674029,54,1
109,0.681895,172,1
110,0.695546,172,1
111,0.709713,172,1
112,0.71973,60,-1
113,0.723533,172,1
114,0.757869,172,1
115,0.772006,172,1
116,0.775653,60,-1
117,0.792938,172,1
118,0.801072,60,-1
119,0.811667,172,1
120,0.830609,60,-1
121,0.845201,172,1
122,0.856233,172,1
123,0.869904,172,1
124,0.882598,60,-1
125,0.884364,172,1
126,0.907342,60,-1
127,0.918627,172,1
128,0.934439,172,1
129,0.956017,60,-1
130,0.956513,172,1
131,0.970017,172,1
132,0.996119,172,1
133,0.996241,60,-1
134,1.016852,172,1
135,1.030794,172,1
136,1.043458,60,-1
137,1.044691,172,1
138,1.071198,60,-1
139,1.079768,172,1
140,1.093849,172,1
141,1.107887,172,1
142,1.117819,60,-1
143,1.129342,172,1
144,1.145361,60,-1
145,1.156876,172,1
146,1.170981,172,1
147,1.192144,172,1
148,1.19487,60,-1
149,1.205767,172,1
150,1.230303,60,-1
151,1.241522,172,1
152,1.25793,172,1
153,1.281175,60,-1
154,1.281729,172,1
155,1.288775,172,1
156,1.317551,172,1
157,1.338284,60,-1
158,1.355481,60,-1
