Serial number,time,size,direction
1,0.0,287,1
2,0.032984,190,1
3,0.033125,79,1
4,0.033596,1514,1
5,0.033621,1514,1
6,0.03383,1514,1
7,0.033853,703,1
8,0.03387,132,1
9,0.034359,180,1
10,0.036112,1514,1
11,0.036132,1514,1
12,0.037608,60,-1
13,0.03934,1514,1
14,0.039669,1514,1
15,0.068333,127,-1
16,0.071167,74,1
17,0.073934,60,-1
18,0.074928,60,-1
19,0.077044,60,-1
20,0.077046,60,-1
21,0.077047,60,-1
22,0.077048,60,-1
23,0.077536,60,-1
24,0.07868,60,-1
25,0.108888,66,-1
26,0.166349,1514,1
27,0.167991,1514,1
28,0.168016,1514,1
29,0.168033,1514,1
30,0.168051,1514,1
31,0.168071,650,1
32,0.168378,54,1
33,0.169713,312,1
34,0.177426,172,1
35,0.191347,172,1
36,0.204514,60,-1
37,0.204524,96,-1
38,0.211236,60,-1
39,0.212414,60,-1
40,0.212633,60,-1
41,0.214119,60,-1
42,0.214383,191,-1
43,0.215818,54,1
44,0.216218,105,1
45,0.225457,172,1
46,0.228807,60,-1
47,0.239455,172,1
48,0.257133,172,1
49,0.276776,60,-1
50,0.280495,145,-1
51,0.280498,92,-1
52,0.280992,172,1
53,0.294317,60,-1
54,0.305012,172,1
55,0.318738,60,-1
56,0.34554,172,1
57,0.345687,172,1
58,0.351441,765,1
59,0.351584,54,1
60,0.352998,172,1
61,0.382455,60,-1
62,0.390274,172,1
63,0.390343,60,-1
64,0.395117,60,-1
65,0.397665,417,-1
66,0.476779,60,-1
67,0.48546,172,1
68,0.485677,172,1
69,0.485785,172,1
70,0.486108,288,1
71,0.486145,190,1
72,0.486173,1514,1
73,0.486197,1514,1
74,0.486423,1514,1
75,0.486455,526,1
76,0.486614,290,1
77,0.486635,85,1
78,0.486718,54,1
79,0.501029,172,1
80,0.512891,172,1
81,0.523758,60,-1
82,0.523761,60,-1
83,0.523763,60,-1
84,0.530751,60,-1
85,0.530757,60,-1
86,0.530758,60,-1
87,0.531575,60,-1
88,0.531577,60,-1
89,0.532241,60,-1
90,0.53346,54,1
91,0.537388,60,-1
92,0.540766,172,1
93,0.550257,60,-1
94,0.561887,172,1
95,0.575621,172,1
96,0.578308,60,-1
97,0.589474,172,1
98,0.598908,60,-1
99,0.613216,60,-1
100,0.624749,172,1
101,0.633237,145,-1
102,0.633239,92,-1
103,0.635435,54,1
104,0.639404,172,1
105,0.652645,172,1
106,0.662971,60,-1
107,0.673887,172,1
108,0.689492,60,-1
109,0.701585,172,1
110,0.722723,172,1
111,0.737006,172,1
112,0.737945,60,-1
113,0.751012,172,1
114,0.774374,60,-1
115,0.785858,172,1
116,0.800327,172,1
117,0.822486,60,-1
118,0.845661,172,1
119,0.846118,172,1
120,0.86341,172,1
121,0.876693,172,1
122,0.881922,60,-1
123,0.897619,172,1
124,0.901322,60,-1
125,0.916881,172,1
126,0.934099,60,-1
127,0.946667,172,1
128,0.960786,172,1
129,0.977011,172,1
130,0.986721,60,-1
131,0.988612,172,1
132,1.015723,60,-1
133,1.023604,172,1
134,1.037627,172,1
135,1.058716,172,1
136,1.063002,60,-1
137,1.072687,172,1
138,1.100991,172,1
139,1.101408,60,-1
140,1.121485,172,1
141,1.134561,172,1
142,1.142317,60,-1
143,1.14889,172,1
