Serial number,time,size,direction
1,0.0,288,1
2,0.000612,1514,1
3,0.000673,1514,1
4,0.00071,1287,1
5,0.00094,132,1
6,0.001216,1514,1
7,0.001257,270,1
8,0.033207,79,1
9,0.04104,60,-1
10,0.043733,1514,1
11,0.046901,66,-1
12,0.046903,66,-1
13,0.047062,60,-1
14,0.047064,60,-1
15,0.047271,66,-1
16,0.047724,60,-1
17,0.047726,60,-1
18,0.04887,96,-1
19,0.049066,1514,1
20,0.04952,1514,1
21,0.049568,138,1
22,0.058752,95,-1
23,0.063496,74,1
24,0.092151,60,-1
25,0.097386,54,1
26,0.100984,66,-1
27,0.119981,54,1
28,0.121324,312,1
29,0.124012,1514,1
30,0.126525,1514,1
31,0.12665,1514,1
32,0.126693,1514,1
33,0.126772,252,1
34,0.156305,172,1
35,0.158123,60,-1
36,0.160421,146,-1
37,0.160423,92,-1
38,0.162478,54,1
39,0.16268,54,1
40,0.163533,60,-1
41,0.163874,191,-1
42,0.165752,54,1
43,0.166395,105,1
44,0.170778,172,1
45,0.172049,60,-1
46,0.172512,60,-1
47,0.201344,172,1
48,0.201648,172,1
49,0.21302,60,-1
50,0.233179,172,1
51,0.241613,60,-1
52,0.24705,172,1
53,0.248384,60,-1
54,0.249899,766,1
55,0.273798,172,1
56,0.28223,172,1
57,0.295459,60,-1
58,0.297372,60,-1
59,0.305974,419,-1
60,0.308183,85,1
61,0.308596,54,1
62,0.316826,172,1
63,0.321892,60,-1
64,0.330862,172,1
65,0.3455,60,-1
66,0.350406,60,-1
67,0.358003,172,1
68,0.358213,54,1
69,0.360245,172,1
70,0.37067,60,-1
71,0.394055,172,1
72,0.402749,60,-1
73,0.408406,172,1
74,0.422668,172,1
75,0.442721,172,1
76,0.448822,60,-1
77,0.471164,172,1
78,0.482795,60,-1
79,0.491972,172,1
80,0.512705,172,1
81,0.520238,172,1
82,0.52802,289,1
83,0.529839,1514,1
84,0.529892,1514,1
85,0.531712,60,-1
86,0.533196,1110,1
87,0.554893,172,1
88,0.559541,60,-1
89,0.568995,172,1
90,0.576056,60,-1
91,0.594016,172,1
92,0.595074,60,-1
93,0.6041,172,1
94,0.633162,172,1
95,0.634363,60,-1
96,0.647294,172,1
97,0.657789,146,-1
98,0.657792,92,-1
99,0.660135,54,1
100,0.673104,172,1
101,0.681225,172,1
102,0.68804,60,-1
103,0.716177,172,1
104,0.721756,60,-1
105,0.729841,172,1
106,0.752537,172,1
107,0.758112,172,1
108,0.770905,60,-1
109,0.792622,172,1
110,0.798287,60,-1
111,0.806679,172,1
112,0.833726,172,1
113,0.840985,172,1
114,0.847105,60,-1
115,0.880587,60,-1
116,0.907859,172,1
117,0.908073,172,1
118,0.908158,172,1
119,0.924703,172,1
120,0.947786,60,-1
121,0.953054,172,1
122,0.964612,60,-1
123,0.966817,172,1
124,0.992497,172,1
125,1.003865,172,1
126,1.006824,60,-1
127,1.036713,172,1
128,1.044058,60,-1
129,1.050775,172,1
130,1.072517,172,1
131,1.079018,172,1
132,1.09047,60,-1
133,1.1137,172,1
134,1.119218,60,-1
135,1.128162,172,1
136,1.152622,172,1
137,1.162704,172,1
138,1.167644,60,-1
139,1.191161,172,1
140,1.20314,60,-1
141,1.211898,172,1
142,1.232588,172,1
143,1.240164,172,1
144,1.251841,60,-1
145,1.274622,172,1
146,1.279704,60,-1
147,1.289335,172,1
148,1.312635,172,1
149,1.323899,172,1
150,1.331023,60,-1
151,1.354101,172,1
152,1.363521,60,-1
153,1.375228,172,1
154,1.392755,172,1
155,1.401057,172,1
156,1.415747,60,-1
157,1.437596,172,1
158,1.441337,60,-1
159,1.450152,172,1
160,1.47315,172,1
161,1.478265,172,1
162,1.490552,60,-1
163,1.512641,172,1
164,1.520582,60,-1
165,1.526767,172,1
166,1.553464,172,1
167,1.561994,172,1
168,1.56701,60,-1
169,1.602105,60,-1
170,1.602279,172,1
171,1.611061,172,1
172,1.632506,172,1
173,1.638795,172,1
174,1.6508,60,-1
175,1.674553,172,1
