Serial number,time,size,direction
1,0.0,285,1
2,0.000435,1514,1
3,0.000466,1514,1
4,0.000484,1514,1
5,0.000506,860,1
6,0.008533,79,1
7,0.035194,127,-1
8,0.037634,60,-1
9,0.040267,74,1
10,0.041133,1514,1
11,0.044042,66,-1
12,0.044044,66,-1
13,0.044045,60,-1
14,0.044196,60,-1
15,0.044197,60,-1
16,0.046118,1514,1
17,0.046771,1514,1
18,0.046792,1514,1
19,0.047574,1498,1
20,0.081411,60,-1
21,0.084917,66,-1
22,0.08636,54,1
23,0.087842,312,1
24,0.089263,60,-1
25,0.089264,60,-1
26,0.093562,1514,1
27,0.093899,1514,1
28,0.095657,1514,1
29,0.09568,1514,1
30,0.095696,572,1
31,0.119509,172,1
32,0.129225,60,-1
33,0.132918,60,-1
34,0.13322,191,-1
35,0.134618,54,1
36,0.135068,105,1
37,0.135431,60,-1
38,0.136581,172,1
39,0.139085,60,-1
40,0.139086,60,-1
41,0.139575,96,-1
42,0.148907,172,1
43,0.168138,172,1
44,0.168618,146,-1
45,0.168619,92,-1
46,0.172102,54,1
47,0.187235,60,-1
48,0.196863,172,1
49,0.219154,60,-1
50,0.219733,172,1
51,0.220605,766,1
52,0.230956,172,1
53,0.237015,60,-1
54,0.244937,172,1
55,0.262079,60,-1
56,0.268087,417,-1
57,0.270073,85,1
58,0.270209,54,1
59,0.276616,60,-1
60,0.281124,172,1
61,0.295414,172,1
62,0.307978,172,1
63,0.312144,60,-1
64,0.313653,54,1
65,0.318117,60,-1
66,0.318453,60,-1
67,0.329296,172,1
68,0.346644,60,-1
69,0.357031,172,1
70,0.370883,172,1
71,0.400262,60,-1
72,0.412082,172,1
73,0.412256,172,1
74,0.441149,172,1
75,0.449594,60,-1
76,0.454853,172,1
77,0.468834,172,1
78,0.478461,60,-1
79,0.482936,172,1
80,0.506834,60,-1
81,0.509741,288,1
82,0.510442,190,1
83,0.511237,1514,1
84,0.51157,1514,1
85,0.513004,1514,1
86,0.547611,60,-1
87,0.549484,783,1
88,0.552576,172,1
89,0.556026,60,-1
90,0.566839,172,1
91,0.593076,60,-1
92,0.648535,60,-1
93,0.676411,172,1
94,0.676801,172,1
95,0.676991,172,1
96,0.677072,172,1
97,0.677405,172,1
98,0.691012,172,1
99,0.714719,60,-1
100,0.71593,172,1
101,0.71913,60,-1
102,0.729297,60,-1
103,0.741616,146,-1
104,0.741619,92,-1
105,0.807728,60,-1
106,0.812303,172,1
107,0.812713,172,1
108,0.812927,172,1
109,0.81336,290,1
110,0.816451,54,1
111,0.837659,172,1
112,0.849401,60,-1
113,0.85166,172,1
114,0.854945,60,-1
115,0.875588,60,-1
116,0.876208,172,1
117,0.889911,60,-1
118,0.91366,60,-1
119,0.948166,408,1
120,0.949901,172,1
121,0.963793,172,1
122,0.986499,60,-1
123,0.99129,60,-1
124,0.998865,172,1
125,1.002067,60,-1
126,1.018832,172,1
127,1.027393,172,1
128,1.037515,60,-1
129,1.051284,172,1
130,1.056914,60,-1
131,1.066378,60,-1
132,1.088537,60,-1
133,1.1074,172,1
134,1.126681,172,1
135,1.126962,172,1
136,1.127349,172,1
137,1.144721,60,-1
138,1.158981,172,1
139,1.166257,60,-1
140,1.196254,60,-1
141,1.262982,172,1
142,1.263272,172,1
143,1.263465,172,1
144,1.263556,172,1
145,1.263644,172,1
146,1.275277,172,1
147,1.300164,60,-1
148,1.301409,172,1
149,1.305254,60,-1
150,1.305687,60,-1
151,1.313025,60,-1
152,1.319969,172,1
153,1.333678,172,1
154,1.339277,60,-1
155,1.346816,172,1
156,1.359794,60,-1
157,1.367658,172,1
158,1.370478,60,-1
159,1.385097,60,-1
160,1.395084,172,1
161,1.406639,60,-1
162,1.416008,172,1
163,1.430265,172,1
164,1.432967,60,-1
165,1.443687,172,1
166,1.454299,60,-1
167,1.468238,60,-1
168,1.478215,172,1
169,1.482574,60,-1
170,1.492004,172,1
171,1.513027,172,1
172,1.516619,60,-1
173,1.527292,172,1
174,1.530674,60,-1
175,1.551542,60,-1
176,1.554907,172,1
177,1.566082,60,-1
178,1.5759,172,1
179,1.590316,172,1
180,1.594524,60,-1
181,1.603796,172,1
182,1.613649,60,-1
183,1.628072,60,-1
184,1.6395,172,1
185,1.640552,60,-1
186,1.652227,172,1
187,1.672829,172,1
188,1.678129,60,-1
189,1.686914,172,1
190,1.690813,60,-1
191,1.709925,60,-1
192,1.714941,172,1
193,1.725546,60,-1
194,1.735831,172,1
195,1.75002,172,1
196,1.75292,60,-1
197,1.763991,172,1
198,1.773556,60,-1
199,1.787532,60,-1
200,1.804914,60,-1
201,1.810454,172,1
202,1.813383,172,1
203,1.827274,172,1
204,1.848094,172,1
205,1.849362,60,-1
206,1.853687,60,-1
207,1.865553,60,-1
208,1.876382,172,1
209,1.886957,60,-1
210,1.897286,172,1
211,1.897481,434,-1
212,1.903203,136,1
213,1.904449,92,1
214,1.915929,708,-1
215,1.927153,74,1
216,1.944635,60,-1
217,1.959268,54,1
218,1.967506,66,-1
219,1.969218,54,1
220,1.971195,312,1
221,2.007494,60,-1
222,2.014426,60,-1
223,2.017806,191,-1
224,2.01951,54,1
225,2.019935,105,1
226,2.104558,60,-1
227,2.109025,809,1
228,2.148742,60,-1
229,2.157226,417,-1
230,2.163513,85,1
231,2.163678,54,1
232,2.203647,60,-1
233,2.208007,54,1
234,2.217135,460,-1
235,2.218638,54,1
236,2.22093,96,1
237,2.226468,74,1
238,2.268024,66,-1
239,2.272605,54,1
240,2.273925,312,1
241,2.30942,60,-1
242,2.31208,60,-1
243,2.317981,60,-1
244,2.317984,60,-1
245,2.317985,191,-1
246,2.320072,54,1
247,2.322306,105,1
248,2.403801,60,-1
249,2.40843,779,1
250,2.44754,60,-1
