Serial number,time,size,direction
1,0.0,288,1
2,0.000233,190,1
3,0.00148,1514,1
4,0.001786,1514,1
5,0.003564,1514,1
6,0.003592,1514,1
7,0.00361,973,1
8,0.034916,286,1
9,0.035168,1514,1
10,0.03655,1514,1
11,0.04273,60,-1
12,0.043711,60,-1
13,0.043712,60,-1
14,0.044651,60,-1
15,0.046088,1514,1
16,0.046236,916,1
17,0.061918,79,1
18,0.07809,60,-1
19,0.078093,60,-1
20,0.078094,60,-1
21,0.082448,1514,1
22,0.084311,1514,1
23,0.084335,1514,1
24,0.084352,992,1
25,0.084968,60,-1
26,0.084969,60,-1
27,0.088305,127,-1
28,0.095794,172,1
29,0.096288,74,1
30,0.110214,172,1
31,0.120034,60,-1
32,0.126694,60,-1
33,0.135782,60,-1
34,0.138285,66,-1
35,0.139572,54,1
36,0.141277,312,1
37,0.144612,172,1
38,0.148096,60,-1
39,0.158637,172,1
40,0.172608,172,1
41,0.184033,60,-1
42,0.184035,60,-1
43,0.185119,60,-1
44,0.18609,191,-1
45,0.188042,54,1
46,0.188649,105,1
47,0.194029,172,1
48,0.19716,60,-1
49,0.209255,60,-1
50,0.221638,172,1
51,0.240537,60,-1
52,0.243284,172,1
53,0.256898,172,1
54,0.258495,60,-1
55,0.271059,172,1
56,0.274967,60,-1
57,0.276492,767,1
58,0.282242,60,-1
59,0.299047,60,-1
60,0.306047,172,1
61,0.31177,60,-1
62,0.315531,60,-1
63,0.31983,172,1
64,0.327096,417,-1
65,0.329601,85,1
66,0.331806,54,1
67,0.334236,172,1
68,0.343202,60,-1
69,0.355185,172,1
70,0.355987,60,-1
71,0.36953,60,-1
72,0.371247,54,1
73,0.371472,60,-1
74,0.373824,60,-1
75,0.382472,172,1
76,0.392032,60,-1
77,0.396538,172,1
78,0.419179,60,-1
79,0.431797,145,-1
80,0.431799,92,-1
81,0.445376,172,1
82,0.445514,172,1
83,0.446634,54,1
84,0.467647,172,1
85,0.477273,60,-1
86,0.480949,172,1
87,0.485344,60,-1
88,0.495199,172,1
