Serial number,time,size,direction
1,0.0,286,1
2,0.000355,190,1
3,0.000756,1514,1
4,0.0008,1514,1
5,0.000833,1151,1
6,0.04224,79,1
7,0.051841,60,-1
8,0.052757,60,-1
9,0.05276,96,-1
10,0.053675,1514,1
11,0.054069,1514,1
12,0.054951,1514,1
13,0.056623,1514,1
14,0.056675,429,1
15,0.06685,95,-1
16,0.069749,74,1
17,0.095637,54,1
18,0.099231,60,-1
19,0.099234,60,-1
20,0.101011,1514,1
21,0.10203,1514,1
22,0.102074,1514,1
23,0.102135,1514,1
24,0.102243,92,1
25,0.11032,66,-1
26,0.111851,54,1
27,0.113605,312,1
28,0.147889,60,-1
29,0.147893,60,-1
30,0.149747,408,1
31,0.15388,60,-1
32,0.157204,172,1
33,0.158313,60,-1
34,0.158872,146,-1
35,0.158876,191,-1
36,0.158878,92,-1
37,0.179473,54,1
38,0.179683,54,1
39,0.180246,54,1
40,0.184784,105,1
41,0.186873,172,1
42,0.194615,60,-1
43,0.206789,172,1
44,0.21993,172,1
45,0.233921,172,1
46,0.244637,60,-1
47,0.27289,60,-1
48,0.285097,60,-1
49,0.287034,172,1
50,0.287347,172,1
51,0.288562,766,1
52,0.303799,172,1
53,0.318933,172,1
54,0.325502,60,-1
55,0.332861,60,-1
56,0.341363,419,-1
57,0.343848,85,1
58,0.344089,54,1
59,0.346333,172,1
60,0.357132,60,-1
61,0.367012,172,1
62,0.38124,172,1
63,0.385322,60,-1
64,0.386739,54,1
65,0.395229,172,1
66,0.405027,60,-1
67,0.430061,172,1
68,0.433113,60,-1
69,0.443721,172,1
70,0.457767,172,1
71,0.478953,172,1
72,0.481605,60,-1
73,0.506955,172,1
74,0.512486,286,1
75,0.512977,190,1
76,0.516337,60,-1
77,0.517907,1514,1
78,0.518246,1514,1
79,0.549695,60,-1
80,0.551671,1210,1
81,0.558783,172,1
82,0.560799,60,-1
83,0.589718,172,1
84,0.596218,60,-1
85,0.60368,172,1
86,0.618176,172,1
87,0.638945,172,1
88,0.641052,60,-1
89,0.667402,172,1
90,0.669633,146,-1
91,0.669635,92,-1
92,0.673739,54,1
93,0.681228,172,1
94,0.702062,172,1
95,0.705101,60,-1
96,0.716217,172,1
97,0.739782,60,-1
98,0.750767,172,1
99,0.764767,172,1
100,0.778945,172,1
101,0.788278,60,-1
102,0.800041,172,1
103,0.816175,60,-1
104,0.827836,172,1
105,0.841812,172,1
106,0.866188,60,-1
107,0.867108,172,1
108,0.877064,172,1
109,0.905331,60,-1
110,0.905657,172,1
111,0.925896,172,1
112,0.939579,172,1
113,0.943391,60,-1
114,0.95375,172,1
115,0.97721,60,-1
116,0.988856,172,1
117,1.002532,172,1
118,1.023731,172,1
119,1.026651,60,-1
120,1.038157,172,1
121,1.061196,60,-1
122,1.06582,172,1
123,1.086792,172,1
124,1.10151,172,1
125,1.104335,60,-1
126,1.11501,172,1
127,1.139477,60,-1
128,1.150222,172,1
129,1.163959,172,1
130,1.177957,172,1
131,1.188384,60,-1
132,1.199212,172,1
133,1.215759,60,-1
134,1.226965,172,1
135,1.247758,172,1
136,1.263869,60,-1
137,1.266383,172,1
138,1.279977,172,1
139,1.304231,60,-1
140,1.309857,172,1
141,1.32369,172,1
142,1.33823,172,1
143,1.347457,60,-1
144,1.359106,172,1
145,1.37665,60,-1
146,1.38726,172,1
147,1.408022,172,1
148,1.421895,172,1
149,1.425199,60,-1
150,1.435923,172,1
151,1.459378,60,-1
152,1.470694,172,1
153,1.485382,172,1
154,1.50074,172,1
155,1.510591,60,-1
156,1.520676,172,1
157,1.538692,60,-1
158,1.548426,172,1
159,1.562523,172,1
160,1.583785,172,1
161,1.586894,60,-1
162,1.597747,172,1
163,1.622036,60,-1
164,1.626257,172,1
165,1.6463,172,1
166,1.663959,60,-1
167,1.682746,172,1
168,1.682924,172,1
169,1.709396,172,1
170,1.720758,60,-1
171,1.722571,172,1
172,1.747495,172,1
173,1.74802,60,-1
174,1.772818,172,1
175,1.785002,60,-1
176,1.785504,172,1
177,1.80633,172,1
