Serial number,time,size,direction
1,0.0,297,1
2,0.000187,190,1
3,0.001012,1514,1
4,0.001046,1514,1
5,0.001064,1514,1
6,0.001081,1453,1
7,0.014808,79,1
8,0.016495,286,1
9,0.020096,190,1
10,0.039656,127,-1
11,0.041313,60,-1
12,0.043208,1514,1
13,0.043398,74,1
14,0.047215,60,-1
15,0.048243,66,-1
16,0.048245,60,-1
17,0.048247,60,-1
18,0.048248,66,-1
19,0.048249,60,-1
20,0.04896,1514,1
21,0.051638,1228,1
22,0.058164,60,-1
23,0.062411,60,-1
24,0.080525,66,-1
25,0.081774,54,1
26,0.083296,312,1
27,0.085834,60,-1
28,0.090266,60,-1
29,0.096061,60,-1
30,0.115459,1514,1
31,0.11759,1514,1
32,0.117614,1514,1
33,0.117631,1514,1
34,0.117647,332,1
35,0.120954,60,-1
36,0.125242,60,-1
37,0.125565,191,-1
38,0.126739,54,1
39,0.127439,172,1
40,0.128645,105,1
41,0.1421,172,1
42,0.163616,60,-1
43,0.167238,60,-1
44,0.17314,60,-1
45,0.17943,146,-1
46,0.179433,92,-1
47,0.179714,172,1
48,0.183985,54,1
49,0.191091,172,1
50,0.205771,172,1
51,0.21593,60,-1
52,0.21758,766,1
53,0.220514,60,-1
54,0.225368,172,1
55,0.246745,60,-1
56,0.253653,172,1
57,0.259611,60,-1
58,0.267197,172,1
59,0.267961,417,-1
60,0.270484,85,1
61,0.27076,54,1
62,0.288151,172,1
63,0.294862,60,-1
64,0.302614,172,1
65,0.310251,60,-1
66,0.311968,54,1
67,0.330571,60,-1
68,0.337295,172,1
69,0.351306,172,1
70,0.365517,172,1
71,0.379386,172,1
72,0.381481,60,-1
73,0.414256,172,1
74,0.415898,60,-1
75,0.428362,172,1
76,0.450131,172,1
77,0.455354,60,-1
78,0.463338,172,1
79,0.492545,60,-1
80,0.492551,96,-1
81,0.494609,172,1
82,0.512599,286,1
83,0.5133,190,1
84,0.514287,1514,1
85,0.515074,1514,1
86,0.515114,854,1
87,0.515174,136,1
88,0.537123,60,-1
89,0.539975,328,1
90,0.540555,172,1
91,0.554489,60,-1
92,0.561176,60,-1
93,0.575163,172,1
94,0.581622,60,-1
95,0.589235,172,1
96,0.603789,172,1
97,0.630877,60,-1
98,0.645405,172,1
99,0.646235,146,-1
100,0.646238,92,-1
101,0.648042,54,1
102,0.653115,172,1
103,0.672716,172,1
104,0.686339,172,1
105,0.699996,60,-1
106,0.700232,172,1
107,0.728497,60,-1
108,0.735341,172,1
109,0.749263,172,1
110,0.763137,172,1
111,0.783082,60,-1
112,0.784278,60,-1
113,0.784489,172,1
114,0.794513,60,-1
115,0.803736,60,-1
116,0.812873,172,1
117,0.833248,172,1
118,0.83436,60,-1
119,0.848377,172,1
120,0.854151,60,-1
121,0.861964,172,1
122,0.877238,60,-1
123,0.889006,60,-1
124,0.895078,172,1
125,0.903706,60,-1
126,0.909741,172,1
127,0.923299,172,1
128,0.937615,60,-1
129,0.944155,172,1
130,0.952889,60,-1
131,0.965277,60,-1
132,0.974688,172,1
133,0.985544,60,-1
134,0.99344,172,1
135,1.007313,172,1
136,1.016459,60,-1
137,1.021717,172,1
138,1.036148,60,-1
139,1.050148,60,-1
140,1.05616,172,1
141,1.062789,60,-1
142,1.070183,172,1
143,1.084702,172,1
144,1.098321,60,-1
145,1.105141,172,1
146,1.114432,60,-1
147,1.126617,60,-1
148,1.133434,172,1
149,1.146095,60,-1
150,1.14733,172,1
151,1.167983,172,1
152,1.182087,172,1
153,1.182877,60,-1
154,1.189405,60,-1
155,1.209206,60,-1
156,1.2195,172,1
157,1.22326,60,-1
158,1.23162,172,1
159,1.245329,172,1
160,1.259398,172,1
161,1.26071,60,-1
162,1.273251,60,-1
163,1.286639,60,-1
164,1.294271,172,1
165,1.300197,60,-1
166,1.308263,172,1
167,1.339881,172,1
168,1.343531,172,1
169,1.344078,60,-1
170,1.349011,60,-1
171,1.371528,172,1
172,1.380854,60,-1
173,1.385085,60,-1
174,1.39246,172,1
175,1.406202,172,1
176,1.413,60,-1
177,1.420193,172,1
178,1.433038,60,-1
179,1.447355,60,-1
180,1.455446,172,1
181,1.46204,60,-1
182,1.468341,172,1
183,1.489047,172,1
184,1.498322,60,-1
185,1.503379,172,1
186,1.509384,60,-1
187,1.53109,172,1
188,1.531352,60,-1
189,1.545496,60,-1
190,1.552277,172,1
191,1.566488,172,1
192,1.572764,60,-1
193,1.580442,172,1
194,1.594073,60,-1
195,1.6076,60,-1
196,1.615277,172,1
197,1.622859,60,-1
198,1.629549,172,1
199,1.643798,172,1
200,1.664361,172,1
201,1.665575,60,-1
202,1.672099,60,-1
203,1.68626,60,-1
204,1.692783,172,1
205,1.706883,60,-1
206,1.713634,172,1
207,1.72738,172,1
208,1.734063,60,-1
209,1.742187,172,1
210,1.754991,60,-1
211,1.770756,60,-1
212,1.776084,172,1
213,1.784379,60,-1
214,1.790204,172,1
215,1.804491,172,1
216,1.81898,60,-1
217,1.825105,172,1
218,1.831642,60,-1
219,1.847979,60,-1
220,1.852068,172,1
221,1.867154,60,-1
222,1.873573,172,1
223,1.887344,172,1
224,1.894173,60,-1
225,1.901253,172,1
226,1.921487,60,-1
227,1.93428,60,-1
228,1.936526,172,1
229,1.942142,60,-1
230,1.950114,172,1
231,1.964261,172,1
232,1.978118,60,-1
233,1.987499,172,1
234,1.995061,60,-1
235,2.008417,60,-1
236,2.03152,60,-1
237,2.045231,172,1
238,2.045372,172,1
239,2.048618,172,1
240,2.062346,172,1
241,2.086951,60,-1
242,2.091509,60,-1
243,2.097184,172,1
244,2.107629,60,-1
245,2.112174,172,1
246,2.125503,172,1
247,2.137853,60,-1
248,2.138828,172,1
249,2.153948,60,-1
250,2.17086,60,-1
251,2.174325,172,1
252,2.183391,60,-1
253,2.189015,172,1
254,2.208452,172,1
255,2.218953,60,-1
256,2.222553,172,1
257,2.232295,60,-1
258,2.252834,60,-1
259,2.257148,172,1
260,2.268901,60,-1
261,2.271272,172,1
262,2.285531,172,1
263,2.299451,172,1
264,2.301899,60,-1
265,2.312004,60,-1
266,2.329114,60,-1
267,2.334505,172,1
268,2.346937,60,-1
269,2.348939,172,1
270,2.369436,172,1
271,2.379188,60,-1
272,2.383406,172,1
273,2.389858,60,-1
274,2.411859,172,1
275,2.413943,60,-1
276,2.424257,60,-1
277,2.432226,172,1
278,2.446089,172,1
279,2.458864,60,-1
280,2.461185,172,1
281,2.475327,60,-1
282,2.487874,60,-1
283,2.496339,172,1
284,2.5085,60,-1
285,2.50922,172,1
286,2.523722,172,1
287,2.542626,60,-1
288,2.544422,172,1
289,2.553756,60,-1
290,2.566864,60,-1
291,2.572583,172,1
292,2.587334,60,-1
293,2.593766,172,1
294,2.607278,172,1
295,2.614804,60,-1
296,2.621634,172,1
297,2.635317,60,-1
298,2.651296,60,-1
299,2.656888,172,1
300,2.66358,60,-1
301,2.670292,172,1
302,2.684289,172,1
303,2.698109,60,-1
304,2.705587,172,1
305,2.711617,60,-1
306,2.725312,60,-1
307,2.745597,172,1
308,2.747478,172,1
309,2.747861,60,-1
310,2.768632,172,1
311,2.783536,434,-1
312,2.787204,60,-1
313,2.790026,172,1
314,2.792711,60,-1
315,2.79895,136,1
316,2.799532,92,1
317,2.803699,716,-1
318,2.83137,74,1
319,2.831581,60,-1
320,2.839491,54,1
321,2.840684,60,-1
322,2.873737,66,-1
323,2.875041,54,1
324,2.881075,312,1
325,2.916068,60,-1
326,2.919889,60,-1
327,2.920076,191,-1
328,2.921546,54,1
329,2.921969,105,1
330,3.008073,60,-1
331,3.012557,811,1
