Serial number,time,size,direction
1,0.0,288,1
2,0.000262,74,1
3,0.001627,190,1
4,0.007175,1514,1
5,0.009109,1514,1
6,0.009152,1150,1
7,0.009185,132,1
8,0.009346,180,1
9,0.013189,1514,1
10,0.01338,128,1
11,0.030615,287,1
12,0.041298,60,-1
13,0.043075,1514,1
14,0.04531,1514,1
15,0.04647,60,-1
16,0.046776,66,-1
17,0.047479,96,-1
18,0.047971,1362,1
19,0.052896,60,-1
20,0.052899,60,-1
21,0.054761,54,1
22,0.056038,312,1
23,0.057015,60,-1
24,0.083576,60,-1
25,0.094701,60,-1
26,0.100502,60,-1
27,0.104255,60,-1
28,0.104258,191,-1
29,0.108776,1514,1
30,0.10936,1514,1
31,0.109404,1514,1
32,0.109438,1514,1
33,0.109477,92,1
34,0.109631,172,1
35,0.110569,54,1
36,0.117618,105,1
37,0.11966,172,1
38,0.133069,172,1
39,0.150897,60,-1
40,0.156968,60,-1
41,0.162678,172,1
42,0.169224,146,-1
43,0.169226,92,-1
44,0.17327,54,1
45,0.18176,172,1
46,0.196598,172,1
47,0.202617,60,-1
48,0.208095,60,-1
49,0.209654,766,1
50,0.217264,172,1
51,0.23657,60,-1
52,0.23694,172,1
53,0.251842,60,-1
54,0.259559,419,-1
55,0.264437,85,1
56,0.265085,172,1
57,0.265969,54,1
58,0.277322,60,-1
59,0.279943,172,1
60,0.29369,172,1
61,0.305928,60,-1
62,0.310891,60,-1
63,0.319928,60,-1
64,0.321345,172,1
65,0.321798,54,1
66,0.342505,172,1
67,0.356622,172,1
68,0.361106,60,-1
69,0.370557,172,1
70,0.395918,172,1
71,0.398568,60,-1
72,0.420378,172,1
73,0.437235,60,-1
74,0.44095,172,1
75,0.455942,172,1
76,0.475951,172,1
77,0.481191,60,-1
78,0.503368,172,1
79,0.515584,60,-1
80,0.51815,172,1
81,0.531829,643,1
82,0.53298,172,1
83,0.535039,190,1
84,0.536808,1514,1
85,0.537352,1514,1
86,0.537405,853,1
87,0.538309,136,1
88,0.539376,92,1
89,0.55796,60,-1
90,0.558261,172,1
91,0.578027,60,-1
92,0.581106,172,1
93,0.585747,60,-1
94,0.601417,172,1
95,0.615534,172,1
96,0.620984,60,-1
97,0.635929,172,1
