Serial number,time,size,direction
1,0.0,288,1
2,0.000565,1514,1
3,0.000618,1514,1
4,0.000652,1365,1
5,0.000779,79,1
6,0.004161,180,1
7,0.004555,1514,1
8,0.004708,168,1
9,0.016384,287,1
10,0.017534,1514,1
11,0.01763,1514,1
12,0.033743,127,-1
13,0.04566,74,1
14,0.045803,60,-1
15,0.047509,1364,1
16,0.048738,60,-1
17,0.050377,66,-1
18,0.050673,60,-1
19,0.050677,60,-1
20,0.050679,60,-1
21,0.050681,60,-1
22,0.057711,60,-1
23,0.064269,60,-1
24,0.064271,60,-1
25,0.086621,66,-1
26,0.088281,54,1
27,0.089745,312,1
28,0.093893,60,-1
29,0.13675,60,-1
30,0.136754,60,-1
31,0.137064,191,-1
32,0.140566,1514,1
33,0.140861,1514,1
34,0.141819,1514,1
35,0.141865,1514,1
36,0.141897,492,1
37,0.142382,54,1
38,0.143691,105,1
39,0.159396,172,1
40,0.162941,146,-1
41,0.162944,92,-1
42,0.166994,54,1
43,0.175518,172,1
44,0.192496,60,-1
45,0.200414,60,-1
46,0.202045,172,1
47,0.215347,172,1
48,0.216591,60,-1
49,0.234637,60,-1
50,0.236185,767,1
51,0.236515,172,1
52,0.24402,60,-1
53,0.250255,172,1
54,0.261,60,-1
55,0.281314,60,-1
56,0.281706,60,-1
57,0.285136,172,1
58,0.290633,417,-1
59,0.2925,60,-1
60,0.29294,85,1
61,0.2931,54,1
62,0.299555,172,1
63,0.312773,172,1
64,0.327729,60,-1
65,0.333024,172,1
66,0.337524,60,-1
67,0.339185,54,1
68,0.341308,60,-1
69,0.354447,60,-1
70,0.360466,172,1
71,0.373776,60,-1
72,0.381349,172,1
73,0.39527,172,1
74,0.401984,60,-1
75,0.409651,172,1
76,0.424288,60,-1
77,0.436254,60,-1
78,0.445182,172,1
79,0.450339,60,-1
80,0.458189,172,1
81,0.472435,172,1
82,0.487442,60,-1
83,0.493022,172,1
84,0.5001,60,-1
85,0.505345,287,1
86,0.506069,190,1
87,0.5072,1514,1
88,0.507504,1514,1
89,0.507848,854,1
90,0.50787,136,1
91,0.508096,92,1
92,0.512918,60,-1
93,0.533641,60,-1
94,0.546768,60,-1
95,0.551061,172,1
96,0.551178,172,1
97,0.553356,60,-1
98,0.553358,60,-1
99,0.555979,172,1
100,0.569889,172,1
101,0.594807,60,-1
102,0.597508,60,-1
103,0.605242,172,1
104,0.611568,60,-1
105,0.619076,172,1
106,0.635531,172,1
107,0.636971,146,-1
108,0.636972,92,-1
109,0.640747,54,1
110,0.647782,172,1
111,0.660191,60,-1
112,0.682022,172,1
113,0.688803,60,-1
114,0.695936,172,1
115,0.717234,172,1
116,0.731179,172,1
117,0.736982,60,-1
118,0.759148,172,1
119,0.771967,60,-1
120,0.780262,172,1
121,0.794043,172,1
122,0.808018,172,1
123,0.824721,60,-1
124,0.848265,172,1
125,0.849061,60,-1
126,0.857174,172,1
127,0.871197,172,1
128,0.892606,172,1
129,0.898315,60,-1
130,0.920029,172,1
131,0.935565,60,-1
132,0.943588,172,1
133,0.960285,172,1
134,0.974352,172,1
135,0.993745,60,-1
136,1.003809,172,1
137,1.014792,60,-1
138,1.018151,172,1
139,1.032128,172,1
140,1.052997,172,1
141,1.061634,60,-1
142,1.083882,172,1
143,1.093982,60,-1
144,1.10133,172,1
145,1.115137,172,1
146,1.129501,172,1
147,1.143311,60,-1
148,1.1641,172,1
149,1.170185,60,-1
150,1.180272,172,1
151,1.192522,172,1
152,1.21306,172,1
153,1.221601,60,-1
154,1.251252,172,1
155,1.255111,60,-1
156,1.255514,172,1
157,1.275971,172,1
158,1.29113,172,1
159,1.306228,60,-1
160,1.325293,172,1
161,1.33233,60,-1
162,1.339114,172,1
163,1.353277,172,1
164,1.367889,172,1
165,1.38084,60,-1
166,1.402332,172,1
167,1.409317,60,-1
168,1.416171,172,1
169,1.437773,172,1
170,1.443498,96,-1
171,1.453139,172,1
172,1.478918,60,-1
173,1.47923,172,1
174,1.500347,172,1
175,1.513987,172,1
176,1.523277,60,-1
177,1.528057,172,1
178,1.55515,60,-1
179,1.563338,172,1
180,1.577139,172,1
181,1.591093,172,1
182,1.608158,60,-1
183,1.612435,172,1
184,1.6326,60,-1
185,1.639878,172,1
186,1.660936,172,1
187,1.675215,172,1
188,1.680552,60,-1
189,1.689067,172,1
190,1.718001,60,-1
191,1.723972,172,1
192,1.738419,172,1
193,1.752296,172,1
194,1.766388,60,-1
195,1.773125,172,1
196,1.793473,60,-1
197,1.803029,172,1
198,1.814967,172,1
199,1.835911,172,1
200,1.846743,60,-1
201,1.850295,172,1
202,1.876635,60,-1
203,1.885175,172,1
204,1.899155,172,1
205,1.913315,172,1
206,1.927079,60,-1
207,1.951097,172,1
208,1.953559,60,-1
209,1.962057,172,1
210,1.976213,172,1
211,1.997347,172,1
212,2.004713,60,-1
213,2.010827,172,1
214,2.039248,172,1
215,2.041891,60,-1
216,2.060483,172,1
217,2.074007,172,1
218,2.087558,60,-1
219,2.088418,172,1
220,2.117457,60,-1
221,2.122834,172,1
222,2.137056,172,1
223,2.153376,172,1
224,2.166337,60,-1
225,2.173956,172,1
226,2.194507,60,-1
227,2.200745,172,1
228,2.221863,172,1
229,2.235518,172,1
230,2.245425,60,-1
231,2.249623,172,1
232,2.278074,60,-1
233,2.284563,172,1
234,2.298347,172,1
235,2.312322,172,1
236,2.325588,60,-1
237,2.333261,172,1
238,2.354712,60,-1
239,2.361259,172,1
240,2.37525,172,1
241,2.396668,172,1
242,2.406189,60,-1
243,2.410353,172,1
244,2.440037,60,-1
245,2.446311,172,1
246,2.459887,172,1
247,2.47335,172,1
248,2.487312,172,1
249,2.487926,60,-1
250,2.514175,60,-1
251,2.522683,172,1
252,2.536144,172,1
253,2.557079,172,1
254,2.563295,60,-1
255,2.571678,172,1
256,2.599258,172,1
257,2.603215,60,-1
258,2.642909,60,-1
259,2.646281,172,1
260,2.646394,172,1
261,2.648341,172,1
262,2.683677,172,1
263,2.690368,60,-1
264,2.697496,172,1
265,2.711389,172,1
266,2.726078,60,-1
267,2.732049,172,1
268,2.752806,60,-1
269,2.760473,172,1
270,2.781227,172,1
271,2.795192,172,1
272,2.805535,60,-1
273,2.810087,172,1
274,2.838778,60,-1
275,2.844156,172,1
276,2.858502,172,1
277,2.878066,172,1
278,2.887447,60,-1
279,2.893276,172,1
280,2.919524,60,-1
281,2.921648,172,1
282,2.935677,172,1
283,2.956274,172,1
284,2.965382,60,-1
285,2.970394,172,1
286,3.001599,60,-1
287,3.005646,172,1
288,3.019523,172,1
289,3.036891,172,1
290,3.050716,60,-1
291,3.051188,172,1
292,3.078631,60,-1
293,3.081974,172,1
294,3.095854,172,1
295,3.11654,172,1
296,3.12528,60,-1
297,3.130242,172,1
298,3.157976,60,-1
299,3.165775,172,1
300,3.184665,172,1
301,3.196139,172,1
302,3.207448,172,1
303,3.20907,60,-1
304,3.237952,60,-1
305,3.242639,172,1
306,3.256222,172,1
307,3.27719,172,1
308,3.283974,60,-1
309,3.291516,172,1
310,3.323121,60,-1
311,3.351246,172,1
312,3.351459,172,1
313,3.354447,172,1
314,3.368343,172,1
315,3.391112,60,-1
316,3.39732,60,-1
317,3.403099,172,1
318,3.417677,172,1
319,3.423339,60,-1
320,3.431602,172,1
321,3.444112,60,-1
322,3.452444,172,1
323,3.460711,60,-1
324,3.474497,60,-1
325,3.480614,172,1
326,3.494004,60,-1
327,3.501657,172,1
328,3.515547,172,1
329,3.526495,60,-1
330,3.530112,172,1
331,3.544222,60,-1
332,3.557456,60,-1
333,3.564522,172,1
334,3.571691,60,-1
335,3.583266,172,1
336,3.598356,172,1
337,3.606209,60,-1
338,3.614154,172,1
339,3.627963,60,-1
340,3.640278,172,1
341,3.644847,60,-1
342,3.661129,60,-1
343,3.661584,172,1
344,3.674953,172,1
345,3.68252,60,-1
346,3.689081,172,1
347,3.703101,60,-1
348,3.718226,60,-1
349,3.724655,172,1
350,3.730042,60,-1
351,3.730906,434,-1
352,3.739109,172,1
353,3.740964,136,1
354,3.741611,92,1
355,3.748606,730,-1
356,3.765782,74,1
357,3.787284,60,-1
358,3.787489,54,1
359,3.801814,66,-1
360,3.803406,54,1
361,3.804959,312,1
362,3.844018,60,-1
363,3.847983,60,-1
364,3.848282,191,-1
365,3.850958,54,1
366,3.85196,105,1
367,3.938225,60,-1
368,3.939574,810,1
369,3.983069,60,-1
370,3.991349,417,-1
371,3.995195,85,1
372,3.995357,54,1
373,4.036425,60,-1
374,4.051168,54,1
375,4.31252,286,1
376,4.313063,1514,1
377,4.313113,1514,1
378,4.313147,1068,1
379,4.313305,92,1
380,4.362265,60,-1
381,4.362269,60,-1
382,4.444319,1514,-1
383,4.444541,1514,-1
384,4.444651,1514,-1
385,4.444743,1514,-1
386,4.444903,1514,-1
387,4.445007,1514,-1
388,4.445114,1514,-1
389,4.445239,1514,-1
390,4.445448,1514,-1
391,4.445747,1514,-1
392,4.449799,54,1
393,4.471495,54,1
394,4.471772,54,1
395,4.472121,54,1
396,4.472269,54,1
397,4.47241,54,1
398,4.472541,54,1
399,4.472677,54,1
400,4.472881,54,1
401,4.473036,54,1
402,4.491761,1514,-1
403,4.492123,1514,-1
404,4.496194,54,1
405,4.496451,54,1
406,4.51485,1514,-1
407,4.515408,1514,-1
408,4.515413,1514,-1
409,4.515414,1514,-1
410,4.515416,1514,-1
411,4.515692,1514,-1
412,4.515695,1514,-1
413,4.516159,1514,-1
414,4.516161,1514,-1
415,4.516163,1514,-1
416,4.516165,1514,-1
417,4.516432,1514,-1
418,4.516695,1514,-1
419,4.516697,1514,-1
420,4.5167,1514,-1
421,4.517049,1514,-1
422,4.518476,54,1
423,4.518756,54,1
424,4.519014,54,1
425,4.51917,54,1
426,4.520426,54,1
427,4.520697,54,1
428,4.522429,54,1
429,4.522706,54,1
430,4.527557,54,1
431,4.527983,54,1
432,4.528176,74,1
433,4.540127,1514,-1
434,4.540436,1514,-1
435,4.542994,54,1
436,4.567276,66,-1
437,4.569312,54,1
438,4.572068,1514,-1
439,4.572392,1514,-1
440,4.572395,1514,-1
441,4.572397,1514,-1
442,4.572658,1514,-1
443,4.572661,1514,-1
444,4.573027,1514,-1
445,4.573033,1514,-1
446,4.573151,1514,-1
447,4.573294,1514,-1
448,4.573297,1514,-1
449,4.573405,1514,-1
450,4.573511,1514,-1
451,4.57359,1514,-1
452,4.573709,1514,-1
453,4.573877,1514,-1
454,4.574075,1514,-1
455,4.575016,312,1
456,4.575069,54,1
457,4.582525,54,1
458,4.582701,54,1
459,4.58286,54,1
460,4.58298,54,1
461,4.583066,54,1
462,4.583147,54,1
463,4.583231,54,1
464,4.585937,1514,-1
465,4.586237,1514,-1
466,4.586436,96,1
467,4.586629,1514,-1
468,4.589156,54,1
469,4.611169,60,-1
470,4.614986,60,-1
471,4.615124,191,-1
472,4.616533,1514,-1
473,4.616861,1514,-1
474,4.617238,54,1
475,4.618376,54,1
476,4.618476,105,1
477,4.626021,1514,-1
478,4.626223,1514,-1
479,4.626368,1514,-1
480,4.626568,1514,-1
481,4.62671,1514,-1
482,4.626919,1514,-1
483,4.627037,1514,-1
484,4.627124,1514,-1
485,4.627125,145,-1
486,4.628587,54,1
487,4.633399,54,1
488,4.633484,54,1
489,4.633626,54,1
490,4.633767,54,1
491,4.672287,60,-1
492,4.673229,96,1
493,4.699016,286,1
494,4.700686,190,1
495,4.703313,1514,1
496,4.703642,1514,1
497,4.703861,855,1
498,4.70477,136,1
499,4.705752,60,-1
500,4.707418,92,1
501,4.707714,786,1
502,4.717003,60,-1
503,4.74197,60,-1
504,4.749357,60,-1
505,4.751665,60,-1
506,4.752496,60,-1
507,4.757711,417,-1
508,4.767177,85,1
509,4.767294,54,1
510,4.808807,60,-1
511,4.813582,54,1
512,4.826346,287,1
513,4.827055,190,1
514,4.828006,1514,1
515,4.828338,1514,1
516,4.828653,851,1
517,4.828679,136,1
518,4.828851,92,1
519,4.839618,146,-1
520,4.840004,92,-1
521,4.843756,54,1
522,4.868464,475,-1
523,4.874376,60,-1
524,4.874378,60,-1
525,4.881342,74,1
526,4.908673,146,-1
527,4.908676,92,-1
528,4.910412,54,1
529,4.919521,66,-1
530,4.920836,54,1
531,4.92219,312,1
532,4.943544,146,-1
533,4.943546,92,-1
534,4.945532,54,1
535,4.961966,60,-1
536,4.963635,60,-1
537,4.963636,191,-1
538,4.965997,54,1
539,4.968907,105,1
540,5.056113,60,-1
541,5.057814,796,1
542,5.098002,60,-1
543,5.102604,417,-1
544,5.104529,85,1
545,5.104684,54,1
546,5.148201,60,-1
547,5.152763,54,1
