Serial number,time,size,direction
1,0.0,288,1
2,0.000611,1514,1
3,0.000655,1514,1
4,0.000689,1286,1
5,0.002892,132,1
6,0.00368,180,1
7,0.004551,1514,1
8,0.004812,144,1
9,0.024139,287,1
10,0.025604,1514,1
11,0.026811,79,1
12,0.048139,60,-1
13,0.048968,60,-1
14,0.04897,60,-1
15,0.049207,60,-1
16,0.049915,1514,1
17,0.04995,60,-1
18,0.051477,1364,1
19,0.0531,95,-1
20,0.055555,74,1
21,0.064879,60,-1
22,0.070489,60,-1
23,0.091146,60,-1
24,0.096301,60,-1
25,0.0991,66,-1
26,0.09972,1514,1
27,0.100536,1514,1
28,0.100578,1514,1
29,0.10061,1514,1
30,0.10185,412,1
31,0.106587,54,1
32,0.108237,312,1
33,0.116971,172,1
34,0.130803,172,1
35,0.14113,60,-1
36,0.144595,172,1
37,0.146096,60,-1
38,0.146099,60,-1
39,0.147429,60,-1
40,0.151334,60,-1
41,0.151336,191,-1
42,0.153034,54,1
43,0.157368,60,-1
44,0.15766,105,1
45,0.159361,172,1
46,0.16722,145,-1
47,0.167222,92,-1
48,0.18555,60,-1
49,0.205693,172,1
50,0.207716,172,1
51,0.228453,172,1
52,0.242538,172,1
53,0.245096,60,-1
54,0.245519,60,-1
55,0.264846,765,1
56,0.272725,60,-1
57,0.277394,172,1
58,0.291145,172,1
59,0.304427,60,-1
60,0.305287,172,1
61,0.313116,419,-1
62,0.315455,85,1
63,0.315617,54,1
64,0.317444,60,-1
65,0.319711,172,1
66,0.346502,60,-1
67,0.346504,96,-1
68,0.354131,172,1
69,0.354363,60,-1
70,0.355477,54,1
71,0.368224,172,1
72,0.382666,172,1
73,0.39556,60,-1
74,0.403137,172,1
75,0.422879,60,-1
76,0.431096,172,1
77,0.451592,172,1
78,0.465337,172,1
79,0.470818,60,-1
80,0.480469,172,1
81,0.505484,60,-1
82,0.517588,286,1
83,0.518315,190,1
84,0.518954,172,1
85,0.519918,1514,1
86,0.520258,1514,1
87,0.520498,853,1
88,0.520811,136,1
89,0.52154,92,1
90,0.529067,172,1
91,0.54283,172,1
92,0.557514,60,-1
93,0.563557,172,1
94,0.565801,60,-1
95,0.565803,60,-1
96,0.566489,60,-1
97,0.58376,60,-1
98,0.591586,172,1
99,0.612449,172,1
100,0.626662,172,1
101,0.631816,60,-1
102,0.640743,172,1
103,0.641253,147,-1
104,0.641255,92,-1
105,0.64547,54,1
106,0.667049,60,-1
107,0.675451,172,1
108,0.689731,172,1
109,0.703453,172,1
110,0.715441,60,-1
111,0.726763,172,1
112,0.743865,60,-1
113,0.752647,172,1
114,0.775069,172,1
115,0.787474,172,1
116,0.792856,60,-1
117,0.802225,172,1
118,0.828387,60,-1
119,0.886966,60,-1
120,0.906459,172,1
121,0.906851,172,1
122,0.907006,172,1
123,0.907195,172,1
124,0.913157,172,1
125,0.92755,172,1
126,0.946213,60,-1
127,0.951256,60,-1
128,0.955636,60,-1
129,0.967783,60,-1
130,0.995656,172,1
131,1.030841,172,1
132,1.031312,172,1
133,1.031499,172,1
134,1.031666,172,1
135,1.035624,60,-1
136,1.039433,172,1
137,1.071124,60,-1
138,1.07309,172,1
139,1.076007,60,-1
140,1.076436,60,-1
141,1.083837,60,-1
142,1.090281,172,1
143,1.113614,60,-1
144,1.130707,60,-1
145,1.144702,172,1
146,1.148528,172,1
147,1.161584,172,1
148,1.171533,172,1
149,1.185225,60,-1
150,1.185334,172,1
151,1.190217,60,-1
152,1.199413,172,1
153,1.201259,60,-1
154,1.21161,60,-1
155,1.225395,60,-1
156,1.235415,172,1
157,1.239542,60,-1
158,1.248369,172,1
159,1.265475,172,1
160,1.275588,60,-1
161,1.285904,172,1
162,1.288493,60,-1
163,1.305431,60,-1
164,1.31365,172,1
165,1.326292,60,-1
166,1.347163,172,1
167,1.347311,172,1
168,1.353983,60,-1
169,1.360337,172,1
170,1.388989,60,-1
171,1.400322,60,-1
172,1.404426,172,1
173,1.444684,60,-1
174,1.482756,172,1
175,1.482984,172,1
176,1.483121,172,1
177,1.483232,172,1
178,1.493308,172,1
179,1.507191,172,1
180,1.521523,172,1
181,1.5241,60,-1
182,1.533176,60,-1
183,1.547202,60,-1
184,1.556107,172,1
185,1.561486,60,-1
186,1.570226,172,1
187,1.597491,60,-1
188,1.610102,60,-1
189,1.624942,172,1
190,1.62519,172,1
191,1.634549,172,1
192,1.65549,172,1
193,1.665496,60,-1
194,1.667486,172,1
195,1.675411,60,-1
196,1.681468,172,1
197,1.69564,60,-1
198,1.707815,60,-1
199,1.716902,172,1
200,1.721498,60,-1
201,1.730267,172,1
202,1.744122,172,1
203,1.757087,60,-1
204,1.758442,172,1
205,1.770288,60,-1
206,1.79184,60,-1
207,1.793113,172,1
208,1.79825,60,-1
209,1.807227,172,1
210,1.82861,172,1
211,1.833676,60,-1
212,1.84286,172,1
213,1.847914,60,-1
214,1.868742,60,-1
215,1.870399,172,1
216,1.883244,60,-1
217,1.891827,172,1
218,1.905513,172,1
219,1.910178,60,-1
220,1.921854,172,1
221,1.931334,60,-1
222,1.945468,60,-1
223,1.956464,172,1
224,1.969469,172,1
225,1.988502,172,1
226,1.996778,60,-1
227,2.002816,172,1
228,2.03458,60,-1
