Serial number,time,size,direction
1,0.0,287,1
2,0.000261,190,1
3,0.000282,79,1
4,0.010015,1514,1
5,0.010363,1514,1
6,0.011673,1514,1
7,0.031497,127,-1
8,0.040272,74,1
9,0.040472,60,-1
10,0.044277,1514,1
11,0.046325,60,-1
12,0.047697,1514,1
13,0.055257,60,-1
14,0.055259,60,-1
15,0.05526,60,-1
16,0.058663,1514,1
17,0.058971,1514,1
18,0.060829,1514,1
19,0.084093,66,-1
20,0.087793,54,1
21,0.089063,312,1
22,0.08929,60,-1
23,0.089292,60,-1
24,0.09018,96,-1
25,0.090866,1514,1
26,0.091202,1514,1
27,0.102398,60,-1
28,0.10767,1514,1
29,0.107997,1514,1
30,0.114957,60,-1
31,0.127253,60,-1
32,0.134989,60,-1
33,0.135242,191,-1
34,0.136431,60,-1
35,0.136669,54,1
36,0.137865,105,1
37,0.138254,937,1
38,0.149482,60,-1
39,0.156383,54,1
40,0.157738,172,1
41,0.171283,172,1
42,0.180937,60,-1
43,0.186195,172,1
44,0.199877,172,1
45,0.21015,60,-1
46,0.213146,146,-1
47,0.213149,92,-1
48,0.221661,54,1
49,0.227181,60,-1
50,0.232925,764,1
51,0.235536,172,1
52,0.238977,60,-1
53,0.248715,172,1
54,0.26993,172,1
55,0.271539,60,-1
56,0.278565,417,-1
57,0.282008,85,1
58,0.282189,54,1
59,0.284187,172,1
60,0.28875,60,-1
61,0.311416,172,1
62,0.324148,60,-1
63,0.325361,54,1
64,0.325541,60,-1
65,0.332274,172,1
66,0.347508,172,1
67,0.361109,172,1
68,0.378491,60,-1
69,0.395254,172,1
70,0.406742,60,-1
71,0.409165,172,1
72,0.423355,172,1
73,0.445434,172,1
74,0.454332,60,-1
75,0.47225,172,1
76,0.486117,60,-1
77,0.49336,172,1
78,0.49913,287,1
79,0.499681,190,1
80,0.500659,1514,1
81,0.553687,60,-1
82,0.558518,1514,1
83,0.558806,60,-1
84,0.558856,1514,1
85,0.560035,880,1
86,0.570525,172,1
87,0.604266,60,-1
88,0.607152,60,-1
89,0.612556,60,-1
90,0.619831,290,1
91,0.636277,172,1
92,0.647365,172,1
93,0.661922,60,-1
94,0.668518,172,1
95,0.677479,60,-1
96,0.682899,172,1
97,0.687389,60,-1
98,0.704597,146,-1
99,0.704601,92,-1
100,0.70881,54,1
101,0.717993,172,1
102,0.724682,60,-1
103,0.731635,172,1
104,0.746428,172,1
105,0.760082,172,1
106,0.774745,60,-1
107,0.794778,172,1
108,0.802301,60,-1
109,0.80874,172,1
110,0.829525,172,1
111,0.844332,172,1
112,0.850617,60,-1
113,0.875521,172,1
114,0.887275,60,-1
115,0.892586,172,1
116,0.90657,172,1
117,0.920665,172,1
118,0.935681,60,-1
119,0.955594,172,1
120,0.965359,60,-1
121,0.969341,172,1
122,0.983853,172,1
123,1.004352,172,1
124,1.012436,60,-1
125,1.032592,172,1
126,1.047255,60,-1
127,1.053569,172,1
128,1.067226,172,1
129,1.081191,172,1
130,1.092148,60,-1
131,1.116981,172,1
132,1.121133,60,-1
133,1.130573,172,1
134,1.144805,172,1
135,1.166703,172,1
136,1.172273,60,-1
137,1.192677,172,1
138,1.206838,172,1
139,1.210025,60,-1
140,1.227958,172,1
141,1.241223,172,1
142,1.248816,60,-1
143,1.279381,60,-1
144,1.281392,172,1
145,1.31762,172,1
146,1.31781,172,1
147,1.324526,172,1
148,1.353741,172,1
149,1.357795,60,-1
150,1.364745,60,-1
151,1.373388,172,1
152,1.387128,172,1
153,1.401937,172,1
154,1.413701,60,-1
155,1.43644,172,1
156,1.441239,60,-1
157,1.451287,172,1
158,1.46496,172,1
159,1.485604,172,1
160,1.491641,60,-1
161,1.514633,172,1
162,1.524487,60,-1
163,1.527789,172,1
164,1.548161,172,1
165,1.562348,172,1
166,1.572722,60,-1
167,1.597942,172,1
168,1.601945,60,-1
169,1.611361,172,1
170,1.625501,172,1
171,1.640232,172,1
172,1.651938,60,-1
173,1.674567,172,1
174,1.680343,60,-1
175,1.688536,172,1
176,1.710484,172,1
177,1.723793,172,1
178,1.727999,60,-1
179,1.751708,172,1
180,1.764183,60,-1
181,1.772457,172,1
182,1.787898,172,1
183,1.800422,172,1
184,1.813756,60,-1
185,1.835729,172,1
186,1.839892,60,-1
187,1.849521,172,1
188,1.864605,172,1
189,1.886583,172,1
190,1.890419,60,-1
191,1.91241,172,1
192,1.927962,60,-1
193,1.933707,172,1
194,1.947937,172,1
195,1.9618,172,1
196,1.974361,60,-1
197,2.001637,60,-1
198,2.01992,172,1
199,2.020118,172,1
200,2.02436,172,1
201,2.045292,172,1
202,2.059861,60,-1
203,2.073723,172,1
204,2.086734,60,-1
205,2.088488,172,1
