Serial number,time,size,direction
1,0.0,287,1
2,0.000206,190,1
3,0.00624,79,1
4,0.00982,1514,1
5,0.010282,1514,1
6,0.011563,1514,1
7,0.011619,701,1
8,0.011657,132,1
9,0.036127,127,-1
10,0.039163,74,1
11,0.070596,60,-1
12,0.072326,1514,1
13,0.075532,60,-1
14,0.079059,1514,1
15,0.082349,60,-1
16,0.082353,60,-1
17,0.08378,1514,1
18,0.084505,1514,1
19,0.085301,100,-1
20,0.088954,60,-1
21,0.090651,1411,1
22,0.090924,100,1
23,0.106381,1514,1
24,0.11059,66,-1
25,0.112014,54,1
26,0.119015,312,1
27,0.160584,60,-1
28,0.166401,60,-1
29,0.184455,60,-1
30,0.188281,1514,1
31,0.188997,1514,1
32,0.18904,1514,1
33,0.189699,724,1
34,0.191547,60,-1
35,0.192871,1514,-1
36,0.193212,1514,-1
37,0.19388,1514,-1
38,0.194063,1049,-1
39,0.194352,54,1
40,0.195037,54,1
41,0.195884,54,1
42,0.195986,54,1
43,0.20268,172,1
44,0.216816,172,1
45,0.227359,1049,-1
46,0.229169,66,1
47,0.233898,60,-1
48,0.23929,180,1
49,0.25078,148,-1
50,0.250782,92,-1
51,0.251615,172,1
52,0.252336,54,1
53,0.265303,60,-1
54,0.265307,60,-1
55,0.266879,172,1
56,0.270742,60,-1
57,0.279551,172,1
58,0.280344,60,-1
59,0.292598,60,-1
60,0.293941,172,1
61,0.315329,105,-1
62,0.316842,54,1
63,0.318864,764,1
64,0.327718,60,-1
65,0.328461,172,1
66,0.341521,60,-1
67,0.342295,172,1
68,0.35358,60,-1
69,0.363084,172,1
70,0.367037,60,-1
71,0.376916,172,1
72,0.399891,60,-1
73,0.403731,417,-1
74,0.406241,85,1
75,0.406417,54,1
76,0.411926,172,1
77,0.412678,60,-1
78,0.42427,172,1
79,0.433928,60,-1
80,0.438316,172,1
81,0.451674,60,-1
82,0.459569,172,1
83,0.47874,60,-1
84,0.480147,54,1
85,0.481707,60,-1
86,0.482946,60,-1
87,0.488796,172,1
88,0.495822,60,-1
89,0.501467,172,1
90,0.508768,60,-1
91,0.514191,285,1
92,0.51487,190,1
93,0.514923,1514,1
94,0.514944,1514,1
95,0.53172,60,-1
96,0.533785,1514,1
97,0.56033,60,-1
98,0.562209,760,1
99,0.574907,60,-1
100,0.577227,172,1
101,0.587061,60,-1
102,0.588256,172,1
103,0.595459,60,-1
104,0.595461,60,-1
105,0.602076,172,1
106,0.61372,172,1
107,0.637362,60,-1
108,0.64864,172,1
109,0.653715,60,-1
110,0.662529,172,1
111,0.663605,60,-1
112,0.679048,60,-1
113,0.683329,172,1
114,0.688729,60,-1
115,0.698579,172,1
116,0.724469,60,-1
117,0.729304,172,1
118,0.741976,60,-1
119,0.746499,172,1
120,0.752808,60,-1
121,0.760548,172,1
122,0.766827,60,-1
123,0.774646,172,1
124,0.784029,147,-1
125,0.784032,92,-1
126,0.785828,54,1
127,0.809383,172,1
128,0.812356,60,-1
129,0.8234,172,1
130,0.837841,172,1
131,0.841406,60,-1
132,0.882775,172,1
133,0.88996,172,1
134,0.8902,60,-1
135,0.909906,172,1
136,0.924791,172,1
137,0.935344,172,1
138,0.948734,60,-1
139,0.954531,60,-1
140,0.960739,60,-1
141,0.970553,172,1
142,0.984452,172,1
143,0.985388,60,-1
144,0.998833,60,-1
145,1.00081,172,1
146,1.011193,60,-1
147,1.02365,172,1
148,1.042576,60,-1
149,1.047543,172,1
150,1.058691,60,-1
151,1.061399,172,1
152,1.071558,60,-1
153,1.08287,172,1
154,1.093946,60,-1
155,1.096398,172,1
156,1.11747,60,-1
157,1.129903,60,-1
158,1.131682,172,1
159,1.145328,172,1
160,1.153269,60,-1
161,1.159339,172,1
162,1.167934,60,-1
163,1.173682,172,1
164,1.202452,60,-1
165,1.208425,172,1
166,1.215317,60,-1
167,1.222463,172,1
168,1.228767,60,-1
169,1.243558,172,1
170,1.248023,60,-1
171,1.257881,172,1
172,1.278882,60,-1
173,1.285319,172,1
174,1.295201,60,-1
175,1.307778,172,1
176,1.318079,60,-1
177,1.320955,172,1
178,1.329133,60,-1
179,1.334707,172,1
180,1.352954,60,-1
181,1.369937,172,1
182,1.376939,60,-1
183,1.383759,172,1
184,1.392257,60,-1
185,1.397965,172,1
186,1.406538,60,-1
187,1.41846,172,1
188,1.444122,60,-1
189,1.44659,172,1
190,1.458147,60,-1
191,1.467438,172,1
192,1.470854,60,-1
193,1.481363,172,1
194,1.491103,60,-1
195,1.495697,172,1
196,1.517203,60,-1
197,1.530819,172,1
198,1.53741,60,-1
199,1.545038,172,1
200,1.550894,60,-1
201,1.565115,60,-1
202,1.582846,172,1
203,1.583015,172,1
204,1.599214,60,-1
205,1.607763,172,1
206,1.61458,60,-1
207,1.621694,172,1
208,1.642401,172,1
209,1.652249,60,-1
210,1.656368,172,1
211,1.675357,60,-1
212,1.689012,60,-1
213,1.691248,172,1
214,1.705227,172,1
