Serial number,time,size,direction
1,0.0,54,1
2,0.743897,297,1
3,0.744364,1514,1
4,0.744395,1514,1
5,0.744433,1364,1
6,0.744575,180,1
7,0.778684,79,1
8,0.785951,60,-1
9,0.787669,1514,1
10,0.792824,60,-1
11,0.793789,60,-1
12,0.79379,60,-1
13,0.793791,60,-1
14,0.794385,1514,1
15,0.795438,1514,1
16,0.79707,1514,1
17,0.797126,235,1
18,0.813838,127,-1
19,0.818012,74,1
20,0.829971,60,-1
21,0.836329,60,-1
22,0.843757,60,-1
23,0.84376,60,-1
24,0.843761,96,-1
25,0.85473,66,-1
26,0.856549,54,1
27,0.857763,312,1
28,0.869451,1514,1
29,0.870328,1514,1
30,0.870374,1514,1
31,0.870464,1514,1
32,0.870539,252,1
33,0.893651,60,-1
34,0.897984,60,-1
35,0.898198,191,-1
36,0.902196,54,1
37,0.904124,105,1
38,0.920932,146,-1
39,0.920935,92,-1
40,0.920937,60,-1
41,0.922638,290,1
42,0.931982,172,1
43,0.945612,172,1
44,0.959528,172,1
45,0.973382,60,-1
46,0.989467,60,-1
47,0.991039,765,1
48,0.995727,172,1
49,1.000818,60,-1
50,1.008141,172,1
51,1.022097,172,1
52,1.027803,60,-1
53,1.033491,417,-1
54,1.035736,85,1
55,1.036044,54,1
56,1.0432,172,1
57,1.05037,60,-1
58,1.071543,172,1
59,1.07247,60,-1
60,1.073908,54,1
61,1.077223,60,-1
62,1.085805,172,1
63,1.087185,60,-1
64,1.10652,172,1
65,1.125318,172,1
66,1.127231,60,-1
67,1.155064,172,1
68,1.166866,60,-1
69,1.169166,172,1
70,1.18324,172,1
71,1.197167,172,1
72,1.218954,60,-1
73,1.23208,172,1
74,1.239181,60,-1
75,1.246294,172,1
76,1.26711,172,1
77,1.27994,287,1
78,1.283814,190,1
79,1.286466,60,-1
80,1.287981,1514,1
81,1.288321,1514,1
82,1.320346,60,-1
83,1.321774,1209,1
84,1.33006,172,1
85,1.333284,60,-1
86,1.363804,290,1
87,1.374634,60,-1
88,1.392849,172,1
89,1.407002,172,1
90,1.428294,172,1
91,1.434537,60,-1
92,1.44199,172,1
93,1.445684,146,-1
94,1.445686,92,-1
95,1.449288,54,1
96,1.470503,172,1
97,1.47056,60,-1
98,1.490867,172,1
99,1.504812,172,1
100,1.512124,60,-1
101,1.518991,172,1
102,1.54654,60,-1
103,1.554025,172,1
104,1.56795,172,1
105,1.586804,172,1
106,1.595558,60,-1
107,1.606386,172,1
108,1.630695,60,-1
109,1.631222,172,1
110,1.645078,172,1
111,1.666485,172,1
112,1.67423,60,-1
113,1.680837,172,1
114,1.70912,60,-1
115,1.715182,172,1
116,1.728971,172,1
117,1.743279,172,1
118,1.75716,172,1
119,1.758463,60,-1
120,1.784065,60,-1
121,1.791894,172,1
122,1.805976,172,1
123,1.827027,172,1
124,1.832946,60,-1
125,1.841183,172,1
126,1.868077,60,-1
127,1.876105,172,1
128,1.890061,172,1
129,1.908578,172,1
130,1.916558,60,-1
131,1.918446,172,1
132,1.949584,60,-1
133,1.953242,172,1
134,1.967263,172,1
135,1.981045,172,1
136,1.995444,60,-1
137,2.007233,172,1
138,2.022149,60,-1
139,2.031729,172,1
140,2.05872,172,1
141,2.065738,172,1
142,2.073689,60,-1
143,2.080238,172,1
144,2.108948,60,-1
145,2.11458,172,1
146,2.130643,172,1
147,2.144777,172,1
148,2.155667,60,-1
149,2.165971,172,1
150,2.187857,60,-1
151,2.191669,172,1
152,2.205698,172,1
153,2.228374,172,1
154,2.235855,60,-1
155,2.240639,172,1
156,2.273494,60,-1
157,2.274863,172,1
158,2.289032,172,1
159,2.302848,172,1
160,2.315983,60,-1
161,2.317241,172,1
162,2.343663,60,-1
163,2.351936,172,1
164,2.366039,172,1
165,2.387408,172,1
166,2.394721,60,-1
167,2.40091,172,1
168,2.429553,172,1
169,2.429947,60,-1
170,2.450435,172,1
171,2.464011,172,1
172,2.474656,60,-1
173,2.478332,172,1
174,2.5051,60,-1
175,2.512905,172,1
176,2.527048,172,1
177,2.547888,172,1
178,2.562183,60,-1
179,2.562326,172,1
180,2.592539,172,1
181,2.598491,60,-1
182,2.614584,172,1
183,2.628477,172,1
184,2.633861,60,-1
185,2.642535,172,1
186,2.669832,60,-1
187,2.674981,172,1
188,2.687989,172,1
189,2.702237,172,1
190,2.717036,60,-1
191,2.723159,172,1
192,2.743381,60,-1
193,2.758456,172,1
194,2.771596,172,1
195,2.785624,172,1
196,2.800001,172,1
197,2.80165,60,-1
198,2.826604,60,-1
199,2.834483,172,1
200,2.852774,172,1
201,2.868661,172,1
202,2.875034,60,-1
203,2.884207,172,1
204,2.910636,60,-1
205,2.911142,172,1
206,2.932029,172,1
207,2.95117,172,1
208,2.95492,60,-1
209,2.960639,172,1
210,2.99513,172,1
211,2.995938,60,-1
212,3.009322,172,1
213,3.023144,172,1
214,3.036354,60,-1
215,3.037712,172,1
216,3.064007,60,-1
217,3.072038,172,1
218,3.086532,172,1
219,3.109734,172,1
