Serial number,time,size,direction
1,0.0,287,1
2,0.000551,190,1
3,0.000664,1514,1
4,0.000742,1514,1
5,0.000773,1150,1
6,0.000888,132,1
7,0.007466,180,1
8,0.008142,1514,1
9,0.008313,136,1
10,0.032796,295,1
11,0.037615,60,-1
12,0.039573,1514,1
13,0.041173,1514,1
14,0.044827,60,-1
15,0.045719,60,-1
16,0.045722,60,-1
17,0.045724,60,-1
18,0.04652,1363,1
19,0.048514,60,-1
20,0.048516,60,-1
21,0.071245,60,-1
22,0.084911,60,-1
23,0.084915,96,-1
24,0.091448,79,1
25,0.116426,127,-1
26,0.117134,1514,1
27,0.117934,1514,1
28,0.117979,1514,1
29,0.118015,1312,1
30,0.119713,74,1
31,0.135309,60,-1
32,0.139621,172,1
33,0.152216,172,1
34,0.154907,60,-1
35,0.16086,66,-1
36,0.161282,60,-1
37,0.161284,60,-1
38,0.161286,60,-1
39,0.162516,54,1
40,0.16385,312,1
41,0.165835,172,1
42,0.178676,60,-1
43,0.181622,145,-1
44,0.181625,92,-1
45,0.183503,54,1
46,0.200402,172,1
47,0.20374,60,-1
48,0.205503,60,-1
49,0.20647,60,-1
50,0.208314,191,-1
51,0.209666,54,1
52,0.209996,105,1
53,0.214706,172,1
54,0.228628,172,1
55,0.249525,172,1
56,0.251361,60,-1
57,0.277494,172,1
58,0.287302,60,-1
59,0.291533,172,1
60,0.298378,60,-1
61,0.299742,769,1
62,0.312501,172,1
63,0.326244,172,1
64,0.333489,60,-1
65,0.343164,60,-1
66,0.34694,417,-1
67,0.348984,85,1
68,0.349141,54,1
69,0.361939,172,1
70,0.363566,60,-1
71,0.375345,172,1
72,0.389473,172,1
73,0.392255,60,-1
74,0.393743,54,1
75,0.403577,172,1
76,0.415501,60,-1
77,0.438411,172,1
78,0.440497,60,-1
79,0.452471,172,1
80,0.474007,172,1
81,0.490986,60,-1
82,0.516233,172,1
83,0.51642,172,1
84,0.527799,54,1
85,0.536708,286,1
86,0.53706,190,1
87,0.537952,1514,1
88,0.539243,1514,1
89,0.539565,853,1
90,0.539948,136,1
91,0.540352,92,1
92,0.540813,172,1
93,0.55041,172,1
94,0.553354,60,-1
95,0.554216,60,-1
96,0.564316,172,1
97,0.575002,60,-1
98,0.575006,60,-1
99,0.581154,60,-1
100,0.581158,60,-1
101,0.581159,60,-1
102,0.588796,60,-1
103,0.599272,172,1
104,0.601445,60,-1
105,0.613154,172,1
106,0.627177,172,1
107,0.637692,60,-1
108,0.648527,172,1
109,0.651567,60,-1
110,0.664112,145,-1
111,0.664114,92,-1
