Serial number,time,size,direction
1,0.0,288,1
2,0.000499,1078,1
3,0.000532,1078,1
4,0.00055,1078,1
5,0.000567,1078,1
6,0.000755,1078,1
7,0.017741,74,1
8,0.037729,60,-1
9,0.039437,1078,1
10,0.044315,66,-1
11,0.044478,66,-1
12,0.04448,60,-1
13,0.044481,60,-1
14,0.044482,66,-1
15,0.045261,60,-1
16,0.045958,1078,1
17,0.046817,1078,1
18,0.046849,1078,1
19,0.047288,1078,1
20,0.047604,1078,1
21,0.048959,1078,1
22,0.060151,66,-1
23,0.061346,54,1
24,0.06317,312,1
25,0.075688,60,-1
26,0.077188,487,1
27,0.082168,60,-1
28,0.089873,60,-1
29,0.089875,60,-1
30,0.089876,60,-1
31,0.102887,60,-1
32,0.103597,1078,1
33,0.104897,1078,1
34,0.10492,1078,1
35,0.104937,1078,1
36,0.10497,1078,1
37,0.104985,892,1
38,0.107326,60,-1
39,0.107705,191,-1
40,0.10898,54,1
41,0.109402,105,1
42,0.113072,60,-1
43,0.123131,172,1
44,0.132429,172,1
45,0.140479,60,-1
46,0.14547,172,1
47,0.146461,60,-1
48,0.146462,60,-1
49,0.146901,60,-1
50,0.159216,60,-1
51,0.168635,60,-1
52,0.18098,172,1
53,0.182938,60,-1
54,0.189603,147,-1
55,0.189604,92,-1
56,0.19378,54,1
57,0.196334,172,1
58,0.197115,60,-1
59,0.198538,766,1
60,0.215579,172,1
61,0.229134,172,1
62,0.235098,60,-1
63,0.240359,60,-1
64,0.246689,417,-1
65,0.248357,85,1
66,0.248541,54,1
67,0.256954,172,1
68,0.265792,60,-1
69,0.278236,172,1
70,0.290272,60,-1
71,0.291404,54,1
72,0.291978,172,1
73,0.30578,172,1
74,0.31362,60,-1
75,0.342333,60,-1
76,0.342652,172,1
77,0.355203,172,1
78,0.368985,172,1
79,0.39025,172,1
80,0.391656,60,-1
81,0.41802,172,1
82,0.426925,60,-1
83,0.439215,172,1
84,0.466647,172,1
85,0.467069,172,1
86,0.477589,60,-1
87,0.502076,172,1
88,0.512889,60,-1
89,0.514169,289,1
90,0.515919,190,1
91,0.516874,1078,1
92,0.51888,1078,1
93,0.518926,1078,1
94,0.518988,1078,1
95,0.519048,838,1
96,0.55162,60,-1
97,0.553019,528,1
98,0.560122,60,-1
99,0.560125,60,-1
100,0.579596,172,1
101,0.593115,172,1
102,0.614088,172,1
103,0.615974,60,-1
104,0.629297,172,1
105,0.654265,60,-1
106,0.662969,172,1
107,0.67689,172,1
108,0.677042,147,-1
109,0.677046,92,-1
110,0.678897,54,1
111,0.691284,172,1
112,0.712018,172,1
113,0.716394,60,-1
114,0.740079,172,1
115,0.749751,60,-1
116,0.755705,172,1
117,0.775144,172,1
118,0.789137,172,1
119,0.791896,60,-1
120,0.817601,172,1
121,0.825181,60,-1
122,0.838387,172,1
123,0.852305,172,1
124,0.867497,172,1
125,0.873927,60,-1
126,0.901365,172,1
127,0.903289,60,-1
128,0.915566,172,1
129,0.929806,172,1
130,0.950644,172,1
131,0.95219,60,-1
132,0.978744,172,1
133,0.987096,60,-1
134,1.000147,172,1
135,1.013003,172,1
136,1.026817,172,1
137,1.037747,60,-1
138,1.062871,172,1
139,1.070447,60,-1
140,1.076141,172,1
141,1.090104,172,1
142,1.111581,60,-1
143,1.112447,172,1
144,1.149991,60,-1
145,1.17214,172,1
146,1.172369,172,1
147,1.175698,172,1
148,1.188498,172,1
149,1.213358,60,-1
150,1.222992,172,1
151,1.237213,172,1
152,1.251196,172,1
153,1.259501,60,-1
154,1.265117,172,1
155,1.273998,96,-1
156,1.302349,60,-1
157,1.305625,172,1
158,1.319209,172,1
159,1.335358,172,1
160,1.349524,172,1
161,1.356286,60,-1
162,1.383768,172,1
163,1.387292,60,-1
164,1.397973,172,1
165,1.412707,172,1
166,1.42618,172,1
167,1.435755,60,-1
168,1.460013,172,1
169,1.462507,60,-1
170,1.474242,172,1
171,1.495116,172,1
172,1.509217,172,1
173,1.510509,60,-1
174,1.537602,172,1
175,1.54587,60,-1
176,1.558493,172,1
177,1.572528,172,1
178,1.586308,172,1
179,1.594275,60,-1
180,1.621185,172,1
181,1.622854,60,-1
182,1.640171,172,1
183,1.654482,172,1
184,1.673996,172,1
185,1.676307,60,-1
186,1.698023,172,1
187,1.710833,60,-1
188,1.719389,172,1
189,1.732937,172,1
190,1.746919,172,1
191,1.757619,60,-1
192,1.783089,60,-1
193,1.785978,172,1
194,1.799241,172,1
195,1.810214,172,1
196,1.831925,172,1
197,1.835901,60,-1
