Serial number,time,size,direction
1,0.0,287,1
2,0.008933,79,1
3,0.010199,190,1
4,0.015432,1514,1
5,0.017354,1514,1
6,0.017404,1514,1
7,0.017422,326,1
8,0.037742,127,-1
9,0.038222,60,-1
10,0.044352,74,1
11,0.049287,60,-1
12,0.057979,60,-1
13,0.07667,1514,1
14,0.077961,1514,1
15,0.078285,1514,1
16,0.079854,1514,1
17,0.079875,649,1
18,0.082536,66,-1
19,0.084414,54,1
20,0.087859,312,1
21,0.115346,60,-1
22,0.115349,60,-1
23,0.121075,60,-1
24,0.122477,1514,1
25,0.123929,60,-1
26,0.124293,1514,1
27,0.124316,1514,1
28,0.124332,1392,1
29,0.127516,60,-1
30,0.127518,191,-1
31,0.129444,54,1
32,0.13448,105,1
33,0.136967,172,1
34,0.14999,172,1
35,0.158746,60,-1
36,0.164075,60,-1
37,0.164076,60,-1
38,0.164351,172,1
39,0.173655,60,-1
40,0.184661,60,-1
41,0.196416,145,-1
42,0.196418,92,-1
43,0.198236,172,1
44,0.212782,172,1
45,0.222246,60,-1
46,0.223827,763,1
47,0.233384,60,-1
48,0.233746,172,1
49,0.247515,172,1
50,0.262254,60,-1
51,0.270716,417,-1
52,0.272689,85,1
53,0.272882,54,1
54,0.275737,172,1
55,0.27628,60,-1
56,0.296907,172,1
57,0.310891,172,1
58,0.31184,60,-1
59,0.31315,60,-1
60,0.313218,54,1
61,0.324366,172,1
62,0.346848,60,-1
63,0.359782,172,1
64,0.373996,172,1
65,0.387691,172,1
66,0.398308,60,-1
67,0.408914,172,1
68,0.428255,60,-1
69,0.436588,172,1
70,0.457773,172,1
71,0.471753,60,-1
72,0.472105,172,1
73,0.484783,172,1
74,0.508389,60,-1
75,0.511992,289,1
76,0.512378,190,1
77,0.513249,1514,1
78,0.515148,1514,1
79,0.515222,1285,1
80,0.549945,60,-1
81,0.551395,528,1
82,0.556084,60,-1
83,0.56847,172,1
84,0.596955,172,1
85,0.603357,60,-1
86,0.617746,172,1
87,0.631458,172,1
88,0.645892,172,1
89,0.652857,60,-1
90,0.680847,172,1
91,0.694629,172,1
92,0.69936,60,-1
93,0.709059,172,1
94,0.720569,145,-1
95,0.720923,92,-1
96,0.724717,54,1
97,0.730851,172,1
98,0.747841,60,-1
99,0.778618,172,1
100,0.778781,172,1
101,0.792283,172,1
102,0.806281,172,1
103,0.814878,60,-1
104,0.827526,60,-1
105,0.841473,172,1
106,0.855385,172,1
107,0.868356,172,1
108,0.877076,60,-1
109,0.890121,172,1
110,0.912937,60,-1
111,0.917455,172,1
112,0.938282,172,1
113,0.952655,172,1
114,0.953946,60,-1
115,0.966652,172,1
116,0.987746,60,-1
117,1.001292,172,1
118,1.002038,96,-1
119,1.015679,172,1
120,1.029664,172,1
121,1.043427,172,1
122,1.050972,60,-1
123,1.079096,172,1
124,1.079598,60,-1
125,1.092358,172,1
126,1.113256,172,1
127,1.127649,172,1
128,1.128246,60,-1
129,1.155293,172,1
130,1.163346,60,-1
131,1.176834,172,1
132,1.190907,172,1
133,1.204581,172,1
134,1.213654,60,-1
135,1.240452,60,-1
136,1.24074,172,1
137,1.253859,172,1
138,1.267865,172,1
139,1.288473,172,1
140,1.289562,60,-1
141,1.316792,172,1
142,1.324568,60,-1
143,1.337599,172,1
144,1.35143,172,1
145,1.372255,172,1
146,1.372753,60,-1
147,1.402146,172,1
148,1.407867,60,-1
149,1.414797,172,1
150,1.429077,172,1
151,1.449842,60,-1
152,1.475849,172,1
153,1.477424,172,1
154,1.491916,172,1
155,1.509973,60,-1
156,1.512739,172,1
157,1.519409,60,-1
158,1.524804,60,-1
159,1.526452,172,1
160,1.529321,60,-1
161,1.548018,60,-1
162,1.562427,172,1
163,1.562857,60,-1
164,1.576001,172,1
165,1.589862,172,1
166,1.597519,60,-1
167,1.603881,172,1
168,1.610565,60,-1
169,1.624544,60,-1
170,1.638581,172,1
171,1.639038,60,-1
172,1.652403,172,1
173,1.674271,60,-1
174,1.675094,172,1
175,1.68664,172,1
176,1.687315,60,-1
177,1.709896,60,-1
178,1.721491,172,1
179,1.722723,60,-1
180,1.735673,172,1
181,1.752439,172,1
182,1.756953,60,-1
183,1.764197,172,1
184,1.771852,60,-1
185,1.788607,60,-1
186,1.799835,60,-1
187,1.800862,172,1
188,1.814847,172,1
189,1.83367,172,1
