Serial number,time,size,direction
1,0.0,641,1
2,0.000994,190,1
3,0.00214,1514,1
4,0.002632,1514,1
5,0.002677,1514,1
6,0.003669,781,1
7,0.005018,180,1
8,0.006825,1514,1
9,0.006976,136,1
10,0.03774,79,1
11,0.045662,60,-1
12,0.045836,60,-1
13,0.046607,60,-1
14,0.046609,60,-1
15,0.050722,1514,1
16,0.051194,60,-1
17,0.051625,1514,1
18,0.051668,1514,1
19,0.051701,1161,1
20,0.052343,60,-1
21,0.052345,60,-1
22,0.062367,127,-1
23,0.06619,74,1
24,0.09718,60,-1
25,0.102336,60,-1
26,0.102339,60,-1
27,0.102341,60,-1
28,0.1036,1514,1
29,0.104189,66,-1
30,0.104669,1514,1
31,0.104738,1514,1
32,0.104774,1514,1
33,0.104812,92,1
34,0.11387,54,1
35,0.11622,172,1
36,0.116709,312,1
37,0.143407,172,1
38,0.149325,60,-1
39,0.150463,60,-1
40,0.161137,60,-1
41,0.161497,60,-1
42,0.164209,172,1
43,0.165446,60,-1
44,0.166355,191,-1
45,0.16766,54,1
46,0.1696,105,1
47,0.178528,172,1
48,0.188423,60,-1
49,0.194014,172,1
50,0.208246,60,-1
51,0.222476,60,-1
52,0.226539,172,1
53,0.236441,60,-1
54,0.240798,172,1
55,0.244016,146,-1
56,0.24402,92,-1
57,0.245909,54,1
58,0.253375,60,-1
59,0.254926,766,1
60,0.255197,172,1
61,0.275689,172,1
62,0.285202,60,-1
63,0.299932,60,-1
64,0.303819,172,1
65,0.308015,417,-1
66,0.310156,85,1
67,0.310343,54,1
68,0.320208,60,-1
69,0.323863,172,1
70,0.337728,172,1
71,0.352172,172,1
72,0.358178,60,-1
73,0.359839,54,1
74,0.374422,60,-1
75,0.386366,172,1
76,0.400523,172,1
77,0.403657,60,-1
78,0.416229,172,1
79,0.436824,172,1
80,0.443661,60,-1
81,0.464513,172,1
82,0.477909,60,-1
83,0.484962,172,1
84,0.498783,172,1
85,0.512826,172,1
86,0.52961,60,-1
87,0.540998,288,1
88,0.541695,190,1
89,0.542747,1514,1
90,0.54383,1514,1
91,0.543948,1514,1
92,0.544265,406,1
93,0.544348,136,1
94,0.555465,60,-1
95,0.557119,210,1
96,0.561446,172,1
97,0.583931,60,-1
98,0.585685,172,1
99,0.589582,60,-1
100,0.593478,60,-1
101,0.596856,172,1
102,0.598932,60,-1
103,0.625436,172,1
104,0.625859,60,-1
105,0.659786,172,1
106,0.659945,172,1
107,0.665932,60,-1
108,0.67334,172,1
109,0.703904,60,-1
110,0.706367,146,-1
111,0.706369,92,-1
112,0.70841,172,1
113,0.724201,172,1
114,0.736602,172,1
115,0.750239,172,1
116,0.750384,60,-1
117,0.778456,60,-1
118,0.785804,172,1
119,0.799425,172,1
120,0.820408,172,1
121,0.830631,60,-1
122,0.83479,172,1
123,0.862581,172,1
124,0.865899,60,-1
125,0.883429,172,1
126,0.897697,172,1
127,0.904553,60,-1
128,0.911664,172,1
129,0.938323,60,-1
130,0.946314,172,1
131,0.960572,172,1
132,0.974778,172,1
133,0.991959,60,-1
134,0.995522,172,1
135,1.021476,60,-1
136,1.022759,172,1
137,1.043593,172,1
138,1.057593,172,1
139,1.064124,60,-1
140,1.071848,172,1
141,1.100658,60,-1
142,1.106215,172,1
143,1.119749,172,1
144,1.140756,172,1
145,1.147679,60,-1
146,1.154513,172,1
147,1.182967,60,-1
148,1.183561,172,1
149,1.203725,172,1
150,1.217463,172,1
151,1.225467,60,-1
152,1.231447,172,1
153,1.257635,60,-1
154,1.271631,172,1
155,1.284311,172,1
156,1.294823,172,1
157,1.312799,60,-1
158,1.316311,172,1
159,1.335039,60,-1
160,1.335467,96,-1
161,1.3599,172,1
162,1.364765,172,1
163,1.37854,172,1
164,1.392555,172,1
165,1.402374,60,-1
166,1.424928,60,-1
167,1.425964,172,1
168,1.440428,172,1
169,1.460971,172,1
170,1.470647,60,-1
171,1.47501,172,1
172,1.506651,60,-1
173,1.508436,172,1
174,1.52609,172,1
175,1.537812,172,1
176,1.551131,60,-1
177,1.552077,172,1
178,1.586006,60,-1
179,1.587094,172,1
180,1.60085,172,1
181,1.615122,172,1
182,1.633035,60,-1
183,1.635936,172,1
184,1.657827,60,-1
185,1.663577,172,1
186,1.684739,172,1
187,1.698493,172,1
188,1.708207,60,-1
189,1.712518,172,1
190,1.740561,60,-1
191,1.747649,172,1
192,1.761501,172,1
193,1.775603,172,1
194,1.78931,60,-1
195,1.79873,172,1
196,1.817492,60,-1
197,1.824529,172,1
198,1.838704,172,1
199,1.859649,172,1
200,1.865172,60,-1
201,1.873503,172,1
202,1.900004,60,-1
203,1.908563,172,1
204,1.922792,172,1
205,1.937005,172,1
206,1.948408,60,-1
207,1.952123,172,1
208,1.978196,60,-1
209,1.985958,172,1
210,1.999507,172,1
211,2.020475,172,1
212,2.034314,60,-1
213,2.03557,60,-1
214,2.04365,60,-1
215,2.060329,172,1
216,2.060984,60,-1
217,2.062605,172,1
218,2.083762,172,1
219,2.099057,172,1
220,2.105462,60,-1
221,2.111917,172,1
222,2.128919,60,-1
223,2.139575,60,-1
224,2.146456,172,1
225,2.153761,60,-1
226,2.160632,172,1
227,2.174836,172,1
228,2.187893,60,-1
229,2.194787,172,1
230,2.204629,60,-1
231,2.216429,60,-1
232,2.223361,172,1
233,2.237965,60,-1
234,2.243587,172,1
235,2.257529,172,1
236,2.26375,60,-1
237,2.275629,172,1
238,2.286861,60,-1
239,2.298588,60,-1
240,2.306486,172,1
241,2.31709,60,-1
242,2.320554,172,1
243,2.335182,172,1
244,2.348161,60,-1
245,2.355564,172,1
246,2.362001,60,-1
247,2.377735,60,-1
248,2.383805,172,1
249,2.398476,60,-1
250,2.404062,172,1
251,2.417647,172,1
252,2.424629,60,-1
253,2.431653,172,1
254,2.44923,60,-1
255,2.458313,60,-1
256,2.467194,172,1
257,2.468721,434,-1
258,2.484045,707,-1
259,2.484906,136,1
260,2.485087,92,1
261,2.502056,74,1
262,2.520947,54,1
263,2.525076,60,-1
264,2.538149,66,-1
265,2.539535,54,1
266,2.54352,312,1
267,2.591016,60,-1
268,2.594757,60,-1
269,2.594959,191,-1
270,2.596633,54,1
271,2.596941,105,1
272,2.678647,60,-1
273,2.683142,809,1
274,2.726268,60,-1
275,2.730371,417,-1
276,2.761724,85,1
277,2.761878,54,1
278,2.805435,60,-1
279,2.806648,60,-1
280,2.809926,54,1
281,2.820338,460,-1
282,2.824898,54,1
283,2.832794,74,1
284,2.872556,66,-1
285,2.879073,54,1
286,2.881192,312,1
287,2.902863,1514,-1
288,2.903143,1514,-1
289,2.903435,1514,-1
290,2.903736,1514,-1
291,2.903951,1514,-1
292,2.904141,1514,-1
293,2.904843,1514,-1
294,2.905022,1514,-1
295,2.905212,54,1
296,2.905373,1514,-1
297,2.905416,54,1
298,2.905496,54,1
299,2.90574,1514,-1
300,2.90635,54,1
301,2.906464,54,1
302,2.907307,54,1
303,2.907499,54,1
304,2.908438,54,1
305,2.90861,54,1
306,2.910206,54,1
307,2.917651,60,-1
308,2.928826,60,-1
309,2.928828,191,-1
310,2.930184,54,1
311,2.932849,105,1
312,2.949817,1514,-1
313,2.950143,1514,-1
314,2.95035,1514,-1
315,2.950547,1514,-1
316,2.95084,1514,-1
317,2.951131,1514,-1
318,2.951205,1514,-1
319,2.951207,96,-1
320,2.951679,54,1
321,2.952332,54,1
322,2.952495,54,1
323,2.953573,54,1
324,2.953774,54,1
325,2.954851,54,1
326,2.95562,54,1
327,2.958661,96,1
328,2.96365,74,1
329,3.005558,66,-1
330,3.007485,54,1
331,3.008981,312,1
332,3.032789,60,-1
333,3.034314,782,1
334,3.047193,60,-1
335,3.052934,60,-1
336,3.052935,191,-1
337,3.053459,60,-1
338,3.054945,54,1
339,3.055061,105,1
340,3.074004,60,-1
341,3.080157,417,-1
342,3.083698,287,1
343,3.09047,190,1
344,3.090656,85,1
345,3.090731,54,1
346,3.092784,1514,1
347,3.092807,1514,1
348,3.092825,1514,1
349,3.092858,402,1
350,3.103582,136,1
351,3.103866,92,1
352,3.12641,60,-1
353,3.138778,60,-1
354,3.139206,60,-1
355,3.139208,60,-1
356,3.139209,60,-1
357,3.140198,54,1
358,3.144214,60,-1
359,3.144217,60,-1
360,3.14721,60,-1
361,3.148767,788,1
362,3.194551,60,-1
363,3.202096,417,-1
364,3.203902,85,1
365,3.20411,54,1
