Serial number,time,size,direction
1,0.0,287,1
2,0.000292,190,1
3,0.002734,1078,1
4,0.004541,1078,1
5,0.004616,1078,1
6,0.004647,1078,1
7,0.00522,79,1
8,0.036825,127,-1
9,0.038166,60,-1
10,0.046842,60,-1
11,0.047402,1078,1
12,0.047683,74,1
13,0.047793,60,-1
14,0.047795,60,-1
15,0.053451,1078,1
16,0.053893,1078,1
17,0.053939,1078,1
18,0.05548,1078,1
19,0.055555,1078,1
20,0.086762,60,-1
21,0.088288,1078,1
22,0.089736,66,-1
23,0.091016,54,1
24,0.092397,312,1
25,0.094075,60,-1
26,0.094077,60,-1
27,0.095812,1078,1
28,0.097172,655,1
29,0.100857,60,-1
30,0.10086,60,-1
31,0.111396,1078,1
32,0.111869,1078,1
33,0.111913,1078,1
34,0.113355,1078,1
35,0.126321,60,-1
36,0.130566,1078,1
37,0.133721,60,-1
38,0.134716,60,-1
39,0.134905,191,-1
40,0.136585,54,1
41,0.137398,105,1
42,0.138898,60,-1
43,0.144182,930,1
44,0.150771,60,-1
45,0.152904,172,1
46,0.158194,60,-1
47,0.167567,60,-1
48,0.1743,172,1
49,0.18287,60,-1
50,0.187925,172,1
51,0.194493,60,-1
52,0.202559,172,1
53,0.212251,60,-1
54,0.224416,60,-1
55,0.225924,766,1
56,0.228762,147,-1
57,0.228765,92,-1
58,0.230526,54,1
59,0.23679,172,1
60,0.242984,60,-1
61,0.250616,172,1
62,0.264636,172,1
63,0.267874,60,-1
64,0.274455,417,-1
65,0.276842,85,1
66,0.27699,54,1
67,0.285785,172,1
68,0.287754,60,-1
69,0.313437,172,1
70,0.318468,60,-1
71,0.319756,54,1
72,0.327618,172,1
73,0.32915,60,-1
74,0.348974,172,1
75,0.362314,172,1
76,0.364269,60,-1
77,0.401463,172,1
78,0.40165,60,-1
79,0.411348,172,1
80,0.425383,172,1
81,0.439532,172,1
82,0.451169,60,-1
83,0.474288,172,1
84,0.478074,60,-1
85,0.488337,172,1
86,0.509274,172,1
87,0.524336,172,1
