Serial number,time,size,direction
1,0.0,288,1
2,0.000594,1514,1
3,0.000674,1514,1
4,0.000736,1514,1
5,0.000768,258,1
6,0.00516,74,1
7,0.036675,60,-1
8,0.038593,1514,1
9,0.04307,60,-1
10,0.043228,60,-1
11,0.04323,96,-1
12,0.044966,1514,1
13,0.046005,66,-1
14,0.046807,1514,1
15,0.048424,1514,1
16,0.048465,862,1
17,0.049486,54,1
18,0.050923,312,1
19,0.083087,60,-1
20,0.084683,54,1
21,0.088209,60,-1
22,0.088212,60,-1
23,0.092712,60,-1
24,0.092861,191,-1
25,0.09456,54,1
26,0.096904,105,1
27,0.123568,1514,1
28,0.125274,1514,1
29,0.12537,1514,1
30,0.151003,1514,1
31,0.151264,172,1
32,0.162253,145,-1
33,0.162256,92,-1
34,0.164031,290,1
35,0.167065,60,-1
36,0.183869,172,1
37,0.188597,60,-1
38,0.191316,60,-1
39,0.19619,765,1
40,0.197903,172,1
41,0.211967,172,1
42,0.223721,60,-1
43,0.234909,60,-1
44,0.240754,417,-1
45,0.242893,85,1
46,0.243057,54,1
47,0.245694,172,1
48,0.247317,60,-1
49,0.25969,172,1
50,0.282574,60,-1
51,0.2828,172,1
52,0.28425,54,1
53,0.294272,172,1
54,0.303409,60,-1
55,0.322464,172,1
56,0.331187,60,-1
57,0.343004,172,1
58,0.357026,172,1
59,0.370952,172,1
60,0.378713,60,-1
61,0.406063,172,1
62,0.408862,60,-1
63,0.420071,172,1
64,0.434059,172,1
65,0.455405,172,1
66,0.458112,60,-1
67,0.483152,172,1
68,0.493398,60,-1
69,0.505293,172,1
70,0.512025,288,1
71,0.521986,190,1
72,0.523594,1514,1
73,0.549704,60,-1
74,0.551693,1514,1
75,0.553168,1514,1
76,0.563615,60,-1
77,0.565392,181,1
78,0.567321,172,1
79,0.588935,60,-1
80,0.590736,172,1
81,0.595483,172,1
82,0.601872,60,-1
83,0.616283,172,1
84,0.627186,60,-1
85,0.644166,172,1
86,0.655159,60,-1
87,0.658019,172,1
88,0.679139,172,1
89,0.693676,172,1
90,0.696532,60,-1
91,0.727928,172,1
92,0.730048,60,-1
93,0.741856,172,1
94,0.747607,145,-1
95,0.74761,92,-1
96,0.749873,54,1
97,0.75926,172,1
98,0.770308,172,1
99,0.781061,60,-1
100,0.805435,172,1
101,0.80633,60,-1
102,0.821071,172,1
103,0.85071,172,1
104,0.853992,172,1
105,0.860478,60,-1
106,0.882128,172,1
107,0.893429,60,-1
108,0.902821,172,1
109,0.918082,172,1
110,0.931262,172,1
111,0.942607,60,-1
112,0.965973,172,1
113,0.967702,60,-1
114,0.979864,172,1
115,0.99421,172,1
116,1.015038,172,1
117,1.017059,60,-1
118,1.043168,172,1
119,1.052231,60,-1
120,1.063823,172,1
121,1.077918,172,1
122,1.091871,172,1
123,1.099451,60,-1
124,1.128165,172,1
125,1.128822,60,-1
126,1.140935,172,1
127,1.155127,172,1
128,1.176228,172,1
129,1.181406,60,-1
130,1.204872,172,1
131,1.212696,60,-1
132,1.218382,172,1
133,1.239658,172,1
134,1.252967,172,1
135,1.254851,60,-1
136,1.288415,172,1
137,1.288827,60,-1
138,1.302182,172,1
139,1.316271,172,1
140,1.329946,172,1
141,1.338797,60,-1
142,1.364942,172,1
143,1.367352,60,-1
144,1.379251,172,1
145,1.401419,172,1
146,1.41423,172,1
147,1.424294,60,-1
148,1.448171,172,1
149,1.450819,60,-1
150,1.462213,172,1
151,1.478968,172,1
152,1.490957,172,1
153,1.502585,60,-1
154,1.528347,60,-1
155,1.556104,172,1
156,1.556346,172,1
157,1.560884,172,1
158,1.574693,172,1
159,1.593265,60,-1
160,1.603594,172,1
161,1.611084,60,-1
162,1.623621,172,1
163,1.637777,172,1
164,1.651909,172,1
165,1.661616,60,-1
166,1.686586,172,1
167,1.687734,60,-1
168,1.700067,172,1
169,1.721297,172,1
170,1.735071,172,1
171,1.735822,60,-1
172,1.763381,172,1
173,1.773447,60,-1
174,1.784123,172,1
175,1.798097,172,1
176,1.812613,172,1
177,1.820819,60,-1
178,1.847236,172,1
179,1.849412,60,-1
180,1.860882,172,1
181,1.874989,172,1
182,1.896354,172,1
183,1.898566,60,-1
184,1.923889,172,1
185,1.93257,60,-1
186,1.938137,172,1
187,1.96039,172,1
188,1.972823,172,1
189,1.975968,60,-1
190,2.008526,172,1
191,2.009459,60,-1
192,2.022086,172,1
193,2.036066,172,1
194,2.050009,172,1
195,2.058679,60,-1
196,2.08488,172,1
197,2.089473,60,-1
198,2.098899,172,1
199,2.119945,172,1
200,2.134204,172,1
201,2.145028,60,-1
202,2.16193,172,1
203,2.170811,60,-1
204,2.183187,172,1
205,2.196863,172,1
206,2.210335,172,1
207,2.219819,60,-1
208,2.24584,60,-1
209,2.25602,172,1
210,2.25967,172,1
211,2.28006,172,1
212,2.294032,172,1
213,2.297945,60,-1
214,2.323705,172,1
215,2.330403,60,-1
216,2.343087,172,1
217,2.357017,172,1
218,2.370395,172,1
219,2.378927,60,-1
220,2.405068,172,1
221,2.406962,60,-1
222,2.419121,172,1
223,2.440914,172,1
224,2.454966,172,1
225,2.455395,60,-1
226,2.482171,172,1
227,2.493947,60,-1
228,2.502997,172,1
229,2.516392,434,-1
230,2.517121,172,1
231,2.523981,136,1
232,2.524949,92,1
233,2.533602,704,-1
234,2.542069,74,1
235,2.554074,60,-1
236,2.565691,60,-1
237,2.57463,54,1
238,2.580092,66,-1
239,2.581526,54,1
240,2.583518,312,1
241,2.622718,60,-1
242,2.626111,60,-1
243,2.627168,191,-1
244,2.628615,54,1
245,2.630953,105,1
246,2.719201,60,-1
247,2.720955,809,1
248,2.762093,60,-1
249,2.768687,417,-1
250,2.771197,85,1
251,2.771456,54,1
252,2.808593,60,-1
253,2.813169,54,1
254,2.813378,60,-1
255,2.940007,1514,-1
256,2.940187,1514,-1
257,2.940305,1514,-1
258,2.940499,1514,-1
259,2.940615,1514,-1
260,2.940809,1514,-1
261,2.940996,1514,-1
262,2.941305,1514,-1
263,2.941512,1514,-1
264,2.943343,1514,-1
265,2.956118,54,1
266,2.95786,54,1
267,2.957957,54,1
268,2.963336,54,1
269,2.963516,54,1
270,2.963681,54,1
271,2.96382,54,1
272,2.963907,54,1
273,2.963977,54,1
274,2.964049,54,1
275,2.99335,1514,-1
