Serial number,time,size,direction
1,0.0,66,1
2,0.831636,287,1
3,0.832155,190,1
4,0.832196,1514,1
5,0.832237,1514,1
6,0.832275,1514,1
7,0.832567,719,1
8,0.842548,79,1
9,0.867343,127,-1
10,0.871987,74,1
11,0.879565,60,-1
12,0.880455,60,-1
13,0.880459,60,-1
14,0.880668,60,-1
15,0.885171,1514,1
16,0.886103,1514,1
17,0.886157,1514,1
18,0.886188,1514,1
19,0.887551,1506,1
20,0.893944,1514,1
21,0.909325,66,-1
22,0.910783,54,1
23,0.912125,312,1
24,0.927338,60,-1
25,0.931027,1514,1
26,0.932541,60,-1
27,0.933069,60,-1
28,0.933071,60,-1
29,0.934986,1514,1
30,0.935551,1514,1
31,0.935608,130,1
32,0.935768,172,1
33,0.937455,60,-1
34,0.94704,60,-1
35,0.949422,172,1
36,0.952141,60,-1
37,0.952144,191,-1
38,0.954039,54,1
39,0.954493,105,1
40,0.971307,60,-1
41,0.972712,172,1
42,0.979737,60,-1
43,0.97974,60,-1
44,0.991408,60,-1
45,0.997387,172,1
46,1.005337,146,-1
47,1.00534,92,-1
48,1.008879,54,1
49,1.01554,96,-1
50,1.018616,172,1
51,1.032669,172,1
52,1.041426,60,-1
53,1.043234,764,1
54,1.046079,172,1
55,1.060055,60,-1
56,1.079398,60,-1
57,1.086396,417,-1
58,1.088327,60,-1
59,1.111849,172,1
60,1.112041,172,1
61,1.112175,172,1
62,1.113498,85,1
63,1.113663,54,1
64,1.130182,172,1
65,1.151451,60,-1
66,1.153335,60,-1
67,1.154772,54,1
68,1.158531,172,1
69,1.170529,60,-1
70,1.172,172,1
71,1.192998,172,1
72,1.207415,172,1
73,1.215214,60,-1
74,1.242004,172,1
75,1.253791,60,-1
76,1.255909,172,1
77,1.270537,172,1
78,1.284212,172,1
79,1.298783,60,-1
80,1.320062,172,1
81,1.325387,60,-1
82,1.33391,172,1
83,1.357427,325,1
84,1.357739,132,1
85,1.357891,190,1
86,1.35879,1514,1
87,1.377312,60,-1
88,1.378949,1514,1
89,1.380551,1514,1
90,1.402819,60,-1
91,1.404462,778,1
92,1.418164,172,1
93,1.424814,60,-1
94,1.431129,172,1
95,1.445621,172,1
96,1.458566,60,-1
97,1.480207,172,1
98,1.489587,60,-1
99,1.494335,172,1
100,1.508678,172,1
101,1.529027,172,1
102,1.533907,60,-1
103,1.541326,146,-1
104,1.541331,92,-1
105,1.545045,54,1
106,1.560436,172,1
107,1.572592,60,-1
108,1.578289,172,1
109,1.591955,172,1
110,1.605118,172,1
111,1.628163,60,-1
112,1.640263,172,1
113,1.645236,60,-1
114,1.654134,172,1
115,1.668287,172,1
116,1.689512,172,1
117,1.69556,60,-1
118,1.716769,172,1
119,1.737337,60,-1
120,1.738844,172,1
121,1.757173,172,1
122,1.766206,172,1
123,1.787411,60,-1
124,1.806292,60,-1
125,1.81172,172,1
126,1.814834,172,1
127,1.828928,172,1
128,1.852294,172,1
129,1.857593,60,-1
130,1.878249,172,1
131,1.891911,172,1
132,1.895031,60,-1
133,1.912937,172,1
134,1.927297,172,1
135,1.933891,60,-1
136,1.961903,172,1
137,1.968742,60,-1
138,1.977955,172,1
139,1.992591,172,1
140,2.006581,172,1
141,2.0176,60,-1
142,2.039193,172,1
143,2.049288,60,-1
144,2.052454,172,1
145,2.072889,172,1
146,2.087059,172,1
147,2.092762,60,-1
148,2.122608,172,1
149,2.127169,60,-1
150,2.136446,172,1
151,2.151255,172,1
152,2.165005,172,1
153,2.175522,60,-1
154,2.198988,172,1
155,2.204574,60,-1
156,2.212973,172,1
157,2.234398,172,1
158,2.249163,172,1
159,2.254303,60,-1
160,2.276612,172,1
161,2.292059,60,-1
162,2.297379,172,1
163,2.311178,172,1
164,2.325018,172,1
165,2.33739,60,-1
166,2.359911,172,1
167,2.367402,60,-1
168,2.37395,172,1
169,2.38799,172,1
170,2.409495,172,1
171,2.414751,60,-1
172,2.437033,172,1
173,2.449635,60,-1
174,2.459192,172,1
175,2.472812,172,1
176,2.498732,60,-1
177,2.511893,172,1
178,2.521729,172,1
179,2.534848,172,1
180,2.548952,172,1
181,2.551096,60,-1
182,2.57016,172,1
183,2.57479,60,-1
184,2.59825,172,1
185,2.61205,172,1
186,2.614501,60,-1
187,2.632021,172,1
188,2.646773,172,1
189,2.65442,60,-1
190,2.676443,54,1
191,2.680899,172,1
192,2.688153,60,-1
193,2.695096,172,1
194,2.709241,172,1
195,2.730081,172,1
196,2.739676,60,-1
197,2.758198,172,1
198,2.773999,60,-1
199,2.778143,172,1
200,2.791862,172,1
201,2.806886,172,1
202,2.818719,60,-1
203,2.841241,172,1
204,2.850456,60,-1
205,2.854801,172,1
206,2.869958,172,1
207,2.89275,172,1
208,2.900343,60,-1
209,2.918851,172,1
210,2.932055,172,1
211,2.934137,60,-1
212,2.953716,172,1
213,2.966916,172,1
214,2.976654,60,-1
215,3.002401,172,1
216,3.009811,60,-1
217,3.016096,172,1
218,3.030213,172,1
219,3.044581,172,1
220,3.056451,60,-1
221,3.080697,172,1
222,3.088376,60,-1
223,3.092935,172,1
224,3.114062,172,1
225,3.13372,172,1
226,3.140439,60,-1
227,3.156122,172,1
228,3.175399,60,-1
229,3.177179,172,1
230,3.20639,172,1
231,3.206541,172,1
232,3.217652,60,-1
233,3.240554,172,1
234,3.249107,60,-1
235,3.25447,172,1
236,3.268208,172,1
237,3.289119,172,1
238,3.29678,60,-1
239,3.317398,172,1
240,3.329391,60,-1
241,3.338049,172,1
242,3.352086,172,1
243,3.366655,172,1
244,3.378701,60,-1
245,3.401308,172,1
246,3.409532,60,-1
247,3.415211,172,1
248,3.42992,172,1
249,3.450582,172,1
250,3.458162,60,-1
251,3.478929,172,1
252,3.492166,60,-1
253,3.493071,172,1
254,3.513415,172,1
255,3.528136,172,1
256,3.535436,60,-1
257,3.562716,172,1
258,3.571103,60,-1
259,3.575944,172,1
260,3.590067,172,1
261,3.604788,172,1
262,3.615324,60,-1
263,3.638973,172,1
264,3.646858,60,-1
265,3.652834,172,1
266,3.67449,172,1
267,3.688247,172,1
268,3.693806,60,-1
269,3.721617,172,1
270,3.729366,60,-1
271,3.738218,172,1
272,3.751481,172,1
273,3.765039,172,1
274,3.779791,60,-1
275,3.800095,172,1
276,3.806524,60,-1
277,3.814046,172,1
278,3.828569,172,1
279,3.849631,172,1
280,3.855388,60,-1
281,3.877282,172,1
282,3.892568,60,-1
283,3.906421,172,1
284,3.912243,172,1
285,3.926285,172,1
286,3.936815,434,-1
287,3.947124,136,1
288,3.9477,92,1
289,3.951896,60,-1
290,3.959287,717,-1
291,3.965627,74,1
292,3.98984,60,-1
293,3.996414,54,1
294,4.004953,66,-1
295,4.008631,54,1
296,4.010355,312,1
297,4.04751,60,-1
298,4.052092,60,-1
299,4.052676,191,-1
300,4.05392,54,1
301,4.054284,105,1
302,4.135549,60,-1
303,4.140576,809,1
304,4.179958,60,-1
305,4.184511,417,-1
306,4.186532,85,1
307,4.186717,54,1
308,4.224759,60,-1
309,4.229375,54,1
310,4.328789,460,-1
311,4.333515,54,1
312,4.339759,74,1
313,4.377076,66,-1
314,4.378767,54,1
315,4.380106,312,1
316,4.419996,60,-1
317,4.420935,60,-1
318,4.420939,191,-1
319,4.425259,54,1
320,4.425654,105,1
321,4.447059,1514,-1
322,4.447503,1514,-1
323,4.447505,1514,-1
324,4.447668,1514,-1
325,4.447777,1514,-1
326,4.447881,1514,-1
327,4.447924,1514,-1
328,4.448034,1514,-1
329,4.448297,1514,-1
330,4.448462,1514,-1
331,4.449681,54,1
332,4.450026,54,1
333,4.450177,54,1
334,4.457834,54,1
335,4.458122,54,1
336,4.458256,54,1
337,4.458401,54,1
338,4.458606,54,1
339,4.458747,54,1
340,4.458877,54,1
341,4.490369,1514,-1
342,4.490583,1514,-1
343,4.490722,1514,-1
344,4.490959,1514,-1
345,4.493052,54,1
346,4.493214,54,1
347,4.493387,54,1
348,4.495193,1514,-1
349,4.495558,1514,-1
350,4.501009,1514,-1
351,4.501413,1514,-1
352,4.501543,1514,-1
353,4.501676,1514,-1
354,4.501847,1514,-1
355,4.501965,1514,-1
356,4.502181,1514,-1
357,4.502391,1514,-1
358,4.50256,1514,-1
359,4.502787,1514,-1
360,4.503028,1514,-1
361,4.503629,54,1
362,4.503785,54,1
363,4.503927,54,1
364,4.504842,54,1
365,4.505789,54,1
366,4.507008,54,1
367,4.507684,60,-1
368,4.509814,96,1
369,4.50997,54,1
370,4.510785,779,1
371,4.521718,288,1
372,4.522828,1514,1
373,4.522895,1514,1
374,4.522927,1514,1
375,4.522957,74,1
376,4.524251,674,1
377,4.533622,1514,-1
378,4.533848,1514,-1
379,4.534014,787,-1
380,4.536857,54,1
381,4.550431,60,-1
382,4.55563,417,-1
383,4.558052,85,1
384,4.558424,54,1
385,4.562624,60,-1
386,4.565552,66,-1
387,4.568057,60,-1
388,4.568948,60,-1
389,4.569088,54,1
390,4.569762,54,1
391,4.570643,312,1
392,4.594434,60,-1
393,4.607176,60,-1
394,4.611681,60,-1
395,4.611994,54,1
396,4.612423,191,-1
397,4.614164,54,1
398,4.617213,105,1
399,4.667043,146,-1
400,4.667045,92,-1
401,4.672028,54,1
402,4.701427,60,-1
403,4.703095,786,1
404,4.744632,60,-1
405,4.7494,417,-1
406,4.752057,85,1
407,4.752292,54,1
408,4.792717,287,1
409,4.793079,1514,1
410,4.793488,60,-1
411,4.793644,1514,1
412,4.793669,1514,1
413,4.795077,679,1
414,4.795261,54,1
415,4.841011,60,-1
416,4.841013,60,-1
417,4.863732,287,1
418,4.869722,190,1
419,4.8701,1514,1
420,4.870667,1514,1
421,4.8707,1514,1
422,4.88548,475,-1
423,4.88727,539,1
424,4.89119,74,1
425,4.917157,60,-1
426,4.917409,60,-1
427,4.927109,60,-1
428,4.930273,66,-1
429,4.931606,54,1
430,4.933693,312,1
431,4.937816,146,-1
432,4.93906,92,-1
433,4.941442,146,-1
434,4.941444,92,-1
435,4.941544,54,1
436,4.943037,54,1
437,4.971287,60,-1
438,4.97541,60,-1
439,4.976086,191,-1
440,4.978069,54,1
