Serial number,time,size,direction
1,0.0,286,1
2,0.00044,190,1
3,0.00091,1514,1
4,0.001025,1514,1
5,0.001066,1514,1
6,0.001131,88,1
7,0.001685,180,1
8,0.002198,1514,1
9,0.002363,112,1
10,0.019436,286,1
11,0.019662,79,1
12,0.042148,60,-1
13,0.044109,1514,1
14,0.045575,1514,1
15,0.047719,60,-1
16,0.048746,60,-1
17,0.04875,60,-1
18,0.048752,60,-1
19,0.048754,60,-1
20,0.051351,1514,1
21,0.052018,223,1
22,0.058241,95,-1
23,0.060904,60,-1
24,0.064188,74,1
25,0.083352,1514,1
26,0.084033,1514,1
27,0.084093,1514,1
28,0.085401,1152,1
29,0.086514,60,-1
30,0.090779,60,-1
31,0.096725,60,-1
32,0.100647,66,-1
33,0.10212,54,1
34,0.103621,312,1
35,0.113376,172,1
36,0.125986,60,-1
37,0.127492,172,1
38,0.135292,60,-1
39,0.135297,60,-1
40,0.138555,60,-1
41,0.143584,60,-1
42,0.144497,1514,-1
43,0.144867,1514,-1
44,0.145187,1514,-1
45,0.145393,1023,-1
46,0.146723,54,1
47,0.148363,54,1
48,0.148611,54,1
49,0.148766,54,1
50,0.149,172,1
51,0.158759,60,-1
52,0.162276,172,1
53,0.168521,60,-1
54,0.176897,146,-1
55,0.1769,92,-1
56,0.178752,54,1
57,0.19619,172,1
58,0.203671,180,1
59,0.207357,60,-1
60,0.210226,172,1
61,0.223874,172,1
62,0.238224,172,1
63,0.245224,105,-1
64,0.246607,54,1
65,0.248781,767,1
66,0.256272,60,-1
67,0.27259,172,1
68,0.28025,60,-1
69,0.286863,172,1
70,0.296978,419,-1
71,0.29917,85,1
72,0.29939,54,1
73,0.308238,172,1
74,0.322184,172,1
75,0.328262,60,-1
76,0.334991,60,-1
77,0.336336,54,1
78,0.350235,172,1
79,0.363017,60,-1
80,0.370978,172,1
81,0.385134,172,1
82,0.398735,172,1
83,0.411668,60,-1
84,0.434909,172,1
85,0.439723,60,-1
86,0.449116,172,1
87,0.464121,172,1
88,0.484262,172,1
89,0.490433,60,-1
90,0.525474,60,-1
91,0.53108,172,1
92,0.532201,287,1
93,0.532361,190,1
94,0.532403,1514,1
95,0.532475,1514,1
96,0.532551,1173,1
97,0.532622,136,1
98,0.532929,92,1
99,0.533123,172,1
100,0.54589,172,1
101,0.560568,172,1
102,0.579344,60,-1
103,0.579348,60,-1
104,0.579349,60,-1
105,0.595727,172,1
106,0.601596,60,-1
107,0.609732,172,1
108,0.623942,172,1
109,0.64478,172,1
110,0.652257,60,-1
111,0.672118,172,1
112,0.67308,146,-1
113,0.673081,92,-1
114,0.674546,54,1
115,0.687016,172,1
116,0.706633,172,1
117,0.71353,60,-1
118,0.721987,172,1
119,0.747875,60,-1
120,0.755545,172,1
121,0.77105,172,1
122,0.783942,172,1
123,0.796689,60,-1
124,0.797916,172,1
125,0.825946,60,-1
126,0.833167,172,1
127,0.847111,172,1
128,0.867874,172,1
129,0.874166,60,-1
130,0.881536,172,1
131,0.909946,172,1
132,0.910362,60,-1
133,0.930866,172,1
134,0.944706,172,1
135,0.951322,60,-1
136,0.959389,172,1
137,0.98747,60,-1
138,0.994229,172,1
139,1.007986,172,1
140,1.022252,172,1
141,1.03716,60,-1
142,1.042854,172,1
143,1.064334,60,-1
144,1.072075,172,1
145,1.091609,172,1
146,1.105452,172,1
147,1.113288,60,-1
148,1.119839,172,1
149,1.147041,60,-1
150,1.154509,172,1
151,1.168574,172,1
152,1.182491,172,1
153,1.195831,60,-1
154,1.204096,172,1
155,1.224295,60,-1
156,1.231432,172,1
157,1.245594,172,1
158,1.27022,172,1
159,1.272371,60,-1
160,1.281131,172,1
161,1.311955,60,-1
162,1.316023,172,1
163,1.32969,172,1
164,1.343645,172,1
165,1.357711,60,-1
166,1.359164,172,1
167,1.384537,60,-1
168,1.39595,172,1
169,1.40695,172,1
170,1.427902,172,1
171,1.437603,60,-1
172,1.44146,172,1
173,1.472193,60,-1
174,1.475578,172,1
175,1.489625,172,1
176,1.504156,172,1
177,1.516949,60,-1
178,1.517964,172,1
179,1.545956,60,-1
180,1.553006,172,1
181,1.567705,172,1
182,1.587768,172,1
183,1.594167,60,-1
184,1.601499,172,1
185,1.629763,172,1
186,1.630723,60,-1
187,1.650669,172,1
188,1.664459,172,1
189,1.671668,60,-1
190,1.68257,172,1
191,1.705746,60,-1
192,1.713557,172,1
193,1.727687,172,1
194,1.742148,172,1
195,1.755191,60,-1
196,1.76258,172,1
197,1.783931,60,-1
198,1.791026,172,1
199,1.813374,172,1
200,1.825362,172,1
201,1.83203,60,-1
202,1.839628,172,1
203,1.866204,60,-1
204,1.874491,172,1
205,1.888894,172,1
206,1.902578,172,1
207,1.923856,60,-1
208,1.934823,434,-1
209,1.936042,172,1
210,1.942395,136,1
211,1.943424,92,1
212,1.952534,697,-1
213,1.960704,74,1
214,1.98419,60,-1
215,1.98633,54,1
216,1.995793,66,-1
217,1.9978,54,1
218,2.001847,312,1
219,2.027587,60,-1
220,2.033887,60,-1
221,2.038135,60,-1
222,2.038465,191,-1
223,2.04064,54,1
224,2.041509,105,1
225,2.126111,60,-1
226,2.13008,808,1
227,2.165192,60,-1
228,2.171742,419,-1
229,2.175499,85,1
230,2.175674,54,1
231,2.2105,60,-1
232,2.215114,54,1
233,2.265842,460,-1
234,2.272515,54,1
235,2.280007,74,1
236,2.318248,66,-1
237,2.32024,54,1
238,2.322658,312,1
239,2.358921,60,-1
240,2.363398,60,-1
241,2.363973,191,-1
242,2.365636,54,1
243,2.371247,105,1
244,2.408849,1514,-1
245,2.40911,1514,-1
246,2.409227,1514,-1
247,2.409348,1514,-1
248,2.409471,1514,-1
249,2.409602,1514,-1
250,2.409715,1514,-1
251,2.409898,1514,-1
252,2.410028,1514,-1
253,2.41024,1514,-1
254,2.414145,54,1
255,2.414496,54,1
256,2.414647,54,1
257,2.415319,54,1
258,2.415607,54,1
259,2.416335,54,1
260,2.416615,54,1
261,2.418187,54,1
262,2.418326,54,1
263,2.419231,54,1
264,2.455858,1514,-1
265,2.456123,1514,-1
266,2.45668,60,-1
267,2.460867,1514,-1
268,2.461086,1514,-1
269,2.461223,756,-1
270,2.462864,54,1
271,2.463205,54,1
272,2.463421,780,1
273,2.46423,54,1
274,2.464626,54,1
275,2.464827,54,1
276,2.485268,74,1
277,2.506003,60,-1
278,2.511755,419,-1
279,2.512347,286,1
280,2.512978,1514,1
281,2.513031,1514,1
282,2.513121,1425,1
283,2.515938,85,1
284,2.516197,54,1
285,2.521412,66,-1
286,2.525465,54,1
287,2.527459,312,1
288,2.557015,60,-1
289,2.55874,54,1
290,2.559565,60,-1
291,2.561356,96,-1
292,2.56136,60,-1
293,2.56411,54,1
294,2.565506,60,-1
295,2.565839,191,-1
296,2.567369,54,1
297,2.567755,105,1
298,2.65455,146,-1
299,2.654552,92,-1
300,2.663093,60,-1
301,2.700115,287,1
302,2.700348,190,1
303,2.700374,54,1
304,2.700469,54,1
305,2.700836,1514,1
306,2.700862,1514,1
307,2.70088,1256,1
308,2.700897,92,1
309,2.701821,784,1
310,2.719001,475,-1
311,2.725791,74,1
312,2.734694,288,1
313,2.736549,1514,1
314,2.736576,1514,1
315,2.736594,1306,1
316,2.742033,60,-1
317,2.747715,60,-1
318,2.748118,60,-1
319,2.748991,174,1
320,2.749213,419,-1
321,2.757269,85,1
322,2.757358,54,1
323,2.76051,146,-1
324,2.760513,92,-1
325,2.762118,54,1
326,2.766716,66,-1
327,2.768056,54,1
328,2.77004,312,1
329,2.782727,60,-1
330,2.782728,60,-1
331,2.794702,60,-1
332,2.795882,54,1
333,2.797848,60,-1
334,2.811647,60,-1
335,2.813017,60,-1
336,2.813019,191,-1
337,2.814352,54,1
338,2.816074,105,1
339,2.838849,60,-1
340,2.859021,146,-1
341,2.859023,92,-1
342,2.863626,54,1
343,2.909911,60,-1
344,2.914785,799,1
345,2.956252,60,-1
346,2.962945,419,-1
347,2.964888,85,1
348,2.965067,54,1
349,3.006777,60,-1
350,3.011385,54,1
