Serial number,time,size,direction
1,0.0,66,1
2,0.022821,1514,-1
3,0.02373,1514,-1
4,0.027038,78,1
5,0.027148,78,1
6,0.050751,579,-1
7,0.050878,1514,-1
8,0.051122,1514,-1
9,0.051314,1514,-1
10,0.053918,66,1
11,0.054723,78,1
12,0.054799,66,1
13,0.055117,66,1
14,0.076658,1514,-1
15,0.076981,1514,-1
16,0.081421,1514,-1
17,0.081606,1514,-1
18,0.081799,1514,-1
19,0.081991,1514,-1
20,0.084834,66,1
21,0.085009,66,1
22,0.085117,66,1
23,0.087095,66,1
24,0.087264,66,1
25,0.087355,66,1
26,0.107723,1514,-1
27,0.108011,1514,-1
28,0.108213,1514,-1
29,0.108322,1514,-1
30,0.108519,1514,-1
31,0.108727,1514,-1
32,0.112412,1514,-1
33,0.112763,1514,-1
34,0.113127,66,1
35,0.113231,66,1
36,0.113445,66,1
37,0.113597,66,1
38,0.113672,66,1
39,0.113744,66,1
40,0.117123,66,1
41,0.13684,1514,-1
42,0.137036,1514,-1
43,0.137214,1514,-1
44,0.137321,1514,-1
45,0.137507,1514,-1
46,0.13783,1514,-1
47,0.139213,66,1
48,0.139419,66,1
49,0.140677,66,1
50,0.141139,1514,-1
51,0.141453,1514,-1
52,0.144806,66,1
53,0.161918,1514,-1
54,0.162122,1514,-1
55,0.162255,1514,-1
56,0.162447,1514,-1
57,0.162996,1514,-1
58,0.163285,1514,-1
59,0.165498,66,1
60,0.165601,66,1
61,0.166948,66,1
62,0.171734,1514,-1
63,0.171986,1514,-1
64,0.174796,66,1
65,0.192967,1514,-1
66,0.193214,1514,-1
67,0.19341,1514,-1
68,0.193606,1514,-1
69,0.193798,1514,-1
70,0.19404,1514,-1
71,0.196473,66,1
72,0.196939,66,1
73,0.197014,66,1
74,0.198133,1514,-1
75,0.19848,1514,-1
76,0.200339,66,1
77,0.219794,1514,-1
78,0.219974,1514,-1
79,0.220122,1514,-1
80,0.22026,1514,-1
81,0.220473,1514,-1
82,0.22076,1514,-1
83,0.222857,66,1
84,0.223102,66,1
85,0.224341,66,1
86,0.225619,1514,-1
87,0.225834,1514,-1
88,0.230809,66,1
89,0.246592,1514,-1
90,0.246806,1514,-1
91,0.246998,1514,-1
92,0.247235,1514,-1
93,0.2486,66,1
94,0.249521,66,1
95,0.251264,1514,-1
96,0.251469,1514,-1
97,0.251688,1514,-1
98,0.251967,1514,-1
99,0.253889,66,1
100,0.254273,66,1
101,0.257659,1514,-1
102,0.259353,66,1
103,0.273266,1514,-1
104,0.273525,1514,-1
105,0.273819,1514,-1
106,0.274153,1514,-1
107,0.274365,1514,-1
108,0.275495,1514,-1
109,0.275815,1514,-1
110,0.277996,1514,-1
111,0.278327,1514,-1
112,0.278478,66,1
113,0.278776,66,1
114,0.280232,66,1
115,0.28083,66,1
116,0.282244,1514,-1
117,0.282592,1514,-1
118,0.283896,66,1
119,0.302476,1514,-1
120,0.302716,1514,-1
121,0.302718,1514,-1
122,0.30285,1514,-1
123,0.302969,1514,-1
124,0.303128,1514,-1
125,0.303235,1514,-1
126,0.303437,1514,-1
127,0.305573,66,1
128,0.307224,1514,-1
129,0.30754,1514,-1
130,0.309229,66,1
131,0.309364,66,1
