Serial number,time,size,direction
1,0.0,287,1
2,0.001272,190,1
3,0.002161,1514,1
4,0.002203,1514,1
5,0.00227,1514,1
6,0.003588,1514,1
7,0.017987,74,1
8,0.038071,60,-1
9,0.043907,60,-1
10,0.044928,60,-1
11,0.044933,60,-1
12,0.044935,60,-1
13,0.055988,66,-1
14,0.143278,1514,1
15,0.143653,1514,1
16,0.14414,1514,1
17,0.144183,695,1
18,0.144245,54,1
19,0.144483,312,1
20,0.179783,1514,1
21,0.180208,1514,1
22,0.180253,1514,1
23,0.184283,60,-1
24,0.186091,1514,1
25,0.186503,172,1
26,0.187217,60,-1
27,0.187768,60,-1
28,0.188751,60,-1
29,0.18928,191,-1
30,0.189874,172,1
31,0.190921,54,1
32,0.191354,105,1
33,0.202696,172,1
34,0.219853,60,-1
35,0.220325,60,-1
36,0.223042,172,1
37,0.224887,60,-1
38,0.229301,60,-1
39,0.240043,60,-1
40,0.257627,146,-1
41,0.257631,92,-1
42,0.261763,172,1
43,0.266056,172,1
44,0.28161,60,-1
45,0.285326,765,1
46,0.285822,172,1
47,0.299263,172,1
48,0.300745,60,-1
49,0.323514,60,-1
50,0.32852,419,-1
51,0.328726,60,-1
52,0.34166,172,1
53,0.343254,85,1
54,0.34352,54,1
55,0.348904,172,1
56,0.362507,172,1
57,0.378818,60,-1
58,0.382667,172,1
59,0.384798,60,-1
60,0.385346,60,-1
61,0.38691,54,1
62,0.401118,60,-1
63,0.421823,172,1
64,0.427901,172,1
65,0.445958,172,1
66,0.459881,60,-1
67,0.460367,172,1
68,0.482833,60,-1
69,0.502417,172,1
70,0.509806,172,1
71,0.514781,295,1
72,0.51609,190,1
73,0.521842,1514,1
74,0.522417,1514,1
75,0.522464,1124,1
76,0.539757,60,-1
77,0.541119,172,1
78,0.543291,172,1
79,0.552828,60,-1
80,0.563766,60,-1
81,0.563769,60,-1
82,0.576277,172,1
83,0.58578,172,1
84,0.593714,60,-1
85,0.606387,172,1
86,0.62036,172,1
87,0.623394,60,-1
88,0.641986,146,-1
89,0.641989,92,-1
90,0.656262,54,1
91,0.656498,172,1
92,0.657108,60,-1
93,0.669305,172,1
94,0.683286,172,1
95,0.697763,172,1
96,0.708144,60,-1
97,0.735595,60,-1
98,0.76932,172,1
99,0.770274,172,1
100,0.770423,172,1
101,0.781705,172,1
102,0.807093,60,-1
103,0.81985,60,-1
104,0.821542,172,1
105,0.830766,172,1
106,0.844261,172,1
107,0.858471,172,1
108,0.867866,60,-1
109,0.896072,60,-1
110,0.907643,172,1
111,0.907768,172,1
112,0.922726,172,1
113,0.942432,172,1
114,0.944911,60,-1
115,0.976148,172,1
116,0.980204,60,-1
117,0.991292,172,1
118,1.005452,172,1
119,1.019207,172,1
120,1.028649,60,-1
121,1.05617,172,1
122,1.059884,60,-1
123,1.067739,172,1
124,1.082205,172,1
125,1.102385,172,1
126,1.105418,60,-1
127,1.136221,172,1
128,1.140028,60,-1
129,1.144773,172,1
130,1.165757,172,1
131,1.181375,172,1
132,1.182104,60,-1
133,1.218127,60,-1
134,1.221665,172,1
135,1.228877,172,1
136,1.245167,172,1
137,1.263369,172,1
138,1.266496,60,-1
139,1.296172,172,1
140,1.300635,60,-1
141,1.307177,172,1
142,1.32631,172,1
143,1.340143,172,1
144,1.344553,60,-1
145,1.364525,96,-1
146,1.379161,172,1
147,1.389595,172,1
148,1.403294,172,1
149,1.416877,60,-1
150,1.417203,172,1
151,1.44072,60,-1
152,1.469208,172,1
153,1.469471,172,1
154,1.487019,172,1
155,1.501653,172,1
156,1.506461,60,-1
157,1.524235,60,-1
158,1.542038,172,1
159,1.5506,172,1
160,1.563914,172,1
161,1.576988,172,1
162,1.581709,60,-1
163,1.601521,60,-1
164,1.616649,172,1
165,1.62564,172,1
166,1.646378,172,1
167,1.654988,60,-1
168,1.660853,172,1
169,1.683831,60,-1
170,1.702358,172,1
171,1.709378,172,1
172,1.723886,172,1
173,1.737718,172,1
174,1.739937,60,-1
175,1.761418,60,-1
176,1.776203,172,1
177,1.786629,172,1
178,1.807556,172,1
179,1.81448,60,-1
180,1.824312,172,1
181,1.844494,60,-1
182,1.856182,172,1
183,1.872705,172,1
184,1.884388,172,1
185,1.894195,60,-1
186,1.898847,172,1
187,1.922093,60,-1
188,1.93691,172,1
189,1.947455,172,1
190,1.961561,172,1
191,1.974061,60,-1
192,1.982166,172,1
193,2.000066,60,-1
194,2.016164,172,1
195,2.03592,172,1
196,2.046254,172,1
197,2.053698,60,-1
198,2.059282,172,1
199,2.084976,60,-1
200,2.102764,172,1
201,2.10841,172,1
202,2.122294,172,1
203,2.13692,172,1
204,2.1408,60,-1
205,2.159365,60,-1
206,2.171597,172,1
207,2.185923,172,1
208,2.208472,60,-1
209,2.209767,172,1
210,2.22031,172,1
211,2.247119,60,-1
212,2.257073,172,1
213,2.269843,172,1
214,2.283393,172,1
215,2.295227,60,-1
216,2.298092,172,1
217,2.31999,60,-1
218,2.336175,172,1
219,2.346679,172,1
220,2.367471,172,1
221,2.381565,60,-1
222,2.384088,172,1
223,2.406243,60,-1
224,2.421591,172,1
225,2.430241,172,1
226,2.444989,172,1
227,2.458944,172,1
228,2.45966,60,-1
229,2.482692,60,-1
230,2.50176,172,1
231,2.507989,172,1
232,2.52176,172,1
233,2.541073,60,-1
234,2.542365,172,1
235,2.559266,60,-1
236,2.576382,172,1
237,2.591835,172,1
238,2.604879,172,1
239,2.613698,60,-1
240,2.619084,172,1
241,2.642277,60,-1
242,2.656296,172,1
243,2.66754,172,1
244,2.681936,172,1
245,2.693232,60,-1
246,2.702691,172,1
247,2.71899,60,-1
248,2.736397,172,1
249,2.745358,172,1
250,2.766765,172,1
251,2.774627,60,-1
252,2.781613,172,1
253,2.805749,60,-1
254,2.821764,172,1
255,2.829644,172,1
256,2.85947,60,-1
257,2.863704,172,1
258,2.863869,172,1
259,2.896181,172,1
260,2.901428,60,-1
261,2.905462,172,1
262,2.926123,172,1
263,2.934127,60,-1
264,2.939347,172,1
265,2.971724,60,-1
266,2.983283,172,1
267,2.988943,172,1
268,3.002414,172,1
269,3.020815,60,-1
270,3.023211,172,1
271,3.039886,60,-1
272,3.056199,172,1
273,3.065651,172,1
274,3.086359,172,1
275,3.09406,60,-1
276,3.100761,172,1
277,3.12428,60,-1
278,3.136192,172,1
279,3.150615,172,1
280,3.163156,172,1
281,3.173192,60,-1
282,3.177319,172,1
283,3.219422,172,1
284,3.225877,172,1
285,3.235097,60,-1
286,3.247151,172,1
287,3.260294,172,1
288,3.276491,60,-1
289,3.285018,60,-1
290,3.297197,60,-1
291,3.302955,172,1
292,3.309247,172,1
293,3.32318,172,1
294,3.338602,172,1
295,3.339886,60,-1
296,3.346478,60,-1
297,3.36097,60,-1
298,3.376036,60,-1
299,3.376246,172,1
300,3.387294,172,1
301,3.409095,172,1
302,3.414087,60,-1
303,3.422189,172,1
304,3.424924,60,-1
305,3.448151,60,-1
306,3.459553,60,-1
307,3.463153,172,1
308,3.471884,172,1
309,3.485679,172,1
310,3.493202,434,-1
311,3.501379,172,1
312,3.503202,136,1
313,3.50575,92,1
314,3.508631,60,-1
315,3.510973,727,-1
316,3.538484,60,-1
317,3.543149,60,-1
318,3.563875,74,1
319,3.56409,54,1
320,3.603046,66,-1
321,3.622034,54,1
322,3.623381,312,1
323,3.660715,60,-1
324,3.666767,60,-1
325,3.666771,191,-1
326,3.668387,54,1
327,3.669459,105,1
328,3.72281,1514,-1
329,3.723114,1514,-1
330,3.723326,1514,-1
331,3.723567,1514,-1
332,3.7237,1514,-1
333,3.7239,1514,-1
334,3.724108,1514,-1
335,3.724472,1514,-1
336,3.72779,54,1
337,3.728734,54,1
338,3.728874,54,1
339,3.729732,54,1
340,3.730003,54,1
341,3.730802,54,1
342,3.73107,54,1
343,3.731892,54,1
344,3.755915,60,-1
345,3.757499,818,1
346,3.765188,1514,-1
347,3.769962,1514,-1
348,3.769964,370,-1
349,3.782094,54,1
350,3.783106,54,1
351,3.783367,54,1
352,3.790706,74,1
353,3.795721,60,-1
354,3.803336,419,-1
355,3.806069,85,1
356,3.806277,54,1
357,3.831224,66,-1
358,3.832761,54,1
359,3.841837,312,1
360,3.84398,60,-1
361,3.847948,60,-1
362,3.861691,54,1
363,3.876181,60,-1
364,3.883297,60,-1
365,3.884023,191,-1
366,3.884763,475,-1
367,3.885467,54,1
368,3.887739,105,1
369,3.887942,54,1
370,3.902845,74,1
371,3.909274,146,-1
372,3.909276,92,-1
373,3.914503,54,1
374,3.918075,286,1
375,3.918674,190,1
376,3.919603,1514,1
377,3.919931,1514,1
378,3.92027,1005,1
379,3.920292,136,1
380,3.920591,92,1
381,3.948626,66,-1
382,3.950014,54,1
383,3.951661,312,1
384,3.959769,60,-1
385,3.967924,60,-1
386,3.976444,60,-1
387,3.978012,788,1
388,3.990285,60,-1
389,3.994695,60,-1
390,3.995113,191,-1
391,3.996611,54,1
392,3.997066,105,1
393,4.019804,60,-1
394,4.025584,419,-1
395,4.0717,146,-1
396,4.072052,92,-1
397,4.092455,60,-1
398,4.122461,285,1
399,4.122813,190,1
400,4.123454,1514,1
401,4.123478,1514,1
402,4.124787,1121,1
403,4.124807,287,1
404,4.124871,190,1
405,4.125,1514,1
406,4.125606,54,1
407,4.125888,85,1
408,4.125966,54,1
409,4.126107,796,1
410,4.160149,60,-1
411,4.161926,1514,1
412,4.166785,1115,1
413,4.16839,60,-1
414,4.169805,60,-1
415,4.17198,60,-1
416,4.181714,419,-1
417,4.206263,60,-1
418,4.232225,54,1
419,4.233782,146,-1
420,4.234452,92,-1
421,4.270591,54,1
422,4.270781,85,1
423,4.270875,54,1
424,4.270953,54,1
425,4.273624,60,-1
426,4.300102,148,-1
427,4.300105,92,-1
428,4.310146,60,-1
429,4.387648,54,1
430,4.387917,54,1
