Serial number,time,size,direction
1,0.0,286,1
2,0.000261,190,1
3,0.00064,1514,1
4,0.00068,1514,1
5,0.000739,1374,1
6,0.001377,79,1
7,0.010208,132,1
8,0.038955,95,-1
9,0.045094,74,1
10,0.045929,60,-1
11,0.047577,1514,1
12,0.051833,60,-1
13,0.052791,60,-1
14,0.052794,60,-1
15,0.052823,60,-1
16,0.052825,60,-1
17,0.054173,1514,1
18,0.05629,1514,1
19,0.057956,1514,1
20,0.058003,577,1
21,0.080594,66,-1
22,0.082085,54,1
23,0.083307,312,1
24,0.087859,60,-1
25,0.093709,60,-1
26,0.096212,1514,1
27,0.097872,1514,1
28,0.09795,1514,1
29,0.098836,60,-1
30,0.098839,60,-1
31,0.100538,1472,1
32,0.108547,172,1
33,0.11795,60,-1
34,0.122243,60,-1
35,0.122245,191,-1
36,0.12382,54,1
37,0.124258,105,1
38,0.134218,60,-1
39,0.140967,60,-1
40,0.140971,60,-1
41,0.142923,172,1
42,0.145992,60,-1
43,0.157064,172,1
44,0.171228,172,1
45,0.181265,60,-1
46,0.185191,172,1
47,0.197553,60,-1
48,0.207643,60,-1
49,0.216583,146,-1
50,0.216586,92,-1
51,0.219327,60,-1
52,0.221211,54,1
53,0.221581,172,1
54,0.221912,765,1
55,0.236682,172,1
56,0.248342,172,1
57,0.259211,60,-1
58,0.262185,60,-1
59,0.267355,419,-1
60,0.268838,172,1
61,0.269352,85,1
62,0.269638,54,1
63,0.285738,60,-1
64,0.297053,172,1
65,0.304716,60,-1
66,0.308867,60,-1
67,0.323275,172,1
68,0.323476,54,1
69,0.332746,172,1
70,0.334487,60,-1
71,0.346189,172,1
72,0.370473,60,-1
73,0.380718,172,1
74,0.396683,172,1
75,0.409104,172,1
76,0.417846,60,-1
77,0.429221,172,1
78,0.447384,60,-1
79,0.459281,172,1
80,0.479256,172,1
81,0.497375,60,-1
82,0.512081,172,1
83,0.512359,172,1
84,0.512522,287,1
85,0.512542,190,1
86,0.514099,1514,1
87,0.549849,60,-1
88,0.550591,60,-1
89,0.558078,1514,1
90,0.559384,1433,1
91,0.568747,172,1
92,0.590014,172,1
93,0.597033,60,-1
94,0.606011,60,-1
95,0.617847,172,1
96,0.642869,172,1
97,0.655166,60,-1
98,0.657612,172,1
99,0.67032,172,1
100,0.694819,60,-1
101,0.702201,172,1
102,0.716583,172,1
