Serial number,time,size,direction
1,0.0,639,1
2,0.00468,190,1
3,0.011289,1514,1
4,0.01214,1514,1
5,0.012187,1514,1
6,0.012218,841,1
7,0.012248,132,1
8,0.040884,60,-1
9,0.043161,1514,1
10,0.045114,60,-1
11,0.047041,1514,1
12,0.050988,79,1
13,0.052673,60,-1
14,0.054404,1514,1
15,0.058009,60,-1
16,0.058415,60,-1
17,0.062191,1514,1
18,0.062662,1514,1
19,0.062705,77,1
20,0.084484,60,-1
21,0.090293,60,-1
22,0.094764,60,-1
23,0.102756,60,-1
24,0.107085,60,-1
25,0.118242,1514,1
26,0.119191,1514,1
27,0.119249,1514,1
28,0.119283,1514,1
29,0.119316,92,1
30,0.134585,172,1
31,0.145625,172,1
32,0.162435,60,-1
33,0.164785,60,-1
34,0.165344,96,-1
35,0.174213,147,-1
36,0.174216,92,-1
37,0.176053,54,1
38,0.17982,172,1
39,0.186256,60,-1
40,0.194006,172,1
41,0.208259,172,1
42,0.228486,172,1
43,0.238528,60,-1
44,0.256789,172,1
45,0.27059,172,1
46,0.272869,60,-1
47,0.291485,172,1
48,0.305885,172,1
49,0.312799,60,-1
50,0.340513,172,1
51,0.345919,60,-1
52,0.354958,172,1
53,0.368841,172,1
54,0.382887,172,1
55,0.394574,60,-1
56,0.417708,172,1
57,0.424456,60,-1
58,0.431771,172,1
59,0.452554,172,1
60,0.46667,172,1
61,0.47181,60,-1
62,0.495059,172,1
63,0.507006,60,-1
64,0.507456,298,1
65,0.507961,190,1
66,0.508779,1514,1
67,0.50913,1514,1
68,0.51005,1514,1
69,0.511415,664,1
70,0.550068,60,-1
71,0.55452,60,-1
72,0.554531,408,1
73,0.55752,60,-1
74,0.578436,172,1
75,0.593028,172,1
76,0.606894,172,1
77,0.623011,60,-1
78,0.62777,172,1
79,0.648215,147,-1
80,0.648218,92,-1
81,0.663212,172,1
82,0.66344,54,1
83,0.67589,60,-1
84,0.677091,172,1
85,0.690794,172,1
86,0.704682,172,1
87,0.718808,60,-1
88,0.741474,172,1
89,0.745923,60,-1
90,0.753625,172,1
91,0.768355,172,1
92,0.78897,172,1
93,0.793223,60,-1
94,0.81804,172,1
95,0.830599,172,1
96,0.832217,60,-1
97,0.853872,172,1
98,0.866302,172,1
99,0.87561,60,-1
100,0.900626,172,1
101,0.909359,60,-1
102,0.914851,172,1
103,0.928601,172,1
104,0.942436,172,1
105,0.966447,60,-1
106,0.977611,172,1
107,0.986785,60,-1
108,0.991404,172,1
109,1.012478,172,1
110,1.026612,172,1
111,1.031929,60,-1
112,1.055315,172,1
113,1.067974,60,-1
114,1.075701,172,1
115,1.079382,127,-1
116,1.082112,74,1
117,1.089682,172,1
118,1.103693,172,1
119,1.120202,60,-1
120,1.124358,66,-1
121,1.125679,54,1
122,1.126981,312,1
123,1.139133,172,1
124,1.14544,60,-1
125,1.152873,172,1
126,1.168538,172,1
127,1.169192,60,-1
128,1.170171,60,-1
129,1.170173,191,-1
130,1.17287,54,1
131,1.173502,105,1
132,1.187773,172,1
133,1.196314,60,-1
134,1.21593,172,1
135,1.22953,60,-1
136,1.236639,172,1
137,1.250539,172,1
138,1.262805,60,-1
139,1.264335,766,1
140,1.264806,172,1
141,1.27768,60,-1
142,1.299477,172,1
143,1.306557,60,-1
144,1.307231,60,-1
145,1.314106,417,-1
146,1.314289,172,1
147,1.316463,85,1
148,1.316654,54,1
149,1.327723,172,1
150,1.357019,60,-1
151,1.357385,60,-1
152,1.368657,172,1
153,1.368792,54,1
154,1.375693,172,1
155,1.396897,172,1
156,1.409751,60,-1
157,1.410608,172,1
158,1.424675,172,1
159,1.437145,60,-1
160,1.460152,172,1
161,1.468477,60,-1
162,1.473651,172,1
163,1.487803,172,1
164,1.515195,60,-1
165,1.51595,172,1
166,1.536567,172,1
167,1.550597,172,1
168,1.558796,60,-1
169,1.57182,172,1
170,1.58568,172,1
171,1.596017,60,-1
172,1.620347,172,1
173,1.633859,60,-1
174,1.634176,172,1
175,1.649354,172,1
176,1.66995,172,1
177,1.683383,60,-1
178,1.69714,172,1
179,1.71081,172,1
180,1.711803,60,-1
181,1.731461,172,1
182,1.745795,172,1
183,1.750417,60,-1
184,1.780643,172,1
185,1.786378,60,-1
186,1.794649,172,1
187,1.808842,172,1
188,1.822581,172,1
189,1.836783,60,-1
190,1.857523,172,1
191,1.863781,60,-1
192,1.871625,172,1
193,1.892287,172,1
194,1.906301,172,1
195,1.912678,60,-1
196,1.934983,172,1
197,1.949058,60,-1
198,1.955575,172,1
199,1.969484,172,1
200,1.985602,172,1
201,1.998011,60,-1
202,2.01895,172,1
203,2.030528,60,-1
204,2.062861,172,1
205,2.063004,172,1
206,2.068574,172,1
207,2.098654,172,1
208,2.103478,60,-1
209,2.108005,60,-1
210,2.119452,172,1
211,2.130894,172,1
212,2.145363,172,1
213,2.159667,60,-1
214,2.181991,172,1
215,2.186215,60,-1
216,2.194166,172,1
217,2.206892,434,-1
218,2.208415,172,1
219,2.226162,699,-1
220,2.235834,136,1
221,2.236016,92,1
222,2.245585,74,1
223,2.251457,60,-1
224,2.277177,60,-1
225,2.284086,54,1
226,2.285014,66,-1
227,2.293262,54,1
228,2.294806,312,1
229,2.333411,60,-1
230,2.337443,60,-1
231,2.337731,191,-1
232,2.339178,54,1
233,2.341558,105,1
234,2.422881,60,-1
235,2.430724,808,1
236,2.472817,60,-1
237,2.480273,417,-1
238,2.482142,85,1
239,2.482393,54,1
240,2.494289,100,-1
241,2.495682,54,1
242,2.496567,100,1
243,2.520033,60,-1
244,2.521368,54,1
245,2.525522,60,-1
246,2.578449,60,-1
247,2.607874,1514,-1
