Serial number,time,size,direction
1,0.0,288,1
2,0.000647,1514,1
3,0.000708,1514,1
4,0.000739,1514,1
5,0.000769,1514,1
6,0.003034,152,1
7,0.005253,79,1
8,0.033319,287,1
9,0.034244,1514,1
10,0.03431,1514,1
11,0.035539,127,-1
12,0.035684,1245,1
13,0.043694,60,-1
14,0.044602,60,-1
15,0.044605,60,-1
16,0.044879,60,-1
17,0.045563,60,-1
18,0.046594,74,1
19,0.046754,174,1
20,0.067993,60,-1
21,0.074407,60,-1
22,0.074412,60,-1
23,0.082624,60,-1
24,0.086028,66,-1
25,0.087565,54,1
26,0.088956,312,1
27,0.098104,1514,1
28,0.100034,1514,1
29,0.100088,1514,1
30,0.100107,1472,1
31,0.110029,172,1
32,0.12416,172,1
33,0.127275,60,-1
34,0.132128,60,-1
35,0.132129,191,-1
36,0.133749,54,1
37,0.134157,105,1
38,0.13513,60,-1
39,0.141625,60,-1
40,0.141627,60,-1
41,0.141628,60,-1
42,0.145084,146,-1
43,0.145087,92,-1
44,0.145602,172,1
45,0.148041,54,1
46,0.159704,60,-1
47,0.173469,172,1
48,0.195,172,1
49,0.208363,172,1
50,0.214139,60,-1
51,0.22308,172,1
52,0.228855,60,-1
53,0.230269,767,1
54,0.245272,60,-1
55,0.257029,172,1
56,0.271012,172,1
57,0.272199,60,-1
58,0.27853,417,-1
59,0.282528,85,1
60,0.282678,54,1
61,0.285695,172,1
62,0.293202,60,-1
63,0.305067,172,1
64,0.322862,60,-1
65,0.324096,54,1
66,0.324672,60,-1
67,0.332949,172,1
68,0.353764,172,1
69,0.367465,172,1
70,0.367602,60,-1
71,0.388461,172,1
72,0.402963,60,-1
73,0.416743,172,1
74,0.455351,60,-1
75,0.467273,172,1
76,0.467458,172,1
77,0.467551,172,1
78,0.494006,172,1
79,0.503667,60,-1
80,0.513253,645,1
81,0.514174,190,1
82,0.515492,1514,1
83,0.516461,1514,1
84,0.516527,853,1
85,0.516545,136,1
86,0.517162,92,1
87,0.518073,172,1
88,0.534238,172,1
89,0.548585,60,-1
90,0.550174,172,1
91,0.554974,60,-1
92,0.578146,172,1
93,0.585129,60,-1
94,0.591695,172,1
95,0.605669,172,1
96,0.619648,172,1
97,0.627208,60,-1
98,0.640669,146,-1
99,0.640671,92,-1
100,0.642305,54,1
101,0.654961,172,1
102,0.656444,60,-1
103,0.668498,172,1
104,0.690753,172,1
105,0.703867,60,-1
106,0.704086,172,1
107,0.731454,172,1
108,0.740308,60,-1
109,0.752616,172,1
110,0.76721,172,1
111,0.780883,172,1
112,0.788073,60,-1
113,0.81612,60,-1
114,0.816263,172,1
115,0.828978,172,1
116,0.849935,172,1
117,0.86411,172,1
118,0.86731,60,-1
119,0.892034,172,1
120,0.899197,60,-1
121,0.913065,172,1
122,0.926931,172,1
123,0.941045,172,1
124,0.94921,60,-1
125,0.976926,172,1
126,0.977714,60,-1
127,0.991815,172,1
128,1.009023,172,1
129,1.024923,172,1
130,1.03205,60,-1
131,1.053107,172,1
132,1.061069,60,-1
133,1.073953,172,1
134,1.087514,172,1
135,1.101482,172,1
136,1.109112,60,-1
137,1.136193,60,-1
138,1.162637,172,1
139,1.162841,172,1
140,1.164575,172,1
141,1.185979,172,1
142,1.200158,60,-1
143,1.213561,172,1
144,1.22752,172,1
145,1.248991,172,1
146,1.252937,60,-1
147,1.261635,172,1
148,1.287816,60,-1
149,1.298165,172,1
150,1.310471,172,1
151,1.326232,172,1
152,1.333119,60,-1
153,1.34595,172,1
154,1.362108,60,-1
155,1.37378,172,1
156,1.387512,172,1
157,1.40861,172,1
158,1.412107,60,-1
159,1.423259,172,1
160,1.448065,60,-1
161,1.457478,172,1
162,1.471496,172,1
163,1.485922,172,1
164,1.494738,60,-1
165,1.499702,172,1
166,1.523268,60,-1
167,1.535169,172,1
168,1.548599,172,1
169,1.569919,172,1
170,1.570925,60,-1
171,1.58365,172,1
172,1.605517,60,-1
173,1.61229,172,1
174,1.633961,172,1
175,1.64814,60,-1
176,1.652214,172,1
177,1.665491,172,1
178,1.689325,60,-1
179,1.696055,172,1
180,1.709949,172,1
181,1.724211,172,1
182,1.732579,60,-1
183,1.744788,172,1
184,1.761048,60,-1
185,1.773121,172,1
186,1.794129,172,1
187,1.80756,172,1
188,1.808505,60,-1
189,1.822013,172,1
190,1.845903,60,-1
191,1.862893,172,1
192,1.872589,172,1
193,1.886912,172,1
194,1.901336,60,-1
195,1.908237,172,1
196,1.926466,60,-1
197,1.934018,172,1
198,1.94761,172,1
199,1.968887,60,-1
200,1.969263,172,1
201,1.982932,172,1
202,2.004241,60,-1
203,2.022026,172,1
204,2.034548,172,1
205,2.045752,172,1
206,2.059043,60,-1
207,2.059634,172,1
208,2.081969,60,-1
209,2.094645,172,1
210,2.108558,172,1
211,2.12958,172,1
212,2.130151,60,-1
213,2.144012,172,1
214,2.167651,60,-1
215,2.171453,172,1
216,2.197684,172,1
217,2.207688,60,-1
218,2.212142,172,1
219,2.226204,172,1
220,2.246879,60,-1
221,2.256336,172,1
222,2.262007,434,-1
223,2.270865,172,1
224,2.27404,136,1
225,2.274261,92,1
226,2.277909,706,-1
227,2.288007,74,1
228,2.306299,60,-1
229,2.311915,54,1
230,2.31256,60,-1
231,2.329121,66,-1
232,2.332046,54,1
233,2.333536,312,1
234,2.373463,60,-1
235,2.374737,60,-1
236,2.37474,191,-1
237,2.379644,54,1
238,2.380055,105,1
239,2.478252,60,-1
240,2.483038,811,1
241,2.524809,60,-1
242,2.531218,417,-1
243,2.562649,85,1
244,2.562866,54,1
245,2.601399,60,-1
246,2.60279,54,1
247,2.606779,60,-1
248,2.618514,1514,-1
249,2.618785,1514,-1
250,2.618972,915,-1
251,2.627639,54,1
252,2.627901,54,1
253,2.627997,54,1
254,2.630762,74,1
255,2.630849,475,-1
256,2.632308,54,1
257,2.639437,74,1
258,2.66996,66,-1
259,2.671397,54,1
260,2.673885,312,1
261,2.677395,66,-1
262,2.678569,54,1
263,2.679295,146,-1
264,2.679299,92,-1
265,2.680583,312,1
266,2.680916,54,1
267,2.68117,54,1
268,2.709876,60,-1
269,2.714359,60,-1
270,2.715033,191,-1
271,2.716375,54,1
272,2.7196,60,-1
273,2.719852,191,-1
274,2.719854,60,-1
275,2.722975,105,1
276,2.723278,54,1
277,2.723442,54,1
278,2.723939,105,1
279,2.803466,60,-1
280,2.807174,287,1
281,2.808856,190,1
282,2.80893,1514,1
283,2.808973,1514,1
284,2.809268,868,1
285,2.809308,781,1
286,2.809365,136,1
287,2.814354,92,1
288,2.824657,60,-1
289,2.826584,797,1
290,2.836091,296,1
291,2.837407,190,1
292,2.841,1514,1
293,2.84963,60,-1
294,2.849942,60,-1
295,2.850333,60,-1
296,2.850755,96,-1
297,2.85176,1514,1
298,2.852132,979,1
299,2.853021,54,1
300,2.853969,60,-1
301,2.861832,417,-1
302,2.864263,85,1
303,2.864617,54,1
304,2.865142,60,-1
305,2.871152,60,-1
306,2.873644,417,-1
307,2.876754,85,1
308,2.876985,54,1
309,2.883397,60,-1
310,2.889439,60,-1
311,2.903856,60,-1
312,2.905227,54,1
313,2.914363,60,-1
314,2.915759,54,1
315,2.918852,60,-1
316,2.955274,146,-1
317,2.955279,92,-1
318,2.958969,88,1
319,2.967375,54,1
320,2.985441,146,-1
321,2.985794,92,-1
322,2.988511,54,1
323,3.006916,152,-1
324,3.0121,74,1
325,3.035527,74,-1
326,3.039465,66,1
327,3.046343,294,1
328,3.06902,66,-1
329,3.071945,1514,-1
330,3.072261,1514,-1
331,3.072263,1514,-1
332,3.072267,174,-1
333,3.077964,66,1
334,3.078403,66,1
