Serial number,time,size,direction
1,0.0,287,1
2,0.01169,190,1
3,0.01273,1514,1
4,0.012779,1514,1
5,0.013505,1514,1
6,0.013546,915,1
7,0.014963,1514,1
8,0.015005,302,1
9,0.018414,79,1
10,0.036996,60,-1
11,0.039409,1514,1
12,0.06601,60,-1
13,0.06758,127,-1
14,0.0687,1514,1
15,0.070639,74,1
16,0.074166,60,-1
17,0.074575,60,-1
18,0.076299,60,-1
19,0.076302,60,-1
20,0.077309,1514,1
21,0.07765,1284,1
22,0.079616,60,-1
23,0.090103,1514,1
24,0.091673,1514,1
25,0.091727,1514,1
26,0.092166,1392,1
27,0.105753,60,-1
28,0.113939,66,-1
29,0.118884,60,-1
30,0.118887,96,-1
31,0.133641,172,1
32,0.134619,60,-1
33,0.13462,60,-1
34,0.135091,54,1
35,0.138608,172,1
36,0.139606,312,1
37,0.154845,172,1
38,0.165497,172,1
39,0.174868,60,-1
40,0.175429,60,-1
41,0.180707,60,-1
42,0.181409,191,-1
43,0.183009,54,1
44,0.183252,105,1
45,0.192685,148,-1
46,0.192687,92,-1
47,0.196083,54,1
48,0.201186,172,1
49,0.21476,172,1
50,0.228358,172,1
51,0.238071,60,-1
52,0.250241,172,1
53,0.262572,60,-1
54,0.263934,766,1
55,0.264484,60,-1
56,0.277425,172,1
57,0.291404,172,1
58,0.300216,60,-1
59,0.306982,417,-1
60,0.309761,85,1
61,0.309989,54,1
62,0.312695,172,1
63,0.314559,60,-1
64,0.326401,172,1
65,0.348849,60,-1
66,0.355602,60,-1
67,0.358027,54,1
68,0.362326,172,1
69,0.375325,172,1
70,0.389407,172,1
71,0.400309,60,-1
72,0.403616,172,1
73,0.428122,60,-1
74,0.438419,172,1
75,0.452267,172,1
76,0.47299,60,-1
77,0.473534,172,1
78,0.487661,172,1
79,0.504398,286,1
80,0.50483,190,1
81,0.505661,1514,1
82,0.505988,1514,1
83,0.507469,1514,1
84,0.507878,60,-1
85,0.50939,660,1
86,0.521288,172,1
87,0.540577,60,-1
88,0.541803,172,1
89,0.549359,60,-1
90,0.549361,60,-1
91,0.549705,172,1
92,0.563654,172,1
93,0.577105,60,-1
94,0.59989,60,-1
95,0.655854,147,-1
96,0.655858,92,-1
97,0.661073,172,1
98,0.661657,172,1
99,0.661758,172,1
100,0.661839,172,1
101,0.662529,54,1
102,0.675985,172,1
103,0.696451,172,1
104,0.702471,60,-1
105,0.736275,60,-1
106,0.799281,172,1
107,0.799586,172,1
108,0.799746,172,1
109,0.799896,172,1
110,0.800042,172,1
111,0.82851,172,1
112,0.836727,172,1
113,0.841769,60,-1
114,0.861014,172,1
115,0.874303,60,-1
116,0.929666,408,1
117,0.934397,172,1
118,0.948615,172,1
119,0.954112,60,-1
120,0.96602,60,-1
121,0.970021,172,1
122,0.971843,60,-1
123,0.986563,60,-1
124,0.99739,172,1
125,1.008766,60,-1
126,1.011111,172,1
127,1.034358,60,-1
128,1.043653,172,1
129,1.050961,60,-1
130,1.054051,172,1
131,1.083165,60,-1
132,1.083565,172,1
133,1.092153,60,-1
134,1.110574,172,1
135,1.11076,172,1
136,1.120521,60,-1
137,1.129829,172,1
138,1.149816,60,-1
139,1.166249,60,-1
140,1.24841,172,1
141,1.249606,172,1
142,1.249825,172,1
143,1.249961,172,1
144,1.250065,172,1
145,1.257391,172,1
146,1.269501,172,1
147,1.28336,172,1
148,1.285483,60,-1
149,1.29025,60,-1
150,1.294804,60,-1
151,1.305262,60,-1
152,1.318649,172,1
153,1.321377,60,-1
154,1.333175,172,1
155,1.353509,172,1
156,1.359651,60,-1
157,1.367575,172,1
158,1.369552,60,-1
159,1.392655,60,-1
160,1.395493,172,1
161,1.403905,60,-1
162,1.41651,172,1
163,1.430558,60,-1
164,1.430629,172,1
165,1.44681,172,1
166,1.454131,60,-1
167,1.466803,60,-1
168,1.479431,172,1
169,1.482476,60,-1
170,1.493564,172,1
171,1.516224,60,-1
172,1.529987,60,-1
173,1.533622,172,1
174,1.53372,172,1
175,1.556688,172,1
176,1.571356,60,-1
177,1.571358,60,-1
178,1.57952,172,1
179,1.591321,172,1
180,1.592372,60,-1
181,1.605471,172,1
182,1.615034,60,-1
183,1.627967,60,-1
184,1.640806,172,1
185,1.641484,60,-1
186,1.654253,172,1
187,1.66863,172,1
188,1.675944,60,-1
189,1.68978,172,1
190,1.690182,60,-1
191,1.705586,60,-1
192,1.717631,172,1
193,1.725267,60,-1
194,1.73155,172,1
195,1.752738,172,1
196,1.753292,60,-1
197,1.7666,172,1
198,1.766765,60,-1
199,1.78848,60,-1
200,1.801843,172,1
201,1.804284,60,-1
202,1.815396,172,1
203,1.829437,172,1
204,1.837159,60,-1
205,1.8435,172,1
206,1.850565,60,-1
207,1.865368,60,-1
208,1.87835,172,1
209,1.879843,60,-1
210,1.892294,172,1
211,1.913571,172,1
212,1.913954,60,-1
213,1.927771,172,1
214,1.930592,60,-1
215,1.950416,60,-1
216,1.95549,172,1
217,1.963279,60,-1
218,1.976619,172,1
219,1.990397,172,1
220,1.994965,60,-1
221,2.004233,172,1
222,2.01473,60,-1
223,2.030273,60,-1
224,2.038649,172,1
225,2.041785,60,-1
226,2.052998,172,1
227,2.073918,60,-1
228,2.075064,172,1
229,2.0875,172,1
230,2.089784,60,-1
231,2.113137,60,-1
232,2.115525,172,1
233,2.125238,60,-1
234,2.137579,172,1
235,2.159377,172,1
236,2.161397,60,-1
237,2.166031,172,1
238,2.173033,60,-1
239,2.195835,60,-1
240,2.199616,172,1
241,2.205924,60,-1
242,2.234846,172,1
243,2.235018,172,1
244,2.238852,60,-1
245,2.249382,172,1
246,2.270479,60,-1
247,2.276841,172,1
248,2.276998,60,-1
249,2.284268,60,-1
250,2.297581,172,1
251,2.311367,172,1
252,2.314228,60,-1
253,2.325379,172,1
254,2.335099,60,-1
255,2.339938,434,-1
256,2.347456,136,1
257,2.347699,92,1
258,2.357736,715,-1
259,2.373747,74,1
260,2.385912,60,-1
261,2.395748,54,1
262,2.410375,66,-1
263,2.411923,54,1
264,2.413248,312,1
265,2.450741,60,-1
266,2.458387,60,-1
267,2.458389,191,-1
268,2.46061,54,1
269,2.462966,105,1
270,2.556355,60,-1
271,2.561391,812,1
272,2.59698,460,-1
273,2.598548,54,1
274,2.599273,60,-1
275,2.60416,74,1
276,2.608499,417,-1
277,2.610967,85,1
278,2.611131,54,1
279,2.644177,66,-1
280,2.646002,54,1
281,2.647615,312,1
282,2.649146,60,-1
283,2.651267,54,1
284,2.655551,60,-1
285,2.673154,1514,-1
286,2.673509,1514,-1
287,2.673822,1514,-1
