Serial number,time,size,direction
1,0.0,66,1
2,0.985284,287,1
3,0.985486,190,1
4,0.985906,1514,1
5,0.985935,1514,1
6,0.985955,1514,1
7,0.986179,858,1
8,0.986284,132,1
9,0.988092,180,1
10,0.991256,1514,1
11,0.996863,79,1
12,1.021107,60,-1
13,1.022945,1514,1
14,1.025036,127,-1
15,1.027914,60,-1
16,1.027916,66,-1
17,1.027917,60,-1
18,1.028064,60,-1
19,1.028066,60,-1
20,1.028067,60,-1
21,1.028069,60,-1
22,1.028069,60,-1
23,1.029428,1514,1
24,1.032379,60,-1
25,1.032581,1514,1
26,1.033319,1357,1
27,1.033447,74,1
28,1.037369,92,1
29,1.065559,60,-1
30,1.073299,60,-1
31,1.073302,60,-1
32,1.073302,60,-1
33,1.074873,66,-1
34,1.077348,54,1
35,1.077975,312,1
36,1.0939,1514,1
37,1.094121,1514,1
38,1.094739,1514,1
39,1.09478,1472,1
40,1.115168,172,1
41,1.117591,60,-1
42,1.117593,60,-1
43,1.118034,191,-1
44,1.119598,54,1
45,1.120009,105,1
46,1.128323,172,1
47,1.133131,60,-1
48,1.138066,60,-1
49,1.138439,60,-1
50,1.13844,60,-1
51,1.151371,60,-1
52,1.156657,172,1
53,1.163279,146,-1
54,1.16328,92,-1
55,1.168116,54,1
56,1.177336,172,1
57,1.19142,172,1
58,1.19613,60,-1
59,1.202532,60,-1
60,1.204329,768,1
61,1.205796,172,1
62,1.226867,60,-1
63,1.240053,172,1
64,1.242671,60,-1
65,1.247854,417,-1
66,1.250113,85,1
67,1.250322,54,1
68,1.256332,172,1
69,1.270335,172,1
70,1.27683,60,-1
71,1.288546,60,-1
72,1.289892,54,1
73,1.291252,172,1
74,1.292971,60,-1
75,1.305812,60,-1
76,1.318152,172,1
77,1.339207,172,1
78,1.353635,60,-1
79,1.353709,172,1
80,1.367224,172,1
81,1.389655,60,-1
82,1.402424,172,1
83,1.414878,172,1
84,1.428935,172,1
85,1.439821,60,-1
86,1.450211,172,1
87,1.46605,60,-1
88,1.478607,172,1
89,1.486098,287,1
90,1.486511,1514,1
91,1.486749,1514,1
92,1.488278,1514,1
93,1.488299,817,1
94,1.493474,172,1
95,1.516473,60,-1
96,1.52018,172,1
97,1.527899,60,-1
98,1.52881,172,1
99,1.533755,60,-1
100,1.556359,60,-1
101,1.562111,172,1
102,1.575932,172,1
103,1.598608,60,-1
104,1.613721,172,1
105,1.613935,172,1
106,1.639634,172,1
107,1.651279,60,-1
108,1.653627,172,1
109,1.674524,172,1
110,1.675842,60,-1
111,1.688635,172,1
112,1.712344,60,-1
113,1.716803,172,1
114,1.737604,172,1
115,1.746597,146,-1
116,1.7466,92,-1
117,1.755037,54,1
118,1.758865,172,1
119,1.770012,172,1
120,1.77345,60,-1
121,1.79938,172,1
122,1.804739,60,-1
123,1.814173,172,1
124,1.834888,172,1
125,1.848451,172,1
126,1.849658,60,-1
127,1.881648,172,1
128,1.884323,60,-1
129,1.897784,172,1
130,1.913321,172,1
131,1.925177,172,1
132,1.933716,60,-1
133,1.960031,172,1
134,1.962933,60,-1
135,1.974643,172,1
136,1.988563,172,1
137,2.009157,172,1
138,2.009556,60,-1
139,2.035824,172,1
140,2.045812,60,-1
