Serial number,time,size,direction
1,0.0,286,1
2,0.000286,190,1
3,0.000587,1514,1
4,0.000612,1514,1
5,0.000629,635,1
6,0.000643,132,1
7,0.000738,180,1
8,0.001107,1514,1
9,0.00114,208,1
10,0.021983,79,1
11,0.0397,60,-1
12,0.047729,127,-1
13,0.048009,60,-1
14,0.04801,60,-1
15,0.048893,60,-1
16,0.06007,74,1
17,0.100642,66,-1
18,0.101947,54,1
19,0.110238,280,1
20,0.147706,60,-1
21,0.151314,286,1
22,0.151962,1514,1
23,0.152024,1514,1
24,0.152056,1055,1
25,0.154588,60,-1
26,0.15579,92,1
27,0.156019,1514,-1
28,0.156389,1514,-1
29,0.15667,1514,-1
30,0.156938,1049,-1
31,0.158146,54,1
32,0.158439,54,1
33,0.159374,54,1
34,0.159649,54,1
35,0.179933,1049,-1
36,0.181525,66,1
37,0.194701,60,-1
38,0.194705,60,-1
39,0.194707,60,-1
40,0.200036,60,-1
41,0.253237,1514,1
42,0.25368,1514,1
43,0.253712,1514,1
44,0.253729,1514,1
45,0.253745,1514,1
46,0.253853,392,1
47,0.263573,172,1
48,0.265875,145,-1
49,0.265877,92,-1
50,0.275904,54,1
51,0.285743,180,1
52,0.292396,60,-1
53,0.298015,172,1
54,0.298383,60,-1
55,0.298718,60,-1
56,0.299414,60,-1
57,0.303674,60,-1
58,0.311162,172,1
59,0.326195,105,-1
60,0.327456,54,1
61,0.332438,172,1
62,0.335417,769,1
63,0.336648,60,-1
64,0.347584,172,1
65,0.351934,60,-1
66,0.37063,60,-1
67,0.381475,172,1
68,0.385904,60,-1
69,0.386185,417,-1
70,0.38855,85,1
71,0.388703,54,1
72,0.396169,172,1
73,0.421296,60,-1
74,0.430336,60,-1
75,0.437115,172,1
76,0.437335,172,1
77,0.438262,60,-1
78,0.438701,54,1
79,0.459043,172,1
80,0.472227,172,1
81,0.475841,60,-1
82,0.481276,60,-1
83,0.492478,172,1
84,0.498287,60,-1
85,0.506228,172,1
86,0.511542,60,-1
87,0.531037,60,-1
88,0.534861,638,1
89,0.535282,190,1
90,0.536424,1514,1
91,0.537226,1514,1
92,0.537305,583,1
93,0.537322,136,1
94,0.537696,92,1
95,0.541476,172,1
96,0.545734,60,-1
97,0.555256,172,1
98,0.569398,172,1
99,0.574358,60,-1
100,0.58024,60,-1
101,0.583637,172,1
102,0.585261,60,-1
103,0.594323,60,-1
104,0.61021,60,-1
105,0.618193,172,1
106,0.627015,60,-1
107,0.632158,172,1
108,0.653603,172,1
109,0.656919,145,-1
110,0.657135,92,-1
111,0.66104,54,1
112,0.668024,172,1
113,0.680051,60,-1
114,0.695602,172,1
115,0.707278,60,-1
116,0.716296,172,1
117,0.730358,172,1
118,0.74511,172,1
119,0.754994,60,-1
120,0.77932,172,1
121,0.787107,60,-1
122,0.79329,172,1
123,0.80734,172,1
124,0.828988,172,1
125,0.831877,60,-1
126,0.856776,172,1
127,0.870105,60,-1
128,0.877224,172,1
129,0.891441,172,1
130,0.905251,172,1
131,0.91659,60,-1
132,0.940579,172,1
133,0.945747,60,-1
134,0.954134,172,1
135,0.969015,172,1
136,0.989532,172,1
137,0.993917,60,-1
138,1.017417,172,1
139,1.03103,172,1
140,1.031972,60,-1
141,1.052074,172,1
142,1.066474,172,1
143,1.071397,60,-1
144,1.100991,172,1
145,1.106081,60,-1
146,1.136985,172,1
147,1.137153,172,1
148,1.143352,172,1
149,1.176746,60,-1
150,1.180127,172,1
151,1.182474,60,-1
152,1.193654,172,1
153,1.212935,172,1
154,1.227013,172,1
155,1.232629,60,-1
156,1.256457,172,1
157,1.26717,60,-1
158,1.276081,172,1
159,1.290174,172,1
160,1.309373,172,1
161,1.315077,60,-1
162,1.339153,172,1
163,1.349527,60,-1
164,1.353158,172,1
165,1.367441,172,1
166,1.388209,172,1
167,1.392266,60,-1
168,1.416508,172,1
