Serial number,time,size,direction
1,0.0,286,1
2,0.001484,190,1
3,0.003062,1514,1
4,0.003788,1514,1
5,0.003829,1151,1
6,0.003861,132,1
7,0.012728,79,1
8,0.037796,127,-1
9,0.040353,74,1
10,0.041391,60,-1
11,0.04306,1514,1
12,0.049469,60,-1
13,0.050425,60,-1
14,0.050428,60,-1
15,0.05043,60,-1
16,0.05119,1514,1
17,0.05247,1514,1
18,0.054134,1514,1
19,0.05418,346,1
20,0.081707,66,-1
21,0.083221,54,1
22,0.08592,312,1
23,0.086768,60,-1
24,0.087037,1514,1
25,0.089098,1514,1
26,0.094069,60,-1
27,0.095766,1514,1
28,0.100901,60,-1
29,0.102443,1514,1
30,0.103852,652,1
31,0.114247,172,1
32,0.122553,60,-1
33,0.129953,60,-1
34,0.130212,191,-1
35,0.131794,54,1
36,0.132209,105,1
37,0.133163,60,-1
38,0.136813,172,1
39,0.137852,60,-1
40,0.144233,60,-1
41,0.148947,172,1
42,0.149678,60,-1
43,0.150334,96,-1
44,0.163716,172,1
45,0.175163,146,-1
46,0.175166,92,-1
47,0.178844,54,1
48,0.19275,60,-1
49,0.197757,172,1
50,0.212001,172,1
51,0.213277,60,-1
52,0.214695,767,1
53,0.225943,172,1
54,0.23767,60,-1
55,0.246644,172,1
56,0.256751,60,-1
57,0.262774,417,-1
58,0.2645,85,1
59,0.264682,54,1
60,0.266244,60,-1
61,0.274942,172,1
62,0.288778,172,1
63,0.309504,172,1
64,0.315567,60,-1
65,0.31612,60,-1
66,0.316756,54,1
67,0.326089,172,1
68,0.358305,60,-1
69,0.358475,172,1
70,0.372569,172,1
71,0.386958,172,1
72,0.399591,60,-1
73,0.400723,172,1
74,0.426723,60,-1
75,0.435799,172,1
76,0.449848,172,1
77,0.470714,172,1
78,0.476046,60,-1
79,0.485121,172,1
80,0.510379,60,-1
81,0.513623,172,1
82,0.518015,286,1
83,0.518689,190,1
84,0.519621,1514,1
85,0.519949,1514,1
86,0.552896,60,-1
87,0.554334,1210,1
88,0.557894,60,-1
89,0.56104,172,1
90,0.564883,60,-1
91,0.595804,172,1
92,0.600158,60,-1
93,0.609522,172,1
94,0.630751,172,1
95,0.644654,172,1
96,0.648997,60,-1
97,0.682043,172,1
98,0.683701,60,-1
99,0.694122,172,1
100,0.707536,172,1
101,0.721499,146,-1
102,0.721502,92,-1
103,0.721668,172,1
104,0.723052,54,1
105,0.733849,60,-1
106,0.756899,172,1
107,0.760978,60,-1
108,0.770737,172,1
109,0.784821,172,1
110,0.808362,172,1
111,0.810079,60,-1
112,0.833559,172,1
113,0.847747,60,-1
114,0.855623,172,1
115,0.869463,172,1
116,0.882938,172,1
117,0.895301,60,-1
118,0.917816,172,1
119,0.922705,60,-1
120,0.931921,172,1
121,0.946208,172,1
122,0.966794,172,1
123,0.972336,60,-1
124,0.995018,172,1
125,1.006272,60,-1
126,1.008833,172,1
127,1.02992,172,1
128,1.044036,172,1
129,1.047789,60,-1
130,1.078912,172,1
131,1.083027,60,-1
132,1.092894,172,1
133,1.107219,172,1
134,1.121338,172,1
135,1.132522,60,-1
136,1.156116,172,1
137,1.161711,60,-1
138,1.170319,172,1
139,1.191156,172,1
140,1.206218,172,1
141,1.209265,60,-1
142,1.233646,172,1
143,1.246577,60,-1
144,1.254373,172,1
145,1.268366,172,1
146,1.282779,172,1
147,1.294188,60,-1
148,1.316708,172,1
