Serial number,time,size,direction
1,0.0,286,1
2,0.000459,1514,1
3,0.001886,1514,1
4,0.003391,1420,1
5,0.004157,132,1
6,0.007923,180,1
7,0.015094,1514,1
8,0.015359,144,1
9,0.028505,288,1
10,0.028849,1514,1
11,0.029891,79,1
12,0.038968,60,-1
13,0.045921,60,-1
14,0.047837,60,-1
15,0.049555,60,-1
16,0.053969,60,-1
17,0.056776,95,-1
18,0.062376,1514,1
19,0.064235,1498,1
20,0.064786,74,1
21,0.066459,60,-1
22,0.071477,60,-1
23,0.101618,60,-1
24,0.106474,60,-1
25,0.108535,66,-1
26,0.111901,54,1
27,0.120651,312,1
28,0.137128,1514,1
29,0.137941,1514,1
30,0.137988,1514,1
31,0.138047,1514,1
32,0.13808,92,1
33,0.143695,172,1
34,0.151711,60,-1
35,0.15589,172,1
36,0.159616,60,-1
37,0.159974,191,-1
38,0.161542,54,1
39,0.162003,105,1
40,0.175946,60,-1
41,0.184745,60,-1
42,0.184749,60,-1
43,0.186383,60,-1
44,0.189897,172,1
45,0.190485,146,-1
46,0.190487,92,-1
47,0.192569,54,1
48,0.20399,172,1
49,0.224465,172,1
50,0.22767,60,-1
51,0.238718,172,1
52,0.25484,60,-1
53,0.256536,765,1
54,0.262014,60,-1
55,0.266517,172,1
56,0.294695,60,-1
57,0.298081,172,1
58,0.301701,172,1
59,0.302118,419,-1
60,0.304083,60,-1
61,0.304549,85,1
62,0.304815,54,1
63,0.31573,172,1
64,0.340632,60,-1
65,0.345571,60,-1
66,0.349931,54,1
67,0.350902,172,1
68,0.377417,172,1
69,0.380678,172,1
70,0.392693,60,-1
71,0.399927,172,1
72,0.420059,60,-1
73,0.428117,172,1
74,0.465401,60,-1
75,0.489784,172,1
76,0.489931,172,1
77,0.490012,172,1
78,0.511876,172,1
79,0.514585,287,1
80,0.517366,190,1
81,0.518518,1514,1
82,0.518836,1514,1
83,0.518965,987,1
84,0.519118,136,1
85,0.527755,60,-1
86,0.542243,210,1
87,0.542405,172,1
88,0.554204,60,-1
89,0.555625,172,1
90,0.560957,60,-1
91,0.561969,96,-1
92,0.580003,60,-1
93,0.58865,172,1
94,0.602467,172,1
95,0.623503,172,1
96,0.625913,60,-1
97,0.632258,146,-1
98,0.63226,92,-1
99,0.637,54,1
100,0.638463,172,1
101,0.661504,60,-1
102,0.671252,172,1
103,0.698395,172,1
104,0.699242,172,1
105,0.708409,60,-1
106,0.720706,172,1
107,0.741303,60,-1
108,0.750365,172,1
109,0.76447,172,1
110,0.785723,172,1
111,0.787833,60,-1
112,0.79848,172,1
113,0.823191,60,-1
114,0.832735,172,1
115,0.858904,172,1
116,0.860469,172,1
117,0.87037,60,-1
118,0.874568,172,1
119,0.901744,60,-1
120,0.909488,172,1
