Serial number,time,size,direction
1,0.0,287,1
2,0.000184,190,1
3,0.000552,1514,1
4,0.002304,1514,1
5,0.002326,1514,1
6,0.002344,794,1
7,0.022608,79,1
8,0.041866,60,-1
9,0.043435,1514,1
10,0.046934,127,-1
11,0.047903,60,-1
12,0.047906,66,-1
13,0.047908,60,-1
14,0.047909,60,-1
15,0.048862,60,-1
16,0.048864,60,-1
17,0.048865,96,-1
18,0.051453,1514,1
19,0.051754,1514,1
20,0.053352,1514,1
21,0.053375,1418,1
22,0.056562,74,1
23,0.094301,60,-1
24,0.096654,66,-1
25,0.097641,54,1
26,0.098953,54,1
27,0.10035,312,1
28,0.101007,60,-1
29,0.139305,60,-1
30,0.140209,60,-1
31,0.141528,1514,-1
32,0.141897,1514,-1
33,0.142191,1514,-1
34,0.14238,1049,-1
35,0.142717,1514,1
36,0.143472,1514,1
37,0.143495,1514,1
38,0.143513,1514,1
39,0.14353,172,1
40,0.144972,54,1
41,0.145187,54,1
42,0.145929,54,1
43,0.146107,54,1
44,0.156159,172,1
45,0.157365,60,-1
46,0.166636,1049,-1
47,0.168187,66,1
48,0.173878,146,-1
49,0.173879,92,-1
50,0.178851,54,1
51,0.179071,54,1
52,0.184724,60,-1
53,0.191925,172,1
54,0.192667,60,-1
55,0.192668,60,-1
56,0.198147,60,-1
57,0.205753,172,1
58,0.210736,180,1
59,0.219259,172,1
60,0.232714,60,-1
61,0.232723,172,1
62,0.248005,60,-1
63,0.248011,105,-1
64,0.249745,54,1
65,0.252042,767,1
66,0.260208,60,-1
67,0.268195,172,1
68,0.277539,60,-1
69,0.28197,172,1
70,0.300612,417,-1
71,0.302716,85,1
72,0.302988,54,1
73,0.303141,172,1
74,0.311682,60,-1
75,0.31731,172,1
76,0.323919,60,-1
77,0.343373,100,-1
78,0.344479,60,-1
79,0.344988,172,1
80,0.34734,100,1
81,0.347627,54,1
82,0.361742,60,-1
83,0.36627,172,1
84,0.38044,172,1
85,0.390606,60,-1
86,0.394442,172,1
87,0.422171,60,-1
88,0.428647,172,1
89,0.442838,172,1
90,0.456815,172,1
91,0.472265,60,-1
92,0.477829,172,1
93,0.499719,639,1
94,0.500667,60,-1
95,0.501135,190,1
96,0.505462,1514,1
97,0.507378,1514,1
98,0.507453,1514,1
99,0.507486,539,1
100,0.55327,60,-1
101,0.558261,526,1
102,0.588718,172,1
103,0.592058,60,-1
104,0.602691,172,1
105,0.617075,172,1
106,0.633541,60,-1
107,0.637795,172,1
108,0.659949,60,-1
109,0.6657,172,1
110,0.686245,146,-1
111,0.686247,92,-1
112,0.687001,172,1
113,0.690968,54,1
114,0.700672,172,1
115,0.714617,172,1
116,0.729027,60,-1
117,0.749697,172,1
118,0.760381,60,-1
119,0.763403,172,1
120,0.800556,172,1
121,0.806049,172,1
