Serial number,time,size,direction
1,0.0,286,1
2,0.00052,1514,1
3,0.000562,1514,1
4,0.000588,1514,1
5,0.000618,1514,1
6,0.011285,79,1
7,0.03677,127,-1
8,0.03779,60,-1
9,0.045117,1514,1
10,0.046333,60,-1
11,0.04726,60,-1
12,0.047261,96,-1
13,0.053253,1514,1
14,0.053614,1514,1
15,0.053894,1301,1
16,0.053917,74,1
17,0.092063,60,-1
18,0.093542,54,1
19,0.097733,60,-1
20,0.09851,66,-1
21,0.100362,54,1
22,0.102217,1514,1
23,0.102994,1514,1
24,0.103041,1514,1
25,0.103395,1514,1
26,0.103438,312,1
27,0.103477,172,1
28,0.140038,60,-1
29,0.147528,60,-1
30,0.147534,60,-1
31,0.148422,60,-1
32,0.150149,1514,-1
33,0.150571,1514,-1
34,0.150815,1514,-1
35,0.151019,1049,-1
36,0.151806,290,1
37,0.151968,172,1
38,0.152744,54,1
39,0.153207,54,1
40,0.153339,54,1
41,0.153684,54,1
42,0.170776,145,-1
43,0.170779,92,-1
44,0.171913,1049,-1
45,0.177266,54,1
46,0.177419,54,1
47,0.177644,66,1
48,0.18149,172,1
49,0.194541,60,-1
50,0.199212,172,1
51,0.213727,172,1
52,0.227729,172,1
53,0.237161,60,-1
54,0.238192,180,1
55,0.262229,172,1
56,0.265832,60,-1
57,0.275873,105,-1
58,0.277137,172,1
59,0.277436,54,1
60,0.279579,764,1
61,0.289979,172,1
62,0.311329,172,1
63,0.314898,60,-1
64,0.326934,417,-1
65,0.329203,85,1
66,0.330174,54,1
67,0.339334,172,1
68,0.34888,60,-1
69,0.359958,172,1
70,0.367861,60,-1
71,0.369176,54,1
72,0.371959,60,-1
73,0.374504,172,1
74,0.387868,172,1
75,0.396813,60,-1
76,0.423136,172,1
77,0.425955,60,-1
78,0.436822,172,1
79,0.451926,172,1
80,0.472064,172,1
81,0.473936,60,-1
82,0.500127,172,1
83,0.507332,640,1
84,0.507744,190,1
85,0.509029,60,-1
86,0.544656,60,-1
87,0.548126,1514,1
88,0.548305,1514,1
89,0.549637,1514,1
90,0.550925,433,1
91,0.592741,60,-1
92,0.592743,60,-1
93,0.597346,172,1
94,0.597822,172,1
95,0.612288,172,1
96,0.626504,172,1
97,0.635474,60,-1
98,0.66177,172,1
99,0.664285,60,-1
100,0.675607,172,1
101,0.680029,145,-1
102,0.680035,92,-1
103,0.68179,54,1
104,0.695849,172,1
105,0.7101,172,1
106,0.713933,60,-1
107,0.74485,172,1
108,0.747025,60,-1
109,0.758792,172,1
110,0.772932,172,1
111,0.788782,172,1
112,0.800809,60,-1
113,0.821893,172,1
114,0.825556,60,-1
115,0.835831,172,1
116,0.851306,172,1
117,0.871108,172,1
118,0.87396,60,-1
119,0.899025,172,1
120,0.908557,60,-1
121,0.919859,172,1
122,0.934386,172,1
123,0.9489,172,1
124,0.956893,60,-1
125,0.983083,172,1
126,0.986655,60,-1
127,0.99675,172,1
128,1.011045,172,1
129,1.03229,172,1
130,1.033853,60,-1
131,1.059646,172,1
132,1.06982,60,-1
133,1.080825,172,1
134,1.096052,172,1
135,1.109073,172,1
136,1.119833,60,-1
137,1.144578,172,1
138,1.149964,60,-1
139,1.158614,172,1
140,1.172602,172,1
141,1.186803,172,1
142,1.195633,60,-1
143,1.224159,60,-1
144,1.245026,172,1
145,1.245188,172,1
146,1.255855,172,1
147,1.271158,172,1
148,1.283103,60,-1
149,1.297893,172,1
150,1.30855,60,-1
151,1.318714,172,1
152,1.333101,172,1
153,1.346969,172,1
154,1.359186,60,-1
155,1.382225,172,1
156,1.386291,60,-1
157,1.395976,172,1
158,1.416557,172,1
159,1.430686,172,1
160,1.433171,60,-1
161,1.461061,172,1
162,1.468784,60,-1
163,1.479794,172,1
164,1.493916,172,1
165,1.508219,172,1
166,1.528348,60,-1
167,1.542714,172,1
168,1.54463,60,-1
169,1.556776,172,1
170,1.571186,172,1
171,1.591979,172,1
172,1.594936,60,-1
173,1.620304,172,1
174,1.63037,60,-1
175,1.63424,172,1
176,1.655065,172,1
177,1.670689,172,1
178,1.672503,60,-1
179,1.703948,172,1
180,1.707973,60,-1
181,1.718043,172,1
182,1.731944,172,1
183,1.746418,172,1
184,1.756271,60,-1
185,1.780806,172,1
