Serial number,time,size,direction
1,0.0,79,1
2,0.000245,287,1
3,0.000272,190,1
4,0.001403,1514,1
5,0.001768,1514,1
6,0.002126,1514,1
7,0.002146,724,1
8,0.007993,132,1
9,0.036376,127,-1
10,0.043923,74,1
11,0.056723,60,-1
12,0.06072,1514,1
13,0.063461,60,-1
14,0.064433,66,-1
15,0.064436,66,-1
16,0.064438,60,-1
17,0.064439,60,-1
18,0.06444,60,-1
19,0.065702,1514,1
20,0.067778,60,-1
21,0.071631,1514,1
22,0.075892,1514,1
23,0.076781,1438,1
24,0.099335,66,-1
25,0.101388,1514,1
26,0.101951,1514,1
27,0.102,54,1
28,0.102958,312,1
29,0.11692,60,-1
30,0.118736,1514,1
31,0.123613,60,-1
32,0.125594,1514,1
33,0.130416,60,-1
34,0.132312,290,1
35,0.136866,60,-1
36,0.150388,172,1
37,0.161316,60,-1
38,0.1615,60,-1
39,0.162437,60,-1
40,0.162439,191,-1
41,0.162922,172,1
42,0.163927,54,1
43,0.164974,105,1
44,0.175113,60,-1
45,0.184592,172,1
46,0.192018,60,-1
47,0.196955,60,-1
48,0.198383,172,1
49,0.206157,146,-1
50,0.206159,92,-1
51,0.214058,54,1
52,0.222401,60,-1
53,0.232592,172,1
54,0.246501,172,1
55,0.258578,60,-1
56,0.260501,172,1
57,0.263816,60,-1
58,0.265877,765,1
59,0.28185,172,1
60,0.307283,60,-1
61,0.309023,172,1
62,0.319563,60,-1
63,0.325245,172,1
64,0.326845,417,-1
65,0.328641,85,1
66,0.328959,54,1
67,0.340872,60,-1
68,0.343785,172,1
69,0.358215,172,1
70,0.38137,60,-1
71,0.382802,54,1
72,0.383044,60,-1
73,0.392565,172,1
74,0.407163,172,1
75,0.41973,60,-1
76,0.421122,172,1
77,0.434949,172,1
78,0.467917,60,-1
79,0.471423,172,1
80,0.484572,172,1
81,0.496327,60,-1
82,0.509187,286,1
83,0.509516,190,1
84,0.511718,1514,1
85,0.512185,1514,1
86,0.513599,1514,1
87,0.545793,60,-1
88,0.547343,901,1
89,0.567775,172,1
90,0.576987,60,-1
91,0.57699,60,-1
92,0.582152,172,1
93,0.595426,172,1
94,0.629866,60,-1
95,0.633382,172,1
96,0.65767,60,-1
97,0.66313,172,1
98,0.663305,172,1
99,0.68035,172,1
100,0.707417,172,1
101,0.712783,146,-1
102,0.712787,92,-1
103,0.714901,54,1
104,0.724889,60,-1
105,0.728928,172,1
106,0.743937,172,1
107,0.756132,172,1
108,0.769595,60,-1
109,0.792571,172,1
110,0.805577,172,1
111,0.807222,60,-1
112,0.818691,172,1
113,0.839965,172,1
114,0.860117,60,-1
115,0.867835,172,1
116,0.885396,60,-1
117,0.888885,172,1
118,0.904497,172,1
119,0.917212,172,1
120,0.933864,60,-1
121,0.952129,172,1
122,0.966506,172,1
123,0.969615,60,-1
124,0.980182,172,1
125,1.001332,172,1
126,1.010877,60,-1
127,1.029418,172,1
128,1.039992,60,-1
129,1.042781,172,1
130,1.063887,172,1
131,1.07824,172,1
132,1.091828,60,-1
133,1.112463,172,1
134,1.126359,172,1
135,1.127573,60,-1
136,1.142056,172,1
137,1.154846,172,1
138,1.175807,60,-1
139,1.189412,172,1
140,1.203432,172,1
141,1.210287,60,-1
142,1.224969,172,1
143,1.238908,172,1
144,1.253029,60,-1
145,1.266968,172,1
146,1.287753,172,1
147,1.288677,60,-1
148,1.300875,172,1
149,1.314846,172,1
150,1.339327,60,-1
151,1.363068,172,1
152,1.363212,172,1
153,1.364176,60,-1
154,1.384172,172,1
155,1.398258,172,1
156,1.42025,60,-1
157,1.426298,60,-1
158,1.426299,60,-1
159,1.432622,172,1
160,1.444285,60,-1
161,1.448626,172,1
162,1.458267,60,-1
163,1.460962,172,1
164,1.474849,172,1
165,1.491956,60,-1
166,1.507167,60,-1
167,1.509944,172,1
168,1.51944,60,-1
169,1.524352,172,1
170,1.533036,60,-1
171,1.544104,172,1
172,1.558249,172,1
173,1.579226,60,-1
174,1.585268,60,-1
175,1.592565,172,1
176,1.60461,60,-1
177,1.606773,172,1
178,1.617706,60,-1
179,1.62123,172,1
180,1.63494,172,1
181,1.650974,60,-1
182,1.666986,60,-1
183,1.669754,172,1
184,1.681607,60,-1
185,1.683988,172,1
186,1.695571,60,-1
187,1.705588,172,1
188,1.71904,172,1
189,1.731469,60,-1
190,1.74567,60,-1
191,1.747063,172,1
192,1.766343,60,-1
193,1.76781,172,1
194,1.781175,60,-1
195,1.781887,172,1
196,1.79573,172,1
197,1.808796,60,-1
198,1.830611,172,1
199,1.831028,60,-1
200,1.844756,172,1
201,1.847416,60,-1
202,1.858754,172,1
203,1.859896,60,-1
204,1.879791,172,1
205,1.894419,60,-1
206,1.904573,60,-1
207,1.907449,172,1
208,1.918253,60,-1
209,1.933881,172,1
210,1.938005,60,-1
211,1.94803,172,1
212,1.960961,172,1
213,1.961908,60,-1
214,1.988271,60,-1
215,1.992266,172,1
216,2.003077,60,-1
217,2.005839,172,1
218,2.013967,60,-1
219,2.019971,172,1
220,2.054354,60,-1
221,2.065919,172,1
222,2.066928,60,-1
223,2.070443,172,1
224,2.078699,60,-1
225,2.08477,172,1
226,2.106048,172,1
227,2.120261,172,1
228,2.12452,60,-1
229,2.128625,60,-1
230,2.140438,60,-1
231,2.152779,172,1
232,2.164551,60,-1
233,2.166944,172,1
234,2.17344,60,-1
235,2.180999,172,1
236,2.195387,172,1
237,2.213957,60,-1
238,2.219309,60,-1
239,2.230115,172,1
240,2.233344,60,-1
241,2.243851,172,1
242,2.247801,60,-1
243,2.264838,172,1
244,2.279417,172,1
245,2.286611,60,-1
246,2.296577,60,-1
247,2.309858,172,1
248,2.319335,60,-1
249,2.327715,172,1
250,2.336677,60,-1
251,2.342076,172,1
252,2.356767,172,1
253,2.367548,60,-1
254,2.387265,60,-1
255,2.390911,172,1
256,2.402,60,-1
257,2.404473,172,1
258,2.420404,60,-1
259,2.424468,172,1
260,2.440332,172,1
261,2.449867,60,-1
262,2.463326,60,-1
263,2.467807,172,1
264,2.482764,60,-1
265,2.488778,172,1
266,2.496415,60,-1
267,2.502774,172,1
268,2.517184,172,1
269,2.522687,60,-1
270,2.545106,60,-1
271,2.552157,172,1
272,2.557945,60,-1
273,2.565656,172,1
274,2.575946,60,-1
275,2.580466,172,1
276,2.601301,172,1
277,2.610808,60,-1
278,2.625206,60,-1
279,2.628957,172,1
280,2.64071,60,-1
281,2.640715,96,-1
282,2.642469,172,1
283,2.663997,172,1
284,2.677961,172,1
285,2.687745,60,-1
286,2.717929,172,1
287,2.723777,60,-1
288,2.727395,172,1
289,2.75847,172,1
290,2.758848,172,1
291,2.773829,60,-1
292,2.790173,172,1
293,2.803956,172,1
294,2.814662,60,-1
295,2.824849,172,1
296,2.839204,172,1
297,2.844762,60,-1
298,2.86706,172,1
299,2.880348,60,-1
300,2.891139,172,1
301,2.904922,172,1
302,2.917369,172,1
303,2.920669,60,-1
304,2.952382,172,1
305,2.958853,60,-1
306,2.959008,434,-1
307,2.966434,172,1
308,2.976685,716,-1
309,2.978148,136,1
310,2.978299,92,1
311,2.99152,74,1
312,3.02424,60,-1
313,3.040351,60,-1
314,3.062924,66,-1
315,3.064802,54,1
316,3.065778,312,1
317,3.140586,60,-1
318,3.144948,60,-1
319,3.14495,191,-1
320,3.146833,54,1
321,3.148822,105,1
322,3.172937,460,-1
323,3.181703,74,1
324,3.206848,54,1
325,3.257283,66,-1
326,3.261946,54,1
327,3.263085,312,1
328,3.267741,60,-1
329,3.271296,811,1
330,3.336746,60,-1
331,3.340996,60,-1
332,3.341228,191,-1
333,3.34297,54,1
334,3.343317,105,1
335,3.343818,60,-1
336,3.349814,417,-1
337,3.352002,85,1
338,3.35217,54,1
339,3.418772,60,-1
340,3.423116,60,-1
341,3.426092,54,1
342,3.462363,60,-1
343,3.466873,781,1
344,3.492286,1514,-1
345,3.492574,1514,-1
346,3.493357,839,-1
347,3.497439,54,1
348,3.497672,54,1
349,3.497759,54,1
350,3.505127,475,-1
351,3.509852,74,1
352,3.510008,54,1
353,3.512361,287,1
354,3.512869,1514,1
355,3.513812,1514,1
356,3.513851,1514,1
357,3.513883,559,1
358,3.513912,136,1
359,3.514106,92,1
360,3.535711,60,-1
361,3.542819,417,-1
362,3.544924,74,1
363,3.556433,146,-1
364,3.556437,92,-1
365,3.557199,85,1
366,3.557481,54,1
367,3.562855,54,1
368,3.573701,60,-1
369,3.573704,60,-1
370,3.575048,60,-1
371,3.577397,1514,1
372,3.57813,1514,1
373,3.578181,1514,1
374,3.578258,66,-1
375,3.579377,1270,1
376,3.579822,54,1
377,3.581215,312,1
378,3.607081,88,1
379,3.617673,66,-1
380,3.618917,54,1
381,3.620828,60,-1
382,3.622008,54,1
383,3.622297,312,1
384,3.637498,60,-1
385,3.637501,60,-1
386,3.650561,60,-1
387,3.652264,60,-1
388,3.652546,191,-1
389,3.654237,54,1
390,3.656308,105,1
391,3.662131,152,-1
392,3.664929,74,1
393,3.680506,146,-1
394,3.680509,92,-1
395,3.684711,54,1
396,3.686724,60,-1
397,3.693384,74,-1
398,3.694169,60,-1
399,3.69417,191,-1
400,3.694679,66,1
401,3.695672,54,1
402,3.696722,583,1
403,3.700677,105,1
404,3.725294,66,-1
405,3.726267,218,-1
406,3.727811,66,1
407,3.728246,117,1
408,3.747461,146,-1
409,3.747463,92,-1
410,3.751242,54,1
411,3.77409,60,-1
412,3.77566,784,1
413,3.794422,66,-1
414,3.796816,765,1
415,3.818931,66,-1
416,3.820331,60,-1
417,3.822336,798,1
418,3.840309,60,-1
419,3.848924,417,-1
420,3.850222,542,-1
421,3.850224,97,-1
422,3.850553,66,-1
423,3.851041,85,1
424,3.851569,54,1
425,3.852083,97,1
426,3.852374,66,1
427,3.85246,54,1
428,3.87492,74,1
429,3.878292,60,-1
430,3.884958,296,1
431,3.885648,190,1
432,3.886648,1514,1
433,3.887012,1514,1
434,3.888129,1514,1
435,3.888573,509,1
436,3.888708,92,1
437,3.890858,60,-1
438,3.897015,417,-1
439,3.899669,85,1
440,3.899824,54,1
441,3.903921,74,-1
442,3.908938,66,1
443,3.909943,583,1
444,3.916647,60,-1
445,3.919053,54,1
446,3.921777,60,-1
447,3.937279,66,-1
448,3.938542,218,-1
449,3.939934,66,1
450,3.940704,117,1
451,3.943524,60,-1
452,3.950114,60,-1
453,3.971305,60,-1
454,3.972787,54,1
455,4.014353,66,-1
456,4.018996,769,1
457,4.040915,66,-1
458,4.044712,547,-1
459,4.045631,1514,-1
460,4.045905,1514,-1
461,4.04616,1514,-1
462,4.046289,1514,-1
463,4.046459,1514,-1
464,4.046603,1514,-1
465,4.046802,1514,-1
466,4.046929,1514,-1
467,4.047127,1514,-1
468,4.047316,1514,-1
469,4.047682,1514,-1
470,4.048043,1514,-1
471,4.048667,1514,-1
472,4.048795,66,1
473,4.048966,1514,-1
474,4.048972,66,1
475,4.049687,1514,-1
476,4.050066,1514,-1
477,4.050213,66,1
478,4.050853,1514,-1
479,4.051175,1514,-1
480,4.051181,66,1
481,4.051778,1514,-1
482,4.052101,1514,-1
483,4.052106,66,1
484,4.053108,1514,-1
485,4.053463,1514,-1
486,4.053649,66,1
487,4.053796,66,1
488,4.054183,1514,-1
489,4.054555,1514,-1
490,4.05871,286,1
491,4.059683,1514,1
492,4.05971,1514,1
493,4.059727,1514,1
494,4.059743,66,1
495,4.059819,66,1
496,4.059912,66,1
497,4.060049,555,1
498,4.060067,136,1
499,4.060141,92,1
500,4.060392,66,1
501,4.061241,66,1
502,4.070992,1514,-1
503,4.071306,1514,-1
504,4.071677,1514,-1
505,4.071996,1514,-1
506,4.07222,1514,-1
507,4.07257,1514,-1
508,4.072932,1514,-1
509,4.073272,1514,-1
510,4.073637,1514,-1
511,4.073948,1514,-1
512,4.074444,1514,-1
513,4.074841,1514,-1
514,4.075006,66,1
515,4.075134,1514,-1
516,4.075194,66,1
517,4.075279,66,1
518,4.075541,1514,-1
519,4.076155,1514,-1
520,4.076533,1514,-1
521,4.076841,1514,-1
522,4.077128,1514,-1
523,4.077374,1514,-1
524,4.077696,1514,-1
525,4.078536,1514,-1
526,4.078882,1514,-1
527,4.079197,1514,-1
528,4.079535,1514,-1
529,4.080146,1514,-1
530,4.080491,1514,-1
531,4.080872,1514,-1
532,4.081083,1514,-1
533,4.081085,146,-1
534,4.081087,92,-1
535,4.083047,66,1
536,4.083223,66,1
537,4.083367,66,1
538,4.083506,66,1
539,4.083581,66,1
540,4.08368,66,1
541,4.084504,66,1
542,4.085464,66,1
543,4.086507,66,1
544,4.087472,66,1
545,4.088596,66,1
546,4.088835,1514,-1
547,4.089179,1514,-1
548,4.089551,1514,-1
549,4.089699,1514,-1
550,4.089904,1514,-1
551,4.090087,1514,-1
552,4.090721,54,1
553,4.0908,66,1
554,4.090878,1514,-1
555,4.091225,1514,-1
556,4.091583,1514,-1
557,4.091803,1514,-1
558,4.091979,1514,-1
559,4.091985,66,1
560,4.092259,1514,-1
561,4.09294,1514,-1
562,4.093221,1514,-1
563,4.09342,1514,-1
564,4.093653,1514,-1
565,4.093806,66,1
566,4.093882,66,1
567,4.093945,1514,-1
568,4.094273,1514,-1
569,4.094459,1514,-1
570,4.094668,1514,-1
571,4.094968,66,1
572,4.101091,1514,-1
573,4.101306,1514,-1
574,4.101503,1514,-1
575,4.101623,1514,-1
576,4.101814,1514,-1
577,4.102001,1514,-1
578,4.102239,1514,-1
579,4.102433,1514,-1
580,4.102718,1514,-1
581,4.103041,1514,-1
582,4.103387,1514,-1
583,4.103397,66,1
584,4.103602,66,1
585,4.103681,66,1
586,4.103717,1514,-1
587,4.103797,66,1
588,4.103872,66,1
589,4.103948,66,1
590,4.105696,1514,-1
591,4.106021,1514,-1
592,4.106259,1514,-1
593,4.106472,1514,-1
594,4.106626,1514,-1
595,4.106814,1514,-1
596,4.106989,1514,-1
597,4.107183,1514,-1
598,4.107355,1514,-1
599,4.10757,1514,-1
600,4.107764,1514,-1
601,4.108051,1514,-1
602,4.108359,1514,-1
603,4.108561,1514,-1
604,4.108744,1514,-1
605,4.108904,1514,-1
606,4.109084,1514,-1
607,4.109236,1514,-1
608,4.109432,1514,-1
609,4.10972,1514,-1
610,4.110006,1514,-1
611,4.110203,1514,-1
612,4.110428,1514,-1
613,4.110644,66,1
614,4.110732,1514,-1
615,4.110768,66,1
616,4.110845,66,1
617,4.110922,66,1
618,4.110998,66,1
619,4.111075,1514,-1
620,4.11111,66,1
621,4.111459,1514,-1
622,4.111642,1514,-1
623,4.111822,1514,-1
624,4.112027,1514,-1
625,4.112209,1514,-1
626,4.112397,1514,-1
627,4.112577,1514,-1
628,4.112771,1514,-1
629,4.112932,1514,-1
630,4.113126,1514,-1
631,4.115088,1514,-1
632,4.115291,1514,-1
633,4.115585,1514,-1
634,4.115875,1514,-1
635,4.116127,1514,-1
636,4.11627,1514,-1
637,4.116363,1514,-1
638,4.11646,1514,-1
639,4.116592,1514,-1
640,4.116718,1514,-1
641,4.116824,1514,-1
642,4.116944,1514,-1
643,4.117069,1514,-1
644,4.117185,1514,-1
645,4.117311,1514,-1
646,4.117436,1514,-1
647,4.117609,1514,-1
648,4.117702,1514,-1
649,4.117818,1514,-1
650,4.117928,1514,-1
651,4.117979,66,1
652,4.118073,1514,-1
653,4.118184,1514,-1
654,4.11823,66,1
655,4.118312,1514,-1
656,4.118422,66,1
657,4.11855,1514,-1
658,4.118589,66,1
659,4.118702,66,1
660,4.118805,66,1
661,4.118982,66,1
662,4.119063,66,1
663,4.119919,66,1
664,4.120076,66,1
665,4.120806,1514,-1
666,4.12112,1514,-1
667,4.121313,1514,-1
668,4.121824,1514,-1
669,4.121866,66,1
670,4.121999,1514,-1
671,4.122,60,-1
672,4.122617,66,1
673,4.12321,60,-1
674,4.123505,66,1
675,4.12554,1514,-1
676,4.125687,1514,-1
677,4.12587,1514,-1
678,4.126045,1514,-1
679,4.126196,1514,-1
680,4.126377,1514,-1
681,4.126591,1514,-1
682,4.126781,1514,-1
683,4.126995,1514,-1
684,4.127109,1514,-1
685,4.12721,1514,-1
686,4.127332,1514,-1
687,4.127554,1514,-1
688,4.127671,1514,-1
