Serial number,time,size,direction
1,0.0,54,1
2,0.226519,286,1
3,0.226779,190,1
4,0.227144,1514,1
5,0.227184,1514,1
6,0.227202,1514,1
7,0.265626,60,-1
8,0.270245,1514,1
9,0.274085,60,-1
10,0.274254,66,-1
11,0.274256,60,-1
12,0.274258,60,-1
13,0.274259,60,-1
14,0.278993,1514,1
15,0.280063,1514,1
16,0.280084,1514,1
17,0.2801,976,1
18,0.280114,74,1
19,0.311364,60,-1
20,0.318106,60,-1
21,0.318498,96,-1
22,0.324833,60,-1
23,0.327717,66,-1
24,0.329019,54,1
25,0.330842,312,1
26,0.351731,1514,1
27,0.352097,1514,1
28,0.353854,1514,1
29,0.353877,1514,1
30,0.353894,492,1
31,0.37095,60,-1
32,0.374741,60,-1
33,0.375539,191,-1
34,0.378536,54,1
35,0.381116,105,1
36,0.395916,60,-1
37,0.396531,60,-1
38,0.397238,408,1
39,0.426948,172,1
40,0.441038,172,1
41,0.461548,172,1
42,0.461961,145,-1
43,0.461962,92,-1
44,0.463105,60,-1
45,0.463554,54,1
46,0.464339,764,1
47,0.475943,172,1
48,0.47932,60,-1
49,0.503538,172,1
50,0.509061,60,-1
51,0.515459,60,-1
52,0.515461,417,-1
53,0.517447,85,1
54,0.517659,54,1
55,0.524447,172,1
56,0.538718,172,1
57,0.552606,172,1
58,0.558143,60,-1
59,0.559579,54,1
60,0.563181,60,-1
61,0.56623,60,-1
62,0.587919,172,1
63,0.596466,60,-1
64,0.601877,172,1
65,0.615724,172,1
66,0.637081,172,1
67,0.644098,60,-1
68,0.664672,172,1
69,0.675755,60,-1
70,0.699151,172,1
71,0.702894,172,1
72,0.717259,172,1
73,0.736243,60,-1
74,0.748574,172,1
75,0.755308,60,-1
76,0.762764,172,1
77,0.77553,288,1
78,0.777537,190,1
79,0.780479,1514,1
80,0.803238,60,-1
81,0.804976,1514,1
82,0.806506,1514,1
83,0.8189,60,-1
84,0.820293,181,1
85,0.826041,172,1
86,0.843961,60,-1
87,0.845484,172,1
88,0.860013,60,-1
89,0.860957,172,1
90,0.874555,172,1
91,0.893176,60,-1
92,0.909767,172,1
93,0.914865,60,-1
94,0.9253,172,1
95,0.937768,172,1
96,0.949623,145,-1
97,0.949626,92,-1
98,0.951901,172,1
99,0.977036,60,-1
100,0.986672,172,1
101,1.000449,172,1
102,1.021962,172,1
103,1.026078,60,-1
104,1.034559,172,1
105,1.062011,60,-1
106,1.070024,172,1
107,1.083495,172,1
108,1.098189,172,1
109,1.109487,60,-1
110,1.11161,172,1
111,1.136615,60,-1
112,1.147032,172,1
113,1.160693,172,1
114,1.181702,172,1
115,1.18541,60,-1
116,1.195951,172,1
117,1.220395,60,-1
118,1.223695,172,1
119,1.244885,172,1
120,1.25912,172,1
121,1.262489,60,-1
122,1.272181,172,1
123,1.299971,60,-1
124,1.307343,172,1
125,1.321551,172,1
126,1.341525,172,1
127,1.34732,60,-1
128,1.356124,172,1
129,1.381945,60,-1
130,1.39911,172,1
131,1.405092,172,1
132,1.418493,172,1
133,1.432758,172,1
134,1.43743,60,-1
135,1.458162,60,-1
136,1.468489,172,1
137,1.48481,172,1
138,1.499127,172,1
139,1.506013,60,-1
140,1.519169,172,1
141,1.537936,60,-1
142,1.544847,172,1
143,1.565655,172,1
144,1.579657,172,1
145,1.582328,60,-1
146,1.593674,172,1
147,1.617701,60,-1
148,1.629802,172,1
149,1.643568,172,1
150,1.657668,172,1
151,1.669852,60,-1
152,1.679193,172,1
153,1.695086,60,-1
154,1.70528,172,1
155,1.726414,172,1
156,1.740874,172,1
157,1.744502,60,-1
158,1.754719,172,1
159,1.778624,60,-1
160,1.790062,172,1
161,1.803662,172,1
162,1.817997,172,1
163,1.82746,60,-1
164,1.838978,172,1
165,1.857016,60,-1
166,1.866954,172,1
167,1.88077,172,1
168,1.901682,172,1
169,1.904357,60,-1
170,1.918608,172,1
171,1.938575,60,-1
172,1.943714,172,1
173,1.964468,172,1
174,1.979103,172,1
175,1.981242,60,-1
176,1.992746,172,1
177,2.017944,60,-1
178,2.028118,172,1
179,2.042016,172,1
180,2.062577,172,1
181,2.065286,60,-1
182,2.099111,172,1
183,2.100623,60,-1
184,2.104505,172,1
185,2.125509,172,1
186,2.139593,172,1
187,2.145964,60,-1
188,2.153833,172,1
189,2.179741,60,-1
190,2.188041,172,1
191,2.201999,172,1
192,2.216352,172,1
193,2.225001,60,-1
194,2.237141,172,1
195,2.256705,60,-1
196,2.26545,172,1
197,2.286373,172,1
198,2.301124,172,1
199,2.303721,60,-1
200,2.314348,172,1
201,2.339014,60,-1
202,2.348624,172,1
203,2.362465,172,1
204,2.376656,172,1
205,2.387308,60,-1
206,2.39838,172,1
207,2.414165,60,-1
208,2.42563,172,1
209,2.43982,172,1
210,2.461344,172,1
211,2.463747,60,-1
212,2.474751,172,1
213,2.502199,60,-1
214,2.510574,172,1
215,2.52397,172,1
216,2.538047,172,1
217,2.548224,60,-1
218,2.559452,172,1
219,2.576396,60,-1
220,2.586322,172,1
221,2.600043,172,1
222,2.619874,172,1
223,2.62382,60,-1
224,2.634295,172,1
225,2.658957,60,-1
226,2.668997,172,1
227,2.682871,172,1
228,2.700972,172,1
229,2.707193,60,-1
230,2.718702,172,1
231,2.722532,434,-1
232,2.737236,136,1
233,2.740423,706,-1
234,2.744222,92,1
235,2.749386,74,1
236,2.775011,60,-1
237,2.788121,66,-1
238,2.799723,54,1
239,2.80053,54,1
240,2.801577,312,1
241,2.830694,60,-1
242,2.843288,60,-1
243,2.844237,60,-1
244,2.844243,191,-1
245,2.846192,54,1
246,2.846674,105,1
247,2.932277,60,-1
248,2.941357,810,1
249,2.979278,60,-1
250,2.98421,417,-1
251,2.989359,85,1
252,2.989677,54,1
253,3.028095,60,-1
254,3.032176,60,-1
255,3.03242,54,1
256,3.297856,639,1
257,3.298271,1514,1
258,3.298303,1514,1
259,3.298319,1514,1
260,3.298353,77,1
261,3.346483,60,-1
262,3.350578,60,-1
263,3.364707,1514,-1
264,3.365065,1514,-1
265,3.365067,1514,-1
266,3.365067,1514,-1
267,3.365293,1514,-1
268,3.365294,1514,-1
269,3.365417,1514,-1
270,3.365589,1514,-1
271,3.36568,1514,-1
272,3.365942,1514,-1
