Serial number,time,size,direction
1,0.0,640,1
2,0.000616,1514,1
3,0.00066,1514,1
4,0.000693,1514,1
5,0.00097,916,1
6,0.005045,180,1
7,0.006605,1514,1
8,0.017507,79,1
9,0.044126,127,-1
10,0.04707,74,1
11,0.047292,60,-1
12,0.049107,1514,1
13,0.050004,60,-1
14,0.050996,60,-1
15,0.051682,1514,1
16,0.052728,1514,1
17,0.053551,60,-1
18,0.053553,60,-1
19,0.054136,1278,1
20,0.089133,1514,1
21,0.090829,1514,1
22,0.090878,1514,1
23,0.092267,66,-1
24,0.092983,60,-1
25,0.093942,54,1
26,0.09473,1392,1
27,0.095426,312,1
28,0.098349,60,-1
29,0.098353,60,-1
30,0.137886,60,-1
31,0.137889,60,-1
32,0.139282,60,-1
33,0.14159,172,1
34,0.141765,172,1
35,0.14237,60,-1
36,0.144285,60,-1
37,0.144287,191,-1
38,0.145712,54,1
39,0.146145,105,1
40,0.157607,172,1
41,0.168875,146,-1
42,0.168878,92,-1
43,0.171125,172,1
44,0.187173,60,-1
45,0.206052,172,1
46,0.215021,60,-1
47,0.219489,172,1
48,0.233539,172,1
49,0.245736,60,-1
50,0.247174,767,1
51,0.254917,172,1
52,0.262535,60,-1
53,0.282671,172,1
54,0.296554,172,1
55,0.300009,60,-1
56,0.300011,60,-1
57,0.305544,417,-1
58,0.307478,85,1
59,0.307657,54,1
60,0.317832,172,1
61,0.33176,172,1
62,0.345807,60,-1
63,0.351568,60,-1
64,0.353454,54,1
65,0.366786,172,1
66,0.379414,60,-1
67,0.380716,172,1
68,0.39529,172,1
69,0.408819,172,1
70,0.422882,60,-1
71,0.443615,172,1
72,0.452714,60,-1
73,0.457668,172,1
74,0.47867,172,1
75,0.493072,172,1
76,0.507519,60,-1
77,0.512959,288,1
78,0.513342,190,1
79,0.514556,1514,1
80,0.516168,1514,1
81,0.516206,1514,1
82,0.539276,60,-1
83,0.540695,643,1
84,0.551892,172,1
85,0.558357,60,-1
86,0.559799,172,1
87,0.565453,60,-1
88,0.570335,172,1
89,0.587252,96,-1
90,0.600965,60,-1
91,0.605097,172,1
92,0.619062,172,1
93,0.632742,172,1
94,0.650605,60,-1
95,0.653804,172,1
96,0.676401,60,-1
97,0.681837,172,1
98,0.694041,146,-1
99,0.694044,92,-1
100,0.69563,54,1
101,0.703672,172,1
102,0.717008,172,1
103,0.728895,60,-1
104,0.731037,172,1
105,0.762269,60,-1
106,0.765697,172,1
107,0.779763,172,1
108,0.794203,172,1
109,0.808511,60,-1
110,0.814522,172,1
111,0.837613,60,-1
112,0.8428,172,1
113,0.856502,172,1
114,0.877357,172,1
115,0.890034,60,-1
116,0.891352,172,1
117,0.92053,60,-1
118,0.926587,172,1
119,0.940475,172,1
120,0.954617,172,1
121,0.968933,172,1
122,0.971116,60,-1
123,1.003745,172,1
124,1.006646,60,-1
125,1.018249,172,1
126,1.038822,172,1
127,1.052515,172,1
128,1.058635,60,-1
129,1.080706,172,1
130,1.086902,60,-1
131,1.101683,172,1
132,1.115581,172,1
133,1.129617,172,1
134,1.133414,60,-1
135,1.164325,172,1
136,1.165978,60,-1
137,1.178397,172,1
138,1.192484,172,1
139,1.206025,60,-1
140,1.213802,172,1
141,1.237396,60,-1
142,1.241384,172,1
143,1.267522,172,1
144,1.282257,172,1
145,1.283656,60,-1
146,1.294389,172,1
147,1.323882,60,-1
148,1.326067,172,1
149,1.339388,172,1
150,1.353876,172,1
151,1.371365,60,-1
152,1.374506,172,1
153,1.396612,60,-1
154,1.404736,172,1
155,1.41782,172,1
156,1.438741,172,1
157,1.444017,60,-1
158,1.453253,172,1
159,1.482059,60,-1
160,1.486516,172,1
161,1.500508,172,1
162,1.530415,60,-1
163,1.539898,172,1
164,1.540042,172,1
165,1.563793,172,1
166,1.577585,172,1
167,1.581076,60,-1
168,1.598532,172,1
169,1.606031,60,-1
170,1.612597,172,1
171,1.640669,172,1
172,1.642273,60,-1
173,1.661724,172,1
174,1.675531,172,1
