Serial number,time,size,direction
1,0.0,287,1
2,0.000656,190,1
3,0.000956,1078,1
4,0.000998,1078,1
5,0.002497,1078,1
6,0.002539,1078,1
7,0.002597,362,1
8,0.00877,132,1
9,0.009171,74,1
10,0.038513,60,-1
11,0.040269,1078,1
12,0.044748,60,-1
13,0.045746,60,-1
14,0.045748,60,-1
15,0.04575,60,-1
16,0.046653,1078,1
17,0.047554,1078,1
18,0.048568,1078,1
19,0.048689,60,-1
20,0.049505,1078,1
21,0.049557,1078,1
22,0.049623,452,1
23,0.049955,66,-1
24,0.051414,54,1
25,0.072367,312,1
26,0.078746,60,-1
27,0.084688,60,-1
28,0.091607,60,-1
29,0.09161,60,-1
30,0.094427,60,-1
31,0.111493,60,-1
32,0.111735,191,-1
33,0.113556,54,1
34,0.116831,105,1
35,0.141285,1078,1
36,0.143533,1078,1
37,0.143585,1078,1
38,0.143649,1078,1
39,0.143709,1078,1
40,0.143765,1052,1
41,0.153838,172,1
42,0.171115,146,-1
43,0.171118,92,-1
44,0.173068,54,1
45,0.18003,60,-1
46,0.181189,172,1
47,0.188297,60,-1
48,0.188301,60,-1
49,0.189042,96,-1
50,0.199423,60,-1
51,0.201853,765,1
52,0.202424,172,1
53,0.216583,172,1
54,0.218712,60,-1
55,0.230137,172,1
56,0.242284,60,-1
57,0.248302,419,-1
58,0.250551,85,1
59,0.250746,54,1
60,0.254026,60,-1
61,0.26487,172,1
62,0.27913,172,1
63,0.291031,60,-1
64,0.292807,54,1
65,0.293239,172,1
66,0.304953,60,-1
67,0.314084,172,1
68,0.330831,60,-1
69,0.342106,172,1
70,0.362884,172,1
71,0.377007,172,1
72,0.379801,60,-1
73,0.396143,172,1
74,0.415741,60,-1
75,0.425846,172,1
76,0.439787,172,1
77,0.454145,172,1
78,0.46349,60,-1
79,0.474671,172,1
80,0.49481,60,-1
81,0.498794,640,1
82,0.499397,190,1
83,0.500427,1078,1
84,0.5007,1078,1
85,0.501273,1078,1
86,0.501602,1078,1
87,0.501623,65,1
88,0.539277,60,-1
89,0.543874,528,1
90,0.543984,60,-1
91,0.551557,172,1
92,0.582161,60,-1
93,0.586495,172,1
94,0.625236,172,1
95,0.625407,60,-1
96,0.625433,172,1
97,0.633997,172,1
98,0.661628,172,1
99,0.669866,146,-1
100,0.669868,92,-1
101,0.671573,60,-1
102,0.671726,54,1
103,0.682945,172,1
104,0.698942,60,-1
105,0.700112,172,1
106,0.710869,172,1
107,0.740982,60,-1
108,0.745853,172,1
109,0.759917,172,1
110,0.773923,172,1
111,0.783882,60,-1
112,0.794643,172,1
113,0.816103,60,-1
114,0.822481,172,1
115,0.836437,172,1
116,0.858089,172,1
117,0.86143,60,-1
118,0.871891,172,1
119,0.89573,60,-1
120,0.905866,172,1
121,0.91977,172,1
122,0.934186,172,1
123,0.948077,60,-1
124,0.95469,172,1
125,0.972522,60,-1
126,0.982761,172,1
127,0.997158,172,1
128,1.017779,172,1
129,1.023755,60,-1
130,1.031651,172,1
131,1.064308,60,-1
132,1.067108,172,1
133,1.080537,172,1
134,1.095041,172,1
135,1.104529,60,-1
136,1.109068,172,1
137,1.132418,60,-1
138,1.143622,172,1
139,1.15765,172,1
140,1.178807,172,1
141,1.181468,60,-1
142,1.192621,172,1
143,1.216518,60,-1
144,1.220705,172,1
145,1.24203,172,1
146,1.255857,172,1
147,1.258056,60,-1
148,1.269764,172,1
149,1.293386,60,-1
150,1.325486,172,1
151,1.325699,172,1
152,1.332419,172,1
153,1.353756,172,1
154,1.35571,60,-1
155,1.363282,60,-1
156,1.363609,60,-1
157,1.370359,60,-1
158,1.380882,172,1
159,1.391697,60,-1
160,1.401698,172,1
161,1.416119,172,1
162,1.418971,60,-1
163,1.429914,172,1
164,1.439874,60,-1
165,1.454373,60,-1
166,1.464663,172,1
167,1.467263,60,-1
168,1.478874,172,1
169,1.493548,172,1
170,1.50222,60,-1
171,1.51376,172,1
172,1.525457,60,-1
173,1.530912,60,-1
174,1.541926,172,1
175,1.552729,60,-1
176,1.562741,172,1
177,1.576766,172,1
178,1.579657,60,-1
179,1.593033,172,1
180,1.600849,60,-1
181,1.614252,60,-1
182,1.625953,172,1
183,1.630773,60,-1
184,1.63988,172,1
185,1.654376,172,1
186,1.663675,60,-1
187,1.668344,172,1
188,1.677233,60,-1
189,1.691375,60,-1
190,1.703271,172,1
191,1.707393,60,-1
192,1.717157,172,1
193,1.737643,172,1
194,1.742206,60,-1
195,1.751596,172,1
196,1.754811,60,-1
197,1.7756,60,-1
198,1.787115,172,1
199,1.789434,60,-1
200,1.800567,172,1
201,1.814686,172,1
202,1.825124,60,-1
203,1.829541,172,1
204,1.838049,60,-1
205,1.852482,60,-1
206,1.863894,172,1
207,1.867406,60,-1
208,1.877881,172,1
209,1.899051,172,1
210,1.9015,60,-1
211,1.912828,172,1
212,1.915272,60,-1
213,1.937682,60,-1
214,1.940531,172,1
215,1.950682,60,-1
216,1.961864,172,1
217,1.975777,172,1
218,1.978413,60,-1
219,1.989833,172,1
220,1.999813,60,-1
221,2.013704,60,-1
222,2.02721,60,-1
223,2.030603,172,1
224,2.038674,172,1
225,2.05264,172,1
226,2.068481,60,-1
227,2.076237,172,1
228,2.076336,60,-1
229,2.089865,60,-1
230,2.10158,172,1
231,2.114999,60,-1
232,2.122798,172,1
233,2.137245,172,1
234,2.138698,60,-1
235,2.150787,172,1
236,2.161261,60,-1
237,2.174738,60,-1
238,2.185924,172,1
239,2.188369,60,-1
240,2.200415,172,1
241,2.214366,172,1
242,2.224171,60,-1
243,2.234988,172,1
244,2.23813,60,-1
245,2.263355,172,1
246,2.27679,172,1
247,2.29582,60,-1
248,2.2977,172,1
249,2.311204,172,1
250,2.329309,60,-1
251,2.336094,60,-1
252,2.346877,172,1
253,2.350498,60,-1
254,2.359929,172,1
255,2.374954,172,1
256,2.384576,60,-1
257,2.39558,172,1
258,2.398101,60,-1
259,2.412827,60,-1
260,2.422802,172,1
261,2.433959,60,-1
262,2.437523,172,1
263,2.457769,172,1
264,2.469162,60,-1
265,2.471602,172,1
266,2.474934,60,-1
267,2.495772,60,-1
268,2.508041,172,1
269,2.519134,60,-1
270,2.521527,172,1
271,2.53467,172,1
272,2.545791,60,-1
273,2.55062,172,1
274,2.558784,60,-1
275,2.572794,60,-1
276,2.58383,172,1
277,2.588492,60,-1
278,2.597842,172,1
279,2.62149,60,-1
280,2.624939,172,1
281,2.633292,172,1
282,2.635334,60,-1
283,2.661105,172,1
284,2.66326,60,-1
285,2.671606,60,-1
286,2.68252,172,1
287,2.696008,172,1
288,2.698761,60,-1
289,2.720628,60,-1
290,2.731719,172,1
291,2.733635,60,-1
292,2.745399,172,1
293,2.758657,172,1
294,2.769251,60,-1
295,2.772849,172,1
296,2.782463,60,-1
297,2.794458,172,1
298,2.796449,60,-1
299,2.811378,60,-1
300,2.821652,172,1
301,2.832877,60,-1
302,2.842675,172,1
303,2.857855,172,1
304,2.860611,60,-1
305,2.871009,172,1
306,2.880769,60,-1
307,2.897382,60,-1
308,2.908449,172,1
309,2.910348,60,-1
310,2.922576,172,1
311,2.938733,172,1
312,2.945676,60,-1
313,2.954774,172,1
314,2.96057,60,-1
315,2.977592,60,-1
316,2.983213,172,1
317,2.993323,60,-1
318,2.997236,172,1
319,3.018085,172,1
320,3.020532,60,-1
321,3.033375,172,1
322,3.034904,60,-1
323,3.055753,60,-1
324,3.060214,172,1
325,3.070711,60,-1
326,3.081229,172,1
327,3.095834,172,1
328,3.097991,60,-1
329,3.109558,172,1
330,3.11849,60,-1
331,3.133388,60,-1
332,3.145089,172,1
333,3.146815,60,-1
334,3.158351,172,1
335,3.178874,172,1
336,3.182876,60,-1
337,3.192849,172,1
338,3.195587,60,-1
339,3.211253,434,-1
340,3.221776,172,1
341,3.224927,136,1
342,3.225217,92,1
343,3.229887,730,-1
344,3.248461,79,1
345,3.259576,60,-1
346,3.262547,54,1
347,3.264477,60,-1
348,3.272954,95,-1
349,3.276593,74,1
350,3.313698,66,-1
351,3.318324,54,1
352,3.319882,312,1
353,3.356831,60,-1
354,3.362236,60,-1
355,3.362239,191,-1
356,3.364076,54,1
357,3.366993,105,1
358,3.455061,60,-1
359,3.459807,817,1
360,3.497781,60,-1
