Serial number,time,size,direction
1,0.0,1514,1
2,0.005033,94,-1
3,0.029521,1514,1
4,0.02973,1514,1
5,0.031579,94,-1
6,0.031741,94,-1
7,0.055966,1514,1
8,0.057493,94,-1
9,0.060607,1514,1
10,0.062236,94,-1
11,0.081497,1514,1
12,0.082993,94,-1
13,0.086555,1514,1
14,0.088145,94,-1
15,0.107192,1514,1
16,0.1075,1514,1
17,0.111937,1514,1
18,0.11691,94,-1
19,0.117264,94,-1
20,0.117344,94,-1
21,0.140867,1514,1
22,0.141184,1514,1
23,0.142872,94,-1
24,0.143181,94,-1
25,0.144598,1514,1
26,0.149735,94,-1
27,0.166717,1514,1
28,0.167001,1514,1
29,0.169043,94,-1
30,0.169533,94,-1
31,0.171527,1514,1
32,0.174239,94,-1
33,0.1763,1514,1
34,0.178236,94,-1
35,0.192731,1514,1
36,0.197666,1514,1
37,0.202348,1514,1
38,0.203468,1514,1
39,0.214417,94,-1
40,0.21599,94,-1
41,0.216204,94,-1
42,0.216293,94,-1
43,0.238588,1514,1
44,0.238896,1514,1
45,0.241044,94,-1
46,0.241132,94,-1
47,0.243482,1514,1
48,0.244382,1514,1
49,0.244748,1514,1
50,0.245591,94,-1
51,0.246862,94,-1
52,0.247102,94,-1
53,0.265083,1514,1
54,0.265324,1514,1
55,0.267004,94,-1
56,0.26959,1514,1
57,0.274222,1514,1
58,0.274994,1514,1
59,0.278906,94,-1
60,0.279081,94,-1
61,0.279233,94,-1
62,0.279328,94,-1
63,0.291084,1514,1
64,0.291382,1514,1
65,0.292947,94,-1
66,0.293309,94,-1
67,0.302367,1514,1
68,0.303936,94,-1
69,0.309266,1514,1
70,0.309566,1514,1
71,0.310586,1514,1
72,0.310906,94,-1
73,0.312307,94,-1
74,0.313189,94,-1
75,0.317138,1514,1
76,0.317439,1514,1
77,0.325622,94,-1
78,0.325799,94,-1
79,0.327978,1514,1
80,0.329427,94,-1
81,0.334602,1514,1
82,0.336571,94,-1
83,0.33915,1514,1
84,0.339478,1514,1
85,0.34098,94,-1
86,0.342243,94,-1
87,0.349522,1514,1
88,0.349816,1514,1
89,0.350586,1514,1
90,0.351248,94,-1
91,0.351743,94,-1
92,0.354439,1514,1
93,0.357337,94,-1
94,0.357499,94,-1
95,0.361135,1514,1
96,0.362559,94,-1
97,0.365183,1514,1
98,0.366577,94,-1
99,0.370373,1514,1
100,0.37189,94,-1
101,0.374837,1514,1
102,0.37666,94,-1
103,0.379949,1514,1
104,0.384692,1514,1
105,0.385072,1514,1
106,0.390228,94,-1
107,0.390387,94,-1
108,0.390465,94,-1
109,0.390982,1514,1
110,0.39256,94,-1
111,0.396003,1514,1
112,0.396471,1514,1
113,0.400606,1514,1
114,0.400904,1514,1
115,0.403775,94,-1
116,0.403946,94,-1
117,0.404105,94,-1
118,0.404186,94,-1
119,0.414758,1514,1
120,0.415074,1514,1
121,0.415382,1514,1
122,0.416538,94,-1
123,0.416758,94,-1
124,0.417654,94,-1
125,0.419368,1514,1
126,0.42257,94,-1
127,0.428405,1514,1
128,0.428724,1514,1
129,0.429088,1514,1
130,0.429386,1514,1
131,0.431027,94,-1
132,0.431826,94,-1
133,0.43207,94,-1
134,0.432268,94,-1
135,0.440745,1514,1
136,0.440953,1514,1
137,0.442582,94,-1
138,0.444709,94,-1
139,0.445955,1514,1
140,0.447678,94,-1
141,0.450724,1514,1
142,0.452386,94,-1
143,0.457128,1514,1
144,0.45872,94,-1
145,0.462615,1514,1
146,0.462943,1514,1
147,0.463273,1514,1
148,0.467489,1514,1
149,0.469057,94,-1
150,0.469451,94,-1
151,0.469598,94,-1
152,0.469676,94,-1
153,0.4726,1514,1
154,0.472881,1514,1
155,0.473227,1514,1
156,0.474211,94,-1
157,0.47503,94,-1
158,0.475331,94,-1
159,0.477864,1514,1
160,0.479319,94,-1
161,0.482386,1514,1
162,0.484223,94,-1
163,0.494378,1514,1
164,0.494735,1514,1
165,0.495084,1514,1
166,0.49555,1514,1
167,0.499475,1514,1
168,0.49977,1514,1
169,0.500102,1514,1
170,0.500822,94,-1
171,0.500984,94,-1
172,0.501076,94,-1
173,0.501154,94,-1
174,0.501237,94,-1
175,0.504152,1514,1
176,0.506453,94,-1
177,0.506748,94,-1
178,0.509139,1514,1
179,0.509279,94,-1
180,0.510645,94,-1
181,0.525114,1514,1
182,0.525257,1514,1
183,0.525378,1514,1
184,0.525587,1514,1
185,0.525779,1514,1
186,0.52644,1514,1
187,0.527372,94,-1
188,0.528214,94,-1
189,0.528377,94,-1
190,0.528469,94,-1
191,0.528612,94,-1
192,0.529674,94,-1
193,0.531975,1514,1
194,0.532322,1514,1
195,0.533388,94,-1
196,0.534191,94,-1
197,0.536709,1514,1
198,0.537061,1514,1
199,0.538432,94,-1
200,0.538704,94,-1
201,0.551121,1514,1
202,0.552972,94,-1
203,0.556099,1514,1
204,0.556401,1514,1
205,0.556696,1514,1
206,0.557093,1514,1
207,0.557392,1514,1
208,0.557867,94,-1
209,0.558086,94,-1
210,0.559133,94,-1
211,0.559316,94,-1
212,0.560552,1514,1
213,0.560871,1514,1
214,0.56582,94,-1
215,0.565988,1514,1
216,0.566028,94,-1
217,0.566121,94,-1
218,0.566361,1514,1
219,0.568239,94,-1
220,0.568419,94,-1
221,0.576427,1514,1
222,0.57672,1514,1
223,0.581707,94,-1
224,0.581853,1514,1
225,0.581949,94,-1
226,0.583389,94,-1
227,0.586622,1514,1
228,0.586915,1514,1
229,0.587227,1514,1
230,0.588498,94,-1
231,0.589331,94,-1
232,0.589505,94,-1
233,0.59191,1514,1
234,0.592232,1514,1
235,0.592534,1514,1
236,0.593955,94,-1
237,0.594119,94,-1
238,0.594485,94,-1
239,0.598848,1514,1
240,0.599292,1514,1
241,0.601722,94,-1
242,0.602133,94,-1
243,0.605279,1514,1
244,0.60562,1514,1
245,0.60865,94,-1
246,0.61073,1514,1
247,0.614296,94,-1
248,0.614482,94,-1
249,0.617395,1514,1
250,0.61771,1514,1
251,0.618103,1514,1
252,0.620106,1514,1
253,0.620519,94,-1
254,0.620606,1514,1
255,0.620658,94,-1
256,0.620816,94,-1
257,0.620894,1514,1
258,0.621715,94,-1
259,0.627049,1514,1
260,0.627361,1514,1
261,0.628375,1514,1
262,0.62877,86,-1
263,0.628875,86,-1
264,0.628963,86,-1
265,0.630034,86,-1
266,0.6303,86,-1
267,0.633094,1514,1
268,0.634696,86,-1
269,0.638469,1514,1
270,0.63884,1514,1
271,0.643924,1514,1
272,0.645477,86,-1
273,0.645627,86,-1
274,0.645721,86,-1
275,0.66092,1514,1
276,0.66223,1514,1
277,0.662553,1514,1
278,0.662908,1514,1
279,0.66296,86,-1
280,0.66322,1514,1
281,0.663635,86,-1
282,0.664222,1514,1
283,0.664552,1514,1
284,0.664642,86,-1
285,0.665263,1514,1
286,0.665399,86,-1
287,0.665523,1514,1
288,0.66591,86,-1
289,0.666569,86,-1
290,0.666696,86,-1
291,0.667809,86,-1
292,0.667981,86,-1
293,0.668857,1514,1
294,0.673866,1514,1
295,0.674195,1514,1
296,0.676411,86,-1
297,0.676664,86,-1
298,0.676767,86,-1
299,0.687671,1514,1
300,0.688406,1514,1
301,0.69457,1514,1
302,0.694879,1514,1
303,0.695163,86,-1
304,0.695264,1514,1
305,0.695344,86,-1
306,0.69597,1514,1
307,0.69617,1514,1
308,0.696312,1514,1
309,0.696511,1514,1
310,0.696719,1514,1
311,0.697468,86,-1
312,0.697577,78,-1
313,0.701179,1514,1
314,0.703961,78,-1
315,0.704223,78,-1
316,0.705634,78,-1
317,0.70585,78,-1
