Serial number,time,size,direction
1,0.0,287,1
2,0.000317,190,1
3,0.00245,1514,1
4,0.003644,1514,1
5,0.003685,1514,1
6,0.00372,1514,1
7,0.003781,390,1
8,0.006532,74,1
9,0.017039,285,1
10,0.038026,60,-1
11,0.040266,1514,1
12,0.044638,60,-1
13,0.045657,66,-1
14,0.04566,60,-1
15,0.045662,60,-1
16,0.045665,66,-1
17,0.045667,66,-1
18,0.045924,60,-1
19,0.046626,1514,1
20,0.047601,96,-1
21,0.048168,1514,1
22,0.048504,326,1
23,0.049955,66,-1
24,0.051391,54,1
25,0.05292,312,1
26,0.078598,60,-1
27,0.084769,54,1
28,0.090298,60,-1
29,0.093826,60,-1
30,0.094906,1514,1
31,0.095678,1514,1
32,0.095726,1514,1
33,0.096087,1514,1
34,0.09613,92,1
35,0.097421,60,-1
36,0.09793,191,-1
37,0.099376,54,1
38,0.100699,105,1
39,0.109321,172,1
40,0.140031,60,-1
41,0.140034,60,-1
42,0.143308,172,1
43,0.158087,172,1
44,0.171082,146,-1
45,0.171086,92,-1
46,0.17314,54,1
47,0.173299,54,1
48,0.179693,172,1
49,0.193022,172,1
50,0.195248,60,-1
51,0.198421,60,-1
52,0.200124,764,1
53,0.220561,172,1
54,0.23431,60,-1
55,0.241703,172,1
56,0.241912,60,-1
57,0.24913,419,-1
58,0.251574,85,1
59,0.251755,54,1
60,0.255724,172,1
61,0.269542,172,1
62,0.279641,60,-1
63,0.292254,60,-1
64,0.293721,54,1
65,0.304878,172,1
66,0.308088,60,-1
67,0.318756,172,1
68,0.332664,172,1
69,0.353867,172,1
70,0.361734,60,-1
71,0.381287,172,1
72,0.394418,60,-1
73,0.402399,172,1
74,0.417181,172,1
75,0.430659,172,1
76,0.439078,60,-1
77,0.46546,172,1
78,0.470732,60,-1
79,0.480328,172,1
80,0.493587,172,1
81,0.515016,328,1
82,0.517815,60,-1
83,0.518531,132,1
84,0.520075,1514,1
85,0.520224,1514,1
86,0.520313,1514,1
87,0.520522,71,1
88,0.542921,172,1
89,0.552148,60,-1
90,0.556831,172,1
91,0.566793,60,-1
92,0.567143,60,-1
93,0.577695,172,1
94,0.591765,172,1
95,0.594638,60,-1
96,0.630646,60,-1
97,0.634541,172,1
98,0.641205,172,1
99,0.654887,172,1
100,0.657312,146,-1
101,0.657748,92,-1
102,0.667553,54,1
103,0.669127,172,1
104,0.682511,60,-1
105,0.703365,172,1
106,0.709119,60,-1
107,0.717814,172,1
108,0.738445,172,1
109,0.75341,172,1
110,0.755321,60,-1
111,0.780597,172,1
112,0.790637,60,-1
113,0.801302,172,1
114,0.815504,172,1
115,0.829764,172,1
116,0.838637,60,-1
117,0.864301,172,1
118,0.867318,60,-1
119,0.878506,172,1
120,0.892602,172,1
121,0.913525,172,1
122,0.916125,60,-1
123,0.941665,172,1
124,0.954422,60,-1
125,0.963202,172,1
126,0.976889,172,1
127,0.990881,172,1
128,1.000065,60,-1
129,1.027979,60,-1
130,1.029147,172,1
131,1.040188,172,1
132,1.054554,172,1
133,1.06866,172,1
134,1.077841,60,-1
135,1.10312,172,1
136,1.106169,60,-1
137,1.117206,172,1
138,1.139009,172,1
139,1.152305,172,1
140,1.154396,60,-1
141,1.184891,172,1
142,1.191576,60,-1
143,1.20313,172,1
144,1.215137,172,1
145,1.228513,172,1
146,1.239962,60,-1
147,1.265567,172,1
148,1.269178,60,-1
149,1.277283,172,1
150,1.300629,172,1
151,1.314481,60,-1
152,1.33676,172,1
153,1.342476,172,1
154,1.361577,172,1
155,1.376069,172,1
156,1.377048,60,-1
157,1.389769,172,1
158,1.400213,60,-1
159,1.424396,172,1
160,1.431355,60,-1
161,1.439036,172,1
162,1.453013,172,1
163,1.47365,172,1
164,1.476272,60,-1
165,1.502162,172,1
166,1.511707,60,-1
167,1.522978,172,1
168,1.537218,172,1
169,1.553045,172,1
170,1.560066,60,-1
171,1.586344,172,1
172,1.59807,60,-1
173,1.600353,172,1
174,1.614038,172,1
175,1.634532,172,1
176,1.638041,60,-1
177,1.662518,172,1
178,1.671944,60,-1
179,1.677191,172,1
180,1.696934,172,1
181,1.710798,172,1
182,1.714843,60,-1
183,1.748973,60,-1
184,1.751969,172,1
185,1.760557,172,1
186,1.774379,172,1
187,1.788821,172,1
188,1.797901,60,-1
189,1.823118,172,1
190,1.825227,60,-1
191,1.837185,172,1
192,1.858958,172,1
193,1.872929,172,1
194,1.876471,60,-1
195,1.900353,172,1
196,1.91128,60,-1
197,1.921761,172,1
198,1.935474,172,1
199,1.94933,172,1
200,1.959242,60,-1
201,1.984505,172,1
202,1.990517,60,-1
203,1.998585,172,1
204,2.031404,172,1
205,2.033778,172,1
206,2.036262,60,-1
207,2.061244,172,1
208,2.073498,60,-1
209,2.082299,172,1
210,2.097163,172,1
211,2.110603,172,1
212,2.120052,60,-1
213,2.147413,172,1
214,2.148949,60,-1
215,2.162078,172,1
216,2.174911,172,1
217,2.195119,172,1
218,2.199332,60,-1
219,2.223266,172,1
220,2.232619,60,-1
221,2.238138,172,1
222,2.258281,172,1
223,2.272415,172,1
224,2.27536,60,-1
225,2.307609,172,1
226,2.309708,60,-1
227,2.320138,172,1
228,2.322492,434,-1
229,2.334757,136,1
230,2.336108,92,1
231,2.338966,751,-1
232,2.351344,74,1
233,2.357838,60,-1
234,2.37489,54,1
235,2.375764,60,-1
236,2.393693,66,-1
237,2.39615,54,1
238,2.397416,312,1
239,2.435676,60,-1
240,2.438801,60,-1
241,2.438803,191,-1
242,2.445085,54,1
243,2.445763,105,1
244,2.539081,60,-1
245,2.543887,821,1
246,2.563334,460,-1
247,2.576078,54,1
248,2.581028,74,1
249,2.584089,60,-1
250,2.591947,419,-1
251,2.594383,85,1
252,2.594794,54,1
253,2.620034,66,-1
254,2.622845,54,1
255,2.62421,312,1
256,2.63502,60,-1
257,2.642084,54,1
258,2.664504,60,-1
259,2.667019,60,-1
260,2.6673,191,-1
261,2.669052,54,1
262,2.669379,105,1
263,2.754084,1514,-1
264,2.754298,1514,-1
265,2.754491,1514,-1
266,2.754618,1514,-1
267,2.754732,1514,-1
268,2.754924,1514,-1
269,2.755096,1514,-1
270,2.755262,1514,-1
271,2.755447,1514,-1
272,2.756979,1514,-1
273,2.757803,60,-1
274,2.759568,54,1
275,2.759776,54,1
276,2.759854,54,1
277,2.761024,54,1
278,2.761187,54,1
279,2.76208,54,1
280,2.767544,54,1
281,2.767789,54,1
282,2.768012,54,1
283,2.768109,54,1
284,2.768267,780,1
285,2.798384,1514,-1
286,2.798636,1514,-1
287,2.798821,1514,-1
288,2.799052,1514,-1
289,2.802563,54,1
290,2.802737,54,1
291,2.804127,1514,-1
292,2.804296,1514,-1
293,2.804321,54,1
294,2.804485,1514,-1
295,2.806392,54,1
296,2.809339,1514,-1
297,2.809553,1514,-1
298,2.809748,1514,-1
299,2.809984,1514,-1
300,2.810647,60,-1
301,2.81652,419,-1
302,2.819647,54,1
303,2.81988,54,1
304,2.820979,85,1
305,2.821085,54,1
306,2.840597,1514,-1
307,2.840935,1514,-1
308,2.842794,54,1
309,2.845434,1514,-1
310,2.845641,1514,-1
311,2.845833,1514,-1
312,2.845897,1514,-1
313,2.846059,671,-1
314,2.850164,54,1
315,2.850367,54,1
316,2.850444,54,1
317,2.850536,74,1
318,2.853345,96,1
319,2.861394,60,-1
320,2.86305,54,1
321,2.872778,287,1
322,2.874168,190,1
323,2.885162,1514,1
324,2.885472,1514,1
325,2.886608,1271,1
326,2.88663,136,1
327,2.887732,92,1
328,2.888698,66,-1
329,2.890206,54,1
330,2.892517,312,1
331,2.913246,60,-1
332,2.92432,60,-1
333,2.929235,60,-1
334,2.929238,60,-1
335,2.932916,60,-1
336,2.933396,191,-1
337,2.934532,54,1
338,2.935041,105,1
339,3.027324,60,-1
340,3.032415,784,1
341,3.048597,146,-1
342,3.048599,92,-1
343,3.05501,54,1
344,3.062757,286,1
345,3.065095,190,1
346,3.070591,60,-1
347,3.074185,1514,1
348,3.074842,1514,1
349,3.074953,1276,1
350,3.074975,136,1
351,3.078459,419,-1
352,3.080763,85,1
353,3.081071,54,1
354,3.083722,92,1
355,3.105412,60,-1
356,3.119055,60,-1
357,3.119318,96,-1
358,3.122092,60,-1
359,3.124478,54,1
360,3.138637,287,1
361,3.139162,190,1
362,3.140168,1514,1
363,3.140946,1514,1
364,3.141023,1272,1
365,3.141066,136,1
366,3.14131,92,1
367,3.167069,100,-1
368,3.169435,100,1
369,3.176923,60,-1
370,3.182809,60,-1
371,3.182812,60,-1
372,3.235425,146,-1
373,3.235426,92,-1
374,3.240533,54,1
375,3.257101,146,-1
376,3.257103,92,-1
377,3.258773,54,1
378,3.460766,475,-1
379,3.470587,74,1
380,3.487522,146,-1
381,3.488552,92,-1
382,3.48928,54,1
383,3.510933,66,-1
384,3.512496,54,1
385,3.518343,312,1
386,3.524804,54,1
387,3.552936,60,-1
388,3.558331,60,-1
389,3.558543,191,-1
390,3.634515,54,1
391,3.635104,105,1
392,3.728703,60,-1
393,3.77288,795,1
394,3.815647,60,-1
395,3.822762,419,-1
396,3.904648,85,1
397,3.904914,54,1
398,3.945215,60,-1
399,3.9498,60,-1
400,3.957493,54,1
