Serial number,time,size,direction
1,0.0,287,1
2,0.000574,190,1
3,0.000978,1514,1
4,0.003171,1514,1
5,0.003196,1514,1
6,0.003213,1514,1
7,0.003246,995,1
8,0.010421,79,1
9,0.023514,287,1
10,0.023846,1514,1
11,0.035497,127,-1
12,0.039501,60,-1
13,0.039506,60,-1
14,0.041077,74,1
15,0.041623,1514,1
16,0.041955,1514,1
17,0.04639,60,-1
18,0.047952,923,1
19,0.048958,60,-1
20,0.050309,60,-1
21,0.061096,60,-1
22,0.067096,60,-1
23,0.07889,66,-1
24,0.080187,54,1
25,0.081522,312,1
26,0.086511,60,-1
27,0.09061,60,-1
28,0.103687,1514,1
29,0.105868,1514,1
30,0.10593,1514,1
31,0.105949,1514,1
32,0.10599,412,1
33,0.119866,60,-1
34,0.12346,172,1
35,0.123673,60,-1
36,0.124359,191,-1
37,0.125601,54,1
38,0.125994,105,1
39,0.137508,172,1
40,0.143686,60,-1
41,0.149853,60,-1
42,0.149855,60,-1
43,0.15149,172,1
44,0.156612,146,-1
45,0.156616,92,-1
46,0.158189,54,1
47,0.175327,60,-1
48,0.186446,172,1
49,0.200316,172,1
50,0.214754,172,1
51,0.214948,60,-1
52,0.216558,766,1
53,0.224679,60,-1
54,0.235228,172,1
55,0.254118,60,-1
56,0.259316,60,-1
57,0.263125,172,1
58,0.264385,417,-1
59,0.266119,85,1
60,0.266386,54,1
61,0.284395,172,1
62,0.297902,172,1
63,0.309459,60,-1
64,0.312246,172,1
65,0.315836,60,-1
66,0.316952,54,1
67,0.337115,60,-1
68,0.348106,172,1
69,0.360898,172,1
70,0.375049,172,1
71,0.386698,60,-1
72,0.396484,172,1
73,0.41652,60,-1
74,0.424037,172,1
75,0.438098,172,1
76,0.459506,172,1
77,0.463801,60,-1
78,0.473195,172,1
79,0.501439,60,-1
80,0.508458,172,1
81,0.511957,287,1
82,0.51269,190,1
83,0.513731,1514,1
84,0.514487,1514,1
85,0.514573,1514,1
86,0.514924,412,1
87,0.51497,136,1
88,0.554469,60,-1
89,0.554471,60,-1
90,0.555492,60,-1
91,0.558325,446,1
92,0.585629,172,1
93,0.599186,172,1
94,0.624202,60,-1
95,0.635951,172,1
96,0.636118,172,1
97,0.657215,146,-1
98,0.657219,92,-1
99,0.663117,172,1
100,0.676069,60,-1
101,0.683152,172,1
102,0.697756,172,1
103,0.711043,172,1
104,0.721822,60,-1
105,0.746064,172,1
106,0.749206,60,-1
107,0.761787,172,1
108,0.774362,172,1
109,0.795117,172,1
110,0.801316,60,-1
111,0.823349,172,1
112,0.832593,60,-1
113,0.844491,172,1
114,0.860056,172,1
115,0.873399,172,1
116,0.883302,60,-1
117,0.907307,172,1
118,0.910731,60,-1
119,0.921088,172,1
120,0.935693,172,1
121,0.949422,172,1
122,0.959203,60,-1
123,0.984377,172,1
124,0.987544,60,-1
125,0.998302,172,1
126,1.019071,172,1
127,1.03307,172,1
128,1.037174,60,-1
129,1.068794,172,1
130,1.070353,60,-1
131,1.082005,172,1
132,1.095847,172,1
133,1.109741,172,1
134,1.121443,60,-1
135,1.144829,172,1
136,1.148528,60,-1
137,1.158288,172,1
138,1.179604,172,1
139,1.193041,172,1
140,1.195866,60,-1
141,1.227918,172,1
142,1.232411,60,-1
143,1.243958,172,1
144,1.256645,172,1
145,1.27056,172,1
146,1.285133,60,-1
147,1.308007,60,-1
148,1.32898,172,1
149,1.329187,172,1
150,1.340503,172,1
151,1.354682,172,1
152,1.367032,60,-1
153,1.382046,172,1
154,1.392525,60,-1
155,1.403114,172,1
156,1.417555,172,1
157,1.431149,172,1
158,1.441169,60,-1
159,1.466446,172,1
160,1.471485,60,-1
161,1.480494,172,1
162,1.49456,172,1
163,1.515503,172,1
164,1.521855,60,-1
165,1.543704,172,1
166,1.5541,60,-1
167,1.5578,172,1
168,1.578716,172,1
169,1.592549,172,1
170,1.596773,60,-1
171,1.627367,172,1
172,1.632761,60,-1
173,1.640983,172,1
174,1.655972,172,1
175,1.676184,172,1
176,1.679457,60,-1
177,1.704078,172,1
178,1.715936,60,-1
179,1.71834,172,1
180,1.739007,172,1
181,1.752931,172,1
182,1.759756,60,-1
183,1.788452,172,1
184,1.791572,60,-1
185,1.802118,172,1
186,1.816413,172,1
187,1.830606,172,1
188,1.84444,60,-1
189,1.864962,172,1
190,1.873197,60,-1
191,1.878975,172,1
192,1.900578,172,1
193,1.914088,172,1
194,1.920304,60,-1
195,1.942003,172,1
196,1.957464,60,-1
197,1.963332,172,1
198,1.977181,172,1
199,1.992606,172,1
200,2.002933,60,-1
201,2.03122,60,-1
202,2.034233,172,1
203,2.040504,172,1
204,2.054508,172,1
205,2.075539,172,1
206,2.0815,60,-1
207,2.103443,172,1
208,2.117147,60,-1
209,2.125167,172,1
210,2.139037,172,1
211,2.152766,172,1
212,2.166317,60,-1
213,2.187531,172,1
214,2.191036,60,-1
215,2.201959,172,1
216,2.216294,172,1
217,2.236162,172,1
218,2.240108,60,-1
219,2.26445,172,1
220,2.274555,60,-1
221,2.278267,172,1
222,2.300673,172,1
223,2.316939,60,-1
224,2.318833,172,1
225,2.348335,172,1
226,2.360221,60,-1
227,2.362145,172,1
228,2.376855,172,1
229,2.39074,172,1
230,2.402755,60,-1
231,2.426059,172,1
232,2.427937,60,-1
233,2.43989,172,1
234,2.460473,172,1
235,2.474199,172,1
236,2.479109,60,-1
237,2.502766,172,1
238,2.51332,60,-1
239,2.523499,172,1
240,2.537372,172,1
241,2.556735,172,1
242,2.561467,60,-1
243,2.586615,172,1
244,2.594439,60,-1
245,2.594906,96,-1
246,2.600855,172,1
247,2.614975,172,1
248,2.63545,172,1
249,2.641596,60,-1
250,2.663343,172,1
251,2.67272,60,-1
252,2.684928,172,1
253,2.698698,172,1
254,2.721793,60,-1
255,2.734302,172,1
256,2.747844,172,1
257,2.761228,172,1
258,2.773369,60,-1
259,2.775427,172,1
260,2.796693,172,1
261,2.802146,60,-1
262,2.824157,172,1
263,2.835813,60,-1
264,2.83832,172,1
265,2.859598,172,1
266,2.873127,172,1
267,2.880442,60,-1
268,2.908546,172,1
269,2.914044,60,-1
270,2.923022,172,1
271,2.936527,172,1
272,2.950193,172,1
273,2.962114,60,-1
274,2.985405,172,1
275,2.989897,60,-1
276,2.999213,172,1
277,3.020212,172,1
278,3.03503,172,1
279,3.042309,60,-1
280,3.062071,172,1
281,3.072191,60,-1
282,3.083164,172,1
283,3.104974,172,1
284,3.117554,172,1
285,3.122572,60,-1
286,3.147119,172,1
287,3.156084,60,-1
288,3.16069,172,1
289,3.174568,172,1
290,3.195333,172,1
291,3.199407,60,-1
292,3.228632,172,1
293,3.234826,60,-1
294,3.235455,434,-1
295,3.245662,172,1
296,3.250025,136,1
297,3.250764,92,1
298,3.256907,733,-1
299,3.263575,74,1
300,3.285787,60,-1
301,3.290606,60,-1
302,3.292629,54,1
303,3.306705,66,-1
304,3.308034,54,1
305,3.309974,312,1
306,3.348538,60,-1
307,3.353208,60,-1
308,3.354054,191,-1
309,3.355725,54,1
310,3.355917,105,1
311,3.437431,60,-1
312,3.442135,817,1
313,3.481229,60,-1
314,3.488992,417,-1
315,3.491576,85,1
316,3.491753,54,1
317,3.49496,460,-1
318,3.496416,54,1
319,3.500317,74,1
320,3.530595,60,-1
321,3.532072,54,1
322,3.541121,66,-1
323,3.54275,54,1
324,3.544068,312,1
325,3.581818,60,-1
326,3.587327,60,-1
327,3.587329,191,-1
328,3.591515,54,1
329,3.591979,105,1
330,3.675468,60,-1
331,3.680523,778,1
332,3.698796,1514,-1
333,3.698951,1514,-1
334,3.699126,1514,-1
335,3.699283,1514,-1
336,3.699407,1514,-1
