Serial number,time,size,direction
1,0.0,287,1
2,0.014415,190,1
3,0.015754,1514,1
4,0.015804,1514,1
5,0.015878,1514,1
6,0.015949,1514,1
7,0.01636,416,1
8,0.016396,79,1
9,0.016606,288,1
10,0.039448,60,-1
11,0.043995,1514,1
12,0.047816,127,-1
13,0.050565,74,1
14,0.053848,60,-1
15,0.06288,60,-1
16,0.062884,60,-1
17,0.062886,60,-1
18,0.063961,96,-1
19,0.089789,66,-1
20,0.127259,60,-1
21,0.144135,1514,1
22,0.146449,1514,1
23,0.147844,1514,1
24,0.147886,1514,1
25,0.147959,1514,1
26,0.148017,1514,1
27,0.148049,1003,1
28,0.148255,54,1
29,0.149269,312,1
30,0.17096,172,1
31,0.183766,60,-1
32,0.189665,60,-1
33,0.189707,60,-1
34,0.190823,60,-1
35,0.190825,60,-1
36,0.191204,60,-1
37,0.19214,60,-1
38,0.194613,60,-1
39,0.194617,191,-1
40,0.195092,172,1
41,0.196795,54,1
42,0.19715,105,1
43,0.206005,172,1
44,0.2168,60,-1
45,0.220211,172,1
46,0.232743,60,-1
47,0.245805,60,-1
48,0.258419,60,-1
49,0.260785,146,-1
50,0.260787,92,-1
51,0.262072,172,1
52,0.276339,172,1
53,0.28225,60,-1
54,0.317164,60,-1
55,0.32084,172,1
56,0.321018,172,1
57,0.329396,765,1
58,0.330936,54,1
59,0.332309,172,1
60,0.353859,172,1
61,0.358172,60,-1
62,0.369273,60,-1
63,0.373678,172,1
64,0.375156,417,-1
65,0.392044,60,-1
66,0.45665,172,1
67,0.45695,60,-1
68,0.457419,172,1
69,0.457837,172,1
70,0.457948,172,1
71,0.458127,640,1
72,0.458149,190,1
73,0.459065,85,1
74,0.459237,54,1
75,0.467632,1514,1
76,0.469657,1514,1
77,0.500754,60,-1
78,0.501975,60,-1
79,0.503209,1514,1
80,0.503292,181,1
81,0.503412,54,1
82,0.510469,60,-1
83,0.513121,172,1
84,0.527301,172,1
85,0.540962,172,1
86,0.550722,60,-1
87,0.555979,60,-1
88,0.565021,60,-1
89,0.576262,172,1
90,0.578723,60,-1
91,0.590076,172,1
92,0.603793,172,1
93,0.613373,60,-1
94,0.625632,172,1
95,0.628336,60,-1
96,0.642011,60,-1
97,0.645266,146,-1
98,0.645269,92,-1
99,0.657107,172,1
100,0.66688,172,1
101,0.688486,172,1
102,0.695464,60,-1
103,0.702036,172,1
104,0.727357,60,-1
105,0.729745,172,1
106,0.750703,172,1
107,0.769079,60,-1
108,0.783701,172,1
109,0.783864,172,1
110,0.814378,172,1
111,0.823198,60,-1
112,0.826841,66,1
113,0.828202,172,1
114,0.848526,172,1
115,0.851683,60,-1
116,0.862501,172,1
117,0.885873,60,-1
118,0.890869,172,1
119,0.91168,172,1
120,0.926071,172,1
121,0.928189,60,-1
122,0.940319,172,1
123,0.964294,60,-1
124,0.974944,172,1
125,0.993673,172,1
126,1.007936,172,1
127,1.012868,60,-1
128,1.027033,172,1
129,1.046644,60,-1
130,1.052346,172,1
131,1.066791,172,1
132,1.086877,172,1
133,1.0896,60,-1
134,1.10056,172,1
135,1.125029,60,-1
136,1.135964,172,1
137,1.149921,172,1
138,1.165122,172,1
139,1.174447,60,-1
140,1.183446,172,1
141,1.203078,60,-1
142,1.212739,172,1
143,1.226642,172,1
144,1.248159,172,1
145,1.251328,60,-1
146,1.261695,172,1
147,1.286779,60,-1
148,1.290078,172,1
149,1.310857,172,1
150,1.324898,172,1
151,1.327858,60,-1
152,1.338893,172,1
153,1.363368,60,-1
154,1.375009,172,1
155,1.389829,172,1
156,1.404093,172,1
157,1.412687,60,-1
158,1.425638,172,1
159,1.443094,60,-1
160,1.450954,172,1
161,1.486866,172,1
162,1.487056,172,1
163,1.49303,60,-1
164,1.500436,172,1
165,1.524899,60,-1
166,1.53701,172,1
167,1.548836,172,1
168,1.562684,172,1
169,1.574193,60,-1
170,1.58417,172,1
171,1.599587,60,-1
172,1.611795,172,1
173,1.625724,172,1
174,1.646795,172,1
175,1.649841,60,-1
176,1.661102,172,1
177,1.6851,60,-1
178,1.696913,172,1
179,1.711874,172,1
180,1.72626,172,1
181,1.734063,60,-1
182,1.738749,172,1
