Serial number,time,size,direction
1,0.0,285,1
2,0.000478,1514,1
3,0.000523,1514,1
4,0.00054,1514,1
5,0.000555,1514,1
6,0.000591,128,1
7,0.010523,296,1
8,0.011865,190,1
9,0.018842,79,1
10,0.040846,60,-1
11,0.042589,1514,1
12,0.044315,127,-1
13,0.044981,66,-1
14,0.045961,60,-1
15,0.045962,60,-1
16,0.045964,66,-1
17,0.045966,66,-1
18,0.045967,60,-1
19,0.04674,1514,1
20,0.047534,1230,1
21,0.047622,74,1
22,0.050059,60,-1
23,0.05481,60,-1
24,0.076462,1514,1
25,0.078351,1514,1
26,0.078402,1514,1
27,0.078435,1392,1
28,0.082833,60,-1
29,0.086587,172,1
30,0.090774,60,-1
31,0.093337,66,-1
32,0.094839,54,1
33,0.096514,312,1
34,0.116524,60,-1
35,0.121943,172,1
36,0.122932,60,-1
37,0.122934,60,-1
38,0.125747,60,-1
39,0.135851,172,1
40,0.138819,60,-1
41,0.143055,60,-1
42,0.145171,1514,-1
43,0.145491,1514,-1
44,0.145832,1514,-1
45,0.146114,1049,-1
46,0.147202,54,1
47,0.147383,54,1
48,0.148254,54,1
49,0.148445,54,1
50,0.157004,172,1
51,0.159842,60,-1
52,0.168785,1049,-1
53,0.170196,66,1
54,0.170384,172,1
55,0.17442,60,-1
56,0.19584,60,-1
57,0.204764,172,1
58,0.208796,60,-1
59,0.218661,172,1
60,0.22767,146,-1
61,0.227674,92,-1
62,0.233194,172,1
63,0.23671,180,1
64,0.246623,172,1
65,0.257306,60,-1
66,0.27954,105,-1
67,0.282408,172,1
68,0.282803,54,1
69,0.284591,765,1
70,0.285165,60,-1
71,0.29586,172,1
72,0.316337,172,1
73,0.334782,60,-1
74,0.336542,417,-1
75,0.354882,172,1
76,0.358486,172,1
77,0.360248,85,1
78,0.360446,54,1
79,0.379011,172,1
80,0.393156,172,1
81,0.395467,60,-1
82,0.402811,60,-1
83,0.40453,54,1
84,0.407244,172,1
85,0.41788,60,-1
86,0.442054,172,1
87,0.448545,60,-1
88,0.456963,172,1
89,0.470788,172,1
90,0.491503,172,1
91,0.49647,60,-1
92,0.507988,286,1
93,0.508645,190,1
94,0.509683,1514,1
95,0.510396,1514,1
96,0.510445,853,1
97,0.510462,136,1
98,0.529948,60,-1
99,0.531244,210,1
100,0.541089,172,1
101,0.54769,60,-1
102,0.554678,172,1
103,0.555846,60,-1
104,0.56901,172,1
105,0.579652,60,-1
106,0.603105,172,1
107,0.608466,60,-1
108,0.618113,172,1
109,0.631123,172,1
110,0.652569,172,1
111,0.656346,60,-1
112,0.681228,172,1
113,0.694097,172,1
114,0.695683,60,-1
115,0.715465,172,1
116,0.72891,172,1
117,0.733072,60,-1
118,0.749071,148,-1
119,0.749073,92,-1
120,0.750988,54,1
121,0.764346,172,1
122,0.768312,60,-1
123,0.778035,172,1
124,0.79211,172,1
125,0.806007,172,1
126,0.815951,60,-1
127,0.841098,172,1
128,0.845149,60,-1
129,0.855191,172,1
130,0.875977,172,1
131,0.890215,172,1
132,0.894718,60,-1
133,0.918044,172,1
134,0.928963,60,-1
135,0.93914,172,1
136,0.958608,172,1
137,0.967607,172,1
138,0.978068,60,-1
139,1.006583,60,-1
140,1.00673,172,1
141,1.017028,172,1
142,1.056074,60,-1
143,1.057847,172,1
144,1.057993,172,1
145,1.078784,172,1
146,1.096429,60,-1
147,1.098815,172,1
148,1.112978,172,1
149,1.127434,172,1
150,1.13794,60,-1
151,1.162834,172,1
152,1.165836,60,-1
153,1.176181,172,1
154,1.190628,172,1
155,1.21146,172,1
156,1.213785,60,-1
157,1.239577,172,1
158,1.258424,60,-1
159,1.260558,172,1
160,1.274427,172,1
161,1.288389,172,1
162,1.298626,60,-1
163,1.323013,172,1
164,1.327306,60,-1
165,1.337552,172,1
166,1.351093,172,1
167,1.372301,172,1
168,1.375623,60,-1
169,1.399882,172,1
170,1.411549,60,-1
171,1.414108,172,1
172,1.435513,172,1
173,1.448894,172,1
174,1.452891,60,-1
175,1.484446,172,1
176,1.487331,60,-1
177,1.498006,172,1
178,1.512078,172,1
179,1.526037,172,1
180,1.535815,60,-1
181,1.561162,172,1
182,1.564925,60,-1
183,1.575287,172,1
184,1.599123,172,1
185,1.613595,172,1
186,1.613589,60,-1
187,1.638122,172,1
188,1.652139,60,-1
189,1.658934,172,1
190,1.673426,172,1
191,1.687129,172,1
192,1.698269,60,-1
193,1.72238,172,1
194,1.734084,60,-1
195,1.760025,172,1
196,1.760167,172,1
197,1.771188,172,1
198,1.799173,172,1
199,1.801109,60,-1
200,1.809011,60,-1
201,1.8199,172,1
202,1.839033,172,1
203,1.853448,172,1
204,1.858972,60,-1
205,1.883128,172,1
206,1.897083,172,1
207,1.900319,60,-1
208,1.91143,172,1
209,1.932241,172,1
210,1.935733,60,-1
211,1.960436,172,1
212,1.970852,60,-1
213,1.974327,172,1
214,1.995306,172,1
215,2.009177,172,1
216,2.012697,60,-1
217,2.044339,172,1
218,2.048162,60,-1
219,2.058311,172,1
220,2.072747,172,1
221,2.086477,172,1
222,2.097709,60,-1
223,2.121022,172,1
224,2.125557,60,-1
225,2.135798,172,1
226,2.156859,172,1
227,2.170017,172,1
228,2.174546,60,-1
229,2.198246,172,1
230,2.209539,60,-1
231,2.219021,172,1
232,2.233019,172,1
233,2.247009,172,1
234,2.257524,60,-1
235,2.28157,172,1
236,2.286524,60,-1
237,2.295612,172,1
238,2.316049,172,1
239,2.330308,172,1
240,2.335084,60,-1
241,2.364993,172,1
242,2.368937,60,-1
243,2.378983,172,1
244,2.392905,172,1
245,2.406596,172,1
246,2.419282,60,-1
247,2.444821,60,-1
248,2.460023,172,1
249,2.460173,172,1
250,2.476052,172,1
251,2.490007,172,1
252,2.500472,60,-1
253,2.500474,96,-1
254,2.518612,172,1
255,2.529659,60,-1
256,2.538901,172,1
257,2.55437,172,1
258,2.567494,172,1
259,2.577641,60,-1
260,2.602211,172,1
261,2.606123,60,-1
262,2.616096,172,1
263,2.630511,172,1
264,2.651226,172,1
265,2.659851,60,-1
266,2.679293,172,1
267,2.694816,60,-1
268,2.700124,172,1
269,2.71419,172,1
270,2.729529,172,1
271,2.739462,60,-1
272,2.763257,172,1
273,2.769176,60,-1
274,2.777138,172,1
275,2.791301,172,1
276,2.812843,172,1
277,2.816911,60,-1
278,2.839987,172,1
279,2.851977,60,-1
280,2.85449,172,1
281,2.875849,172,1
282,2.889144,172,1
283,2.893236,60,-1
284,2.924917,172,1
285,2.928444,60,-1
286,2.938401,172,1
287,2.952323,172,1
288,2.976099,172,1
289,2.977508,60,-1
290,3.000498,172,1
291,3.014268,172,1
292,3.015013,60,-1
293,3.034846,434,-1
294,3.036714,172,1
295,3.048039,136,1
296,3.048697,92,1
297,3.04994,722,-1
298,3.056687,74,1
299,3.077582,60,-1
300,3.088208,60,-1
301,3.090721,54,1
302,3.106765,66,-1
303,3.115789,54,1
304,3.116133,312,1
305,3.157498,60,-1
306,3.162201,60,-1
307,3.162913,191,-1
308,3.164211,54,1
309,3.166454,105,1
310,3.251432,60,-1
311,3.255959,809,1
312,3.298776,60,-1
313,3.306192,417,-1
314,3.308219,85,1
315,3.308325,54,1
316,3.350055,60,-1
317,3.354163,54,1
318,3.593558,287,1
319,3.598955,190,1
320,3.600288,1514,1
321,3.600644,1514,1
322,3.60088,849,1
323,3.601002,136,1
324,3.601836,92,1
325,3.643325,60,-1
326,3.643327,60,-1
327,3.650127,60,-1
328,3.725243,147,-1
329,3.725245,92,-1
330,3.730006,54,1
331,3.730167,54,1
332,4.351321,1514,-1
333,4.351593,1514,-1
334,4.35171,1514,-1
335,4.351825,1514,-1
336,4.35195,1514,-1
337,4.352067,1514,-1
338,4.352205,1514,-1
339,4.352402,1514,-1
340,4.352604,1514,-1
341,4.352797,1514,-1
342,4.35393,54,1
343,4.36938,54,1
344,4.369618,54,1
345,4.369785,54,1
346,4.370023,54,1
347,4.370097,54,1
348,4.370171,54,1
349,4.370244,54,1
350,4.370318,54,1
351,4.370425,54,1
352,4.397032,1514,-1
353,4.397308,1514,-1
354,4.398865,54,1
355,4.399135,54,1
356,4.410176,1514,-1
357,4.410494,1514,-1
358,4.411734,54,1
359,4.41284,54,1
360,4.413557,1514,-1
361,4.413711,1514,-1
362,4.413861,1514,-1
363,4.413978,1514,-1
364,4.4141,1514,-1
365,4.414232,1514,-1
366,4.414364,1514,-1
367,4.414527,1514,-1
368,4.414634,1514,-1
369,4.414763,1514,-1
370,4.41488,1514,-1
371,4.415007,1514,-1
372,4.415111,1514,-1
373,4.41524,1514,-1
374,4.415373,1514,-1
375,4.415554,1514,-1
376,4.415996,54,1
377,4.416078,54,1
378,4.416833,54,1
379,4.417677,54,1
380,4.418605,54,1
381,4.419749,54,1
382,4.420602,96,1
383,4.421299,54,1
384,4.428239,54,1
385,4.428511,74,1
386,4.438456,1514,-1
387,4.438763,1514,-1
388,4.44101,54,1
389,4.442776,1514,-1
390,4.443047,1514,-1
391,4.444647,54,1
392,4.45026,1514,-1
393,4.450518,1514,-1
394,4.454883,54,1
395,4.455133,1514,-1
396,4.455293,1514,-1
397,4.455506,1514,-1
398,4.45565,1514,-1
399,4.455853,1514,-1
400,4.456091,1514,-1
401,4.458217,54,1
402,4.458297,54,1
403,4.459776,1514,-1
404,4.45998,1514,-1
405,4.460175,1514,-1
406,4.460298,1514,-1
407,4.460422,1514,-1
408,4.460542,1514,-1
409,4.460664,1514,-1
410,4.460786,1514,-1
411,4.460912,1514,-1
412,4.461035,1514,-1
413,4.461152,1514,-1
414,4.461379,1514,-1
415,4.461718,54,1
416,4.46188,54,1
417,4.462032,54,1
418,4.463209,54,1
419,4.464212,54,1
420,4.464634,1514,-1
421,4.464951,1514,-1
422,4.465254,96,1
423,4.466101,54,1
424,4.466979,54,1
425,4.467858,54,1
426,4.468083,66,-1
427,4.469527,1514,-1
428,4.469861,1514,-1
429,4.474835,54,1
430,4.475047,54,1
431,4.479758,1514,-1
432,4.480112,1514,-1
433,4.482983,54,1
434,4.484537,1514,-1
435,4.484861,1514,-1
436,4.488946,54,1
437,4.492303,312,1
438,4.493423,1514,-1
439,4.493625,1514,-1
440,4.493813,1514,-1
