Serial number,time,size,direction
1,0.0,286,1
2,0.027974,190,1
3,0.029403,1514,1
4,0.029477,1514,1
5,0.029535,1514,1
6,0.029565,797,1
7,0.029598,1514,1
8,0.029822,302,1
9,0.02986,79,1
10,0.043175,60,-1
11,0.04513,1514,1
12,0.058902,127,-1
13,0.061539,74,1
14,0.071924,60,-1
15,0.071927,60,-1
16,0.072113,60,-1
17,0.072115,60,-1
18,0.073181,96,-1
19,0.107662,66,-1
20,0.130359,60,-1
21,0.159255,1514,1
22,0.160038,1514,1
23,0.160104,1514,1
24,0.162194,1514,1
25,0.162628,1514,1
26,0.16271,1514,1
27,0.162822,1514,1
28,0.163059,54,1
29,0.163246,328,1
30,0.164212,312,1
31,0.204078,60,-1
32,0.204083,60,-1
33,0.208544,408,1
34,0.209861,60,-1
35,0.210607,60,-1
36,0.21061,60,-1
37,0.210839,60,-1
38,0.210841,191,-1
39,0.211152,60,-1
40,0.211154,60,-1
41,0.213479,54,1
42,0.213857,105,1
43,0.228677,172,1
44,0.242607,172,1
45,0.248924,60,-1
46,0.25659,172,1
47,0.271877,60,-1
48,0.277968,172,1
49,0.279691,146,-1
50,0.279696,92,-1
51,0.281503,54,1
52,0.296228,60,-1
53,0.298201,766,1
54,0.304477,60,-1
55,0.305758,172,1
56,0.326736,172,1
57,0.34052,60,-1
58,0.340905,172,1
59,0.34584,417,-1
60,0.347392,60,-1
61,0.347884,85,1
62,0.348155,54,1
63,0.354756,172,1
64,0.385472,60,-1
65,0.390019,172,1
66,0.390338,60,-1
67,0.391505,54,1
68,0.403585,172,1
69,0.417853,172,1
70,0.433981,60,-1
71,0.438696,172,1
72,0.457863,60,-1
73,0.478794,172,1
74,0.480641,172,1
75,0.50186,172,1
76,0.516182,172,1
77,0.517215,288,1
78,0.517835,190,1
79,0.518341,60,-1
80,0.518815,1514,1
81,0.519109,1514,1
82,0.520045,1514,1
83,0.521416,542,1
84,0.542253,60,-1
85,0.552065,172,1
86,0.562221,60,-1
87,0.564366,172,1
88,0.578696,172,1
89,0.592004,60,-1
90,0.592718,172,1
91,0.622488,60,-1
92,0.627783,172,1
93,0.641592,172,1
94,0.662515,172,1
95,0.667709,60,-1
96,0.668571,146,-1
97,0.668573,92,-1
98,0.669948,54,1
99,0.677265,172,1
100,0.702775,60,-1
101,0.704863,172,1
102,0.72574,172,1
103,0.73968,172,1
104,0.74471,60,-1
105,0.753781,172,1
106,0.780125,60,-1
107,0.788744,172,1
108,0.802881,172,1
109,0.817105,172,1
110,0.835062,60,-1
111,0.837125,172,1
112,0.857676,60,-1
113,0.86494,172,1
114,0.885714,172,1
115,0.899448,172,1
116,0.905861,60,-1
117,0.913472,172,1
118,0.944764,60,-1
119,0.948608,172,1
120,0.96417,172,1
121,0.976867,172,1
122,0.989418,60,-1
123,0.997921,172,1
124,1.017609,60,-1
125,1.02575,172,1
126,1.046757,172,1
127,1.060848,172,1
128,1.06545,60,-1
129,1.074811,172,1
130,1.101863,60,-1
131,1.11003,172,1
132,1.123721,172,1
133,1.138568,172,1
134,1.151841,60,-1
135,1.173582,172,1
136,1.184147,60,-1
137,1.187216,172,1
138,1.200514,172,1
139,1.221294,172,1
140,1.226076,60,-1
141,1.235735,172,1
142,1.262972,60,-1
143,1.270434,172,1
144,1.284522,172,1
