Serial number,time,size,direction
1,0.0,287,1
2,0.000331,190,1
3,0.002995,1514,1
4,0.003973,1514,1
5,0.004015,1514,1
6,0.004046,851,1
7,0.004075,132,1
8,0.004814,180,1
9,0.004849,1514,1
10,0.00624,184,1
11,0.010532,79,1
12,0.037484,127,-1
13,0.039764,60,-1
14,0.040458,74,1
15,0.040649,60,-1
16,0.041411,1514,1
17,0.042704,1514,1
18,0.044389,1514,1
19,0.04443,1298,1
20,0.047819,60,-1
21,0.047822,60,-1
22,0.048293,60,-1
23,0.048297,60,-1
24,0.048299,60,-1
25,0.048301,60,-1
26,0.081985,66,-1
27,0.083457,54,1
28,0.085122,312,1
29,0.089004,60,-1
30,0.089008,60,-1
31,0.08901,60,-1
32,0.093937,1514,1
33,0.096276,1514,1
34,0.096347,1514,1
35,0.096382,1514,1
36,0.096417,332,1
37,0.116472,172,1
38,0.125398,60,-1
39,0.130172,60,-1
40,0.130429,191,-1
41,0.134371,54,1
42,0.135926,60,-1
43,0.136321,105,1
44,0.136464,172,1
45,0.14307,60,-1
46,0.143073,60,-1
47,0.143861,96,-1
48,0.150376,172,1
49,0.162391,146,-1
50,0.162394,92,-1
51,0.164607,172,1
52,0.168398,54,1
53,0.188682,60,-1
54,0.199135,172,1
55,0.212645,172,1
56,0.226318,172,1
57,0.233132,60,-1
58,0.234615,766,1
59,0.238425,60,-1
60,0.247405,172,1
61,0.264069,60,-1
62,0.276104,60,-1
63,0.277972,172,1
64,0.282412,417,-1
65,0.28448,85,1
66,0.28477,54,1
67,0.289481,172,1
68,0.310548,172,1
69,0.316264,60,-1
70,0.324619,60,-1
71,0.328778,60,-1
72,0.350114,172,1
73,0.351078,54,1
74,0.357939,60,-1
75,0.359228,172,1
76,0.373535,172,1
77,0.387715,172,1
78,0.399029,60,-1
79,0.401683,172,1
80,0.426057,60,-1
81,0.436642,172,1
82,0.450858,172,1
83,0.471658,172,1
84,0.483025,60,-1
85,0.485309,172,1
86,0.509703,60,-1
87,0.516168,172,1
88,0.517195,287,1
89,0.517658,190,1
90,0.518622,1514,1
91,0.519569,1514,1
92,0.519653,1514,1
93,0.519688,554,1
94,0.519718,136,1
95,0.519948,92,1
96,0.534338,172,1
97,0.548809,172,1
98,0.554412,60,-1
99,0.561676,60,-1
100,0.56168,60,-1
101,0.56204,60,-1
102,0.562285,60,-1
103,0.563815,172,1
104,0.586949,60,-1
105,0.596403,172,1
106,0.610677,172,1
107,0.632257,172,1
108,0.634671,60,-1
109,0.645489,172,1
110,0.67037,60,-1
111,0.673908,172,1
112,0.674916,146,-1
113,0.674921,92,-1
114,0.676894,54,1
115,0.694549,172,1
116,0.70814,172,1
117,0.712264,60,-1
118,0.722345,172,1
119,0.745774,60,-1
120,0.757309,172,1
121,0.77137,172,1
122,0.785267,172,1
123,0.795127,60,-1
124,0.806569,172,1
125,0.823587,60,-1
126,0.834499,172,1
127,0.855255,172,1
128,0.86944,172,1
129,0.875014,60,-1
130,0.883455,172,1
131,0.908875,60,-1
132,0.918471,172,1
133,0.932286,172,1
134,0.946266,172,1
135,0.956912,60,-1
136,0.967352,172,1
137,0.986848,60,-1
138,0.995511,172,1
139,1.009494,172,1
140,1.033682,60,-1
141,1.050019,172,1
142,1.050185,172,1
143,1.079236,172,1
144,1.087623,60,-1
145,1.093532,172,1
146,1.107776,172,1
147,1.121686,172,1
148,1.123128,60,-1
149,1.147319,60,-1
150,1.155472,172,1
151,1.16942,172,1
152,1.190302,172,1
153,1.193005,60,-1
154,1.20464,172,1
155,1.228088,60,-1
156,1.239516,172,1
157,1.253564,172,1
158,1.2675,172,1
159,1.278271,60,-1
160,1.28336,172,1
161,1.306057,60,-1
162,1.316327,172,1
163,1.330584,172,1
164,1.351554,172,1
165,1.354959,60,-1
166,1.365212,172,1
167,1.390944,60,-1
168,1.400681,172,1
169,1.414651,172,1
170,1.428563,172,1
171,1.43964,60,-1
172,1.442635,172,1
173,1.466625,60,-1
174,1.47679,172,1
175,1.490828,172,1
176,1.511966,172,1
177,1.514613,60,-1
178,1.526337,172,1
179,1.549941,60,-1
180,1.553971,172,1
181,1.577913,172,1
182,1.59182,172,1
183,1.59218,60,-1
184,1.604534,172,1
185,1.637726,172,1
186,1.638531,60,-1
187,1.651689,172,1
188,1.665521,172,1
189,1.677109,60,-1
190,1.686383,172,1
191,1.704157,60,-1
192,1.714602,172,1
193,1.744522,172,1
194,1.749394,172,1
195,1.753081,60,-1
196,1.764007,172,1
197,1.787137,60,-1
198,1.79812,172,1
199,1.813591,172,1
200,1.829781,172,1
201,1.846276,60,-1
202,1.847609,172,1
203,1.867794,60,-1
204,1.875604,172,1
205,1.889402,172,1
206,1.911299,172,1
207,1.913874,60,-1
208,1.924429,172,1
209,1.957302,60,-1
210,1.96066,172,1
211,1.973331,172,1
212,1.987345,172,1
213,1.998691,60,-1
214,2.001744,172,1
215,2.026223,60,-1
216,2.036157,172,1
217,2.050394,172,1
218,2.071746,172,1
219,2.073821,60,-1
220,2.085392,172,1
221,2.110866,60,-1
222,2.11386,172,1
223,2.134635,172,1
224,2.143692,434,-1
225,2.148233,172,1
226,2.153316,136,1
227,2.153527,92,1
228,2.163243,708,-1
229,2.171059,74,1
230,2.186005,60,-1
231,2.190884,60,-1
232,2.201371,54,1
233,2.20928,66,-1
234,2.211013,54,1
235,2.212394,312,1
236,2.249744,60,-1
237,2.254951,60,-1
238,2.254953,191,-1
239,2.256688,54,1
240,2.259382,105,1
241,2.349048,60,-1
242,2.353843,811,1
243,2.39095,60,-1
244,2.396572,417,-1
245,2.400375,85,1
246,2.400887,54,1
247,2.439091,60,-1
248,2.450821,54,1
249,2.713531,287,1
250,2.717013,190,1
251,2.717838,1514,1
252,2.717886,1514,1
253,2.717913,1514,1
254,2.718106,550,1
255,2.718126,136,1
256,2.723076,92,1
257,2.761255,60,-1
258,2.761529,60,-1
259,2.773348,1514,-1
260,2.773548,1514,-1
261,2.773664,1514,-1
262,2.773879,1514,-1
263,2.773989,1514,-1
264,2.774175,1514,-1
265,2.774332,1514,-1
266,2.774538,1514,-1
267,2.774764,1514,-1
268,2.77505,1514,-1
269,2.77562,54,1
270,2.775966,54,1
271,2.776059,54,1
272,2.777659,54,1
273,2.777781,54,1
274,2.7786,54,1
275,2.778688,54,1
276,2.784595,54,1
277,2.784802,54,1
278,2.784894,54,1
279,2.815416,1514,-1
280,2.815637,1514,-1
281,2.815883,1514,-1
282,2.815967,1514,-1
283,2.816167,1514,-1
284,2.816383,1514,-1
285,2.820269,1514,-1
286,2.820437,1514,-1
287,2.820573,1514,-1
288,2.820785,1514,-1
289,2.820918,1514,-1
290,2.820977,54,1
291,2.821089,1514,-1
292,2.821107,54,1
293,2.82118,54,1
294,2.821282,1514,-1
295,2.821609,1514,-1
296,2.825583,1514,-1
297,2.825838,1514,-1
298,2.825957,1514,-1
299,2.826125,1514,-1
300,2.826331,1514,-1
301,2.847602,54,1
302,2.847824,54,1
303,2.848003,54,1
304,2.848142,54,1
305,2.848218,54,1
306,2.848293,54,1
307,2.848367,74,1
308,2.848442,54,1
309,2.854169,54,1
310,2.854256,54,1
311,2.85923,1514,-1
312,2.859535,1514,-1
313,2.859863,1514,-1
314,2.861276,54,1
315,2.861551,54,1
316,2.886653,1514,-1
317,2.886809,1514,-1
318,2.886895,1514,-1
319,2.887014,1514,-1
320,2.887128,1514,-1
321,2.887248,1514,-1
322,2.887375,1514,-1
323,2.887501,1514,-1
324,2.887692,1514,-1
325,2.888867,66,-1
326,2.88919,54,1
327,2.889997,54,1
328,2.891168,1514,-1
329,2.891511,1514,-1
330,2.896293,1514,-1
331,2.896503,96,1
332,2.896594,1514,-1
333,2.896785,1514,-1
334,2.896804,54,1
335,2.896905,1514,-1
336,2.896961,54,1
337,2.897048,54,1
338,2.897111,1514,-1
339,2.897178,54,1
340,2.897345,1514,-1
341,2.899407,312,1
342,2.899557,54,1
343,2.900892,1514,-1
344,2.901094,1514,-1
345,2.901219,1514,-1
346,2.901413,1514,-1
347,2.902981,54,1
348,2.903056,54,1
349,2.903622,54,1
350,2.906517,54,1
351,2.931019,1514,-1
352,2.931289,1514,-1
353,2.93456,1514,-1
354,2.934896,1514,-1
355,2.935236,54,1
356,2.937384,60,-1
357,2.939457,60,-1
358,2.939458,191,-1
359,2.939899,1514,-1
360,2.9402,1514,-1
361,2.940284,54,1
362,2.94038,1514,-1
363,2.9405,1514,-1
364,2.940631,1514,-1
365,2.940767,1514,-1
366,2.940901,1514,-1
367,2.941004,1514,-1
368,2.941134,1514,-1
369,2.941321,1514,-1
370,2.944447,1514,-1
371,2.944782,1514,-1
372,2.944993,1514,-1
373,2.945105,1514,-1
374,2.945303,1514,-1
375,2.945502,1514,-1
376,2.949334,1514,-1
377,2.949663,1514,-1
378,2.959648,96,1
379,2.959903,54,1
380,2.960085,54,1
381,2.960247,54,1
382,2.960322,54,1
383,2.960397,54,1
384,2.960472,54,1
385,2.960547,54,1
386,2.974391,1514,-1
387,2.974682,1514,-1
388,2.978978,1514,-1
389,2.979677,1514,-1
390,2.999063,1514,-1
391,2.999406,1514,-1
392,3.000465,1514,-1
393,3.000811,1514,-1
394,3.003816,1514,-1
395,3.004024,1514,-1
396,3.004153,1514,-1
397,3.004277,1514,-1
398,3.004418,1514,-1
399,3.004524,1514,-1
400,3.004653,1514,-1
401,3.004856,1514,-1
402,3.031576,54,1
403,3.031833,54,1
404,3.032014,54,1
405,3.032176,105,1
406,3.03226,54,1
407,3.032335,54,1
408,3.032411,96,1
409,3.032491,54,1
410,3.034007,54,1
411,3.034089,54,1
412,3.034253,54,1
413,3.034412,54,1
414,3.07095,1514,-1
415,3.071128,1514,-1
416,3.071255,1514,-1
417,3.071438,1514,-1
418,3.071631,1514,-1
419,3.071818,1514,-1
420,3.071819,97,-1
421,3.072788,54,1
422,3.08015,54,1
423,3.080369,54,1
424,3.08053,54,1
425,3.080605,54,1
426,3.083538,96,1
427,3.116295,60,-1
428,3.116619,60,-1
429,3.123314,60,-1
430,3.150265,784,1
431,3.150908,287,1
432,3.157141,190,1
433,3.159084,1514,1
434,3.159943,1514,1
435,3.160058,1514,1
436,3.160106,675,1
437,3.172698,286,1
438,3.173914,1514,1
439,3.17399,1514,1
440,3.174049,1514,1
441,3.174083,807,1
442,3.189468,60,-1
443,3.189472,60,-1
444,3.193357,417,-1
445,3.195338,60,-1
446,3.19557,85,1
447,3.195923,54,1
448,3.204057,60,-1
449,3.204061,60,-1
450,3.211547,60,-1
451,3.220273,60,-1
452,3.220612,60,-1
453,3.233087,60,-1
454,3.234669,54,1
455,3.28982,147,-1
456,3.289822,92,-1
457,3.294661,54,1
458,3.307795,147,-1
459,3.307797,92,-1
460,3.309759,54,1
461,3.321198,475,-1
462,3.332078,74,1
463,3.358096,146,-1
464,3.358098,92,-1
465,3.359259,54,1
466,3.3814,66,-1
467,3.382947,54,1
468,3.384496,312,1
469,3.399733,54,1
470,3.422594,60,-1
471,3.426634,60,-1
472,3.427143,191,-1
473,3.428469,54,1
474,3.428987,105,1
475,3.515955,60,-1
476,3.52065,795,1
477,3.55976,60,-1
478,3.565852,417,-1
479,3.567513,85,1
480,3.567755,54,1
481,3.606506,60,-1
482,3.607898,54,1
