Serial number,time,size,direction
1,0.0,289,1
2,0.003267,190,1
3,0.003634,1514,1
4,0.004432,1514,1
5,0.004495,1514,1
6,0.004555,435,1
7,0.00593,1514,1
8,0.025129,79,1
9,0.036314,60,-1
10,0.038154,1514,1
11,0.039728,1514,1
12,0.042069,60,-1
13,0.043058,60,-1
14,0.04306,60,-1
15,0.043807,96,-1
16,0.043874,1514,1
17,0.044672,761,1
18,0.04951,95,-1
19,0.057224,74,1
20,0.07423,60,-1
21,0.075759,54,1
22,0.086484,60,-1
23,0.086819,1514,1
24,0.087216,1514,1
25,0.088444,1514,1
26,0.088523,1232,1
27,0.093654,66,-1
28,0.095081,54,1
29,0.096942,312,1
30,0.107835,172,1
31,0.121294,172,1
32,0.123209,60,-1
33,0.129104,60,-1
34,0.134528,60,-1
35,0.135524,60,-1
36,0.135525,191,-1
37,0.142892,60,-1
38,0.152276,98,-1
39,0.152578,92,-1
40,0.162063,172,1
41,0.163506,54,1
42,0.172812,105,1
43,0.17301,172,1
44,0.173154,54,1
45,0.186983,172,1
46,0.197494,60,-1
47,0.197893,172,1
48,0.225132,60,-1
49,0.232556,172,1
50,0.246585,172,1
51,0.246743,60,-1
52,0.248142,767,1
53,0.267719,60,-1
54,0.267964,172,1
55,0.28169,172,1
56,0.289011,60,-1
57,0.296238,400,-1
58,0.298236,85,1
59,0.29856,54,1
60,0.309702,60,-1
61,0.310321,172,1
62,0.330214,172,1
63,0.338797,60,-1
64,0.340278,54,1
65,0.344666,172,1
66,0.34683,60,-1
67,0.358638,172,1
68,0.383243,60,-1
69,0.393966,172,1
70,0.407586,172,1
71,0.422132,172,1
72,0.43821,60,-1
73,0.438213,60,-1
74,0.442408,172,1
75,0.44678,60,-1
76,0.459935,60,-1
77,0.470381,172,1
78,0.481772,60,-1
79,0.493133,172,1
80,0.50557,172,1
81,0.511089,60,-1
82,0.513609,289,1
83,0.514162,1514,1
84,0.514208,1514,1
85,0.515688,1514,1
86,0.515747,190,1
87,0.519837,172,1
88,0.532425,60,-1
89,0.542629,60,-1
90,0.554391,172,1
91,0.55537,60,-1
92,0.555372,60,-1
93,0.556774,60,-1
94,0.563364,60,-1
95,0.568282,172,1
96,0.58269,172,1
97,0.592511,60,-1
98,0.596671,172,1
99,0.60853,60,-1
100,0.623871,60,-1
101,0.631592,172,1
102,0.634826,60,-1
103,0.645457,172,1
104,0.647544,98,-1
105,0.647546,92,-1
106,0.649313,54,1
107,0.666421,172,1
108,0.680118,172,1
109,0.682796,60,-1
110,0.708395,172,1
111,0.717387,60,-1
112,0.729239,172,1
113,0.743295,172,1
114,0.757776,172,1
115,0.766387,60,-1
116,0.795811,172,1
117,0.797396,60,-1
118,0.809892,172,1
119,0.824214,172,1
120,0.847844,60,-1
121,0.861826,172,1
122,0.870066,172,1
123,0.890226,172,1
124,0.902919,60,-1
125,0.904202,172,1
126,0.918494,172,1
127,0.928841,60,-1
128,0.953943,172,1
129,0.957702,60,-1
130,0.967259,172,1
131,0.981419,172,1
132,1.002722,172,1
133,1.007005,60,-1
134,1.030285,172,1
135,1.040931,60,-1
136,1.054236,172,1
137,1.068859,172,1
138,1.082935,172,1
139,1.091782,60,-1
140,1.114706,172,1
141,1.123933,60,-1
